REC_YEAR	ORG_CODE	SCHOOL	SAT_STU_GROUP_CODE	LABEL_STU	SAT_TAKEN	SAT_READ	SAT_WRITE	SAT_MATH	SORT
2005	01070000	01070505	ALL	All Students	179	517		497	1
2005	01100000	01100505	ALL	All Students	98	505		519	1
2005	01110000	01110505	ALL	All Students	40	534		550	1
2005	01140000	01140505	ALL	All Students	78	511		523	1
2005	01170000	01170505	ALL	All Students	38	559		593	1
2005	01220000	01220505	ALL	All Students	163	525		528	1
2005	01250000	01250505	ALL	All Students	98	597		607	1
2005	01260000	01260505	ALL	All Students	65	516		516	1
2005	01270000	01270505	ALL	All Students	31	531		587	1
2005	01280000	01280505	ALL	All Students	291	498		494	1
2005	01310000	01310505	ALL	All Students	212	575		585	1
2005	01330000	01330505	ALL	All Students	37	495		470	1
2005	01360000	01360505	ALL	All Students	223	547		571	1
2005	01370000	01370505	ALL	All Students	118	497		502	1
2005	01370000	01370605	ALL	All Students	9	393		423	1
2005	01380000	01380505	ALL	All Students	54	504		492	1
2005	01390000	01390505	ALL	All Students	188	555		556	1
2005	01410000	01410505	ALL	All Students	112	532		534	1
2005	01420000	01420505	ALL	All Students	59	488		473	1
2005	01440000	01440505	ALL	All Students	117	537		555	1
2005	01490000	01490505	ALL	All Students	267	389		403	1
2005	01500000	01500505	ALL	All Students	34	486		531	1
2005	01510000	01510505	ALL	All Students	83	516		507	1
2005	01520000	01520505	ALL	All Students	47	572		569	1
2005	01530000	01530505	ALL	All Students	238	478		498	1
2005	01550000	01550505	ALL	All Students	429	611		620	1
2005	01580000	01580505	ALL	All Students	67	546		534	1
2005	01590000	01590505	ALL	All Students	238	551		575	1
2005	01600000	01600505	ALL	All Students	517	454		469	1
2005	01610000	01610505	ALL	All Students	143	499		514	1
2005	01620000	01620505	ALL	All Students	118	526		526	1
2005	01630000	01630505	ALL	All Students	188	455		453	1
2005	01630000	01630510	ALL	All Students	190	452		459	1
2005	01630000	01630605	ALL	All Students	53	379		397	1
2005	01640000	01640505	ALL	All Students	135	541		545	1
2005	01650000	01650505	ALL	All Students	237	439		464	1
2005	01670000	01670505	ALL	All Students	236	535		558	1
2005	01680000	01680505	ALL	All Students	188	559		559	1
2005	01700000	01700505	ALL	All Students	186	523		533	1
2005	01710000	01710505	ALL	All Students	235	520		523	1
2005	01720000	01720505	ALL	All Students	100	480		487	1
2005	01740000	01740505	ALL	All Students	64	507		498	1
2005	01750000	01750505	ALL	All Students	207	571		574	1
2005	01760000	01760505	ALL	All Students	210	479		503	1
2005	01760000	01760605	ALL	All Students	6	433		375	1
2005	01770000	01770505	ALL	All Students	168	545		539	1
2005	01780000	01780505	ALL	All Students	217	534		531	1
2005	01810000	01810505	ALL	All Students	271	476		482	1
2005	01820000	01820505	ALL	All Students	127	511		478	1
2005	01850000	01850505	ALL	All Students	216	518		533	1
2005	01860000	01860505	ALL	All Students	70	504		512	1
2005	01870000	01870505	ALL	All Students	65	522		539	1
2005	01890000	01890505	ALL	All Students	197	526		526	1
2005	01910000	01910505	ALL	All Students	62	522		519	1
2005	01970000	01970505	ALL	All Students	63	509		523	1
2005	01980000	01980505	ALL	All Students	269	537		532	1
2005	01990000	01990505	ALL	All Students	345	575		583	1
2005	02010000	02010505	ALL	All Students	388	459		490	1
2005	02040000	02040505	ALL	All Students	143	533		546	1
2005	02070000	02070505	ALL	All Students	475	595		614	1
2005	02070000	02070510	ALL	All Students	303	607		630	1
2005	02090000	02090505	ALL	All Students	97	498		490	1
2005	02100000	02100505	ALL	All Students	195	559		559	1
2005	02110000	02110505	ALL	All Students	234	537		544	1
2005	02120000	02120505	ALL	All Students	224	552		542	1
2005	02140000	02140505	ALL	All Students	97	509		514	1
2005	02150000	02150505	ALL	All Students	28	500		500	1
2005	02170000	02170505	ALL	All Students	126	523		523	1
2005	02180000	02180505	ALL	All Students	119	524		521	1
2005	02190000	02190505	ALL	All Students	119	565		577	1
2005	02200000	02200505	ALL	All Students	220	513		527	1
2005	02260000	02260505	ALL	All Students	86	481		471	1
2005	02270000	02270505	ALL	All Students	70	507		511	1
2005	02290000	02290510	ALL	All Students	292	485		496	1
2005	02310000	02310505	ALL	All Students	103	526		531	1
2005	02360000	02360505	ALL	All Students	127	532		522	1
2005	02360000	02360510	ALL	All Students	143	487		498	1
2005	02390000	02390505	ALL	All Students	197	511		521	1
2005	02390000	02390515	ALL	All Students	201	497		493	1
2005	02420000	02420505	ALL	All Students	18	474		498	1
2005	02430000	02430505	ALL	All Students	194	433		506	1
2005	02430000	02430510	ALL	All Students	274	489		513	1
2005	02440000	02440505	ALL	All Students	188	467		486	1
2005	02460000	02460505	ALL	All Students	288	545		565	1
2005	02480000	02480505	ALL	All Students	183	454		460	1
2005	02510000	02510505	ALL	All Students	118	501		509	1
2005	02520000	02520510	ALL	All Students	63	546		515	1
2005	02580000	02580505	ALL	All Students	175	470		481	1
2005	02610000	02610505	ALL	All Students	215	529		532	1
2005	02620000	02620505	ALL	All Students	152	498		496	1
2005	02640000	02640505	ALL	All Students	190	507		521	1
2005	02650000	02650505	ALL	All Students	120	507		496	1
2005	02660000	02660505	ALL	All Students	275	572		591	1
2005	02710000	02710505	ALL	All Students	284	543		554	1
2005	02730000	02730505	ALL	All Students	168	504		511	1
2005	02740000	02740505	ALL	All Students	184	472		495	1
2005	02740000	02740510	ALL	All Students	2	9999		9999	1
2005	02770000	02770505	ALL	All Students	72	463		459	1
2005	02780000	02780505	ALL	All Students	114	513		514	1
2005	02810000	02810500	ALL	All Students	185	463		466	1
2005	02810000	02810510	ALL	All Students	140	408		405	1
2005	02810000	02810520	ALL	All Students	3	9999		9999	1
2005	02810000	02810530	ALL	All Students	142	436		445	1
2005	02810000	02810540	ALL	All Students	1	9999		9999	1
2005	02810000	02810620	ALL	All Students	38	369		371	1
2005	02840000	02840505	ALL	All Students	159	526		533	1
2005	02850000	02850505	ALL	All Students	201	502		507	1
2005	02900000	02900510	ALL	All Students	81	526		539	1
2005	02910000	02910505	ALL	All Students	145	529		547	1
2005	02920000	02920505	ALL	All Students	95	533		523	1
2005	02930000	02930505	ALL	All Students	243	491		491	1
2005	02950000	02950505	ALL	All Students	216	528		547	1
2005	03010000	03010505	ALL	All Students	127	495		515	1
2005	03040000	03040505	ALL	All Students	104	511		516	1
2005	03050000	03050505	ALL	All Students	209	529		525	1
2005	03070000	03070505	ALL	All Students	237	541		546	1
2005	03080000	03080505	ALL	All Students	269	475		494	1
2005	03090000	03090505	ALL	All Students	54	482		509	1
2005	03100000	03100505	ALL	All Students	128	478		482	1
2005	03140000	03140505	ALL	All Students	142	487		509	1
2005	03150000	03150505	ALL	All Students	200	593		622	1
2005	03160000	03160505	ALL	All Students	69	487		498	1
2005	03170000	03170505	ALL	All Students	249	603		617	1
2005	03210000	03210505	ALL	All Students	230	563		594	1
2005	03220000	03220505	ALL	All Students	68	501		483	1
2005	03230000	03230505	ALL	All Students	50	493		504	1
2005	03250000	03250505	ALL	All Students	260	520		523	1
2005	03250000	03250605	ALL	All Students	10	441		400	1
2005	03260000	03260505	ALL	All Students	289	562		585	1
2005	03300000	03300505	ALL	All Students	172	609		622	1
2005	03310000	03310505	ALL	All Students	58	503		486	1
2005	03320000	03320505	ALL	All Students	148	519		525	1
2005	03350000	03350505	ALL	All Students	172	556		595	1
2005	03360000	03360505	ALL	All Students	276	516		502	1
2005	03420000	03420505	ALL	All Students	178	503		510	1
2005	03430000	03430505	ALL	All Students	33	483		475	1
2005	03440000	03440505	ALL	All Students	202	565		584	1
2005	03460000	03460505	ALL	All Students	98	474		470	1
2005	03470000	03470505	ALL	All Students	254	505		513	1
2005	03480000	03480275	ALL	All Students	19	444		419	1
2005	03480000	03480285	ALL	All Students	34	436		463	1
2005	03480000	03480503	ALL	All Students	172	472		466	1
2005	03480000	03480512	ALL	All Students	239	493		496	1
2005	03480000	03480515	ALL	All Students	145	423		436	1
2005	03480000	03480520	ALL	All Students	153	417		415	1
2005	03480000	03480605	ALL	All Students	83	391		390	1
2005	04060000	04060705	ALL	All Students	2	9999		9999	1
2005	04240000	04240505	ALL	All Students	11	412		450	1
2005	04340000	04340505	ALL	All Students	5	398		440	1
2005	04370000	04370505	ALL	All Students	31	397		409	1
2005	04410000	04410505	ALL	All Students	44	466		461	1
2005	04420000	04420050	ALL	All Students	1	9999		9999	1
2005	04460000	04460550	ALL	All Students	13	548		521	1
2005	04490000	04490305	ALL	All Students	26	486		478	1
2005	04520000	04520505	ALL	All Students	40	407		396	1
2005	04580000	04580505	ALL	All Students	6	458		418	1
2005	04660000	04660550	ALL	All Students	6	607		502	1
2005	04680000	04680505	ALL	All Students	43	660		700	1
2005	04690000	04690505	ALL	All Students	30	413		460	1
2005	04700000	04700105	ALL	All Students	0	9999		9999	1
2005	04710000	04710405	ALL	All Students	14	365		379	1
2005	04740000	04740505	ALL	All Students	0	9999		9999	1
2005	04780000	04780505	ALL	All Students	58	606		587	1
2005	04790000	04790505	ALL	All Students	60	581		524	1
2005	04870000	04870550	ALL	All Students	23	509		507	1
2005	04880000	04880550	ALL	All Students	11	495		460	1
2005	04890000	04890505	ALL	All Students	58	593		558	1
2005	06000000	06000505	ALL	All Students	383	613		634	1
2005	06030000	06030505	ALL	All Students	77	498		500	1
2005	06050000	06050505	ALL	All Students	284	564		583	1
2005	06100000	06100505	ALL	All Students	123	537		546	1
2005	06150000	06150505	ALL	All Students	78	512		512	1
2005	06180000	06180505	ALL	All Students	92	538		524	1
2005	06200000	06200505	ALL	All Students	52	533		520	1
2005	06220000	06220505	ALL	All Students	121	509		499	1
2005	06250000	06250505	ALL	All Students	286	519		530	1
2005	06350000	06350505	ALL	All Students	105	544		545	1
2005	06400000	06400505	ALL	All Students	303	593		613	1
2005	06450000	06450505	ALL	All Students	183	513		507	1
2005	06500000	06500505	ALL	All Students	156	536		528	1
2005	06550000	06550505	ALL	All Students	135	612		617	1
2005	06580000	06580505	ALL	All Students	218	518		524	1
2005	06600000	06600505	ALL	All Students	165	546		544	1
2005	06650000	06650505	ALL	All Students	148	512		520	1
2005	06700000	06700505	ALL	All Students	92	505		510	1
2005	06720000	06720505	ALL	All Students	43	510		482	1
2005	06730000	06730505	ALL	All Students	146	545		554	1
2005	06740000	06740505	ALL	All Students	32	498		483	1
2005	06750000	06750505	ALL	All Students	150	575		574	1
2005	06800000	06800505	ALL	All Students	261	531		550	1
2005	06830000	06830505	ALL	All Students	75	542		532	1
2005	06900000	06900505	ALL	All Students	228	562		564	1
2005	06950000	06950505	ALL	All Students	346	580		608	1
2005	06980000	06980510	ALL	All Students	72	589		574	1
2005	07000000	07000505	ALL	All Students	147	521		517	1
2005	07050000	07050505	ALL	All Students	268	543		548	1
2005	07100000	07100510	ALL	All Students	109	520		515	1
2005	07150000	07150505	ALL	All Students	95	567		547	1
2005	07170000	07170505	ALL	All Students	65	532		520	1
2005	07200000	07200505	ALL	All Students	53	517		521	1
2005	07250000	07250505	ALL	All Students	184	534		552	1
2005	07300000	07300505	ALL	All Students	278	547		572	1
2005	07350000	07350505	ALL	All Students	219	523		525	1
2005	07400000	07400505	ALL	All Students	132	492		493	1
2005	07450000	07450505	ALL	All Students	182	539		543	1
2005	07500000	07500505	ALL	All Students	63	490		489	1
2005	07530000	07530505	ALL	All Students	181	510		515	1
2005	07550000	07550505	ALL	All Students	52	495		516	1
2005	07600000	07600505	ALL	All Students	220	520		507	1
2005	07650000	07650505	ALL	All Students	43	542		516	1
2005	07660000	07660505	ALL	All Students	87	524		497	1
2005	07670000	07670505	ALL	All Students	114	507		521	1
2005	07700000	07700505	ALL	All Students	153	530		545	1
2005	07730000	07730505	ALL	All Students	159	517		513	1
2005	07750000	07750505	ALL	All Students	354	536		551	1
2005	07780000	07780505	ALL	All Students	62	498		489	1
2005	07800000	07800505	ALL	All Students	199	499		503	1
2005	08010000	08010605	ALL	All Students	46	443		446	1
2005	08050000	08050605	ALL	All Students	45	422		423	1
2005	08060000	08060605	ALL	All Students	81	429		434	1
2005	08100000	08100605	ALL	All Students	78	448		447	1
2005	08150000	08150605	ALL	All Students	27	452		447	1
2005	08180000	08180605	ALL	All Students	11	532		536	1
2005	08210000	08210605	ALL	All Students	62	462		451	1
2005	08230000	08230605	ALL	All Students	56	372		397	1
2005	08250000	08250605	ALL	All Students	123	414		413	1
2005	08280000	08280605	ALL	All Students	51	452		439	1
2005	08290000	08290605	ALL	All Students	32	464		454	1
2005	08300000	08300605	ALL	All Students	89	468		477	1
2005	08320000	08320605	ALL	All Students	65	471		477	1
2005	08510000	08510605	ALL	All Students	43	459		452	1
2005	08520000	08520605	ALL	All Students	31	444		455	1
2005	08530000	08530605	ALL	All Students	85	422		447	1
2005	08540000	08540605	ALL	All Students	30	437		445	1
2005	08550000	08550605	ALL	All Students	33	439		461	1
2005	08600000	08600605	ALL	All Students	20	426		423	1
2005	08710000	08710605	ALL	All Students	110	456		454	1
2005	08720000	08720605	ALL	All Students	54	403		404	1
2005	08760000	08760605	ALL	All Students	59	455		443	1
2005	08780000	08780605	ALL	All Students	72	486		492	1
2005	08790000	08790605	ALL	All Students	28	458		442	1
2005	08850000	08850605	ALL	All Students	58	438		429	1
2005	09100000	09100705	ALL	All Students	43	480		454	1
2005	09130000	09130705	ALL	All Students	39	455		442	1
2005	09150000	09150705	ALL	All Students	71	497		484	1
2006	00010000	00010505	ALL	All Students	110	490	491	510	1
2006	00050000	00050505	ALL	All Students	193	489	474	488	1
2006	00070000	00070505	ALL	All Students	150	515	516	519	1
2006	00090000	00090505	ALL	All Students	470	553	550	582	1
2006	00100000	00100505	ALL	All Students	252	537	538	549	1
2006	00140000	00140505	ALL	All Students	156	521	511	536	1
2006	00160000	00160505	ALL	All Students	277	484	487	493	1
2006	00170000	00170505	ALL	All Students	112	479	484	494	1
2006	00180000	00180510	ALL	All Students	44	465	456	476	1
2006	00190000	00190510	ALL	All Students	69	486	469	474	1
2006	00200000	00200505	ALL	All Students	269	517	510	528	1
2006	00230000	00230505	ALL	All Students	170	554	551	570	1
2006	00240000	00240505	ALL	All Students	128	514	496	514	1
2006	00250000	00250505	ALL	All Students	154	484	470	482	1
2006	00250000	00250510	ALL	All Students	1				1
2006	00260000	00260505	ALL	All Students	283	566	563	580	1
2006	00300000	00300505	ALL	All Students	247	522	507	531	1
2006	00310000	00310505	ALL	All Students	284	507	498	524	1
2006	00350000	00350005	ALL	All Students	3				1
2006	00350000	00350502	ALL	All Students	23	406	378	364	1
2006	00350000	00350505	ALL	All Students	169	370	371	391	1
2006	00350000	00350507	ALL	All Students	12	312	287	369	1
2006	00350000	00350515	ALL	All Students	137	376	387	423	1
2006	00350000	00350518	ALL	All Students	3				1
2006	00350000	00350524	ALL	All Students	26	366	348	389	1
2006	00350000	00350525	ALL	All Students	98	338	330	341	1
2006	00350000	00350530	ALL	All Students	167	398	390	408	1
2006	00350000	00350535	ALL	All Students	143	361	356	389	1
2006	00350000	00350537	ALL	All Students	111	350	334	355	1
2006	00350000	00350538	ALL	All Students	53	354	348	339	1
2006	00350000	00350539	ALL	All Students	50	386	390	405	1
2006	00350000	00350540	ALL	All Students	42	418	426	422	1
2006	00350000	00350541	ALL	All Students	49	502	497	498	1
2006	00350000	00350542	ALL	All Students	43	371	371	370	1
2006	00350000	00350543	ALL	All Students	11	426	388	369	1
2006	00350000	00350545	ALL	All Students	255	505	509	525	1
2006	00350000	00350546	ALL	All Students	76	429	419	401	1
2006	00350000	00350548	ALL	All Students	14	283	277	363	1
2006	00350000	00350550	ALL	All Students	26	394	385	399	1
2006	00350000	00350558	ALL	All Students	65	390	377	399	1
2006	00350000	00350560	ALL	All Students	378	612	615	631	1
2006	00350000	00350565	ALL	All Students	28	430	402	491	1
2006	00350000	00350573	ALL	All Students	38	380	355	392	1
2006	00350000	00350574	ALL	All Students	30	384	378	393	1
2006	00350000	00350575	ALL	All Students	188	461	457	487	1
2006	00350000	00350576	ALL	All Students	28	351	353	379	1
2006	00350000	00350577	ALL	All Students	24	369	365	356	1
2006	00350000	00350578	ALL	All Students	38	389	386	414	1
2006	00350000	00350579	ALL	All Students	21	403	387	408	1
2006	00350000	00350581	ALL	All Students	29	332	355	390	1
2006	00350000	00350582	ALL	All Students	12	363	346	394	1
2006	00350000	00350583	ALL	All Students	7	390	373	344	1
2006	00350000	00350690	ALL	All Students	52	400	403	425	1
2006	00360000	00360505	ALL	All Students	98	512	513	531	1
2006	00400000	00400505	ALL	All Students	316	502	523	527	1
2006	00440000	00440505	ALL	All Students	571	444	444	438	1
2006	00460000	00460505	ALL	All Students	440	580	574	600	1
2006	00480000	00480505	ALL	All Students	225	516	520	551	1
2006	00490000	00490506	ALL	All Students	368	483	468	489	1
2006	00500000	00500505	ALL	All Students	196	524	518	553	1
2006	00520000	00520505	ALL	All Students	105	510	501	506	1
2006	00550000	00550505	ALL	All Students	31	505	491	516	1
2006	00560000	00560505	ALL	All Students	397	523	518	540	1
2006	00570000	00570505	ALL	All Students	109	424	417	448	1
2006	00610000	00610505	ALL	All Students	97	461	464	467	1
2006	00610000	00610510	ALL	All Students	116	488	486	487	1
2006	00640000	00640505	ALL	All Students	87	478	489	480	1
2006	00650000	00650505	ALL	All Students	101	542	544	551	1
2006	00710000	00710505	ALL	All Students	205	498	487	504	1
2006	00720000	00720505	ALL	All Students	225	496	490	545	1
2006	00730000	00730505	ALL	All Students	161	475	469	494	1
2006	00770000	00770505	ALL	All Students	50	477	494	494	1
2006	00790000	00790505	ALL	All Students	216	495	488	494	1
2006	00820000	00820505	ALL	All Students	240	546	547	563	1
2006	00830000	00830505	ALL	All Students	118	479	482	494	1
2006	00860000	00860505	ALL	All Students	60	487	469	498	1
2006	00870000	00870505	ALL	All Students	180	497	497	509	1
2006	00880000	00880505	ALL	All Students	227	519	518	524	1
2006	00930000	00930505	ALL	All Students	255	446	445	455	1
2006	00940000	00940505	ALL	All Students	115	509	499	509	1
2006	00950000	00950505	ALL	All Students	218	479	469	473	1
2006	00960000	00960505	ALL	All Students	200	518	522	527	1
2006	00970000	00970505	ALL	All Students	171	478	461	484	1
2006	00990000	00990505	ALL	All Students	182	507	521	543	1
2006	01000000	01000515	ALL	All Students	400	509	507	541	1
2006	01010000	01010505	ALL	All Students	322	532	540	540	1
2006	01030000	01030505	ALL	All Students	144	494	486	491	1
2006	01050000	01050505	ALL	All Students	76	528	520	561	1
2006	01070000	01070505	ALL	All Students	163	504	495	499	1
2006	01100000	01100505	ALL	All Students	78	542	535	564	1
2006	01110000	01110505	ALL	All Students	60	477	486	508	1
2006	01140000	01140505	ALL	All Students	65	492	480	503	1
2006	01170000	01170505	ALL	All Students	29	558	560	559	1
2006	01220000	01220505	ALL	All Students	172	507	513	512	1
2006	01250000	01250505	ALL	All Students	86	608	613	599	1
2006	01260000	01260505	ALL	All Students	81	522	516	518	1
2006	01270000	01270505	ALL	All Students	29	522	516	545	1
2006	01280000	01280505	ALL	All Students	258	491	486	491	1
2006	01310000	01310505	ALL	All Students	253	546	554	568	1
2006	01330000	01330505	ALL	All Students	41	493	481	484	1
2006	01360000	01360505	ALL	All Students	216	556	561	591	1
2006	01370000	01370505	ALL	All Students	121	469	473	488	1
2006	01370000	01370605	ALL	All Students	8	389	375	393	1
2006	01380000	01380505	ALL	All Students	62	527	523	531	1
2006	01390000	01390505	ALL	All Students	215	542	536	551	1
2006	01410000	01410505	ALL	All Students	157	507	513	535	1
2006	01420000	01420505	ALL	All Students	64	497	474	470	1
2006	01440000	01440505	ALL	All Students	119	520	514	523	1
2006	01490000	01490505	ALL	All Students	225	385	390	396	1
2006	01500000	01500505	ALL	All Students	54	498	493	504	1
2006	01510000	01510505	ALL	All Students	85	487	482	485	1
2006	01520000	01520505	ALL	All Students	59	552	579	567	1
2006	01530000	01530505	ALL	All Students	266	493	486	505	1
2006	01530000	01530605	ALL	All Students	17	445	422	480	1
2006	01550000	01550505	ALL	All Students	451	611	613	629	1
2006	01580000	01580505	ALL	All Students	96	529	513	543	1
2006	01590000	01590505	ALL	All Students	242	548	548	564	1
2006	01600000	01600505	ALL	All Students	456	449	445	472	1
2006	01610000	01610505	ALL	All Students	174	478	485	502	1
2006	01620000	01620505	ALL	All Students	109	506	499	529	1
2006	01630000	01630505	ALL	All Students	223	451	442	456	1
2006	01630000	01630510	ALL	All Students	180	437	424	444	1
2006	01630000	01630605	ALL	All Students	52	384	361	388	1
2006	01640000	01640505	ALL	All Students	122	542	556	568	1
2006	01650000	01650505	ALL	All Students	286	435	436	475	1
2006	01670000	01670505	ALL	All Students	255	509	507	542	1
2006	01680000	01680505	ALL	All Students	252	552	550	563	1
2006	01700000	01700505	ALL	All Students	205	518	509	534	1
2006	01710000	01710505	ALL	All Students	285	514	517	528	1
2006	01720000	01720505	ALL	All Students	114	475	472	487	1
2006	01740000	01740505	ALL	All Students	55	500	475	491	1
2006	01750000	01750505	ALL	All Students	193	582	578	574	1
2006	01760000	01760505	ALL	All Students	273	482	478	504	1
2006	01760000	01760605	ALL	All Students	10	384	389	410	1
2006	01770000	01770505	ALL	All Students	175	515	514	532	1
2006	01780000	01780505	ALL	All Students	238	526	521	521	1
2006	01810000	01810505	ALL	All Students	313	466	471	481	1
2006	01820000	01820505	ALL	All Students	146	490	478	481	1
2006	01850000	01850505	ALL	All Students	219	496	497	515	1
2006	01860000	01860505	ALL	All Students	81	503	502	518	1
2006	01870000	01870505	ALL	All Students	77	505	506	502	1
2006	01890000	01890505	ALL	All Students	222	520	511	519	1
2006	01910000	01910505	ALL	All Students	60	490	488	498	1
2006	01970000	01970505	ALL	All Students	81	493	481	504	1
2006	01980000	01980505	ALL	All Students	284	530	526	537	1
2006	01990000	01990505	ALL	All Students	321	582	578	588	1
2006	02010000	02010505	ALL	All Students	398	456	450	476	1
2006	02040000	02040505	ALL	All Students	181	543	531	551	1
2006	02070000	02070505	ALL	All Students	494	579	585	598	1
2006	02070000	02070510	ALL	All Students	378	593	598	617	1
2006	02090000	02090505	ALL	All Students	92	476	475	491	1
2006	02100000	02100505	ALL	All Students	170	549	539	557	1
2006	02110000	02110505	ALL	All Students	273	530	525	543	1
2006	02120000	02120505	ALL	All Students	229	526	507	521	1
2006	02140000	02140505	ALL	All Students	103	516	503	519	1
2006	02150000	02150505	ALL	All Students	36	508	505	533	1
2006	02170000	02170505	ALL	All Students	170	514	522	526	1
2006	02180000	02180505	ALL	All Students	111	508	498	504	1
2006	02190000	02190505	ALL	All Students	135	552	556	564	1
2006	02200000	02200505	ALL	All Students	251	507	515	515	1
2006	02260000	02260505	ALL	All Students	94	471	463	466	1
2006	02270000	02270505	ALL	All Students	68	483	473	495	1
2006	02290000	02290510	ALL	All Students	330	472	477	493	1
2006	02310000	02310505	ALL	All Students	125	503	499	511	1
2006	02360000	02360505	ALL	All Students	132	514	516	506	1
2006	02360000	02360510	ALL	All Students	129	484	475	494	1
2006	02390000	02390505	ALL	All Students	201	495	494	520	1
2006	02390000	02390515	ALL	All Students	202	484	475	480	1
2006	02420000	02420505	ALL	All Students	14	523	479	490	1
2006	02430000	02430505	ALL	All Students	215	439	445	489	1
2006	02430000	02430510	ALL	All Students	259	486	484	518	1
2006	02440000	02440505	ALL	All Students	171	454	444	472	1
2006	02460000	02460505	ALL	All Students	286	525	522	553	1
2006	02480000	02480505	ALL	All Students	217	451	443	463	1
2006	02480000	02480520	ALL	All Students	2				1
2006	02510000	02510505	ALL	All Students	144	492	476	492	1
2006	02520000	02520510	ALL	All Students	61	528	522	515	1
2006	02580000	02580505	ALL	All Students	211	457	443	469	1
2006	02610000	02610505	ALL	All Students	181	518	516	526	1
