Year,Grade,Org_code,DistrictName,Group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2011,03,00020000,Acton,"Special Ed",42,40,2," "," "," "," ",42,40,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00020000,Acton,"All Students",376,374,1,1," "," "," ",374,371,2,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00020000,Acton,"Low Income",10,10," "," "," "," "," ",10,8,1,1," "," "," "," "," "," "," "," "," "," ",100,90," "
2011,04,00020000,Acton,Asian,108,108," "," "," "," "," ",107,107," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00020000,Acton,Hispanic/Latino,10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00020000,Acton,White,241,239,1,1," "," "," ",240,238,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00020000,Acton,Multi-race,14,14," "," "," "," "," ",14,13," ",1," "," "," "," "," "," "," "," "," "," ",100,93," "
2011,04,00020000,Acton,"LEP/Formerly LEP",13,13," "," "," "," "," ",12,12," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00020000,Acton,"Special Ed",55,53,1,1," "," "," ",55,53,2," "," "," "," "," "," "," "," "," "," "," ",98,100," "
2011,05,00020000,Acton,"All Students",366,365,1," "," "," "," ",366,364,2," "," "," "," ",366,365,1," "," "," "," ",100,100,100
2011,05,00020000,Acton,"Low Income",13,13," "," "," "," "," ",13,13," "," "," "," "," ",13,13," "," "," "," "," ",100,100,100
2011,05,00020000,Acton,Asian,90,90," "," "," "," "," ",90,90," "," "," "," "," ",90,90," "," "," "," "," ",100,100,100
2011,05,00020000,Acton,White,248,247,1," "," "," "," ",248,246,2," "," "," "," ",248,247,1," "," "," "," ",100,100,100
2011,05,00020000,Acton,Multi-race,18,18," "," "," "," "," ",18,18," "," "," "," "," ",18,18," "," "," "," "," ",100,100,100
2011,05,00020000,Acton,"LEP/Formerly LEP",15,15," "," "," "," "," ",15,15," "," "," "," "," ",15,15," "," "," "," "," ",100,100,100
2011,05,00020000,Acton,"Special Ed",70,69,1," "," "," "," ",70,68,2," "," "," "," ",70,69,1," "," "," "," ",100,100,100
2011,06,00020000,Acton,"All Students",400,394,6," "," "," "," ",400,393,6," ",1," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00020000,Acton,"Low Income",16,15,1," "," "," "," ",16,14,1," ",1," "," "," "," "," "," "," "," "," ",100,94," "
2011,06,00020000,Acton,Asian,99,98,1," "," "," "," ",99,98,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00020000,Acton,Hispanic/Latino,16,16," "," "," "," "," ",16,16," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00020000,Acton,White,276,271,5," "," "," "," ",276,270,5," ",1," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00020000,Acton,"Special Ed",68,62,6," "," "," "," ",68,61,6," ",1," "," "," "," "," "," "," "," "," ",100,99," "
2011,03,00030000,Acushnet,"All Students",111,108,3," "," "," "," ",111,108,3," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00030000,Acushnet,"Low Income",26,26," "," "," "," "," ",26,26," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00030000,Acushnet,White,111,108,3," "," "," "," ",111,108,3," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00030000,Acushnet,"Special Ed",28,25,3," "," "," "," ",28,25,3," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00030000,Acushnet,"All Students",112,112," "," "," "," "," ",111,110," ",1," "," "," "," "," "," "," "," "," "," ",100,99," "
2011,04,00030000,Acushnet,"Low Income",34,34," "," "," "," "," ",33,33," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00030000,Acushnet,White,111,111," "," "," "," "," ",110,109," ",1," "," "," "," "," "," "," "," "," "," ",100,99," "
2011,04,00030000,Acushnet,"Special Ed",22,22," "," "," "," "," ",22,22," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,05,00030000,Acushnet,"All Students",108,107,1," "," "," "," ",108,107,1," "," "," "," ",108,107,1," "," "," "," ",100,100,100
2011,05,00030000,Acushnet,"Low Income",27,27," "," "," "," "," ",26,26," "," "," "," "," ",26,26," "," "," "," "," ",100,100,100
2011,05,00030000,Acushnet,White,108,107,1," "," "," "," ",108,107,1," "," "," "," ",108,107,1," "," "," "," ",100,100,100
2011,05,00030000,Acushnet,"Special Ed",24,23,1," "," "," "," ",24,23,1," "," "," "," ",24,23,1," "," "," "," ",100,100,100
2011,06,00030000,Acushnet,"All Students",124,124," "," "," "," "," ",124,124," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00030000,Acushnet,"Low Income",31,31," "," "," "," "," ",31,31," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00030000,Acushnet,White,122,122," "," "," "," "," ",122,122," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00030000,Acushnet,"Special Ed",13,13," "," "," "," "," ",13,13," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00030000,Acushnet,"All Students",135,132,1,1,1," "," ",135,132,1," ",2," "," "," "," "," "," "," "," "," ",99,99," "
2011,07,00030000,Acushnet,"Low Income",24,23," ",1," "," "," ",24,23," "," ",1," "," "," "," "," "," "," "," "," ",96,96," "
2011,07,00030000,Acushnet,White,134,131,1,1,1," "," ",134,131,1," ",2," "," "," "," "," "," "," "," "," ",99,99," "
2011,07,00030000,Acushnet,"Special Ed",23,21,1,1," "," "," ",23,21,1," ",1," "," "," "," "," "," "," "," "," ",96,96," "
2011,08,00030000,Acushnet,"All Students",117,116,1," "," "," "," ",118,117,1," "," "," "," ",118,117,1," "," "," "," ",100,100,100
2011,08,00030000,Acushnet,"Low Income",29,29," "," "," "," "," ",29,29," "," "," "," "," ",29,29," "," "," "," "," ",100,100,100
2011,08,00030000,Acushnet,White,114,113,1," "," "," "," ",115,114,1," "," "," "," ",115,114,1," "," "," "," ",100,100,100
2011,08,00030000,Acushnet,"Special Ed",16,15,1," "," "," "," ",17,16,1," "," "," "," ",17,16,1," "," "," "," ",100,100,100
2011,03,00050000,Agawam,"All Students",286,283,2," "," ",1," ",286,283,2," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,03,00050000,Agawam,"Low Income",87,86," "," "," ",1," ",87,86," "," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,03,00050000,Agawam,White,268,266,2," "," "," "," ",268,266,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00050000,Agawam,"LEP/Formerly LEP",26,25," "," "," ",1," ",26,25," "," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,03,00050000,Agawam,"Special Ed",51,49,2," "," "," "," ",51,49,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00050000,Agawam,"All Students",314,305,7,2," "," "," ",315,308,7," "," "," "," "," "," "," "," "," "," "," ",99,100," "
2011,04,00050000,Agawam,"Low Income",93,90,2,1," "," "," ",95,93,2," "," "," "," "," "," "," "," "," "," "," ",99,100," "
2011,04,00050000,Agawam,Hispanic/Latino,16,16," "," "," "," "," ",16,16," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00050000,Agawam,White,286,277,7,2," "," "," ",287,280,7," "," "," "," "," "," "," "," "," "," "," ",99,100," "
2011,04,00050000,Agawam,"LEP/Formerly LEP",20,20," "," "," "," "," ",22,22," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00050000,Agawam,"Special Ed",64,55,7,2," "," "," ",64,57,7," "," "," "," "," "," "," "," "," "," "," ",97,100," "
2011,05,00050000,Agawam,"All Students",295,291,4," "," "," "," ",296,290,5," ",1," "," ",296,291,4," ",1," "," ",100,100,100
2011,05,00050000,Agawam,"Low Income",93,90,3," "," "," "," ",93,90,3," "," "," "," ",93,90,3," "," "," "," ",100,100,100
2011,05,00050000,Agawam,Hispanic/Latino,12,12," "," "," "," "," ",12,12," "," "," "," "," ",12,12," "," "," "," "," ",100,100,100
2011,05,00050000,Agawam,White,268,264,4," "," "," "," ",269,263,5," ",1," "," ",269,264,4," ",1," "," ",100,100,100
2011,05,00050000,Agawam,"LEP/Formerly LEP",15,15," "," "," "," "," ",15,15," "," "," "," "," ",15,15," "," "," "," "," ",100,100,100
2011,05,00050000,Agawam,"Special Ed",38,34,4," "," "," "," ",38,32,5," ",1," "," ",38,33,4," ",1," "," ",100,97,97
2011,06,00050000,Agawam,"All Students",348,336,10," ",1,1," ",348,331,16," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,06,00050000,Agawam,"Low Income",94,91,3," "," "," "," ",94,88,6," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00050000,Agawam,Hispanic/Latino,15,15," "," "," "," "," ",15,15," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00050000,Agawam,White,319,308,10," ",1," "," ",319,303,16," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00050000,Agawam,"LEP/Formerly LEP",21,18,2," "," ",1," ",21,18,2," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,06,00050000,Agawam,"Special Ed",54,44,10," "," "," "," ",54,38,16," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00050000,Agawam,"All Students",361,348,9,4," "," "," ",362,352,9,1," "," "," "," "," "," "," "," "," "," ",99,100," "
2011,07,00050000,Agawam,"Low Income",113,105,6,2," "," "," ",113,106,6,1," "," "," "," "," "," "," "," "," "," ",98,99," "
2011,07,00050000,Agawam,Hispanic/Latino,20,19," ",1," "," "," ",20,20," "," "," "," "," "," "," "," "," "," "," "," ",95,100," "
2011,07,00050000,Agawam,White,329,317,9,3," "," "," ",330,320,9,1," "," "," "," "," "," "," "," "," "," ",99,100," "
2011,07,00050000,Agawam,"LEP/Formerly LEP",16,16," "," "," "," "," ",16,16," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00050000,Agawam,"Special Ed",58,49,9," "," "," "," ",58,48,9,1," "," "," "," "," "," "," "," "," "," ",100,98," "
2011,08,00050000,Agawam,"All Students",351,344," ",5,2," "," ",351,343," ",7," ",1," ",351,343," ",7," ",1," ",98,98,98
2011,08,00050000,Agawam,"Low Income",95,93," "," ",2," "," ",95,93," ",1," ",1," ",95,93," ",1," ",1," ",98,99,99
2011,08,00050000,Agawam,Hispanic/Latino,10,10," "," "," "," "," ",10,10," "," "," "," "," ",10,10," "," "," "," "," ",100,100,100
2011,08,00050000,Agawam,White,317,310," ",5,2," "," ",317,310," ",7," "," "," ",317,310," ",7," "," "," ",98,98,98
2011,08,00050000,Agawam,"LEP/Formerly LEP",15,15," "," "," "," "," ",16,15," "," "," ",1," ",16,15," "," "," ",1," ",100,100,100
2011,08,00050000,Agawam,"Special Ed",50,45," ",4,1," "," ",50,45," ",5," "," "," ",50,45," ",5," "," "," ",90,90,90
2011,10,00050000,Agawam,"All Students",355,346,3,3,2,1," ",357,344,3,6,2,2," ",347,322,3,2," ",4,16,99,98,99
2011,10,00050000,Agawam,"Low Income",74,70," ",1,2,1," ",75,70," ",2,1,2," ",72,59," ",2," ",3,8,96,96,97
2011,10,00050000,Agawam,White,336,328,3,2,2,1," ",336,325,3,5,2,1," ",324,309,3," "," ",1,11,99,98,100
2011,10,00050000,Agawam,"Special Ed",49,43,3,3," "," "," ",49,43,3,3," "," "," ",41,34,3," "," "," ",4,94,94,100
2011,03,00070000,Amesbury,"All Students",195,192,2," ",1," "," ",196,193,2," ",1," "," "," "," "," "," "," "," "," ",99,99," "
