Year,Org_code,DistrictName,SchoolName,Subject,Group,sadv_num,sadv_per,spro_num,spro_per,sni_num,sni_per,swf_num,swf_per,stotal
2012,00000000,State,State,PHY,Female,1497,18,3754,44,2363,28,873,10,8487
2012,00000000,State,State,PHY,"High Needs",504,6,2648,33,3024,38,1754,22,7930
2012,00000000,State,State,PHY,"Native American",3,7,24,53,11,24,7,16,45
2012,00000000,State,State,PHY,"African American",108,5,711,33,840,39,509,23,2168
2012,00000000,State,State,PHY,Asian,437,41,421,39,165,15,52,5,1075
2012,00000000,State,State,PHY,Hispanic/Latino,145,6,694,27,996,39,749,29,2584
2012,00000000,State,State,PHY,White,2682,24,5394,49,2422,22,562,5,11060
2012,00000000,State,State,PHY,"Hawaiian/Pacific Islander",4,16,15,60,5,20,1,4,25
2012,00000000,State,State,PHY,"Multi-Race (non-Hispanic/Latino)",117,24,189,39,135,28,43,9,484
2012,00000000,State,State,PHY,"Former ELL",23,8,108,37,114,39,45,16,290
2012,00000000,State,State,PHY,"English Language Learner (ELL)",40,4,180,18,361,35,446,43,1027
2012,00000000,State,State,PHY,"ELL and Former ELL",63,5,288,22,475,36,491,37,1317
2012,00000000,State,State,PHY,"Students with Disabilities",109,4,683,25,1098,40,889,32,2779
2012,00000000,State,State,PHY,"Non-Title I",3261,25,6105,47,2885,22,767,6,13018
2012,00000000,State,State,PHY,"Title I",235,5,1343,30,1689,38,1156,26,4423
2012,00000000,State,State,TEC,"All Students",155,7,901,42,687,32,381,18,2124
2012,00000000,State,State,TEC,"Non-Low Income",132,11,628,52,326,27,123,10,1209
2012,00000000,State,State,TEC,"Low Income",23,3,273,30,361,39,258,28,915
2012,00000000,State,State,TEC,Male,109,8,612,44,426,31,240,17,1387
2012,00000000,State,State,TEC,Female,46,6,289,39,261,35,141,19,737
2012,00000000,State,State,TEC,"High Needs",28,2,391,30,509,39,372,29,1300
2012,00000000,State,State,TEC,"African American",5,3,60,33,75,41,44,24,184
2012,00000000,State,State,TEC,Asian,6,13,19,42,14,31,6,13,45
2012,00000000,State,State,TEC,Hispanic/Latino,6,1,96,23,143,35,169,41,414
2012,00000000,State,State,TEC,White,135,9,704,49,438,31,158,11,1435
2012,00000000,State,State,TEC,"Multi-Race (non-Hispanic/Latino)",3,7,21,51,14,34,3,7,41
2012,00000000,State,State,TEC,"Former ELL",1,4,10,36,12,43,5,18,28
2012,00000000,State,State,TEC,"English Language Learner (ELL)",0,0,19,8,61,27,146,65,226
2012,00000000,State,State,TEC,"ELL and Former ELL",1,0,29,11,73,29,151,59,254
2012,00000000,State,State,TEC,"Students with Disabilities",4,1,159,26,248,40,205,33,616
2012,00000000,State,State,TEC,"Non-Title I",128,8,712,47,457,30,227,15,1524
2012,00000000,State,State,TEC,"Title I",27,5,189,32,230,38,154,26,600
2012,00010000,Abington,District,BIO,"All Students",20,14,66,47,41,29,12,9,139
2012,00010000,Abington,District,BIO,"Non-Low Income",20,17,60,50,32,27,7,6,119
2012,00010000,Abington,District,BIO,"Low Income",0,0,6,30,9,45,5,25,20
2012,00010000,Abington,District,BIO,Male,10,16,26,41,19,30,8,13,63
2012,00010000,Abington,District,BIO,Female,10,13,40,53,22,29,4,5,76
2012,00010000,Abington,District,BIO,"High Needs",0,0,12,27,21,48,11,25,44
2012,00010000,Abington,District,BIO,White,19,15,62,48,38,29,11,8,130
2012,00010000,Abington,District,BIO,"Students with Disabilities",0,0,8,26,13,42,10,32,31
2012,00010000,Abington,District,BIO,"Non-Title I",20,14,66,47,41,29,12,9,139
2012,00010505,Abington,"Abington High",BIO,"All Students",20,15,63,48,39,30,10,8,132
2012,00010505,Abington,"Abington High",BIO,"Non-Low Income",20,18,57,50,30,27,6,5,113
2012,00010505,Abington,"Abington High",BIO,"Low Income",0,0,6,32,9,47,4,21,19
2012,00010505,Abington,"Abington High",BIO,Male,10,17,25,42,18,31,6,10,59
2012,00010505,Abington,"Abington High",BIO,Female,10,14,38,52,21,29,4,5,73
2012,00010505,Abington,"Abington High",BIO,"High Needs",0,0,11,27,21,51,9,22,41
2012,00010505,Abington,"Abington High",BIO,White,19,15,60,48,36,29,9,7,124
2012,00010505,Abington,"Abington High",BIO,"Students with Disabilities",0,0,7,25,13,46,8,29,28
2012,00010505,Abington,"Abington High",BIO,"Non-Title I",20,15,63,48,39,30,10,8,132
2012,00050000,Agawam,District,BIO,"All Students",25,53,11,23,8,17,3,6,47
2012,00050000,Agawam,District,BIO,"Non-Low Income",25,66,7,18,5,13,1,3,38
2012,00050000,Agawam,District,BIO,Male,12,55,3,14,5,23,2,9,22
2012,00050000,Agawam,District,BIO,Female,13,52,8,32,3,12,1,4,25
2012,00050000,Agawam,District,BIO,"High Needs",0,0,4,36,4,36,3,27,11
2012,00050000,Agawam,District,BIO,White,21,58,9,25,4,11,2,6,36
2012,00050000,Agawam,District,BIO,"Non-Title I",25,53,11,23,8,17,3,6,47
2012,00050000,Agawam,District,PHY,"All Students",34,12,155,57,70,26,14,5,273
2012,00050000,Agawam,District,PHY,"Non-Low Income",30,15,115,58,47,24,8,4,200
2012,00050000,Agawam,District,PHY,"Low Income",4,5,40,55,23,32,6,8,73
2012,00050000,Agawam,District,PHY,Male,25,17,83,57,30,21,8,5,146
2012,00050000,Agawam,District,PHY,Female,9,7,72,57,40,31,6,5,127
2012,00050000,Agawam,District,PHY,"High Needs",5,5,47,50,32,34,10,11,94
2012,00050000,Agawam,District,PHY,White,31,12,146,58,61,24,13,5,251
2012,00050000,Agawam,District,PHY,"Students with Disabilities",1,4,10,37,11,41,5,19,27
2012,00050000,Agawam,District,PHY,"Non-Title I",34,12,155,57,70,26,14,5,273
2012,00050000,Agawam,District,TEC,"All Students",0,0,4,21,10,53,5,26,19
2012,00050000,Agawam,District,TEC,"Low Income",0,0,1,10,6,60,3,30,10
2012,00050000,Agawam,District,TEC,Male,0,0,4,27,8,53,3,20,15
2012,00050000,Agawam,District,TEC,"High Needs",0,0,2,13,9,56,5,31,16
2012,00050000,Agawam,District,TEC,White,0,0,4,24,9,53,4,24,17
2012,00050000,Agawam,District,TEC,"Non-Title I",0,0,4,21,10,53,5,26,19
2012,00050505,Agawam,"Agawam High",BIO,"All Students",25,58,10,23,6,14,2,5,43
2012,00050505,Agawam,"Agawam High",BIO,"Non-Low Income",25,74,6,18,3,9,0,0,34
2012,00050505,Agawam,"Agawam High",BIO,Male,12,55,3,14,5,23,2,9,22
2012,00050505,Agawam,"Agawam High",BIO,Female,13,62,7,33,1,5,0,0,21
2012,00050505,Agawam,"Agawam High",BIO,"High Needs",0,0,4,40,4,40,2,20,10
2012,00050505,Agawam,"Agawam High",BIO,White,21,64,8,24,2,6,2,6,33
2012,00050505,Agawam,"Agawam High",BIO,"Non-Title I",25,58,10,23,6,14,2,5,43
2012,00050505,Agawam,"Agawam High",PHY,"All Students",33,13,151,57,67,25,12,5,263
2012,00050505,Agawam,"Agawam High",PHY,"Non-Low Income",29,15,114,59,45,23,6,3,194
2012,00050505,Agawam,"Agawam High",PHY,"Low Income",4,6,37,54,22,32,6,9,69
2012,00050505,Agawam,"Agawam High",PHY,Male,25,18,82,58,28,20,7,5,142
2012,00050505,Agawam,"Agawam High",PHY,Female,8,7,69,57,39,32,5,4,121
2012,00050505,Agawam,"Agawam High",PHY,"High Needs",5,6,44,50,30,34,9,10,88
2012,00050505,Agawam,"Agawam High",PHY,White,30,12,142,59,59,24,11,5,242
2012,00050505,Agawam,"Agawam High",PHY,"Students with Disabilities",1,4,10,42,9,38,4,17,24
2012,00050505,Agawam,"Agawam High",PHY,"Non-Title I",33,13,151,57,67,25,12,5,263
2012,00050505,Agawam,"Agawam High",TEC,"All Students",0,0,4,22,10,56,4,22,18
2012,00050505,Agawam,"Agawam High",TEC,"Low Income",0,0,1,10,6,60,3,30,10
2012,00050505,Agawam,"Agawam High",TEC,Male,0,0,4,27,8,53,3,20,15
2012,00050505,Agawam,"Agawam High",TEC,"High Needs",0,0,2,13,9,60,4,27,15
2012,00050505,Agawam,"Agawam High",TEC,White,0,0,4,25,9,56,3,19,16
2012,00050505,Agawam,"Agawam High",TEC,"Non-Title I",0,0,4,22,10,56,4,22,18
2012,00070000,Amesbury,District,BIO,"All Students",40,25,61,38,42,26,16,10,159
2012,00070000,Amesbury,District,BIO,"Non-Low Income",35,30,49,42,26,22,8,7,118
2012,00070000,Amesbury,District,BIO,"Low Income",5,12,12,29,16,39,8,20,41
2012,00070000,Amesbury,District,BIO,Male,18,21,31,37,22,26,13,15,84
2012,00070000,Amesbury,District,BIO,Female,22,29,30,40,20,27,3,4,75
2012,00070000,Amesbury,District,BIO,"High Needs",8,13,14,23,24,39,16,26,62
2012,00070000,Amesbury,District,BIO,White,39,26,57,38,40,26,16,11,152
2012,00070000,Amesbury,District,BIO,"Students with Disabilities",3,8,4,11,13,36,16,44,36
2012,00070000,Amesbury,District,BIO,"Non-Title I",40,25,61,38,42,26,16,10,159
2012,00070505,Amesbury,"Amesbury High",BIO,"All Students",38,26,58,40,39,27,11,8,146
2012,00070505,Amesbury,"Amesbury High",BIO,"Non-Low Income",34,30,48,42,24,21,7,6,113
2012,00070505,Amesbury,"Amesbury High",BIO,"Low Income",4,12,10,30,15,45,4,12,33
2012,00070505,Amesbury,"Amesbury High",BIO,Male,16,21,31,40,21,27,9,12,77
2012,00070505,Amesbury,"Amesbury High",BIO,Female,22,32,27,39,18,26,2,3,69
2012,00070505,Amesbury,"Amesbury High",BIO,"High Needs",6,12,12,24,22,43,11,22,51
2012,00070505,Amesbury,"Amesbury High",BIO,White,37,26,55,39,38,27,11,8,141
2012,00070505,Amesbury,"Amesbury High",BIO,"Students with Disabilities",2,7,4,14,12,41,11,38,29
2012,00070505,Amesbury,"Amesbury High",BIO,"Non-Title I",38,26,58,40,39,27,11,8,146
2012,00090000,Andover,District,BIO,"All Students",5,17,9,31,10,34,5,17,29
2012,00090000,Andover,District,BIO,"Non-Low Income",4,17,6,26,8,35,5,22,23
2012,00090000,Andover,District,BIO,Male,4,20,7,35,5,25,4,20,20
2012,00090000,Andover,District,BIO,"High Needs",3,14,7,32,7,32,5,23,22
2012,00090000,Andover,District,BIO,White,3,15,6,30,7,35,4,20,20
2012,00090000,Andover,District,BIO,"Students with Disabilities",3,14,7,33,6,29,5,24,21
2012,00090000,Andover,District,BIO,"Non-Title I",5,17,9,31,10,34,5,17,29
2012,00090000,Andover,District,PHY,"All Students",196,45,183,42,55,13,2,0,436
2012,00090000,Andover,District,PHY,"Non-Low Income",192,47,167,41,51,12,1,0,411
2012,00090000,Andover,District,PHY,"Low Income",4,16,16,64,4,16,1,4,25
2012,00090000,Andover,District,PHY,Male,99,47,85,41,24,11,1,0,209
2012,00090000,Andover,District,PHY,Female,97,43,98,43,31,14,1,0,227
2012,00090000,Andover,District,PHY,"High Needs",10,14,40,57,19,27,1,1,70
2012,00090000,Andover,District,PHY,Asian,41,73,14,25,1,2,0,0,56
2012,00090000,Andover,District,PHY,Hispanic/Latino,3,15,9,45,6,30,2,10,20
2012,00090000,Andover,District,PHY,White,147,43,152,45,42,12,0,0,341
2012,00090000,Andover,District,PHY,"Multi-Race (non-Hispanic/Latino)",4,36,3,27,4,36,0,0,11
2012,00090000,Andover,District,PHY,"Students with Disabilities",6,13,22,49,17,38,0,0,45
2012,00090000,Andover,District,PHY,"Non-Title I",196,45,183,42,55,13,2,0,436
2012,00090505,Andover,"Andover High",BIO,"All Students",4,29,5,36,4,29,1,7,14
2012,00090505,Andover,"Andover High",BIO,"Non-Title I",4,29,5,36,4,29,1,7,14
2012,00090505,Andover,"Andover High",PHY,"All Students",196,46,179,42,52,12,2,0,429
2012,00090505,Andover,"Andover High",PHY,"Non-Low Income",192,47,164,40,48,12,1,0,405
2012,00090505,Andover,"Andover High",PHY,"Low Income",4,17,15,63,4,17,1,4,24
2012,00090505,Andover,"Andover High",PHY,Male,99,48,83,40,23,11,1,0,206
2012,00090505,Andover,"Andover High",PHY,Female,97,43,96,43,29,13,1,0,223
2012,00090505,Andover,"Andover High",PHY,"High Needs",10,15,38,57,18,27,1,1,67
2012,00090505,Andover,"Andover High",PHY,Asian,41,73,14,25,1,2,0,0,56
2012,00090505,Andover,"Andover High",PHY,Hispanic/Latino,3,16,8,42,6,32,2,11,19
2012,00090505,Andover,"Andover High",PHY,White,147,44,149,44,40,12,0,0,336
2012,00090505,Andover,"Andover High",PHY,"Multi-Race (non-Hispanic/Latino)",4,36,3,27,4,36,0,0,11
2012,00090505,Andover,"Andover High",PHY,"Students with Disabilities",6,14,21,48,17,39,0,0,44
2012,00090505,Andover,"Andover High",PHY,"Non-Title I",196,46,179,42,52,12,2,0,429
2012,00100000,Arlington,District,BIO,"All Students",2,8,8,31,10,38,6,23,26
2012,00100000,Arlington,District,BIO,"Non-Low Income",2,11,7,37,8,42,2,11,19
2012,00100000,Arlington,District,BIO,Male,2,13,4,25,7,44,3,19,16
2012,00100000,Arlington,District,BIO,Female,0,0,4,40,3,30,3,30,10
2012,00100000,Arlington,District,BIO,"High Needs",1,6,1,6,9,53,6,35,17
2012,00100000,Arlington,District,BIO,White,2,11,5,28,7,39,4,22,18
2012,00100000,Arlington,District,BIO,"Non-Title I",2,8,8,32,9,36,6,24,25
2012,00100000,Arlington,District,PHY,"All Students",107,39,132,48,31,11,3,1,273
2012,00100000,Arlington,District,PHY,"Non-Low Income",104,43,115,48,21,9,1,0,241
2012,00100000,Arlington,District,PHY,"Low Income",3,9,17,53,10,31,2,6,32
2012,00100000,Arlington,District,PHY,Male,65,47,60,43,12,9,1,1,138
2012,00100000,Arlington,District,PHY,Female,42,31,72,53,19,14,2,1,135
2012,00100000,Arlington,District,PHY,"High Needs",6,10,31,53,19,32,3,5,59
2012,00100000,Arlington,District,PHY,Asian,5,20,17,68,2,8,1,4,25
2012,00100000,Arlington,District,PHY,Hispanic/Latino,3,27,5,45,3,27,0,0,11
2012,00100000,Arlington,District,PHY,White,96,43,102,46,22,10,2,1,222
2012,00100000,Arlington,District,PHY,"Students with Disabilities",3,9,15,44,13,38,3,9,34
2012,00100000,Arlington,District,PHY,"Non-Title I",107,39,132,48,31,11,3,1,273
2012,00100505,Arlington,"Arlington High",BIO,"All Students",1,7,5,36,6,43,2,14,14
2012,00100505,Arlington,"Arlington High",BIO,"Non-Low Income",1,9,4,36,6,55,0,0,11
2012,00100505,Arlington,"Arlington High",BIO,"Non-Title I",1,7,5,36,6,43,2,14,14
2012,00100505,Arlington,"Arlington High",PHY,"All Students",107,40,129,48,28,10,3,1,267
2012,00100505,Arlington,"Arlington High",PHY,"Non-Low Income",104,44,113,48,19,8,1,0,237
2012,00100505,Arlington,"Arlington High",PHY,"Low Income",3,10,16,53,9,30,2,7,30
2012,00100505,Arlington,"Arlington High",PHY,Male,65,49,58,43,10,7,1,1,134
2012,00100505,Arlington,"Arlington High",PHY,Female,42,32,71,53,18,14,2,2,133
2012,00100505,Arlington,"Arlington High",PHY,"High Needs",6,11,29,52,18,32,3,5,56
2012,00100505,Arlington,"Arlington High",PHY,Asian,5,21,17,71,1,4,1,4,24
2012,00100505,Arlington,"Arlington High",PHY,Hispanic/Latino,3,27,5,45,3,27,0,0,11
2012,00100505,Arlington,"Arlington High",PHY,White,96,44,99,45,21,10,2,1,218
2012,00100505,Arlington,"Arlington High",PHY,"Students with Disabilities",3,9,13,41,13,41,3,9,32
2012,00100505,Arlington,"Arlington High",PHY,"Non-Title I",107,40,129,48,28,10,3,1,267
2012,00140000,Ashland,District,BIO,"All Students",58,33,96,55,20,11,0,0,174
2012,00140000,Ashland,District,BIO,"Non-Low Income",55,35,82,53,18,12,0,0,155
2012,00140000,Ashland,District,BIO,"Low Income",3,16,14,74,2,11,0,0,19
2012,00140000,Ashland,District,BIO,Male,30,34,45,51,14,16,0,0,89
2012,00140000,Ashland,District,BIO,Female,28,33,51,60,6,7,0,0,85
2012,00140000,Ashland,District,BIO,"High Needs",7,15,30,65,9,20,0,0,46
2012,00140000,Ashland,District,BIO,"African American",3,27,7,64,1,9,0,0,11
2012,00140000,Ashland,District,BIO,Hispanic/Latino,2,13,10,67,3,20,0,0,15
2012,00140000,Ashland,District,BIO,White,46,33,77,55,16,12,0,0,139
2012,00140000,Ashland,District,BIO,"Students with Disabilities",4,15,17,65,5,19,0,0,26
2012,00140000,Ashland,District,BIO,"Non-Title I",58,33,96,55,20,11,0,0,174
2012,00140505,Ashland,"Ashland High",BIO,"All Students",58,34,94,55,19,11,0,0,171
2012,00140505,Ashland,"Ashland High",BIO,"Non-Low Income",55,36,80,53,17,11,0,0,152
2012,00140505,Ashland,"Ashland High",BIO,"Low Income",3,16,14,74,2,11,0,0,19
2012,00140505,Ashland,"Ashland High",BIO,Male,30,34,44,51,13,15,0,0,87
2012,00140505,Ashland,"Ashland High",BIO,Female,28,33,50,60,6,7,0,0,84
2012,00140505,Ashland,"Ashland High",BIO,"High Needs",7,16,29,66,8,18,0,0,44
2012,00140505,Ashland,"Ashland High",BIO,"African American",3,27,7,64,1,9,0,0,11
2012,00140505,Ashland,"Ashland High",BIO,Hispanic/Latino,2,14,9,64,3,21,0,0,14
2012,00140505,Ashland,"Ashland High",BIO,White,46,34,76,55,15,11,0,0,137
2012,00140505,Ashland,"Ashland High",BIO,"Students with Disabilities",4,17,16,67,4,17,0,0,24
2012,00140505,Ashland,"Ashland High",BIO,"Non-Title I",58,34,94,55,19,11,0,0,171
2012,00160000,Attleboro,District,BIO,"All Students",1,6,8,44,6,33,3,17,18
2012,00160000,Attleboro,District,BIO,"Low Income",1,8,3,25,6,50,2,17,12
2012,00160000,Attleboro,District,BIO,Male,1,9,5,45,4,36,1,9,11
2012,00160000,Attleboro,District,BIO,"High Needs",1,8,3,23,6,46,3,23,13
2012,00160000,Attleboro,District,BIO,White,1,8,7,54,3,23,2,15,13
2012,00160000,Attleboro,District,BIO,"Non-Title I",1,6,7,41,6,35,3,18,17
2012,00160000,Attleboro,District,PHY,"All Students",42,10,233,54,116,27,44,10,435
2012,00160000,Attleboro,District,PHY,"Non-Low Income",34,12,164,59,64,23,14,5,276
2012,00160000,Attleboro,District,PHY,"Low Income",8,5,69,43,52,33,30,19,159
2012,00160000,Attleboro,District,PHY,Male,29,14,113,53,55,26,17,8,214
2012,00160000,Attleboro,District,PHY,Female,13,6,120,54,61,28,27,12,221
2012,00160000,Attleboro,District,PHY,"High Needs",10,5,74,39,69,36,37,19,190
2012,00160000,Attleboro,District,PHY,"African American",4,21,8,42,4,21,3,16,19
2012,00160000,Attleboro,District,PHY,Asian,2,10,12,57,7,33,0,0,21
2012,00160000,Attleboro,District,PHY,Hispanic/Latino,0,0,22,38,18,31,18,31,58
2012,00160000,Attleboro,District,PHY,White,36,11,183,56,84,26,22,7,325
2012,00160000,Attleboro,District,PHY,"Multi-Race (non-Hispanic/Latino)",0,0,7,64,3,27,1,9,11
2012,00160000,Attleboro,District,PHY,"Former ELL",0,0,8,44,9,50,1,6,18
2012,00160000,Attleboro,District,PHY,"English Language Learner (ELL)",1,5,3,16,7,37,8,42,19
2012,00160000,Attleboro,District,PHY,"ELL and Former ELL",1,3,11,30,16,43,9,24,37
2012,00160000,Attleboro,District,PHY,"Students with Disabilities",2,3,12,20,23,38,24,39,61
2012,00160000,Attleboro,District,PHY,"Non-Title I",42,10,233,54,116,27,43,10,434
2012,00160505,Attleboro,"Attleboro High",PHY,"All Students",42,10,230,54,115,27,38,9,425
2012,00160505,Attleboro,"Attleboro High",PHY,"Non-Low Income",34,12,163,59,64,23,13,5,274
2012,00160505,Attleboro,"Attleboro High",PHY,"Low Income",8,5,67,44,51,34,25,17,151
2012,00160505,Attleboro,"Attleboro High",PHY,Male,29,14,111,53,55,26,13,6,208
2012,00160505,Attleboro,"Attleboro High",PHY,Female,13,6,119,55,60,28,25,12,217
2012,00160505,Attleboro,"Attleboro High",PHY,"High Needs",10,6,72,40,68,38,31,17,181
2012,00160505,Attleboro,"Attleboro High",PHY,"African American",4,24,7,41,4,24,2,12,17
2012,00160505,Attleboro,"Attleboro High",PHY,Asian,2,10,12,57,7,33,0,0,21
2012,00160505,Attleboro,"Attleboro High",PHY,Hispanic/Latino,0,0,22,42,17,32,14,26,53
2012,00160505,Attleboro,"Attleboro High",PHY,White,36,11,182,56,84,26,21,7,323
2012,00160505,Attleboro,"Attleboro High",PHY,"Multi-Race (non-Hispanic/Latino)",0,0,7,64,3,27,1,9,11
2012,00160505,Attleboro,"Attleboro High",PHY,"Former ELL",0,0,8,44,9,50,1,6,18
2012,00160505,Attleboro,"Attleboro High",PHY,"English Language Learner (ELL)",1,6,3,18,7,41,6,35,17
2012,00160505,Attleboro,"Attleboro High",PHY,"ELL and Former ELL",1,3,11,31,16,46,7,20,35
2012,00160505,Attleboro,"Attleboro High",PHY,"Students with Disabilities",2,3,11,19,23,40,22,38,58
2012,00160505,Attleboro,"Attleboro High",PHY,"Non-Title I",42,10,230,54,115,27,38,9,425
2012,00170000,Auburn,District,BIO,"All Students",50,29,86,51,27,16,7,4,170
2012,00170000,Auburn,District,BIO,"Non-Low Income",45,32,74,53,17,12,4,3,140
2012,00170000,Auburn,District,BIO,"Low Income",5,17,12,40,10,33,3,10,30
2012,00170000,Auburn,District,BIO,Male,14,19,45,60,14,19,2,3,75
2012,00170000,Auburn,District,BIO,Female,36,38,41,43,13,14,5,5,95
2012,00170000,Auburn,District,BIO,"High Needs",6,12,18,37,18,37,7,14,49
2012,00170000,Auburn,District,BIO,Hispanic/Latino,1,10,6,60,2,20,1,10,10
2012,00170000,Auburn,District,BIO,White,47,31,77,51,22,14,6,4,152
2012,00170000,Auburn,District,BIO,"Students with Disabilities",1,4,7,28,10,40,7,28,25
2012,00170000,Auburn,District,BIO,"Non-Title I",50,30,85,50,27,16,7,4,169
2012,00170505,Auburn,"Auburn Senior High",BIO,"All Students",49,30,81,50,25,16,6,4,161
2012,00170505,Auburn,"Auburn Senior High",BIO,"Non-Low Income",44,33,71,53,16,12,3,2,134
2012,00170505,Auburn,"Auburn Senior High",BIO,"Low Income",5,19,10,37,9,33,3,11,27
2012,00170505,Auburn,"Auburn Senior High",BIO,Male,14,20,41,59,12,17,2,3,69
2012,00170505,Auburn,"Auburn Senior High",BIO,Female,35,38,40,43,13,14,4,4,92
2012,00170505,Auburn,"Auburn Senior High",BIO,"High Needs",5,12,15,36,16,38,6,14,42
2012,00170505,Auburn,"Auburn Senior High",BIO,White,46,32,73,50,21,14,5,3,145
2012,00170505,Auburn,"Auburn Senior High",BIO,"Students with Disabilities",0,0,6,29,9,43,6,29,21
2012,00170505,Auburn,"Auburn Senior High",BIO,"Non-Title I",49,30,81,50,25,16,6,4,161
2012,00180000,Avon,District,BIO,"All Students",14,29,21,44,9,19,4,8,48
2012,00180000,Avon,District,BIO,"Non-Low Income",12,36,14,42,6,18,1,3,33
2012,00180000,Avon,District,BIO,"Low Income",2,13,7,47,3,20,3,20,15
2012,00180000,Avon,District,BIO,Male,5,21,10,42,7,29,2,8,24
2012,00180000,Avon,District,BIO,Female,9,38,11,46,2,8,2,8,24
2012,00180000,Avon,District,BIO,"High Needs",3,14,8,36,7,32,4,18,22
2012,00180000,Avon,District,BIO,"African American",1,8,6,50,3,25,2,17,12
2012,00180000,Avon,District,BIO,White,11,35,14,45,4,13,2,6,31
2012,00180000,Avon,District,BIO,"Students with Disabilities",1,8,2,15,6,46,4,31,13
2012,00180000,Avon,District,BIO,"Non-Title I",14,29,21,44,9,19,4,8,48
2012,00180510,Avon,"Avon Middle High School",BIO,"All Students",13,28,20,43,9,20,4,9,46
2012,00180510,Avon,"Avon Middle High School",BIO,"Non-Low Income",11,34,14,44,6,19,1,3,32
2012,00180510,Avon,"Avon Middle High School",BIO,"Low Income",2,14,6,43,3,21,3,21,14
2012,00180510,Avon,"Avon Middle High School",BIO,Male,5,22,9,39,7,30,2,9,23
2012,00180510,Avon,"Avon Middle High School",BIO,Female,8,35,11,48,2,9,2,9,23
2012,00180510,Avon,"Avon Middle High School",BIO,"High Needs",3,14,7,33,7,33,4,19,21
2012,00180510,Avon,"Avon Middle High School",BIO,"African American",1,9,5,45,3,27,2,18,11
2012,00180510,Avon,"Avon Middle High School",BIO,White,10,33,14,47,4,13,2,7,30
2012,00180510,Avon,"Avon Middle High School",BIO,"Students with Disabilities",1,8,2,15,6,46,4,31,13
