Year,Org_code,DistrictName,SchoolName,Grade,Group,sort,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_part_rate,m_part_rate,s_part_rate
2012,00010015,Abington,"Woodsdale Elementary School",05,White,09,142,139," ",1," "," ",2,142,140," "," "," "," ",2,142,140," "," "," "," ",2,99,100,100
2012,00010015,Abington,"Woodsdale Elementary School",06,"All Students",01,180,178,2," "," "," "," ",180,178,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00010015,Abington,"Woodsdale Elementary School",06,"Students with Disabilities",02,30,28,2," "," "," "," ",30,28,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00010015,Abington,"Woodsdale Elementary School",06,"Low Income",04,38,38," "," "," "," "," ",38,38," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00010015,Abington,"Woodsdale Elementary School",06,Hispanic/Latino,07,10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00010015,Abington,"Woodsdale Elementary School",06,White,09,168,166,2," "," "," "," ",168,166,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00010405,Abington,"Frolio Middle School",07,"All Students",01,168,161," ",2,1," ",4,168,163," "," "," "," ",5," "," "," "," "," "," "," ",98,100," "
2012,00010405,Abington,"Frolio Middle School",07,"Students with Disabilities",02,27,26," "," ",1," "," ",27,27," "," "," "," "," "," "," "," "," "," "," "," ",96,100," "
2012,00010405,Abington,"Frolio Middle School",07,"Low Income",04,37,34," "," "," "," ",3,37,34," "," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2012,00010405,Abington,"Frolio Middle School",07,Hispanic/Latino,07,10,9," ",1," "," "," ",10,9," "," "," "," ",1," "," "," "," "," "," "," ",90,100," "
2012,00010405,Abington,"Frolio Middle School",07,White,09,155,150," ",1,1," ",3,155,152," "," "," "," ",3," "," "," "," "," "," "," ",99,100," "
2012,00010405,Abington,"Frolio Middle School",08,"All Students",01,168,162," "," "," "," ",6,169,162," "," "," "," ",7,169,162," "," "," "," ",7,100,100,100
2012,00010405,Abington,"Frolio Middle School",08,"Students with Disabilities",02,23,22," "," "," "," ",1,23,22," "," "," "," ",1,23,22," "," "," "," ",1,100,100,100
2012,00010405,Abington,"Frolio Middle School",08,"Low Income",04,38,36," "," "," "," ",2,39,36," "," "," "," ",3,39,36," "," "," "," ",3,100,100,100
2012,00010405,Abington,"Frolio Middle School",08,White,09,151,147," "," "," "," ",4,151,147," "," "," "," ",4,151,147," "," "," "," ",4,100,100,100
2012,00010505,Abington,"Abington High",10,"All Students",01,102,96,3," ",2," ",1,104,96,3," ",2," ",3,105,87,2," "," "," ",16,98,98,100
2012,00010505,Abington,"Abington High",10,"Students with Disabilities",02,19,16,3," "," "," "," ",19,15,3," ",1," "," ",19,14,2," "," "," ",3,100,95,100
2012,00010505,Abington,"Abington High",10,"Low Income",04,18,17,1," "," "," "," ",18,17,1," "," "," "," ",19,18," "," "," "," ",1,100,100,100
2012,00010505,Abington,"Abington High",10,White,09,94,88,3," ",2," ",1,95,88,3," ",2," ",2,96,80,2," "," "," ",14,98,98,100
2012,00020010,Acton,Merriam,03,"All Students",01,69,68," "," "," "," ",1,69,67,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00020010,Acton,Merriam,03,"Students with Disabilities",02,11,11," "," "," "," "," ",11,10,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020010,Acton,Merriam,03,Asian,06,12,11," "," "," "," ",1,12,11," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00020010,Acton,Merriam,03,White,09,48,48," "," "," "," "," ",48,47,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020010,Acton,Merriam,04,"All Students",01,74,72,1," "," "," ",1,74,72,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00020010,Acton,Merriam,04,"Students with Disabilities",02,10,9,1," "," "," "," ",10,9,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020010,Acton,Merriam,04,Asian,06,21,21," "," "," "," "," ",21,21," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020010,Acton,Merriam,04,White,09,45,43,1," "," "," ",1,45,43,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00020010,Acton,Merriam,05,"All Students",01,77,73,2," "," "," ",2,77,74,1," "," "," ",2,77,74,1," "," "," ",2,100,100,100
2012,00020010,Acton,Merriam,05,"Students with Disabilities",02,14,12,2," "," "," "," ",14,13,1," "," "," "," ",14,13,1," "," "," "," ",100,100,100
2012,00020010,Acton,Merriam,05,Asian,06,19,18," "," "," "," ",1,19,18," "," "," "," ",1,19,18," "," "," "," ",1,100,100,100
2012,00020010,Acton,Merriam,05,White,09,52,50,2," "," "," "," ",52,51,1," "," "," "," ",52,51,1," "," "," "," ",100,100,100
2012,00020010,Acton,Merriam,06,"All Students",01,73,72," "," "," "," ",1,73,72," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00020010,Acton,Merriam,06,"Students with Disabilities",02,18,18," "," "," "," "," ",18,18," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020010,Acton,Merriam,06,Asian,06,17,17," "," "," "," "," ",17,17," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020010,Acton,Merriam,06,White,09,51,51," "," "," "," "," ",51,51," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020015,Acton,McCarthy-Towne,03,"All Students",01,71,68," "," "," ",2,1,73,70," "," "," ",2,1," "," "," "," "," "," "," ",100,100," "
2012,00020015,Acton,McCarthy-Towne,03,"Students with Disabilities",02,12,11," "," "," ",1," ",14,13," "," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2012,00020015,Acton,McCarthy-Towne,03,White,09,54,53," "," "," "," ",1,55,54," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00020015,Acton,McCarthy-Towne,04,"All Students",01,67,65," "," "," "," ",2,67,65," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00020015,Acton,McCarthy-Towne,04,"Students with Disabilities",02,13,13," "," "," "," "," ",13,13," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020015,Acton,McCarthy-Towne,04,White,09,54,53," "," "," "," ",1,54,53," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00020015,Acton,McCarthy-Towne,05,"All Students",01,77,73," "," "," "," ",4,77,73," "," "," "," ",4,77,73," "," "," "," ",4,100,100,100
2012,00020015,Acton,McCarthy-Towne,05,"Students with Disabilities",02,17,16," "," "," "," ",1,17,16," "," "," "," ",1,17,16," "," "," "," ",1,100,100,100
2012,00020015,Acton,McCarthy-Towne,05,White,09,62,60," "," "," "," ",2,62,60," "," "," "," ",2,62,60," "," "," "," ",2,100,100,100
2012,00020015,Acton,McCarthy-Towne,06,"All Students",01,76,75," "," "," "," ",1,76,75," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00020015,Acton,McCarthy-Towne,06,"Students with Disabilities",02,16,16," "," "," "," "," ",16,16," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020015,Acton,McCarthy-Towne,06,Asian,06,14,14," "," "," "," "," ",14,14," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020015,Acton,McCarthy-Towne,06,White,09,53,52," "," "," "," ",1,53,52," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00020020,Acton,Douglas,03,"All Students",01,72,71," "," "," "," ",1,72,71," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00020020,Acton,Douglas,03,"Students with Disabilities",02,10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020020,Acton,Douglas,03,Asian,06,16,16," "," "," "," "," ",16,16," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020020,Acton,Douglas,03,White,09,46,45," "," "," "," ",1,46,45," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00020020,Acton,Douglas,04,"All Students",01,71,69," "," "," "," ",2,71,69," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00020020,Acton,Douglas,04,Asian,06,15,13," "," "," "," ",2,15,13," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00020020,Acton,Douglas,04,White,09,50,50," "," "," "," "," ",50,50," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020020,Acton,Douglas,05,"All Students",01,77,75," "," "," "," ",2,77,75," "," "," "," ",2,77,75," "," "," "," ",2,100,100,100
2012,00020020,Acton,Douglas,05,Asian,06,20,19," "," "," "," ",1,20,19," "," "," "," ",1,20,19," "," "," "," ",1,100,100,100
2012,00020020,Acton,Douglas,05,White,09,48,47," "," "," "," ",1,48,47," "," "," "," ",1,48,47," "," "," "," ",1,100,100,100
2012,00020020,Acton,Douglas,06,"All Students",01,75,73," ",1," "," ",1,75,73," "," "," ",1,1," "," "," "," "," "," "," ",99,100," "
2012,00020020,Acton,Douglas,06,"Students with Disabilities",02,13,13," "," "," "," "," ",13,13," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020020,Acton,Douglas,06,Asian,06,21,20," ",1," "," "," ",21,20," "," "," ",1," "," "," "," "," "," "," "," ",95,100," "
2012,00020020,Acton,Douglas,06,White,09,48,48," "," "," "," "," ",48,48," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020025,Acton,Gates,03,"All Students",01,71,71," "," "," "," "," ",71,71," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020025,Acton,Gates,03,"Students with Disabilities",02,10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020025,Acton,Gates,03,Asian,06,28,28," "," "," "," "," ",28,28," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020025,Acton,Gates,03,White,09,40,40," "," "," "," "," ",40,40," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020025,Acton,Gates,04,"All Students",01,72,71," "," "," "," ",1,72,71," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00020025,Acton,Gates,04,Asian,06,24,23," "," "," "," ",1,24,23," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00020025,Acton,Gates,04,White,09,42,42," "," "," "," "," ",42,42," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020025,Acton,Gates,05,"All Students",01,77,76," "," "," "," ",1,77,76," "," "," "," ",1,77,76," "," "," "," ",1,100,100,100
2012,00020025,Acton,Gates,05,"Students with Disabilities",02,11,11," "," "," "," "," ",11,11," "," "," "," "," ",11,11," "," "," "," "," ",100,100,100
2012,00020025,Acton,Gates,05,Asian,06,35,35," "," "," "," "," ",35,35," "," "," "," "," ",35,35," "," "," "," "," ",100,100,100
2012,00020025,Acton,Gates,05,White,09,42,41," "," "," "," ",1,42,41," "," "," "," ",1,42,41," "," "," "," ",1,100,100,100
2012,00020025,Acton,Gates,06,"All Students",01,74,73," "," "," "," ",1,74,73," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00020025,Acton,Gates,06,Asian,06,10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020025,Acton,Gates,06,White,09,52,51," "," "," "," ",1,52,51," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00020025,Acton,Gates,06,"Multi-Race (non-Hispanic/Latino)",11,12,12," "," "," "," "," ",12,12," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020030,Acton,"Luther Conant",03,"All Students",01,71,69," "," "," "," ",2,71,68," ",1," "," ",2," "," "," "," "," "," "," ",100,99," "
2012,00020030,Acton,"Luther Conant",03,"Students with Disabilities",02,10,10," "," "," "," "," ",10,9," ",1," "," "," "," "," "," "," "," "," "," ",100,90," "
2012,00020030,Acton,"Luther Conant",03,Asian,06,39,38," "," "," "," ",1,39,37," ",1," "," ",1," "," "," "," "," "," "," ",100,97," "
2012,00020030,Acton,"Luther Conant",03,White,09,28,28," "," "," "," "," ",28,28," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020030,Acton,"Luther Conant",04,"All Students",01,70,70," "," "," "," "," ",70,70," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020030,Acton,"Luther Conant",04,"Students with Disabilities",02,11,11," "," "," "," "," ",11,11," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020030,Acton,"Luther Conant",04,Asian,06,34,34," "," "," "," "," ",34,34," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020030,Acton,"Luther Conant",04,White,09,31,31," "," "," "," "," ",31,31," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020030,Acton,"Luther Conant",05,"All Students",01,76,75," "," "," "," ",1,76,75," "," "," "," ",1,76,75," "," "," "," ",1,100,100,100
2012,00020030,Acton,"Luther Conant",05,"Students with Disabilities",02,11,11," "," "," "," "," ",11,11," "," "," "," "," ",11,11," "," "," "," "," ",100,100,100
2012,00020030,Acton,"Luther Conant",05,Asian,06,34,33," "," "," "," ",1,34,33," "," "," "," ",1,34,33," "," "," "," ",1,100,100,100
2012,00020030,Acton,"Luther Conant",05,White,09,38,38," "," "," "," "," ",38,38," "," "," "," "," ",38,38," "," "," "," "," ",100,100,100
2012,00020030,Acton,"Luther Conant",06,"All Students",01,74,72," "," "," "," ",2,75,72," "," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2012,00020030,Acton,"Luther Conant",06,"Students with Disabilities",02,17,17," "," "," "," "," ",17,17," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020030,Acton,"Luther Conant",06,Asian,06,29,29," "," "," "," "," ",30,29," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00020030,Acton,"Luther Conant",06,White,09,42,41," "," "," "," ",1,42,41," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00030025,Acushnet,"Acushnet Elementary School",03,"All Students",01,111,109,1," "," "," ",1,111,109,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00030025,Acushnet,"Acushnet Elementary School",03,"Students with Disabilities",02,16,15,1," "," "," "," ",16,15,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00030025,Acushnet,"Acushnet Elementary School",03,"Low Income",04,25,23,1," "," "," ",1,25,23,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00030025,Acushnet,"Acushnet Elementary School",03,White,09,111,109,1," "," "," ",1,111,109,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00030025,Acushnet,"Acushnet Elementary School",04,"All Students",01,109,107,1," "," "," ",1,109,108," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00030025,Acushnet,"Acushnet Elementary School",04,"Students with Disabilities",02,25,23,1," "," "," ",1,25,24," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00030025,Acushnet,"Acushnet Elementary School",04,"Low Income",04,26,25,1," "," "," "," ",26,26," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00030025,Acushnet,"Acushnet Elementary School",04,White,09,109,107,1," "," "," ",1,109,108," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00030305,Acushnet,"Albert F Ford Middle School",05,"All Students",01,114,112," "," "," "," ",2,115,112," "," "," "," ",3,115,112," "," "," "," ",3,100,100,100
2012,00030305,Acushnet,"Albert F Ford Middle School",05,"Students with Disabilities",02,21,21," "," "," "," "," ",21,21," "," "," "," "," ",21,21," "," "," "," "," ",100,100,100
2012,00030305,Acushnet,"Albert F Ford Middle School",05,"Low Income",04,38,36," "," "," "," ",2,39,36," "," "," "," ",3,39,36," "," "," "," ",3,100,100,100
2012,00030305,Acushnet,"Albert F Ford Middle School",05,White,09,113,111," "," "," "," ",2,114,111," "," "," "," ",3,114,111," "," "," "," ",3,100,100,100
2012,00030305,Acushnet,"Albert F Ford Middle School",06,"All Students",01,109,107," "," "," "," ",2,109,107," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00030305,Acushnet,"Albert F Ford Middle School",06,"Students with Disabilities",02,17,16," "," "," "," ",1,17,16," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00030305,Acushnet,"Albert F Ford Middle School",06,"Low Income",04,28,26," "," "," "," ",2,28,26," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00030305,Acushnet,"Albert F Ford Middle School",06,White,09,109,107," "," "," "," ",2,109,107," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00030305,Acushnet,"Albert F Ford Middle School",07,"All Students",01,127,126," "," "," "," ",1,126,124," "," ",1," ",1," "," "," "," "," "," "," ",100,99," "
2012,00030305,Acushnet,"Albert F Ford Middle School",07,"Students with Disabilities",02,16,16," "," "," "," "," ",16,15," "," ",1," "," "," "," "," "," "," "," "," ",100,94," "
2012,00030305,Acushnet,"Albert F Ford Middle School",07,"Low Income",04,40,39," "," "," "," ",1,39,38," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00030305,Acushnet,"Albert F Ford Middle School",07,White,09,125,124," "," "," "," ",1,124,122," "," ",1," ",1," "," "," "," "," "," "," ",100,99," "
2012,00030305,Acushnet,"Albert F Ford Middle School",08,"All Students",01,134,131," "," ",1," ",2,134,130," "," ",2," ",2,134,130," "," ",2," ",2,99,99,99
2012,00030305,Acushnet,"Albert F Ford Middle School",08,"Students with Disabilities",02,20,18," "," ",1," ",1,20,18," "," ",1," ",1,20,18," "," ",1," ",1,95,95,95
2012,00030305,Acushnet,"Albert F Ford Middle School",08,"Low Income",04,25,23," "," "," "," ",2,25,23," "," "," "," ",2,25,23," "," "," "," ",2,100,100,100
2012,00030305,Acushnet,"Albert F Ford Middle School",08,White,09,131,128," "," ",1," ",2,131,127," "," ",2," ",2,131,127," "," ",2," ",2,99,98,98
2012,00050010,Agawam,"Clifford M Granger",03,"All Students",01,69,68,1," "," "," "," ",69,68,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00050010,Agawam,"Clifford M Granger",03,"Students with Disabilities",02,16,15,1," "," "," "," ",16,15,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00050010,Agawam,"Clifford M Granger",03,"Low Income",04,19,19," "," "," "," "," ",19,19," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00050010,Agawam,"Clifford M Granger",03,White,09,62,61,1," "," "," "," ",62,61,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00050010,Agawam,"Clifford M Granger",04,"All Students",01,69,64," "," "," "," ",5,68,62," ",1," "," ",5," "," "," "," "," "," "," ",100,99," "
2012,00050010,Agawam,"Clifford M Granger",04,"Students with Disabilities",02,14,13," "," "," "," ",1,13,12," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00050010,Agawam,"Clifford M Granger",04,"Low Income",04,20,16," "," "," "," ",4,19,15," "," "," "," ",4," "," "," "," "," "," "," ",100,100," "
2012,00050010,Agawam,"Clifford M Granger",04,White,09,65,60," "," "," "," ",5,64,58," ",1," "," ",5," "," "," "," "," "," "," ",100,98," "
2012,00050020,Agawam,"Benjamin J Phelps",03,"All Students",01,77,72," "," "," "," ",5,77,72," "," "," "," ",5," "," "," "," "," "," "," ",100,100," "
2012,00050020,Agawam,"Benjamin J Phelps",03,"Low Income",04,12,11," "," "," "," ",1,12,11," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00050020,Agawam,"Benjamin J Phelps",03,White,09,72,67," "," "," "," ",5,72,67," "," "," "," ",5," "," "," "," "," "," "," ",100,100," "
2012,00050020,Agawam,"Benjamin J Phelps",04,"All Students",01,80,77," "," "," "," ",3,79,77," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00050020,Agawam,"Benjamin J Phelps",04,"Students with Disabilities",02,10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00050020,Agawam,"Benjamin J Phelps",04,"Low Income",04,20,20," "," "," "," "," ",20,20," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00050020,Agawam,"Benjamin J Phelps",04,White,09,77,75," "," "," "," ",2,77,75," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00050025,Agawam,"Robinson Park",03,"All Students",01,80,73,2,1,1," ",3,80,74,2," "," ",1,3," "," "," "," "," "," "," ",98,100," "
2012,00050025,Agawam,"Robinson Park",03,"Students with Disabilities",02,17,14,2," "," "," ",1,17,14,2," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00050025,Agawam,"Robinson Park",03,"Low Income",04,26,23," ",1," "," ",2,26,23," "," "," ",1,2," "," "," "," "," "," "," ",96,100," "
2012,00050025,Agawam,"Robinson Park",03,White,09,73,68,2,1,1," ",1,73,69,2," "," ",1,1," "," "," "," "," "," "," ",97,100," "
2012,00050025,Agawam,"Robinson Park",04,"All Students",01,69,67,1," "," "," ",1,69,67,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00050025,Agawam,"Robinson Park",04,"Students with Disabilities",02,12,11,1," "," "," "," ",12,11,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00050025,Agawam,"Robinson Park",04,"Low Income",04,24,23," "," "," "," ",1,24,23," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00050025,Agawam,"Robinson Park",04,White,09,66,64,1," "," "," ",1,66,64,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00050030,Agawam,"James Clark School",03,"All Students",01,75,70,1," "," "," ",4,75,70,1," "," "," ",4," "," "," "," "," "," "," ",100,100," "
2012,00050030,Agawam,"James Clark School",03,"Students with Disabilities",02,17,14,1," "," "," ",2,17,14,1," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00050030,Agawam,"James Clark School",03,"Low Income",04,22,19," "," "," "," ",3,22,19," "," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2012,00050030,Agawam,"James Clark School",03,Hispanic/Latino,07,11,10," "," "," "," ",1,11,10," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00050030,Agawam,"James Clark School",03,White,09,61,57,1," "," "," ",3,61,57,1," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2012,00050030,Agawam,"James Clark School",04,"All Students",01,67,63,1," ",1," ",2,67,62,1," ",2," ",2," "," "," "," "," "," "," ",99,97," "
2012,00050030,Agawam,"James Clark School",04,"Students with Disabilities",02,13,11,1," "," "," ",1,13,11,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00050030,Agawam,"James Clark School",04,"Low Income",04,27,24," "," ",1," ",2,27,24," "," ",1," ",2," "," "," "," "," "," "," ",96,96," "
2012,00050030,Agawam,"James Clark School",04,White,09,64,61,1," ",1," ",1,64,60,1," ",2," ",1," "," "," "," "," "," "," ",98,97," "
2012,00050303,Agawam,"Roberta G. Doering School",05,"All Students",01,309,294,8," "," "," ",7,309,294,8," "," "," ",7,309,295,7," "," "," ",7,100,100,100
2012,00050303,Agawam,"Roberta G. Doering School",05,"Students with Disabilities",02,50,41,8," "," "," ",1,50,41,8," "," "," ",1,50,42,7," "," "," ",1,100,100,100
2012,00050303,Agawam,"Roberta G. Doering School",05,"ELL and Former ELL",03,17,16,1," "," "," "," ",17,16,1," "," "," "," ",17,16,1," "," "," "," ",100,100,100
2012,00050303,Agawam,"Roberta G. Doering School",05,"Low Income",04,90,83,4," "," "," ",3,90,83,4," "," "," ",3,90,83,4," "," "," ",3,100,100,100
2012,00050303,Agawam,"Roberta G. Doering School",05,Hispanic/Latino,07,18,16,1," "," "," ",1,18,16,1," "," "," ",1,18,16,1," "," "," ",1,100,100,100
2012,00050303,Agawam,"Roberta G. Doering School",05,White,09,282,269,7," "," "," ",6,282,269,7," "," "," ",6,282,270,6," "," "," ",6,100,100,100
2012,00050303,Agawam,"Roberta G. Doering School",06,"All Students",01,313,297,4,1," ",2,9,313,296,5," "," ",2,10," "," "," "," "," "," "," ",100,100," "
2012,00050303,Agawam,"Roberta G. Doering School",06,"Students with Disabilities",02,43,36,4," "," ",2,1,44,35,5," "," ",2,2," "," "," "," "," "," "," ",100,100," "
2012,00050303,Agawam,"Roberta G. Doering School",06,"ELL and Former ELL",03,12,9," ",1," "," ",2,12,10," "," "," "," ",2," "," "," "," "," "," "," ",92,100," "
2012,00050303,Agawam,"Roberta G. Doering School",06,"Low Income",04,107,95,3,1," ",2,6,107,95,3," "," ",2,7," "," "," "," "," "," "," ",99,100," "
2012,00050303,Agawam,"Roberta G. Doering School",06,Hispanic/Latino,07,17,13," "," "," ",2,2,17,13," "," "," ",2,2," "," "," "," "," "," "," ",100,100," "
2012,00050303,Agawam,"Roberta G. Doering School",06,White,09,276,268,4," "," "," ",4,276,266,5," "," "," ",5," "," "," "," "," "," "," ",100,100," "
2012,00050303,Agawam,"Roberta G. Doering School",06,"Multi-Race (non-Hispanic/Latino)",11,11,9," "," "," "," ",2,11,9," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00050405,Agawam,"Agawam Junior High",07,"All Students",01,347,329,3,1,3," ",11,347,330,4," ",2," ",11," "," "," "," "," "," "," ",99,99," "
