adminyear,org_code,DistrictName,SchoolName,subject,group,sadv_num,sadv_per,spro_num,spro_per,sni_num,sni_per,swf_num,swf_per,stotal
2013,00160505,Attleboro,"Attleboro High",PHY,"Students with Disabilities",0,0,10,19,30,57,13,25,53
2013,00160505,Attleboro,"Attleboro High",PHY,"Non-Title I",72,18,198,49,115,28,22,5,407
2013,00170505,Auburn,"Auburn Senior High",BIO,"All Students",41,26,96,62,16,10,3,2,156
2013,00170505,Auburn,"Auburn Senior High",BIO,"Non-Low Income",34,28,77,64,7,6,2,2,120
2013,00170505,Auburn,"Auburn Senior High",BIO,"Low Income",7,19,19,53,9,25,1,3,36
2013,00170505,Auburn,"Auburn Senior High",BIO,Male,18,27,42,63,5,7,2,3,67
2013,00170505,Auburn,"Auburn Senior High",BIO,Female,23,26,54,61,11,12,1,1,89
2013,00170505,Auburn,"Auburn Senior High",BIO,"High Needs",7,17,24,57,9,21,2,5,42
2013,00170505,Auburn,"Auburn Senior High",BIO,Hispanic/Latino,3,27,5,45,3,27,0,0,11
2013,00170505,Auburn,"Auburn Senior High",BIO,White,33,25,84,63,13,10,3,2,133
2013,00170505,Auburn,"Auburn Senior High",BIO,everELL,4,40,4,40,2,20,0,0,10
2013,00170505,Auburn,"Auburn Senior High",BIO,"Students with Disabilities",0,0,5,50,3,30,2,20,10
2013,00170505,Auburn,"Auburn Senior High",BIO,"Non-Title I",41,26,96,62,16,10,3,2,156
2013,00180510,Avon,"Avon Middle High School",BIO,"All Students",8,18,26,59,9,20,1,2,44
2013,00180510,Avon,"Avon Middle High School",BIO,"Non-Low Income",5,20,16,64,3,12,1,4,25
2013,00180510,Avon,"Avon Middle High School",BIO,"Low Income",3,16,10,53,6,32,0,0,19
2013,00180510,Avon,"Avon Middle High School",BIO,Male,4,22,7,39,6,33,1,6,18
2013,00180510,Avon,"Avon Middle High School",BIO,Female,4,15,19,73,3,12,0,0,26
2013,00180510,Avon,"Avon Middle High School",BIO,"High Needs",3,13,11,48,8,35,1,4,23
2013,00180510,Avon,"Avon Middle High School",BIO,"African American",4,22,8,44,5,28,1,6,18
2013,00180510,Avon,"Avon Middle High School",BIO,White,3,15,13,65,4,20,0,0,20
2013,00180510,Avon,"Avon Middle High School",BIO,"Non-Title I",8,18,26,59,9,20,1,2,44
2013,00200505,Barnstable,"Barnstable High",BIO,"All Students",59,23,121,48,46,18,27,11,253
2013,00200505,Barnstable,"Barnstable High",BIO,"Non-Low Income",52,32,81,50,23,14,6,4,162
2013,00200505,Barnstable,"Barnstable High",BIO,"Low Income",7,8,40,44,23,25,21,23,91
2013,00200505,Barnstable,"Barnstable High",BIO,Male,28,23,55,45,26,21,14,11,123
2013,00200505,Barnstable,"Barnstable High",BIO,Female,31,24,66,51,20,15,13,10,130
2013,00200505,Barnstable,"Barnstable High",BIO,"High Needs",7,7,43,42,27,26,25,25,102
2013,00200505,Barnstable,"Barnstable High",BIO,"African American",2,13,4,27,5,33,4,27,15
2013,00200505,Barnstable,"Barnstable High",BIO,Hispanic/Latino,1,6,5,31,4,25,6,38,16
2013,00200505,Barnstable,"Barnstable High",BIO,White,52,26,102,50,34,17,14,7,202
2013,00200505,Barnstable,"Barnstable High",BIO,"English Language Learner (ELL)",1,10,0,0,3,30,6,60,10
2013,00200505,Barnstable,"Barnstable High",BIO,"ELL and Former ELL",1,7,1,7,5,36,7,50,14
2013,00200505,Barnstable,"Barnstable High",BIO,everELL,3,9,12,36,9,27,9,27,33
2013,00200505,Barnstable,"Barnstable High",BIO,"Students with Disabilities",0,0,3,11,8,30,16,59,27
2013,00200505,Barnstable,"Barnstable High",BIO,"Non-Title I",59,23,121,48,46,18,27,11,253
2013,00200505,Barnstable,"Barnstable High",PHY,"All Students",36,38,53,55,7,7,0,0,96
2013,00200505,Barnstable,"Barnstable High",PHY,"Non-Low Income",30,36,47,57,6,7,0,0,83
2013,00200505,Barnstable,"Barnstable High",PHY,"Low Income",6,46,6,46,1,8,0,0,13
2013,00200505,Barnstable,"Barnstable High",PHY,Male,18,41,25,57,1,2,0,0,44
2013,00200505,Barnstable,"Barnstable High",PHY,Female,18,35,28,54,6,12,0,0,52
2013,00200505,Barnstable,"Barnstable High",PHY,"High Needs",6,43,6,43,2,14,0,0,14
2013,00200505,Barnstable,"Barnstable High",PHY,White,35,40,47,54,5,6,0,0,87
2013,00200505,Barnstable,"Barnstable High",PHY,"Non-Title I",36,38,53,55,7,7,0,0,96
2013,00230505,Bedford,"Bedford High",PHY,"All Students",74,35,109,51,25,12,4,2,212
2013,00230505,Bedford,"Bedford High",PHY,"Non-Low Income",71,40,90,50,15,8,3,2,179
2013,00230505,Bedford,"Bedford High",PHY,"Low Income",3,9,19,58,10,30,1,3,33
2013,00230505,Bedford,"Bedford High",PHY,Male,51,43,51,43,13,11,3,3,118
2013,00230505,Bedford,"Bedford High",PHY,Female,23,24,58,62,12,13,1,1,94
2013,00230505,Bedford,"Bedford High",PHY,"High Needs",6,11,29,52,17,30,4,7,56
2013,00230505,Bedford,"Bedford High",PHY,"African American",0,0,6,40,8,53,1,7,15
2013,00230505,Bedford,"Bedford High",PHY,Asian,8,57,6,43,0,0,0,0,14
2013,00230505,Bedford,"Bedford High",PHY,Hispanic/Latino,3,30,7,70,0,0,0,0,10
2013,00230505,Bedford,"Bedford High",PHY,White,60,36,87,53,15,9,3,2,165
2013,00230505,Bedford,"Bedford High",PHY,everELL,6,55,5,45,0,0,0,0,11
2013,00230505,Bedford,"Bedford High",PHY,"Students with Disabilities",3,11,12,43,9,32,4,14,28
2013,00230505,Bedford,"Bedford High",PHY,"Non-Title I",74,35,109,51,25,12,4,2,212
2013,00240505,Belchertown,"Belchertown High",BIO,"All Students",59,34,99,56,17,10,1,1,176
2013,00240505,Belchertown,"Belchertown High",BIO,"Non-Low Income",53,35,87,58,10,7,1,1,151
2013,00240505,Belchertown,"Belchertown High",BIO,"Low Income",6,24,12,48,7,28,0,0,25
2013,00240505,Belchertown,"Belchertown High",BIO,Male,23,27,52,60,11,13,0,0,86
2013,00240505,Belchertown,"Belchertown High",BIO,Female,36,40,47,52,6,7,1,1,90
2013,00240505,Belchertown,"Belchertown High",BIO,"High Needs",6,18,16,48,10,30,1,3,33
2013,00240505,Belchertown,"Belchertown High",BIO,White,55,33,92,56,17,10,1,1,165
2013,00240505,Belchertown,"Belchertown High",BIO,"Students with Disabilities",1,8,5,42,5,42,1,8,12
2013,00240505,Belchertown,"Belchertown High",BIO,"Non-Title I",59,34,99,56,17,10,1,1,176
2013,00250505,Bellingham,"Bellingham High School",BIO,"All Students",39,24,78,48,42,26,2,1,161
2013,00250505,Bellingham,"Bellingham High School",BIO,"Non-Low Income",33,26,67,54,24,19,1,1,125
2013,00250505,Bellingham,"Bellingham High School",BIO,"Low Income",6,17,11,31,18,50,1,3,36
2013,00250505,Bellingham,"Bellingham High School",BIO,Male,25,26,52,54,18,19,1,1,96
2013,00250505,Bellingham,"Bellingham High School",BIO,Female,14,22,26,40,24,37,1,2,65
2013,00250505,Bellingham,"Bellingham High School",BIO,"High Needs",6,12,16,32,26,52,2,4,50
2013,00250505,Bellingham,"Bellingham High School",BIO,White,37,25,70,48,39,27,1,1,147
2013,00250505,Bellingham,"Bellingham High School",BIO,"Students with Disabilities",1,5,6,30,11,55,2,10,20
2013,00250505,Bellingham,"Bellingham High School",BIO,"Non-Title I",39,24,78,48,42,26,2,1,161
2013,00260505,Belmont,"Belmont High",PHY,"All Students",195,65,81,27,23,8,3,1,302
2013,00260505,Belmont,"Belmont High",PHY,"Non-Low Income",187,69,71,26,13,5,1,0,272
2013,00260505,Belmont,"Belmont High",PHY,"Low Income",8,27,10,33,10,33,2,7,30
2013,00260505,Belmont,"Belmont High",PHY,Male,89,68,30,23,10,8,1,1,130
2013,00260505,Belmont,"Belmont High",PHY,Female,106,62,51,30,13,8,2,1,172
2013,00260505,Belmont,"Belmont High",PHY,"High Needs",12,24,21,43,13,27,3,6,49
2013,00260505,Belmont,"Belmont High",PHY,"African American",1,7,3,21,9,64,1,7,14
2013,00260505,Belmont,"Belmont High",PHY,Asian,39,85,5,11,1,2,1,2,46
2013,00260505,Belmont,"Belmont High",PHY,Hispanic/Latino,5,50,5,50,0,0,0,0,10
2013,00260505,Belmont,"Belmont High",PHY,White,138,64,66,30,12,6,1,0,217
2013,00260505,Belmont,"Belmont High",PHY,"Multi-Race (non-Hispanic/Latino)",12,80,2,13,1,7,0,0,15
2013,00260505,Belmont,"Belmont High",PHY,everELL,12,46,9,35,4,15,1,4,26
2013,00260505,Belmont,"Belmont High",PHY,"Students with Disabilities",3,15,9,45,6,30,2,10,20
2013,00260505,Belmont,"Belmont High",PHY,"Non-Title I",195,65,81,27,23,8,3,1,302
2013,00300505,Beverly,"Beverly High",BIO,"All Students",123,39,135,42,48,15,12,4,318
2013,00300505,Beverly,"Beverly High",BIO,"Non-Low Income",113,46,106,43,23,9,5,2,247
2013,00300505,Beverly,"Beverly High",BIO,"Low Income",10,14,29,41,25,35,7,10,71
2013,00300505,Beverly,"Beverly High",BIO,Male,49,36,57,41,24,17,8,6,138
2013,00300505,Beverly,"Beverly High",BIO,Female,74,41,78,43,24,13,4,2,180
2013,00300505,Beverly,"Beverly High",BIO,"High Needs",13,14,36,38,34,36,12,13,95
2013,00300505,Beverly,"Beverly High",BIO,Hispanic/Latino,4,31,2,15,3,23,4,31,13
2013,00300505,Beverly,"Beverly High",BIO,White,115,40,124,44,40,14,6,2,285
2013,00300505,Beverly,"Beverly High",BIO,everELL,0,0,5,38,6,46,2,15,13
2013,00300505,Beverly,"Beverly High",BIO,"Students with Disabilities",3,8,10,26,16,41,10,26,39
2013,00300505,Beverly,"Beverly High",BIO,"Non-Title I",123,39,135,42,48,15,12,4,318
2013,00310505,Billerica,"Billerica Memorial High School",BIO,"All Students",147,47,121,39,36,11,10,3,314
2013,00310505,Billerica,"Billerica Memorial High School",BIO,"Non-Low Income",139,51,101,37,25,9,5,2,270
2013,00310505,Billerica,"Billerica Memorial High School",BIO,"Low Income",8,18,20,45,11,25,5,11,44
2013,00310505,Billerica,"Billerica Memorial High School",BIO,Male,66,42,65,41,22,14,5,3,158
2013,00310505,Billerica,"Billerica Memorial High School",BIO,Female,81,52,56,36,14,9,5,3,156
2013,00310505,Billerica,"Billerica Memorial High School",BIO,"High Needs",10,15,30,44,23,34,5,7,68
2013,00310505,Billerica,"Billerica Memorial High School",BIO,Asian,8,57,5,36,1,7,0,0,14
2013,00310505,Billerica,"Billerica Memorial High School",BIO,White,133,46,112,39,35,12,8,3,288
2013,00310505,Billerica,"Billerica Memorial High School",BIO,everELL,7,41,8,47,1,6,1,6,17
2013,00310505,Billerica,"Billerica Memorial High School",BIO,"Students with Disabilities",1,3,13,37,18,51,3,9,35
2013,00310505,Billerica,"Billerica Memorial High School",BIO,"Non-Title I",147,47,121,39,36,11,10,3,314
2013,00350363,Boston,"William McKinley",BIO,"All Students",0,0,2,9,8,35,13,57,23
2013,00350363,Boston,"William McKinley",BIO,"Low Income",0,0,2,10,7,33,12,57,21
2013,00350363,Boston,"William McKinley",BIO,Male,0,0,1,6,5,31,10,63,16
2013,00350363,Boston,"William McKinley",BIO,"High Needs",0,0,2,9,8,35,13,57,23
2013,00350363,Boston,"William McKinley",BIO,"African American",0,0,0,0,5,33,10,67,15
2013,00350363,Boston,"William McKinley",BIO,"Students with Disabilities",0,0,2,9,8,36,12,55,22
2013,00350363,Boston,"William McKinley",BIO,"Title I",0,0,2,9,8,35,13,57,23
2013,00350426,Boston,"Harbor School",PHY,"All Students",1,3,4,14,18,62,6,21,29
2013,00350426,Boston,"Harbor School",PHY,"Low Income",1,4,3,13,16,67,4,17,24
2013,00350426,Boston,"Harbor School",PHY,Male,1,7,4,27,9,60,1,7,15
2013,00350426,Boston,"Harbor School",PHY,Female,0,0,0,0,9,64,5,36,14
2013,00350426,Boston,"Harbor School",PHY,"High Needs",1,4,3,11,17,63,6,22,27
2013,00350426,Boston,"Harbor School",PHY,"African American",1,6,1,6,12,71,3,18,17
2013,00350426,Boston,"Harbor School",PHY,"Students with Disabilities",1,8,1,8,7,58,3,25,12
2013,00350426,Boston,"Harbor School",PHY,"Title I",1,3,4,14,18,62,6,21,29
2013,00350505,Boston,"Brighton High",BIO,"All Students",1,1,23,31,29,39,21,28,74
2013,00350505,Boston,"Brighton High",BIO,"Non-Low Income",0,0,2,17,7,58,3,25,12
2013,00350505,Boston,"Brighton High",BIO,"Low Income",1,2,21,34,22,35,18,29,62
2013,00350505,Boston,"Brighton High",BIO,Male,0,0,13,33,16,40,11,28,40
2013,00350505,Boston,"Brighton High",BIO,Female,1,3,10,29,13,38,10,29,34
2013,00350505,Boston,"Brighton High",BIO,"High Needs",1,2,22,34,23,35,19,29,65
2013,00350505,Boston,"Brighton High",BIO,"African American",0,0,13,32,12,29,16,39,41
2013,00350505,Boston,"Brighton High",BIO,Hispanic/Latino,0,0,9,36,12,48,4,16,25
2013,00350505,Boston,"Brighton High",BIO,"English Language Learner (ELL)",0,0,2,14,6,43,6,43,14
2013,00350505,Boston,"Brighton High",BIO,"ELL and Former ELL",0,0,5,28,7,39,6,33,18
2013,00350505,Boston,"Brighton High",BIO,everELL,0,0,11,32,16,47,7,21,34
2013,00350505,Boston,"Brighton High",BIO,"Students with Disabilities",0,0,4,33,2,17,6,50,12
2013,00350505,Boston,"Brighton High",BIO,"Title I",1,1,23,31,29,39,21,28,74
2013,00350505,Boston,"Brighton High",PHY,"All Students",1,1,15,10,78,55,49,34,143
2013,00350505,Boston,"Brighton High",PHY,"Non-Low Income",0,0,3,15,12,60,5,25,20
2013,00350505,Boston,"Brighton High",PHY,"Low Income",1,1,12,10,66,54,44,36,123
2013,00350505,Boston,"Brighton High",PHY,Male,1,1,9,10,55,63,23,26,88
2013,00350505,Boston,"Brighton High",PHY,Female,0,0,6,11,23,42,26,47,55
2013,00350505,Boston,"Brighton High",PHY,"High Needs",1,1,13,10,72,54,47,35,133
2013,00350505,Boston,"Brighton High",PHY,"African American",0,0,10,15,40,61,16,24,66
2013,00350505,Boston,"Brighton High",PHY,Hispanic/Latino,1,2,4,6,32,49,28,43,65
2013,00350505,Boston,"Brighton High",PHY,"English Language Learner (ELL)",0,0,4,6,32,50,28,44,64
2013,00350505,Boston,"Brighton High",PHY,"ELL and Former ELL",0,0,4,6,36,52,29,42,69
2013,00350505,Boston,"Brighton High",PHY,everELL,0,0,6,7,46,55,32,38,84
2013,00350505,Boston,"Brighton High",PHY,"Students with Disabilities",1,3,2,7,14,48,12,41,29
2013,00350505,Boston,"Brighton High",PHY,"Title I",1,1,15,10,78,55,49,34,143
2013,00350507,Boston,"Boston International  High School",CHE,"All Students",0,0,7,13,26,47,22,40,55
2013,00350507,Boston,"Boston International  High School",CHE,"Non-Low Income",0,0,0,0,6,60,4,40,10
2013,00350507,Boston,"Boston International  High School",CHE,"Low Income",0,0,7,16,20,44,18,40,45
2013,00350507,Boston,"Boston International  High School",CHE,Male,0,0,5,19,12,44,10,37,27
2013,00350507,Boston,"Boston International  High School",CHE,Female,0,0,2,7,14,50,12,43,28
2013,00350507,Boston,"Boston International  High School",CHE,"High Needs",0,0,7,13,26,47,22,40,55
2013,00350507,Boston,"Boston International  High School",CHE,"African American",0,0,3,11,13,48,11,41,27
2013,00350507,Boston,"Boston International  High School",CHE,Hispanic/Latino,0,0,3,12,12,46,11,42,26
2013,00350507,Boston,"Boston International  High School",CHE,"Former ELL",0,0,4,40,5,50,1,10,10
2013,00350507,Boston,"Boston International  High School",CHE,"English Language Learner (ELL)",0,0,3,7,21,47,21,47,45
2013,00350507,Boston,"Boston International  High School",CHE,"ELL and Former ELL",0,0,7,13,26,47,22,40,55
2013,00350507,Boston,"Boston International  High School",CHE,everELL,0,0,7,13,26,47,22,40,55
2013,00350507,Boston,"Boston International  High School",CHE,"Title I",0,0,7,13,26,47,22,40,55
2013,00350507,Boston,"Boston International  High School",PHY,"All Students",0,0,5,6,35,44,39,49,79
2013,00350507,Boston,"Boston International  High School",PHY,"Non-Low Income",0,0,2,12,6,35,9,53,17
2013,00350507,Boston,"Boston International  High School",PHY,"Low Income",0,0,3,5,29,47,30,48,62
2013,00350507,Boston,"Boston International  High School",PHY,Male,0,0,2,5,20,53,16,42,38
2013,00350507,Boston,"Boston International  High School",PHY,Female,0,0,3,7,15,37,23,56,41
2013,00350507,Boston,"Boston International  High School",PHY,"High Needs",0,0,5,6,35,44,39,49,79
2013,00350507,Boston,"Boston International  High School",PHY,"African American",0,0,2,6,14,42,17,52,33
2013,00350507,Boston,"Boston International  High School",PHY,Hispanic/Latino,0,0,2,5,18,46,19,49,39
2013,00350507,Boston,"Boston International  High School",PHY,"English Language Learner (ELL)",0,0,4,5,34,44,39,51,77
2013,00350507,Boston,"Boston International  High School",PHY,"ELL and Former ELL",0,0,5,6,35,44,39,49,79
2013,00350507,Boston,"Boston International  High School",PHY,everELL,0,0,5,6,35,44,39,49,79
2013,00350507,Boston,"Boston International  High School",PHY,"Title I",0,0,5,6,35,44,39,49,79
2013,00350515,Boston,"Charlestown High",BIO,"All Students",1,2,7,12,21,36,29,50,58
2013,00350515,Boston,"Charlestown High",BIO,"Low Income",1,2,7,13,20,36,27,49,55
2013,00350515,Boston,"Charlestown High",BIO,Male,0,0,5,12,14,34,22,54,41
2013,00350515,Boston,"Charlestown High",BIO,Female,1,6,2,12,7,41,7,41,17
2013,00350515,Boston,"Charlestown High",BIO,"High Needs",1,2,7,13,20,36,28,50,56
2013,00350515,Boston,"Charlestown High",BIO,"African American",0,0,0,0,6,43,8,57,14
2013,00350515,Boston,"Charlestown High",BIO,Asian,1,5,7,35,7,35,5,25,20
2013,00350515,Boston,"Charlestown High",BIO,Hispanic/Latino,0,0,0,0,8,40,12,60,20
2013,00350515,Boston,"Charlestown High",BIO,"English Language Learner (ELL)",1,3,7,21,11,32,15,44,34
