Year,org_code,DistrictName,Grade,Group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2010,00020000,Acton,05,"All Students",395,391,3," "," ",1,396,391,4," "," ",1,396,393,2," "," ",1," ",100,100,100
2010,00020000,Acton,05,"Low Income",14,13," "," "," ",1,14,13," "," "," ",1,14,13," "," "," ",1," ",100,100,100
2010,00020000,Acton,05,Asian,99,97,1," "," ",1,99,97,1," "," ",1,99,97,1," "," ",1," ",100,100,100
2010,00020000,Acton,05,Hispanic/Latino,13,13," "," "," "," ",13,13," "," "," "," ",13,13," "," "," "," "," ",100,100,100
2010,00020000,Acton,05,White,274,272,2," "," "," ",275,272,3," "," "," ",275,274,1," "," "," "," ",100,100,100
2010,00020000,Acton,05,"Special Ed",67,64,3," "," "," ",67,63,4," "," "," ",67,65,2," "," "," "," ",100,100,100
2010,00020000,Acton,06,"All Students",408,405,3," "," "," ",407,404,3," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020000,Acton,06,"Low Income",15,15," "," "," "," ",15,15," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020000,Acton,06,Asian,94,93,1," "," "," ",93,92,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020000,Acton,06,Hispanic/Latino,10,10," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020000,Acton,06,White,293,291,2," "," "," ",293,291,2," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020000,Acton,06,"Special Ed",73,70,3," "," "," ",73,70,3," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00030000,Acushnet,03,"All Students",106,106," "," "," "," ",106,106," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00030000,Acushnet,03,"Low Income",27,27," "," "," "," ",27,27," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00030000,Acushnet,03,White,105,105," "," "," "," ",105,105," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00030000,Acushnet,03,"Special Ed",24,24," "," "," "," ",24,24," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00030000,Acushnet,04,"All Students",107,105,2," "," "," ",108,105,2," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00030000,Acushnet,04,"Low Income",24,23,1," "," "," ",25,23,1," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00030000,Acushnet,04,White,107,105,2," "," "," ",108,105,2," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00030000,Acushnet,04,"Special Ed",23,21,2," "," "," ",23,21,2," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00030000,Acushnet,05,"All Students",119,119," "," "," "," ",119,119," "," "," "," ",119,119," "," "," "," "," ",100,100,100
2010,00030000,Acushnet,05,"Low Income",26,26," "," "," "," ",26,26," "," "," "," ",26,26," "," "," "," "," ",100,100,100
2010,00030000,Acushnet,05,White,117,117," "," "," "," ",117,117," "," "," "," ",117,117," "," "," "," "," ",100,100,100
2010,00030000,Acushnet,05,"Special Ed",14,14," "," "," "," ",14,14," "," "," "," ",14,14," "," "," "," "," ",100,100,100
2010,00030000,Acushnet,06,"All Students",129,128,1," "," "," ",136,135,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00030000,Acushnet,06,"Low Income",19,19," "," "," "," ",22,22," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00030000,Acushnet,06,White,128,127,1," "," "," ",135,134,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00030000,Acushnet,06,"Special Ed",20,19,1," "," "," ",20,19,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00030000,Acushnet,07,"All Students",118,116,2," "," "," ",118,116,2," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00030000,Acushnet,07,"Low Income",25,25," "," "," "," ",25,25," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00030000,Acushnet,07,White,115,113,2," "," "," ",115,113,2," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00030000,Acushnet,07,"Special Ed",16,14,2," "," "," ",16,14,2," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00030000,Acushnet,08,"All Students",122,121,1," "," "," ",122,121,1," "," "," ",122,121,1," "," "," "," ",100,100,100
2010,00030000,Acushnet,08,"Low Income",24,24," "," "," "," ",24,24," "," "," "," ",24,24," "," "," "," "," ",100,100,100
2010,00030000,Acushnet,08,White,120,119,1," "," "," ",120,119,1," "," "," ",120,119,1," "," "," "," ",100,100,100
2010,00030000,Acushnet,08,"Special Ed",19,18,1," "," "," ",19,18,1," "," "," ",19,18,1," "," "," "," ",100,100,100
2010,00050000,Agawam,03,"All Students",314,304,6,4," "," ",314,304,6,4," "," "," "," "," "," "," "," "," ",99,99," "
2010,00050000,Agawam,03,"Low Income",87,82,2,3," "," ",87,82,2,3," "," "," "," "," "," "," "," "," ",97,97," "
2010,00050000,Agawam,03,Hispanic/Latino,15,14," ",1," "," ",15,14," ",1," "," "," "," "," "," "," "," "," ",93,93," "
2010,00050000,Agawam,03,White,288,279,6,3," "," ",288,279,6,3," "," "," "," "," "," "," "," "," ",99,99," "
2010,00050000,Agawam,03,"LEP/Formerly LEP",23,20," ",3," "," ",23,20," ",3," "," "," "," "," "," "," "," "," ",87,87," "
2010,00050000,Agawam,03,"Special Ed",61,54,6,1," "," ",61,54,6,1," "," "," "," "," "," "," "," "," ",98,98," "
2010,00050000,Agawam,04,"All Students",294,288,5," "," ",1,294,289,4," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050000,Agawam,04,"Low Income",93,90,2," "," ",1,93,90,2," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050000,Agawam,04,White,273,267,5," "," ",1,273,268,4," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050000,Agawam,04,"LEP/Formerly LEP",18,17," "," "," ",1,18,17," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050000,Agawam,04,"Special Ed",37,32,5," "," "," ",37,33,4," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00050000,Agawam,05,"All Students",344,332,11," "," ",1,343,330,12," "," ",1,343,331,10," ",1,1," ",100,100,100
2010,00050000,Agawam,05,"Low Income",85,81,3," "," ",1,84,79,4," "," ",1,84,81,2," "," ",1," ",100,100,100
2010,00050000,Agawam,05,Hispanic/Latino,13,12," "," "," ",1,13,12," "," "," ",1,13,12," "," "," ",1," ",100,100,100
2010,00050000,Agawam,05,White,317,306,11," "," "," ",316,304,12," "," "," ",316,305,10," ",1," "," ",100,100,100
2010,00050000,Agawam,05,"LEP/Formerly LEP",22,19,2," "," ",1,22,19,2," "," ",1,22,19,2," "," ",1," ",100,100,100
2010,00050000,Agawam,05,"Special Ed",54,43,11," "," "," ",53,41,12," "," "," ",53,43,10," "," "," "," ",100,100,100
2010,00050000,Agawam,06,"All Students",349,335,12," "," ",2,349,334,13," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00050000,Agawam,06,"Low Income",97,89,7," "," ",1,97,88,8," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050000,Agawam,06,Hispanic/Latino,20,19," "," "," ",1,20,19," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050000,Agawam,06,White,318,306,11," "," ",1,318,305,12," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050000,Agawam,06,"LEP/Formerly LEP",16,13,1," "," ",2,16,13,1," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00050000,Agawam,06,"Special Ed",60,47,12," "," ",1,60,46,13," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050000,Agawam,07,"All Students",357,357," "," "," "," ",356,355," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2010,00050000,Agawam,07,"Low Income",93,93," "," "," "," ",93,93," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00050000,Agawam,07,Hispanic/Latino,11,11," "," "," "," ",11,11," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00050000,Agawam,07,White,319,319," "," "," "," ",318,317," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2010,00050000,Agawam,07,"LEP/Formerly LEP",14,14," "," "," "," ",14,14," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00050000,Agawam,07,"Special Ed",44,44," "," "," "," ",44,43," "," ",1," "," "," "," "," "," "," "," ",100,98," "
2010,00050000,Agawam,08,"All Students",379,373,3,1,1,1,380,374,3,1,1,1,380,373,3,2,1,1," ",99,99,99
2010,00050000,Agawam,08,"Low Income",91,89," ",1," ",1,91,89," ",1," ",1,91,89," ",1," ",1," ",98,99,99
2010,00050000,Agawam,08,Hispanic/Latino,12,12," "," "," "," ",12,12," "," "," "," ",12,12," "," "," "," "," ",100,100,100
2010,00050000,Agawam,08,White,352,347,3,1," ",1,353,347,3,1,1,1,353,346,3,2,1,1," ",99,99,99
2010,00050000,Agawam,08,"LEP/Formerly LEP",12,11," "," "," ",1,12,11," "," "," ",1,12,11," "," "," ",1," ",92,100,100
2010,00050000,Agawam,08,"Special Ed",51,46,3,1,1," ",53,49,3,1," "," ",53,48,3,2," "," "," ",96,98,96
2010,00050000,Agawam,10,"All Students",354,338,2,10,2," ",353,341,2,8," "," ",352,325,1,1," "," ",25,97,98,100
2010,00050000,Agawam,10,"Low Income",73,65," ",6,1," ",73,69," ",3," "," ",72,62," "," "," "," ",10,90,96,100
2010,00050000,Agawam,10,White,337,324,2,7,2," ",336,325,2,7," "," ",336,314,1,1," "," ",20,97,98,100
2010,00050000,Agawam,10,"Special Ed",59,49,2,6,1," ",59,50,2,6," "," ",57,48,1,1," "," ",7,88,90,98
2010,00070000,Amesbury,03,"All Students",181,175,6," "," "," ",181,173,7," ",1," "," "," "," "," "," "," "," ",100,99," "
2010,00070000,Amesbury,03,"Low Income",46,44,2," "," "," ",46,43,3," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00070000,Amesbury,03,White,164,161,3," "," "," ",164,159,4," ",1," "," "," "," "," "," "," "," ",100,99," "
2010,00070000,Amesbury,03,"Special Ed",43,37,6," "," "," ",43,35,7," ",1," "," "," "," "," "," "," "," ",100,98," "
2010,00070000,Amesbury,04,"All Students",169,167,2," "," "," ",169,166,3," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00070000,Amesbury,04,"Low Income",44,44," "," "," "," ",44,44," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00070000,Amesbury,04,White,158,156,2," "," "," ",158,155,3," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00070000,Amesbury,04,"Special Ed",22,20,2," "," "," ",22,19,3," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00070000,Amesbury,05,"All Students",205,198,6," ",1," ",204,197,6," ",1," ",204,197,6," ",1," "," ",100,100,100
2010,00070000,Amesbury,05,"Low Income",52,50,2," "," "," ",52,50,2," "," "," ",52,50,2," "," "," "," ",100,100,100
2010,00070000,Amesbury,05,Hispanic/Latino,10,10," "," "," "," ",10,10," "," "," "," ",10,10," "," "," "," "," ",100,100,100
2010,00070000,Amesbury,05,White,190,183,6," ",1," ",189,182,6," ",1," ",189,182,6," ",1," "," ",99,99,99
2010,00070000,Amesbury,05,"Special Ed",31,24,6," ",1," ",31,24,6," ",1," ",31,24,6," ",1," "," ",97,97,97
2010,00070000,Amesbury,06,"All Students",200,196,4," "," "," ",200,197,3," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00070000,Amesbury,06,"Low Income",45,43,2," "," "," ",45,43,2," "," "," "," "," "," "," "," "," "," ",100,100," "
