adminyear,org_code,DistrictName,subject,group,sadv_num,sadv_per,spro_num,spro_per,sni_num,sni_per,swf_num,swf_per,stotal
2013,00000000,State,CHE,Hispanic/Latino,10,8,34,27,38,31,42,34,124
2013,00000000,State,CHE,White,261,33,310,40,138,18,74,9,783
2013,00000000,State,CHE,"Multi-Race (non-Hispanic/Latino)",10,33,12,40,4,13,4,13,30
2013,00000000,State,CHE,"Former ELL",3,16,5,26,8,42,3,16,19
2013,00000000,State,CHE,"English Language Learner (ELL)",0,0,8,11,28,37,40,53,76
2013,00000000,State,CHE,"ELL and Former ELL",3,3,13,14,36,38,43,45,95
2013,00000000,State,CHE,everELL,16,10,36,23,50,32,53,34,155
2013,00000000,State,CHE,"Students with Disabilities",8,6,19,15,24,19,78,60,129
2013,00000000,State,CHE,"Non-Title I",343,32,421,39,202,19,109,10,1075
2013,00000000,State,CHE,"Title I",2,2,15,12,50,39,61,48,128
2013,00000000,State,PHY,"All Students",4227,25,6449,38,4654,27,1651,10,16981
2013,00000000,State,PHY,"Non-Low Income",3713,35,4561,43,1948,18,387,4,10609
2013,00000000,State,PHY,"Low Income",511,8,1883,30,2699,42,1258,20,6351
2013,00000000,State,PHY,Male,2281,27,3257,38,2213,26,854,10,8605
2013,00000000,State,PHY,Female,1946,23,3190,38,2436,29,791,9,8363
2013,00000000,State,PHY,"High Needs",673,8,2438,31,3338,42,1517,19,7966
2013,00000000,State,PHY,"Native American",3,9,16,47,10,29,5,15,34
2013,00000000,State,PHY,"African American",145,7,629,31,856,43,379,19,2009
2013,00000000,State,PHY,Asian,486,47,328,32,164,16,60,6,1038
2013,00000000,State,PHY,Hispanic/Latino,186,6,727,25,1288,44,732,25,2933
2013,00000000,State,PHY,White,3287,31,4576,44,2218,21,437,4,10518
2013,00000000,State,PHY,"Hawaiian/Pacific Islander",3,20,8,53,3,20,1,7,15
2013,00000000,State,PHY,"Multi-Race (non-Hispanic/Latino)",114,28,160,39,108,26,31,8,413
2013,00000000,State,PHY,"Former ELL",41,10,147,34,199,47,40,9,427
2013,00000000,State,PHY,"English Language Learner (ELL)",31,3,119,12,453,44,427,41,1030
2013,00000000,State,PHY,"ELL and Former ELL",72,5,266,18,652,45,467,32,1457
2013,00000000,State,PHY,everELL,351,13,734,26,1079,39,617,22,2781
2013,00000000,State,PHY,"Students with Disabilities",142,5,668,25,1198,45,674,25,2682
2013,00000000,State,PHY,"Non-Title I",3892,31,5292,42,2765,22,594,5,12543
2013,00000000,State,PHY,"Title I",332,8,1152,26,1882,43,1051,24,4417
2013,00000000,State,TEC,"All Students",219,8,1076,41,822,32,487,19,2604
2013,00000000,State,TEC,"Non-Low Income",167,13,648,52,290,23,143,11,1248
2013,00000000,State,TEC,"Low Income",52,4,426,31,532,39,343,25,1353
2013,00000000,State,TEC,Male,183,11,740,45,492,30,241,15,1656
2013,00000000,State,TEC,Female,36,4,335,35,330,35,245,26,946
2013,00000000,State,TEC,"High Needs",66,4,551,32,673,39,453,26,1743
2013,00000000,State,TEC,"African American",4,1,89,29,126,42,84,28,303
2013,00000000,State,TEC,Asian,8,14,24,41,16,27,11,19,59
2013,00000000,State,TEC,Hispanic/Latino,15,3,137,24,222,39,194,34,568
2013,00000000,State,TEC,White,189,12,801,50,431,27,190,12,1611
2013,00000000,State,TEC,"Multi-Race (non-Hispanic/Latino)",2,4,18,38,20,43,7,15,47
2013,00000000,State,TEC,"Former ELL",3,3,29,30,46,47,19,20,97
2013,00000000,State,TEC,"English Language Learner (ELL)",1,1,11,8,43,29,91,62,146
2013,00000000,State,TEC,"ELL and Former ELL",4,2,40,16,89,37,110,45,243
2013,00000000,State,TEC,everELL,19,4,121,24,182,36,181,36,503
2013,00000000,State,TEC,"Students with Disabilities",18,2,187,25,284,38,250,34,739
2013,00000000,State,TEC,"Non-Title I",161,11,683,45,430,28,251,16,1525
2013,00000000,State,TEC,"Title I",58,5,391,36,392,36,235,22,1076
2013,00010000,Abington,BIO,"All Students",36,31,53,46,18,16,9,8,116
2013,00010000,Abington,BIO,"Non-Low Income",31,37,38,46,11,13,3,4,83
2013,00010000,Abington,BIO,"Low Income",5,16,14,45,7,23,5,16,31
2013,00010000,Abington,BIO,Male,21,34,27,44,9,15,5,8,62
2013,00010000,Abington,BIO,Female,15,28,26,48,9,17,4,7,54
2013,00010000,Abington,BIO,"High Needs",6,16,15,41,9,24,7,19,37
2013,00010000,Abington,BIO,White,36,35,46,44,14,13,8,8,104
2013,00010000,Abington,BIO,"Students with Disabilities",1,7,1,7,5,36,7,50,14
2013,00010000,Abington,BIO,"Non-Title I",36,32,52,46,18,16,8,7,114
2013,00050000,Agawam,BIO,"All Students",27,60,7,16,3,7,8,18,45
2013,00050000,Agawam,BIO,"Non-Low Income",20,69,6,21,1,3,2,7,29
2013,00050000,Agawam,BIO,"Low Income",7,44,1,6,2,13,6,38,16
2013,00050000,Agawam,BIO,Male,6,46,2,15,2,15,3,23,13
2013,00050000,Agawam,BIO,Female,21,66,5,16,1,3,5,16,32
2013,00050000,Agawam,BIO,"High Needs",7,35,2,10,3,15,8,40,20
2013,00050000,Agawam,BIO,White,26,67,4,10,2,5,7,18,39
2013,00050000,Agawam,BIO,everELL,5,50,3,30,1,10,1,10,10
2013,00050000,Agawam,BIO,"Students with Disabilities",0,0,0,0,2,20,8,80,10
2013,00050000,Agawam,BIO,"Non-Title I",27,60,7,16,3,7,8,18,45
2013,00050000,Agawam,PHY,"All Students",47,17,123,46,82,30,17,6,269
2013,00050000,Agawam,PHY,"Non-Low Income",39,20,93,47,52,27,12,6,196
2013,00050000,Agawam,PHY,"Low Income",8,11,30,41,30,41,5,7,73
2013,00050000,Agawam,PHY,Male,32,23,67,48,36,26,6,4,141
2013,00050000,Agawam,PHY,Female,15,12,56,44,46,36,11,9,128
2013,00050000,Agawam,PHY,"High Needs",9,10,34,36,42,45,9,10,94
2013,00050000,Agawam,PHY,Hispanic/Latino,2,15,2,15,8,62,1,8,13
2013,00050000,Agawam,PHY,White,44,18,114,47,71,29,16,7,245
2013,00050000,Agawam,PHY,everELL,2,14,5,36,6,43,1,7,14
2013,00050000,Agawam,PHY,"Students with Disabilities",1,3,8,21,23,61,6,16,38
2013,00050000,Agawam,PHY,"Non-Title I",47,17,123,46,82,30,17,6,269
2013,00050000,Agawam,TEC,"All Students",1,3,13,45,15,52,0,0,29
2013,00050000,Agawam,TEC,"Non-Low Income",0,0,7,47,8,53,0,0,15
2013,00050000,Agawam,TEC,"Low Income",1,7,6,43,7,50,0,0,14
2013,00050000,Agawam,TEC,Male,1,5,9,45,10,50,0,0,20
2013,00050000,Agawam,TEC,"High Needs",1,6,7,41,9,53,0,0,17
2013,00050000,Agawam,TEC,White,0,0,11,46,13,54,0,0,24
2013,00050000,Agawam,TEC,"Non-Title I",1,3,13,45,15,52,0,0,29
2013,00070000,Amesbury,BIO,"All Students",65,36,77,43,31,17,7,4,180
2013,00070000,Amesbury,BIO,"Non-Low Income",63,45,59,42,15,11,3,2,140
2013,00070000,Amesbury,BIO,"Low Income",2,5,18,45,16,40,4,10,40
2013,00070000,Amesbury,BIO,Male,33,35,43,46,16,17,2,2,94
2013,00070000,Amesbury,BIO,Female,32,37,34,40,15,17,5,6,86
2013,00070000,Amesbury,BIO,"High Needs",3,5,23,40,24,42,7,12,57
2013,00070000,Amesbury,BIO,White,62,39,67,42,25,16,6,4,160
2013,00070000,Amesbury,BIO,"Students with Disabilities",1,3,9,29,14,45,7,23,31
2013,00070000,Amesbury,BIO,"Non-Title I",65,36,77,43,31,17,7,4,180
2013,00090000,Andover,BIO,"All Students",1,9,5,45,2,18,3,27,11
2013,00090000,Andover,BIO,"Non-Low Income",1,10,5,50,2,20,2,20,10
2013,00090000,Andover,BIO,"Non-Title I",1,9,5,45,2,18,3,27,11
2013,00090000,Andover,PHY,"All Students",177,40,194,44,71,16,1,0,443
2013,00090000,Andover,PHY,"Non-Low Income",174,42,182,44,61,15,0,0,417
2013,00090000,Andover,PHY,"Low Income",3,12,11,44,10,40,1,4,25
2013,00090000,Andover,PHY,Male,99,46,88,41,27,13,0,0,214
2013,00090000,Andover,PHY,Female,78,34,105,46,44,19,1,0,228
2013,00090000,Andover,PHY,"High Needs",9,11,37,45,35,43,1,1,82
2013,00090000,Andover,PHY,Asian,41,65,17,27,5,8,0,0,63
2013,00090000,Andover,PHY,Hispanic/Latino,1,5,6,32,11,58,1,5,19
2013,00090000,Andover,PHY,White,129,38,160,47,50,15,0,0,339
2013,00090000,Andover,PHY,"Multi-Race (non-Hispanic/Latino)",5,38,6,46,2,15,0,0,13
2013,00090000,Andover,PHY,everELL,2,11,7,39,8,44,1,6,18
2013,00090000,Andover,PHY,"Students with Disabilities",5,8,28,44,30,47,1,2,64
2013,00090000,Andover,PHY,"Non-Title I",177,40,193,44,71,16,1,0,442
2013,00100000,Arlington,BIO,"All Students",1,5,10,48,8,38,2,10,21
2013,00100000,Arlington,BIO,"Non-Low Income",1,7,7,50,5,36,1,7,14
2013,00100000,Arlington,BIO,Male,1,8,8,67,2,17,1,8,12
2013,00100000,Arlington,BIO,"High Needs",0,0,7,44,7,44,2,13,16
2013,00100000,Arlington,BIO,White,1,7,8,57,4,29,1,7,14
2013,00100000,Arlington,BIO,"Students with Disabilities",0,0,5,45,4,36,2,18,11
2013,00100000,Arlington,BIO,"Non-Title I",1,5,10,48,8,38,2,10,21
2013,00100000,Arlington,PHY,"All Students",145,49,117,39,34,11,1,0,297
2013,00100000,Arlington,PHY,"Non-Low Income",137,52,104,39,25,9,0,0,266
2013,00100000,Arlington,PHY,"Low Income",8,26,13,42,9,29,1,3,31
2013,00100000,Arlington,PHY,Male,72,51,58,41,10,7,1,1,141
2013,00100000,Arlington,PHY,Female,73,47,59,38,24,15,0,0,156
2013,00100000,Arlington,PHY,"High Needs",14,21,29,44,22,33,1,2,66
2013,00100000,Arlington,PHY,"African American",2,17,7,58,3,25,0,0,12
2013,00100000,Arlington,PHY,Asian,23,68,9,26,2,6,0,0,34
2013,00100000,Arlington,PHY,Hispanic/Latino,2,17,9,75,1,8,0,0,12
2013,00100000,Arlington,PHY,White,117,50,91,39,27,11,1,0,236
2013,00100000,Arlington,PHY,"ELL and Former ELL",3,27,6,55,1,9,1,9,11
2013,00100000,Arlington,PHY,everELL,19,49,15,38,4,10,1,3,39
2013,00100000,Arlington,PHY,"Students with Disabilities",5,14,15,43,15,43,0,0,35
2013,00100000,Arlington,PHY,"Non-Title I",145,49,117,39,34,11,1,0,297
2013,00140000,Ashland,BIO,"All Students",88,48,75,41,19,10,3,2,185
2013,00140000,Ashland,BIO,"Non-Low Income",83,50,67,40,15,9,2,1,167
2013,00140000,Ashland,BIO,"Low Income",5,28,8,44,4,22,1,6,18
2013,00140000,Ashland,BIO,Male,45,47,40,42,9,9,2,2,96
2013,00140000,Ashland,BIO,Female,43,48,35,39,10,11,1,1,89
2013,00140000,Ashland,BIO,"High Needs",8,20,19,46,11,27,3,7,41
2013,00140000,Ashland,BIO,White,77,48,68,42,14,9,3,2,162
2013,00140000,Ashland,BIO,"Students with Disabilities",3,11,12,44,9,33,3,11,27
2013,00140000,Ashland,BIO,"Non-Title I",88,48,75,41,19,10,3,2,185
2013,00160000,Attleboro,BIO,"All Students",1,4,4,14,4,14,19,68,28
2013,00160000,Attleboro,BIO,"Non-Low Income",1,7,3,20,2,13,9,60,15
2013,00160000,Attleboro,BIO,"Low Income",0,0,1,8,2,15,10,77,13
2013,00160000,Attleboro,BIO,Male,1,5,3,15,2,10,14,70,20
2013,00160000,Attleboro,BIO,"High Needs",0,0,3,12,3,12,19,76,25
2013,00160000,Attleboro,BIO,White,1,5,3,15,2,10,14,70,20
2013,00160000,Attleboro,BIO,"Students with Disabilities",0,0,2,10,2,10,17,81,21
2013,00160000,Attleboro,BIO,"Non-Title I",1,4,4,14,4,14,19,68,28
2013,00160000,Attleboro,PHY,"All Students",72,17,199,48,118,29,25,6,414
2013,00160000,Attleboro,PHY,"Non-Low Income",61,23,140,53,57,21,8,3,266
2013,00160000,Attleboro,PHY,"Low Income",11,7,59,40,61,41,17,11,148
2013,00160000,Attleboro,PHY,Male,42,19,112,50,56,25,16,7,226
2013,00160000,Attleboro,PHY,Female,30,16,87,46,62,33,9,5,188
2013,00160000,Attleboro,PHY,"High Needs",11,6,66,38,76,43,22,13,175
2013,00160000,Attleboro,PHY,"African American",0,0,12,52,8,35,3,13,23
2013,00160000,Attleboro,PHY,Asian,7,35,5,25,8,40,0,0,20
2013,00160000,Attleboro,PHY,Hispanic/Latino,3,7,14,33,19,45,6,14,42
2013,00160000,Attleboro,PHY,White,60,20,153,51,76,25,13,4,302
2013,00160000,Attleboro,PHY,"Multi-Race (non-Hispanic/Latino)",2,9,13,59,6,27,1,5,22
2013,00160000,Attleboro,PHY,"English Language Learner (ELL)",0,0,1,8,9,75,2,17,12
2013,00160000,Attleboro,PHY,"ELL and Former ELL",1,6,2,11,13,72,2,11,18
2013,00160000,Attleboro,PHY,everELL,7,14,19,38,20,40,4,8,50
2013,00160000,Attleboro,PHY,"Students with Disabilities",0,0,10,17,33,57,15,26,58
2013,00160000,Attleboro,PHY,"Non-Title I",72,17,199,48,118,29,25,6,414
2013,00170000,Auburn,BIO,"All Students",42,25,98,59,21,13,4,2,165
2013,00170000,Auburn,BIO,"Non-Low Income",35,28,78,63,8,6,3,2,124
2013,00170000,Auburn,BIO,"Low Income",7,17,20,49,13,32,1,2,41
2013,00170000,Auburn,BIO,Male,18,25,44,60,9,12,2,3,73
2013,00170000,Auburn,BIO,Female,24,26,54,59,12,13,2,2,92
2013,00170000,Auburn,BIO,"High Needs",7,15,25,52,14,29,2,4,48
2013,00170000,Auburn,BIO,Hispanic/Latino,3,23,5,38,5,38,0,0,13
2013,00170000,Auburn,BIO,White,34,24,86,62,15,11,4,3,139
2013,00170000,Auburn,BIO,everELL,4,40,4,40,2,20,0,0,10
2013,00170000,Auburn,BIO,"Students with Disabilities",0,0,5,36,7,50,2,14,14
2013,00170000,Auburn,BIO,"Non-Title I",42,25,98,59,21,13,4,2,165
2013,00180000,Avon,BIO,"All Students",8,17,27,59,10,22,1,2,46
2013,00180000,Avon,BIO,"Non-Low Income",5,20,16,64,3,12,1,4,25
2013,00180000,Avon,BIO,"Low Income",3,14,11,52,7,33,0,0,21
2013,00180000,Avon,BIO,Male,4,20,8,40,7,35,1,5,20
2013,00180000,Avon,BIO,Female,4,15,19,73,3,12,0,0,26
2013,00180000,Avon,BIO,"High Needs",3,12,12,48,9,36,1,4,25
2013,00180000,Avon,BIO,"African American",4,20,9,45,6,30,1,5,20
2013,00180000,Avon,BIO,White,3,15,13,65,4,20,0,0,20
2013,00180000,Avon,BIO,"Non-Title I",8,17,27,59,10,22,1,2,46
2013,00200000,Barnstable,BIO,"All Students",60,22,125,47,52,19,31,12,268
2013,00200000,Barnstable,BIO,"Non-Low Income",53,31,84,49,23,14,10,6,170
2013,00200000,Barnstable,BIO,"Low Income",7,7,41,42,29,30,21,21,98
2013,00200000,Barnstable,BIO,Male,28,22,56,43,29,22,16,12,129
2013,00200000,Barnstable,BIO,Female,32,23,69,50,23,17,15,11,139
2013,00200000,Barnstable,BIO,"High Needs",8,7,45,39,33,29,28,25,114
2013,00200000,Barnstable,BIO,"African American",2,10,5,24,9,43,5,24,21
2013,00200000,Barnstable,BIO,Hispanic/Latino,1,6,5,31,4,25,6,38,16
2013,00200000,Barnstable,BIO,White,53,25,105,50,35,17,17,8,210
2013,00200000,Barnstable,BIO,"English Language Learner (ELL)",1,8,0,0,5,42,6,50,12
2013,00200000,Barnstable,BIO,"ELL and Former ELL",1,6,1,6,7,44,7,44,16
2013,00200000,Barnstable,BIO,everELL,3,9,12,34,11,31,9,26,35
2013,00200000,Barnstable,BIO,"Students with Disabilities",1,3,4,12,10,29,19,56,34
2013,00200000,Barnstable,BIO,"Non-Title I",60,22,125,47,52,19,31,12,268
2013,00200000,Barnstable,PHY,"All Students",36,37,53,55,8,8,0,0,97
2013,00200000,Barnstable,PHY,"Non-Low Income",30,36,47,56,7,8,0,0,84
2013,00200000,Barnstable,PHY,"Low Income",6,46,6,46,1,8,0,0,13
2013,00200000,Barnstable,PHY,Male,18,41,25,57,1,2,0,0,44
2013,00200000,Barnstable,PHY,Female,18,34,28,53,7,13,0,0,53
2013,00200000,Barnstable,PHY,"High Needs",6,43,6,43,2,14,0,0,14
2013,00200000,Barnstable,PHY,White,35,40,47,53,6,7,0,0,88
2013,00200000,Barnstable,PHY,"Non-Title I",36,37,53,55,8,8,0,0,97
2013,00230000,Bedford,BIO,"All Students",1,10,3,30,2,20,4,40,10
2013,00230000,Bedford,BIO,"Non-Title I",1,10,3,30,2,20,4,40,10
2013,00230000,Bedford,CHE,"All Students",2,17,4,33,5,42,1,8,12
2013,00230000,Bedford,CHE,"Non-Low Income",2,18,4,36,4,36,1,9,11
2013,00230000,Bedford,CHE,"Non-Title I",2,17,4,33,5,42,1,8,12
2013,00230000,Bedford,PHY,"All Students",74,35,111,52,25,12,4,2,214
2013,00230000,Bedford,PHY,"Non-Low Income",71,39,92,51,15,8,3,2,181
2013,00230000,Bedford,PHY,"Low Income",3,9,19,58,10,30,1,3,33
2013,00230000,Bedford,PHY,Male,51,43,53,44,13,11,3,3,120
2013,00230000,Bedford,PHY,Female,23,24,58,62,12,13,1,1,94
2013,00230000,Bedford,PHY,"High Needs",6,11,30,53,17,30,4,7,57
2013,00230000,Bedford,PHY,"African American",0,0,6,40,8,53,1,7,15
2013,00230000,Bedford,PHY,Asian,8,57,6,43,0,0,0,0,14
2013,00230000,Bedford,PHY,Hispanic/Latino,3,27,8,73,0,0,0,0,11
2013,00230000,Bedford,PHY,White,60,36,88,53,15,9,3,2,166
2013,00230000,Bedford,PHY,everELL,6,55,5,45,0,0,0,0,11
2013,00230000,Bedford,PHY,"Students with Disabilities",3,10,13,45,9,31,4,14,29
2013,00230000,Bedford,PHY,"Non-Title I",74,35,111,52,25,12,4,2,214
2013,00240000,Belchertown,BIO,"All Students",59,33,101,56,17,9,2,1,179
2013,00240000,Belchertown,BIO,"Non-Low Income",53,35,88,58,10,7,2,1,153
2013,00240000,Belchertown,BIO,"Low Income",6,23,13,50,7,27,0,0,26
2013,00240000,Belchertown,BIO,Male,23,26,53,61,11,13,0,0,87
2013,00240000,Belchertown,BIO,Female,36,39,48,52,6,7,2,2,92
2013,00240000,Belchertown,BIO,"High Needs",6,17,18,50,10,28,2,6,36
2013,00240000,Belchertown,BIO,White,55,33,94,56,17,10,2,1,168
2013,00240000,Belchertown,BIO,"Students with Disabilities",1,7,7,47,5,33,2,13,15
2013,00240000,Belchertown,BIO,"Non-Title I",59,33,101,56,17,9,2,1,179
2013,00250000,Bellingham,BIO,"All Students",39,23,81,47,46,27,5,3,171
2013,00250000,Bellingham,BIO,"Non-Low Income",33,26,69,54,24,19,2,2,128
2013,00250000,Bellingham,BIO,"Low Income",6,14,12,29,21,50,3,7,42
2013,00250000,Bellingham,BIO,Male,25,25,53,53,18,18,4,4,100
2013,00250000,Bellingham,BIO,Female,14,20,28,39,28,39,1,1,71
2013,00250000,Bellingham,BIO,"High Needs",6,10,18,31,29,50,5,9,58
2013,00250000,Bellingham,BIO,White,37,24,73,47,42,27,3,2,155
2013,00250000,Bellingham,BIO,"Students with Disabilities",1,4,7,28,12,48,5,20,25
2013,00250000,Bellingham,BIO,"Non-Title I",39,23,81,48,45,26,5,3,170
2013,00260000,Belmont,PHY,"All Students",201,65,83,27,23,7,3,1,310
2013,00260000,Belmont,PHY,"Non-Low Income",192,69,73,26,13,5,1,0,279
2013,00260000,Belmont,PHY,"Low Income",8,27,10,33,10,33,2,7,30
2013,00260000,Belmont,PHY,Male,93,68,32,24,10,7,1,1,136
2013,00260000,Belmont,PHY,Female,108,62,51,29,13,7,2,1,174
2013,00260000,Belmont,PHY,"High Needs",13,25,22,43,13,25,3,6,51
2013,00260000,Belmont,PHY,"African American",1,7,3,21,9,64,1,7,14
2013,00260000,Belmont,PHY,Asian,41,82,7,14,1,2,1,2,50
2013,00260000,Belmont,PHY,Hispanic/Latino,6,55,5,45,0,0,0,0,11
2013,00260000,Belmont,PHY,White,140,64,66,30,12,5,1,0,219
2013,00260000,Belmont,PHY,"Multi-Race (non-Hispanic/Latino)",12,80,2,13,1,7,0,0,15
2013,00260000,Belmont,PHY,"ELL and Former ELL",3,27,5,45,2,18,1,9,11
2013,00260000,Belmont,PHY,everELL,14,48,10,34,4,14,1,3,29
2013,00260000,Belmont,PHY,"Students with Disabilities",3,15,9,45,6,30,2,10,20
2013,00260000,Belmont,PHY,"Non-Title I",200,65,83,27,23,7,3,1,309
2013,00300000,Beverly,BIO,"All Students",125,38,139,42,50,15,19,6,333
2013,00300000,Beverly,BIO,"Non-Low Income",115,45,109,43,24,9,8,3,256
2013,00300000,Beverly,BIO,"Low Income",10,13,30,39,26,34,11,14,77
2013,00300000,Beverly,BIO,Male,50,35,57,40,24,17,11,8,142
2013,00300000,Beverly,BIO,Female,75,39,82,43,26,14,8,4,191
2013,00300000,Beverly,BIO,"High Needs",13,12,38,36,36,34,19,18,106
2013,00300000,Beverly,BIO,Hispanic/Latino,4,25,2,13,3,19,7,44,16
2013,00300000,Beverly,BIO,White,117,39,128,43,42,14,10,3,297
2013,00300000,Beverly,BIO,everELL,0,0,5,33,6,40,4,27,15
2013,00300000,Beverly,BIO,"Students with Disabilities",3,7,11,24,17,37,15,33,46
2013,00300000,Beverly,BIO,"Non-Title I",125,38,139,42,50,15,19,6,333
2013,00310000,Billerica,BIO,"All Students",148,45,128,39,42,13,13,4,331
2013,00310000,Billerica,BIO,"Non-Low Income",140,49,107,38,29,10,8,3,284
2013,00310000,Billerica,BIO,"Low Income",8,17,21,45,13,28,5,11,47
2013,00310000,Billerica,BIO,Male,66,39,70,42,24,14,8,5,168
2013,00310000,Billerica,BIO,Female,82,50,58,36,18,11,5,3,163
2013,00310000,Billerica,BIO,"High Needs",10,13,32,42,26,34,8,11,76
2013,00310000,Billerica,BIO,Asian,8,57,5,36,1,7,0,0,14
2013,00310000,Billerica,BIO,White,134,45,117,39,40,13,10,3,301
2013,00310000,Billerica,BIO,everELL,7,39,8,44,2,11,1,6,18
2013,00310000,Billerica,BIO,"Students with Disabilities",1,3,14,35,19,48,6,15,40
2013,00310000,Billerica,BIO,"Non-Title I",148,45,128,39,42,13,13,4,331
2013,00350000,Boston,BIO,"All Students",313,25,429,34,311,25,213,17,1266
2013,00350000,Boston,BIO,"Non-Low Income",213,44,158,32,70,14,47,10,488
2013,00350000,Boston,BIO,"Low Income",99,13,271,35,241,31,166,21,777
2013,00350000,Boston,BIO,Male,144,22,216,33,164,25,134,20,658
2013,00350000,Boston,BIO,Female,169,28,213,35,147,24,79,13,608
2013,00350000,Boston,BIO,"High Needs",104,12,281,33,269,31,205,24,859
2013,00350000,Boston,BIO,"African American",28,7,137,33,132,32,113,28,410
2013,00350000,Boston,BIO,Asian,125,49,74,29,42,17,13,5,254
2013,00350000,Boston,BIO,Hispanic/Latino,28,9,98,33,103,34,72,24,301
2013,00350000,Boston,BIO,White,121,45,112,41,26,10,12,4,271
2013,00350000,Boston,BIO,"Multi-Race (non-Hispanic/Latino)",8,32,7,28,7,28,3,12,25
2013,00350000,Boston,BIO,"Former ELL",10,14,29,40,29,40,5,7,73
2013,00350000,Boston,BIO,"English Language Learner (ELL)",1,1,13,8,67,41,84,51,165
2013,00350000,Boston,BIO,"ELL and Former ELL",11,5,42,18,96,40,89,37,238
2013,00350000,Boston,BIO,everELL,83,17,154,32,155,32,96,20,488
2013,00350000,Boston,BIO,"Students with Disabilities",3,2,17,9,63,34,102,55,185
2013,00350000,Boston,BIO,"Non-Title I",0,0,2,13,5,31,9,56,16
2013,00350000,Boston,BIO,"Title I",312,25,427,34,306,24,204,16,1249
2013,00350000,Boston,CHE,"All Students",1,1,9,11,31,36,44,52,85
2013,00350000,Boston,CHE,"Non-Low Income",0,0,2,9,9,41,11,50,22
2013,00350000,Boston,CHE,"Low Income",1,2,7,11,22,35,33,52,63
2013,00350000,Boston,CHE,Male,1,2,6,15,12,29,22,54,41
2013,00350000,Boston,CHE,Female,0,0,3,7,19,43,22,50,44
2013,00350000,Boston,CHE,"High Needs",1,1,8,10,28,36,40,52,77
2013,00350000,Boston,CHE,"African American",0,0,4,9,15,34,25,57,44
2013,00350000,Boston,CHE,Hispanic/Latino,1,3,3,9,14,40,17,49,35
2013,00350000,Boston,CHE,"Former ELL",0,0,4,40,5,50,1,10,10
2013,00350000,Boston,CHE,"English Language Learner (ELL)",0,0,4,8,22,42,27,51,53
2013,00350000,Boston,CHE,"ELL and Former ELL",0,0,8,13,27,43,28,44,63
2013,00350000,Boston,CHE,everELL,0,0,8,12,27,42,30,46,65
2013,00350000,Boston,CHE,"Title I",1,1,9,11,31,36,44,52,85
2013,00350000,Boston,PHY,"All Students",188,8,613,27,979,43,521,23,2301
2013,00350000,Boston,PHY,"Non-Low Income",60,13,157,34,153,33,88,19,458
2013,00350000,Boston,PHY,"Low Income",128,7,455,25,824,45,432,23,1839
2013,00350000,Boston,PHY,Male,107,9,295,25,493,43,264,23,1159
2013,00350000,Boston,PHY,Female,81,7,317,28,484,43,256,22,1138
2013,00350000,Boston,PHY,"High Needs",133,7,484,24,904,45,501,25,2022
