Year,org_code,DistrictName,SchoolName,Grade,Group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2010,00010015,Abington,Woodsdale,04,"Low Income",20,18,1," "," "," ",1,20,19," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00010015,Abington,Woodsdale,04,White,126,121,3," "," "," ",2,126,122,2," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00010015,Abington,Woodsdale,04,"Special Ed",18,14,3," "," "," ",1,18,15,2," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00010015,Abington,Woodsdale,05,"All Students",116,111,2,1,1," ",1,116,112,2," "," ",1,1,116,114," "," "," ",1,1,98,100,100
2010,00010015,Abington,Woodsdale,05,"Low Income",13,12,1," "," "," "," ",13,12,1," "," "," "," ",13,13," "," "," "," "," ",100,100,100
2010,00010015,Abington,Woodsdale,05,White,111,107,2," ",1," ",1,111,108,2," "," "," ",1,111,110," "," "," "," ",1,99,100,100
2010,00010015,Abington,Woodsdale,05,"Special Ed",16,13,2," ",1," "," ",16,14,2," "," "," "," ",16,16," "," "," "," "," ",94,100,100
2010,00010015,Abington,Woodsdale,06,"All Students",116,114,1," "," "," ",1,116,114,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00010015,Abington,Woodsdale,06,"Low Income",22,22," "," "," "," "," ",22,22," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00010015,Abington,Woodsdale,06,White,104,102,1," "," "," ",1,104,102,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00010015,Abington,Woodsdale,06,"Special Ed",14,13,1," "," "," "," ",14,13,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00010405,Abington,"Frolio Middle School",07,"All Students",211,203,2," "," ",1,5,209,201,3," "," ",1,4," "," "," "," "," "," "," ",100,100," "
2010,00010405,Abington,"Frolio Middle School",07,"Low Income",26,21,2," "," "," ",3,25,21,2," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00010405,Abington,"Frolio Middle School",07,Hispanic/Latino,10,8," "," "," ",1,1,10,8," "," "," ",1,1," "," "," "," "," "," "," ",100,100," "
2010,00010405,Abington,"Frolio Middle School",07,White,198,194,1," "," "," ",3,196,192,2," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00010405,Abington,"Frolio Middle School",07,"Special Ed",43,40,2," "," "," ",1,42,38,3," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00010405,Abington,"Frolio Middle School",08,"All Students",188,176,6," ",1," ",5,188,175,6,1,1," ",5,187,177,4,1,1," ",4,99,99,99
2010,00010405,Abington,"Frolio Middle School",08,"Low Income",17,17," "," "," "," "," ",17,16," "," ",1," "," ",17,16," "," ",1," "," ",100,94,94
2010,00010405,Abington,"Frolio Middle School",08,White,173,164,6," ",1," ",2,173,163,6,1,1," ",2,173,165,4,1,1," ",2,99,99,99
2010,00010405,Abington,"Frolio Middle School",08,"Special Ed",38,32,6," "," "," "," ",38,32,6," "," "," "," ",38,34,4," "," "," "," ",100,100,100
2010,00010505,Abington,"Abington High",10,"All Students",130,118,2,1,2," ",7,130,120,2," ",1," ",7,131,113,2,1," "," ",15,98,99,99
2010,00010505,Abington,"Abington High",10,"Low Income",15,13,1," "," "," ",1,15,13,1," "," "," ",1,15,12,1," "," "," ",2,100,100,100
2010,00010505,Abington,"Abington High",10,White,114,106,2,1,2," ",3,114,108,2," ",1," ",3,114,103,2,1," "," ",8,97,99,99
2010,00010505,Abington,"Abington High",10,"Special Ed",23,19,2," ",1," ",1,23,19,2," ",1," ",1,23,17,2,1," "," ",3,96,96,96
2010,00020010,Acton,Merriam,03,"All Students",73,72," "," "," "," ",1,73,72," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00020010,Acton,Merriam,03,Asian,16,15," "," "," "," ",1,16,15," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00020010,Acton,Merriam,03,White,52,52," "," "," "," "," ",52,52," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020010,Acton,Merriam,04,"All Students",73,72," "," "," ",1," ",73,71,1," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2010,00020010,Acton,Merriam,04,Asian,17,16," "," "," ",1," ",17,16," "," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2010,00020010,Acton,Merriam,04,White,53,53," "," "," "," "," ",53,52,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020010,Acton,Merriam,04,"Special Ed",15,15," "," "," "," "," ",15,14,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020010,Acton,Merriam,05,"All Students",96,93," "," "," ",1,2,97,92,1," "," ",1,3,97,93," "," "," ",1,3,100,100,100
2010,00020010,Acton,Merriam,05,Asian,26,25," "," "," ",1," ",26,25," "," "," ",1," ",26,25," "," "," ",1," ",100,100,100
2010,00020010,Acton,Merriam,05,White,66,64," "," "," "," ",2,67,63,1," "," "," ",3,67,64," "," "," "," ",3,100,100,100
2010,00020010,Acton,Merriam,05,"Special Ed",14,14," "," "," "," "," ",14,13,1," "," "," "," ",14,14," "," "," "," "," ",100,100,100
2010,00020010,Acton,Merriam,06,"All Students",100,99,1," "," "," "," ",100,99,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020010,Acton,Merriam,06,Asian,22,21,1," "," "," "," ",22,21,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020010,Acton,Merriam,06,White,70,70," "," "," "," "," ",70,70," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020010,Acton,Merriam,06,"Special Ed",18,17,1," "," "," "," ",18,17,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020015,Acton,McCarthy-Towne,03,"All Students",74,71," "," "," "," ",3,74,71," "," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2010,00020015,Acton,McCarthy-Towne,03,White,62,60," "," "," "," ",2,62,60," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00020015,Acton,McCarthy-Towne,03,"Special Ed",15,14," "," "," "," ",1,15,14," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00020015,Acton,McCarthy-Towne,04,"All Students",72,71," "," "," "," ",1,72,71," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00020015,Acton,McCarthy-Towne,04,Asian,13,12," "," "," "," ",1,13,12," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00020015,Acton,McCarthy-Towne,04,White,52,52," "," "," "," "," ",52,52," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020015,Acton,McCarthy-Towne,04,"Special Ed",12,12," "," "," "," "," ",12,12," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020015,Acton,McCarthy-Towne,05,"All Students",74,72,1," "," "," ",1,74,72,1," "," "," ",1,74,72,1," "," "," ",1,100,100,100
2010,00020015,Acton,McCarthy-Towne,05,White,65,63,1," "," "," ",1,65,63,1," "," "," ",1,65,63,1," "," "," ",1,100,100,100
2010,00020015,Acton,McCarthy-Towne,05,"Special Ed",17,15,1," "," "," ",1,17,15,1," "," "," ",1,17,15,1," "," "," ",1,100,100,100
2010,00020015,Acton,McCarthy-Towne,06,"All Students",78,78," "," "," "," "," ",78,78," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020015,Acton,McCarthy-Towne,06,White,63,63," "," "," "," "," ",63,63," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020015,Acton,McCarthy-Towne,06,"Special Ed",19,19," "," "," "," "," ",19,19," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020020,Acton,Douglas,03,"All Students",74,72," "," "," "," ",2,74,72," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00020020,Acton,Douglas,03,Asian,17,17," "," "," "," "," ",17,17," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020020,Acton,Douglas,03,White,47,46," "," "," "," ",1,47,46," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00020020,Acton,Douglas,04,"All Students",73,71," "," "," ",2," ",73,71," "," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2010,00020020,Acton,Douglas,04,Asian,17,17," "," "," "," "," ",17,17," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020020,Acton,Douglas,04,White,51,49," "," "," ",2," ",51,49," "," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2010,00020020,Acton,Douglas,04,"Special Ed",10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020020,Acton,Douglas,05,"All Students",72,72," "," "," "," "," ",72,72," "," "," "," "," ",72,72," "," "," "," "," ",100,100,100
2010,00020020,Acton,Douglas,05,Asian,15,15," "," "," "," "," ",15,15," "," "," "," "," ",15,15," "," "," "," "," ",100,100,100
2010,00020020,Acton,Douglas,05,White,49,49," "," "," "," "," ",49,49," "," "," "," "," ",49,49," "," "," "," "," ",100,100,100
2010,00020020,Acton,Douglas,06,"All Students",78,77," "," "," "," ",1,78,77," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00020020,Acton,Douglas,06,Asian,16,16," "," "," "," "," ",16,16," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020020,Acton,Douglas,06,White,57,56," "," "," "," ",1,57,56," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00020020,Acton,Douglas,06,"Special Ed",11,11," "," "," "," "," ",11,11," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020025,Acton,Gates,03,"All Students",72,72," "," "," "," "," ",72,72," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020025,Acton,Gates,03,Asian,32,32," "," "," "," "," ",32,32," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020025,Acton,Gates,03,White,40,40," "," "," "," "," ",40,40," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020025,Acton,Gates,04,"All Students",74,71," "," "," "," ",3,73,71," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00020025,Acton,Gates,04,Asian,10,9," "," "," "," ",1,10,9," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00020025,Acton,Gates,04,White,52,50," "," "," "," ",2,51,50," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00020025,Acton,Gates,04,Multi-race,12,12," "," "," "," "," ",12,12," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020025,Acton,Gates,05,"All Students",73,73," "," "," "," "," ",73,73," "," "," "," "," ",73,73," "," "," "," "," ",100,100,100
2010,00020025,Acton,Gates,05,Asian,20,20," "," "," "," "," ",20,20," "," "," "," "," ",20,20," "," "," "," "," ",100,100,100
2010,00020025,Acton,Gates,05,White,51,51," "," "," "," "," ",51,51," "," "," "," "," ",51,51," "," "," "," "," ",100,100,100
2010,00020025,Acton,Gates,05,"Special Ed",11,11," "," "," "," "," ",11,11," "," "," "," "," ",11,11," "," "," "," "," ",100,100,100
2010,00020025,Acton,Gates,06,"All Students",72,71,1," "," "," "," ",71,70,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020025,Acton,Gates,06,Asian,20,20," "," "," "," "," ",19,19," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020025,Acton,Gates,06,White,51,50,1," "," "," "," ",51,50,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020025,Acton,Gates,06,"Special Ed",12,11,1," "," "," "," ",12,11,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020030,Acton,"Luther Conant",03,"All Students",73,71," ",1," "," ",1,73,71," ",1," "," ",1," "," "," "," "," "," "," ",99,99," "
2010,00020030,Acton,"Luther Conant",03,Asian,29,28," "," "," "," ",1,29,28," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00020030,Acton,"Luther Conant",03,White,39,39," "," "," "," "," ",39,39," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020030,Acton,"Luther Conant",03,"Special Ed",10,9," ",1," "," "," ",10,9," ",1," "," "," "," "," "," "," "," "," "," ",90,90," "
2010,00020030,Acton,"Luther Conant",04,"All Students",73,69," ",1," "," ",3,73,70," "," "," "," ",3," "," "," "," "," "," "," ",99,100," "
2010,00020030,Acton,"Luther Conant",04,Asian,25,24," "," "," "," ",1,25,24," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00020030,Acton,"Luther Conant",04,White,45,43," "," "," "," ",2,45,43," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00020030,Acton,"Luther Conant",04,"Special Ed",19,16," ",1," "," ",2,19,17," "," "," "," ",2," "," "," "," "," "," "," ",95,100," "
2010,00020030,Acton,"Luther Conant",05,"All Students",76,74,1," "," "," ",1,76,74,1," "," "," ",1,76,74,1," "," "," ",1,100,100,100
2010,00020030,Acton,"Luther Conant",05,Asian,33,32,1," "," "," "," ",33,32,1," "," "," "," ",33,32,1," "," "," "," ",100,100,100
2010,00020030,Acton,"Luther Conant",05,White,39,38," "," "," "," ",1,39,38," "," "," "," ",1,39,38," "," "," "," ",1,100,100,100
2010,00020030,Acton,"Luther Conant",05,"Special Ed",13,12,1," "," "," "," ",13,12,1," "," "," "," ",13,12,1," "," "," "," ",100,100,100
2010,00020030,Acton,"Luther Conant",06,"All Students",76,76," "," "," "," "," ",76,76," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020030,Acton,"Luther Conant",06,Asian,27,27," "," "," "," "," ",27,27," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020030,Acton,"Luther Conant",06,White,48,48," "," "," "," "," ",48,48," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00030025,Acushnet,"Acushnet Elementary Sch",03,"All Students",103,101," "," "," "," ",2,103,101," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00030025,Acushnet,"Acushnet Elementary Sch",03,"Low Income",25,24," "," "," "," ",1,25,24," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00030025,Acushnet,"Acushnet Elementary Sch",03,White,102,100," "," "," "," ",2,102,100," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00030025,Acushnet,"Acushnet Elementary Sch",03,"Special Ed",21,20," "," "," "," ",1,21,20," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00030025,Acushnet,"Acushnet Elementary Sch",04,"All Students",105,101,1," "," "," ",3,106,101,1," "," ",1,3," "," "," "," "," "," "," ",100,100," "
2010,00030025,Acushnet,"Acushnet Elementary Sch",04,"Low Income",24,23,1," "," "," "," ",25,23,1," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2010,00030025,Acushnet,"Acushnet Elementary Sch",04,White,105,101,1," "," "," ",3,106,101,1," "," ",1,3," "," "," "," "," "," "," ",100,100," "
2010,00030025,Acushnet,"Acushnet Elementary Sch",04,"Special Ed",21,20,1," "," "," "," ",21,20,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00030305,Acushnet,"Albert F Ford Middle Sch",05,"All Students",119,117," "," "," "," ",2,119,117," "," "," "," ",2,119,117," "," "," "," ",2,100,100,100
2010,00030305,Acushnet,"Albert F Ford Middle Sch",05,"Low Income",26,24," "," "," "," ",2,26,24," "," "," "," ",2,26,24," "," "," "," ",2,100,100,100
2010,00030305,Acushnet,"Albert F Ford Middle Sch",05,White,117,115," "," "," "," ",2,117,115," "," "," "," ",2,117,115," "," "," "," ",2,100,100,100
2010,00030305,Acushnet,"Albert F Ford Middle Sch",05,"Special Ed",14,14," "," "," "," "," ",14,14," "," "," "," "," ",14,14," "," "," "," "," ",100,100,100
2010,00030305,Acushnet,"Albert F Ford Middle Sch",06,"All Students",128,126," "," "," "," ",2,135,132," "," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2010,00030305,Acushnet,"Albert F Ford Middle Sch",06,"Low Income",19,18," "," "," "," ",1,22,21," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00030305,Acushnet,"Albert F Ford Middle Sch",06,White,127,125," "," "," "," ",2,134,131," "," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2010,00030305,Acushnet,"Albert F Ford Middle Sch",06,"Special Ed",19,18," "," "," "," ",1,19,18," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00030305,Acushnet,"Albert F Ford Middle Sch",07,"All Students",116,111,2," "," "," ",3,116,111,2," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2010,00030305,Acushnet,"Albert F Ford Middle Sch",07,"Low Income",24,22," "," "," "," ",2,24,22," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00030305,Acushnet,"Albert F Ford Middle Sch",07,White,113,108,2," "," "," ",3,113,108,2," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2010,00030305,Acushnet,"Albert F Ford Middle Sch",07,"Special Ed",14,12,2," "," "," "," ",14,12,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00030305,Acushnet,"Albert F Ford Middle Sch",08,"All Students",121,117,1," "," "," ",3,121,117,1," "," "," ",3,121,117,1," "," "," ",3,100,100,100
2010,00030305,Acushnet,"Albert F Ford Middle Sch",08,"Low Income",23,22," "," "," "," ",1,23,22," "," "," "," ",1,23,22," "," "," "," ",1,100,100,100
2010,00030305,Acushnet,"Albert F Ford Middle Sch",08,White,119,115,1," "," "," ",3,119,115,1," "," "," ",3,119,115,1," "," "," ",3,100,100,100
2010,00030305,Acushnet,"Albert F Ford Middle Sch",08,"Special Ed",18,15,1," "," "," ",2,18,15,1," "," "," ",2,18,15,1," "," "," ",2,100,100,100
2010,00050010,Agawam,"Clifford M Granger",03,"All Students",65,63," "," "," "," ",2,65,63," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00050010,Agawam,"Clifford M Granger",03,"Low Income",15,13," "," "," "," ",2,15,13," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00050010,Agawam,"Clifford M Granger",03,White,56,54," "," "," "," ",2,56,54," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00050010,Agawam,"Clifford M Granger",03,"Special Ed",15,14," "," "," "," ",1,15,14," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050010,Agawam,"Clifford M Granger",04,"All Students",61,56," "," "," ",1,4,61,56," "," "," ",1,4," "," "," "," "," "," "," ",100,100," "
2010,00050010,Agawam,"Clifford M Granger",04,"Low Income",21,16," "," "," ",1,4,21,16," "," "," ",1,4," "," "," "," "," "," "," ",100,100," "
2010,00050010,Agawam,"Clifford M Granger",04,White,53,50," "," "," ",1,2,53,50," "," "," ",1,2," "," "," "," "," "," "," ",100,100," "
2010,00050020,Agawam,"Benjamin J Phelps",03,"All Students",82,78," "," "," "," ",4,82,78," "," "," "," ",4," "," "," "," "," "," "," ",100,100," "
2010,00050020,Agawam,"Benjamin J Phelps",03,"Low Income",26,24," "," "," "," ",2,26,24," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00050020,Agawam,"Benjamin J Phelps",03,White,76,75," "," "," "," ",1,76,75," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050020,Agawam,"Benjamin J Phelps",04,"All Students",78,77," "," "," "," ",1,78,77," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050020,Agawam,"Benjamin J Phelps",04,"Low Income",27,26," "," "," "," ",1,27,26," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050020,Agawam,"Benjamin J Phelps",04,White,73,72," "," "," "," ",1,73,72," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050025,Agawam,"Robinson Park",03,"All Students",85,81," "," "," "," ",4,85,81," "," "," "," ",4," "," "," "," "," "," "," ",100,100," "
2010,00050025,Agawam,"Robinson Park",03,"Low Income",25,23," "," "," "," ",2,25,23," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00050025,Agawam,"Robinson Park",03,White,80,77," "," "," "," ",3,80,77," "," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2010,00050025,Agawam,"Robinson Park",03,"Special Ed",16,15," "," "," "," ",1,16,15," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050025,Agawam,"Robinson Park",04,"All Students",74,70,2," "," "," ",2,74,70,2," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00050025,Agawam,"Robinson Park",04,"Low Income",23,21,1," "," "," ",1,23,21,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050025,Agawam,"Robinson Park",04,White,72,69,2," "," "," ",1,72,69,2," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050025,Agawam,"Robinson Park",04,"Special Ed",12,9,2," "," "," ",1,12,9,2," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050030,Agawam,"James Clark School",03,"All Students",81,71,6,3," "," ",1,81,71,6,3," "," ",1," "," "," "," "," "," "," ",96,96," "
2010,00050030,Agawam,"James Clark School",03,"Low Income",21,15,2,3," "," ",1,21,15,2,3," "," ",1," "," "," "," "," "," "," ",86,86," "
2010,00050030,Agawam,"James Clark School",03,White,76,67,6,3," "," "," ",76,67,6,3," "," "," "," "," "," "," "," "," "," ",96,96," "
2010,00050030,Agawam,"James Clark School",03,"LEP/Formerly LEP",14,11," ",3," "," "," ",14,11," ",3," "," "," "," "," "," "," "," "," "," ",79,79," "
2010,00050030,Agawam,"James Clark School",03,"Special Ed",20,13,6," "," "," ",1,20,13,6," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050030,Agawam,"James Clark School",04,"All Students",81,75,3," "," "," ",3,81,76,2," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2010,00050030,Agawam,"James Clark School",04,"Low Income",22,20,1," "," "," ",1,22,20,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050030,Agawam,"James Clark School",04,White,75,69,3," "," "," ",3,75,70,2," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2010,00050030,Agawam,"James Clark School",04,"Special Ed",11,7,3," "," "," ",1,11,8,2," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00050303,Agawam,"Agawam Middle School",05,"All Students",341,323,10," "," ",1,7,341,322,11," "," ",1,7,341,323,9," ",1,1,7,100,100,100
2010,00050303,Agawam,"Agawam Middle School",05,"Low Income",84,78,3," "," ",1,2,84,77,4," "," ",1,2,84,79,2," "," ",1,2,100,100,100
2010,00050303,Agawam,"Agawam Middle School",05,Hispanic/Latino,13,11," "," "," ",1,1,13,11," "," "," ",1,1,13,11," "," "," ",1,1,100,100,100
2010,00050303,Agawam,"Agawam Middle School",05,White,314,299,10," "," "," ",5,314,298,11," "," "," ",5,314,299,9," ",1," ",5,100,100,100
2010,00050303,Agawam,"Agawam Middle School",05,"LEP/Formerly LEP",22,19,2," "," ",1," ",22,19,2," "," ",1," ",22,19,2," "," ",1," ",100,100,100
2010,00050303,Agawam,"Agawam Middle School",05,"Special Ed",51,40,10," "," "," ",1,51,39,11," "," "," ",1,51,41,9," "," "," ",1,100,100,100
2010,00050303,Agawam,"Agawam Middle School",06,"All Students",347,326,12," "," ",2,7,347,325,13," "," ",2,7," "," "," "," "," "," "," ",100,100," "
2010,00050303,Agawam,"Agawam Middle School",06,"Low Income",97,82,7," "," ",1,7,97,81,8," "," ",1,7," "," "," "," "," "," "," ",100,100," "
2010,00050303,Agawam,"Agawam Middle School",06,Hispanic/Latino,20,15," "," "," ",1,4,20,15," "," "," ",1,4," "," "," "," "," "," "," ",100,100," "
2010,00050303,Agawam,"Agawam Middle School",06,White,316,301,11," "," ",1,3,316,300,12," "," ",1,3," "," "," "," "," "," "," ",100,100," "
2010,00050303,Agawam,"Agawam Middle School",06,"LEP/Formerly LEP",16,12,1," "," ",2,1,16,12,1," "," ",2,1," "," "," "," "," "," "," ",100,100," "
2010,00050303,Agawam,"Agawam Middle School",06,"Special Ed",58,43,12," "," ",1,2,58,42,13," "," ",1,2," "," "," "," "," "," "," ",100,100," "
2010,00050405,Agawam,"Agawam Junior High",07,"All Students",353,346," "," "," "," ",7,352,344," "," ",1," ",7," "," "," "," "," "," "," ",100,100," "
2010,00050405,Agawam,"Agawam Junior High",07,"Low Income",93,86," "," "," "," ",7,93,86," "," "," "," ",7," "," "," "," "," "," "," ",100,100," "
