adminyear,grade,org_code,district,subject,tested,wptopdev,wpconvent,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45
2007,06,00020000,Acton,MATH,388,,,0.99,0.93,0.9,0.82,0.9,0.66,0.84,0.87,0.89,3.51,0.54,0.49,3.21,0.91,0.93,0.79,2.77,0.95,0.96,0.88,0.9,0.94,0.87,0.75,0.86,0.95,3.73,0.87,0.66,0.88,3.17,0.93,0.82,0.86,0.75,0.91,0.71,0.91,0.92,,,,,,
2007,06,00020000,Acton,ELA,388,,,0.96,0.92,0.97,0.98,0.95,0.88,0.95,0.95,2.62,0.9,0.94,0.95,0.9,0.97,0.85,0.79,0.72,2.4,0.88,0.99,0.91,0.89,0.82,0.97,0.91,0.97,2.62,0.93,0.9,0.87,0.84,0.89,0.94,0.96,0.94,3.08,0.91,0.79,0.82,0.74,,,,,
2007,03,00030000,Acushnet,MATH,133,,,0.95,0.83,0.86,0.8,0.81,0.85,1.31,0.75,0.83,0.77,0.9,0.77,0.71,0.53,0.89,1.17,0.98,0.92,0.78,0.35,0.96,0.63,1.24,0.94,0.51,0.74,0.83,0.83,0.74,1.51,0.77,0.74,0.86,0.89,1.26,,,,,,,,,,
2007,03,00030000,Acushnet,ELA,133,,,0.86,0.98,0.89,0.88,0.9,0.87,0.8,0.84,0.87,0.83,0.67,0.89,0.72,0.54,0.93,0.87,0.77,0.85,0.86,0.84,2.52,0.81,0.83,0.68,0.94,0.9,0.83,0.62,0.95,0.89,0.84,0.81,2.07,0.7,0.69,0.83,0.75,0.77,0.9,0.87,0.7,0.92,,,
2007,04,00030000,Acushnet,MATH,110,,,0.91,0.85,0.89,0.59,0.78,0.78,0.95,0.78,0.62,3.32,0.69,0.65,2.65,0.85,0.49,0.88,2.63,0.89,0.77,0.73,0.83,0.81,0.84,0.87,0.65,0.71,2.45,0.93,0.51,0.79,2.88,0.87,0.65,0.76,0.78,0.85,0.76,0.86,0.8,,,,,,
2007,04,00030000,Acushnet,ELA,110,7.27,6.65,0.91,0.92,0.91,0.94,0.83,0.56,0.87,2.21,0.93,0.94,0.85,0.75,0.92,0.86,0.8,0.85,1.85,0.93,0.97,0.86,0.85,0.91,0.78,0.95,0.78,1.61,0.75,0.72,0.83,0.69,0.73,0.72,0.85,0.83,1.95,0.97,0.88,0.75,0.82,0.68,,,,,
2007,05,00030000,Acushnet,MATH,110,,,0.96,0.97,0.92,0.85,0.88,0.82,0.83,0.8,0.79,3.25,0.83,0.82,2.94,0.65,0.65,0.82,1.37,0.92,0.8,0.71,0.7,0.55,0.82,0.88,0.65,0.83,2.93,0.77,0.49,0.77,1.77,0.85,0.49,0.65,0.66,0.75,0.88,0.72,0.61,,,,,,
2007,05,00030000,Acushnet,ELA,110,,,0.83,0.68,0.79,0.82,0.83,0.83,0.85,0.79,2.1,0.84,0.91,0.86,0.75,0.82,0.79,0.65,0.66,2.59,0.91,0.81,0.9,0.86,0.86,0.87,0.74,0.84,1.97,0.93,0.77,0.68,0.78,0.91,0.81,0.71,0.66,1.99,0.73,0.9,0.81,0.71,,,,,
2007,05,00030000,Acushnet,SCI,110,,,0.84,0.97,0.97,0.72,0.73,0.8,0.85,0.76,0.85,0.65,0.65,0.76,0.74,0.81,0.96,0.85,0.68,1.18,1.47,0.93,0.93,0.54,0.69,0.79,0.77,0.82,0.35,0.86,0.76,0.84,0.95,0.79,0.82,0.8,0.85,0.85,1.49,1.97,2.74,,,,,,
2007,06,00030000,Acushnet,MATH,121,,,0.99,0.9,0.69,0.38,0.77,0.36,0.79,0.76,0.84,2.96,0.21,0.29,3.06,0.71,0.64,0.76,2.18,0.88,0.9,0.82,0.67,0.9,0.67,0.44,0.77,0.89,3.31,0.69,0.45,0.66,2.83,0.84,0.86,0.76,0.73,0.76,0.42,0.75,0.95,,,,,,
2007,06,00030000,Acushnet,ELA,121,,,0.96,0.82,0.93,0.98,0.84,0.74,0.88,0.97,2.25,0.81,0.89,0.91,0.83,0.97,0.79,0.58,0.62,2.02,0.69,0.97,0.79,0.82,0.69,0.93,0.8,0.97,2.3,0.89,0.79,0.78,0.71,0.83,0.83,0.91,0.88,2.68,0.86,0.74,0.79,0.67,,,,,
2007,07,00030000,Acushnet,MATH,136,,,0.88,0.78,0.38,0.73,0.76,0.18,0.54,0.57,2.51,0.53,0.79,0.7,0.9,0.52,0.88,0.92,0.53,0.86,0.38,0.93,0.81,2.74,0.89,0.76,0.63,0.51,0.8,3.1,2.14,0.88,0.45,0.6,0.39,0.57,0.75,0.76,0.72,0.72,2.74,,,,,,
2007,07,00030000,Acushnet,ELA,136,7.18,6.43,0.94,0.93,0.93,0.93,0.71,0.79,0.79,0.87,2.15,0.93,0.82,0.56,0.79,0.78,0.75,0.91,0.88,2.52,0.96,0.82,0.87,0.95,0.92,0.85,0.82,0.87,2.21,0.82,0.91,0.89,0.93,0.9,0.95,0.94,0.87,2.24,0.73,0.88,0.95,0.95,,,,,
2007,08,00030000,Acushnet,MATH,133,,,0.84,0.77,0.81,0.66,0.49,0.68,0.69,0.29,2.39,0.5,0.68,0.56,0.71,0.53,0.61,0.78,0.75,0.47,0.51,0.29,0.86,2.72,0.78,0.86,0.84,0.77,0.76,2.45,1.72,0.68,0.82,0.73,0.78,0.8,0.6,0.31,0.77,0.7,2.32,,,,,,
2007,08,00030000,Acushnet,ELA,133,,,0.82,0.83,0.83,0.83,0.78,0.93,0.81,0.82,2.17,0.88,0.85,0.82,0.88,0.8,0.88,0.78,0.88,0.72,0.89,2,0.94,0.86,0.79,0.78,0.62,0.96,0.89,2.1,0.95,0.74,0.65,0.85,0.61,0.75,0.41,1.91,0.67,0.82,0.77,0.63,,,,,
2007,08,00030000,Acushnet,SCI,133,,,0.95,0.81,0.81,0.82,0.74,0.89,0.62,0.71,0.89,0.56,0.53,0.44,0.7,0.8,0.47,0.86,0.71,2.57,2.14,0.85,0.8,0.49,0.41,0.72,0.52,0.68,0.74,0.89,0.76,0.89,0.77,0.66,0.53,0.61,0.65,0.86,1.83,1.8,2.8,,,,,,
2007,03,00050000,Agawam,MATH,321,,,0.93,0.81,0.88,0.85,0.87,0.86,1.52,0.86,0.93,0.83,0.91,0.87,0.9,0.56,0.82,1.36,0.95,0.92,0.86,0.35,0.93,0.72,1.25,0.93,0.56,0.79,0.82,0.83,0.87,1.84,0.73,0.8,0.92,0.88,1.51,,,,,,,,,,
2007,03,00050000,Agawam,ELA,322,,,0.79,0.96,0.85,0.87,0.89,0.8,0.86,0.84,0.89,0.82,0.75,0.89,0.65,0.55,0.94,0.83,0.71,0.86,0.76,0.8,2.51,0.78,0.78,0.66,0.86,0.88,0.77,0.65,0.92,0.83,0.76,0.85,2.06,0.69,0.71,0.71,0.75,0.71,0.81,0.88,0.71,0.91,,,
2007,04,00050000,Agawam,MATH,337,,,0.93,0.85,0.82,0.72,0.82,0.75,0.88,0.78,0.7,3.24,0.72,0.82,2.5,0.82,0.51,0.85,2.75,0.88,0.85,0.81,0.84,0.85,0.79,0.84,0.69,0.65,2.48,0.86,0.54,0.8,2.82,0.9,0.66,0.64,0.86,0.83,0.71,0.85,0.78,,,,,,
2007,04,00050000,Agawam,ELA,336,7.52,6.79,0.92,0.9,0.94,0.95,0.79,0.68,0.85,2.43,0.92,0.96,0.85,0.84,0.89,0.89,0.85,0.77,2.01,0.92,0.94,0.88,0.89,0.93,0.74,0.93,0.87,1.84,0.72,0.71,0.74,0.71,0.77,0.74,0.76,0.81,2.06,0.97,0.84,0.74,0.75,0.74,,,,,
2007,05,00050000,Agawam,MATH,355,,,0.93,0.92,0.79,0.78,0.58,0.79,0.75,0.74,0.74,3.22,0.75,0.74,2.61,0.57,0.55,0.72,1.34,0.89,0.95,0.72,0.8,0.59,0.8,0.85,0.6,0.75,2.78,0.79,0.41,0.74,1.84,0.94,0.36,0.67,0.65,0.69,0.84,0.58,0.58,,,,,,
2007,05,00050000,Agawam,ELA,355,,,0.68,0.65,0.79,0.87,0.85,0.76,0.9,0.74,1.88,0.72,0.85,0.81,0.76,0.66,0.78,0.66,0.68,2.19,0.9,0.77,0.83,0.75,0.83,0.82,0.75,0.71,1.59,0.86,0.77,0.7,0.76,0.86,0.68,0.74,0.65,1.62,0.72,0.78,0.68,0.71,,,,,
2007,05,00050000,Agawam,SCI,355,,,0.88,0.94,0.93,0.82,0.71,0.71,0.83,0.84,0.84,0.57,0.67,0.68,0.63,0.76,0.91,0.89,0.64,1.17,1.66,0.61,0.9,0.7,0.7,0.73,0.74,0.72,0.57,0.77,0.75,0.8,0.88,0.52,0.88,0.79,0.76,0.83,1.63,2,2.58,,,,,,
2007,06,00050000,Agawam,MATH,357,,,0.98,0.85,0.84,0.55,0.9,0.43,0.82,0.75,0.84,3.02,0.44,0.16,2.94,0.75,0.68,0.54,2.13,0.92,0.83,0.78,0.68,0.91,0.7,0.66,0.77,0.87,3.37,0.68,0.46,0.79,2.75,0.75,0.75,0.76,0.69,0.82,0.32,0.82,0.81,,,,,,
2007,06,00050000,Agawam,ELA,358,,,0.92,0.8,0.87,0.99,0.88,0.76,0.86,0.89,2.13,0.73,0.84,0.88,0.82,0.96,0.74,0.6,0.54,1.85,0.72,0.96,0.81,0.8,0.68,0.95,0.84,0.96,1.94,0.79,0.78,0.74,0.75,0.84,0.8,0.89,0.84,2.34,0.84,0.63,0.78,0.65,,,,,
2007,07,00050000,Agawam,MATH,360,,,0.9,0.82,0.68,0.68,0.79,0.74,0.72,0.71,2.47,0.57,0.72,0.7,0.74,0.5,0.88,0.85,0.53,0.82,0.51,0.91,0.86,2.61,0.79,0.8,0.55,0.52,0.76,2.93,1.72,0.82,0.41,0.67,0.4,0.55,0.73,0.7,0.63,0.62,2.69,,,,,,
2007,07,00050000,Agawam,ELA,357,7.26,6.4,0.9,0.92,0.89,0.93,0.73,0.79,0.74,0.84,2.16,0.94,0.76,0.57,0.62,0.73,0.68,0.9,0.78,2.57,0.95,0.79,0.85,0.91,0.93,0.83,0.79,0.84,2.2,0.74,0.84,0.81,0.96,0.85,0.92,0.91,0.86,2.11,0.72,0.82,0.93,0.96,,,,,
2007,08,00050000,Agawam,MATH,357,,,0.87,0.62,0.74,0.66,0.76,0.5,0.72,0.4,2.02,0.41,0.69,0.52,0.78,0.42,0.68,0.8,0.65,0.63,0.66,0.36,0.87,2.88,0.87,0.73,0.78,0.87,0.68,2.33,2.15,0.66,0.75,0.77,0.82,0.73,0.76,0.28,0.8,0.78,2.39,,,,,,
2007,08,00050000,Agawam,ELA,359,,,0.81,0.9,0.8,0.81,0.79,0.92,0.81,0.82,2.43,0.89,0.85,0.76,0.84,0.64,0.89,0.74,0.84,0.64,0.83,2.25,0.92,0.79,0.81,0.75,0.7,0.94,0.88,2.47,0.93,0.69,0.62,0.89,0.72,0.73,0.58,2.4,0.73,0.83,0.72,0.63,,,,,
