Year,Org_code,DistrictName,SchoolName,Grade,Group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2011,00010405,Abington,"Frolio Middle School",08,"Low Income",25,23,1," "," "," ",1,25,23,1," "," "," ",1,25,23,1," "," "," ",1,100,100,100
2011,00010405,Abington,"Frolio Middle School",08,White,193,189,1,2," "," ",1,193,186,1,2,3," ",1,193,186,1,2,3," ",1,99,97,97
2011,00010405,Abington,"Frolio Middle School",08,"Special Ed",38,35,2,1," "," "," ",38,35,2,1," "," "," ",38,35,2,1," "," "," ",97,97,97
2011,00010505,Abington,"Abington High",10,"All Students",145,136,1,1," "," ",7,144,136,1," "," "," ",7,143,127,1,1," "," ",14,99,100,99
2011,00010505,Abington,"Abington High",10,"Low Income",21,17,1," "," "," ",3,20,16,1," "," "," ",3,20,16,1," "," "," ",3,100,100,100
2011,00010505,Abington,"Abington High",10,White,136,128,1,1," "," ",6,135,128,1," "," "," ",6,134,121,1,1," "," ",11,99,100,99
2011,00010505,Abington,"Abington High",10,"Special Ed",17,14,1,1," "," ",1,17,15,1," "," "," ",1,16,14,1," "," "," ",1,94,100,100
2011,00020010,Acton,Merriam,03,"All Students",69,65,1," "," "," ",3,69,65,1," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2011,00020010,Acton,Merriam,03,Asian,20,19," "," "," "," ",1,20,19," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00020010,Acton,Merriam,03,White,43,41,1," "," "," ",1,43,41,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00020010,Acton,Merriam,04,"All Students",75,75," "," "," "," "," ",74,74," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020010,Acton,Merriam,04,Asian,18,18," "," "," "," "," ",18,18," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020010,Acton,Merriam,04,White,52,52," "," "," "," "," ",51,51," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020010,Acton,Merriam,05,"All Students",72,72," "," "," "," "," ",72,71,1," "," "," "," ",72,72," "," "," "," "," ",100,100,100
2011,00020010,Acton,Merriam,05,Asian,17,17," "," "," "," "," ",17,17," "," "," "," "," ",17,17," "," "," "," "," ",100,100,100
2011,00020010,Acton,Merriam,05,White,52,52," "," "," "," "," ",52,51,1," "," "," "," ",52,52," "," "," "," "," ",100,100,100
2011,00020010,Acton,Merriam,05,"Special Ed",17,17," "," "," "," "," ",17,16,1," "," "," "," ",17,17," "," "," "," "," ",100,100,100
2011,00020010,Acton,Merriam,06,"All Students",100,97,1," "," "," ",2,100,96,1," ",1," ",2," "," "," "," "," "," "," ",100,99," "
2011,00020010,Acton,Merriam,06,Asian,25,25," "," "," "," "," ",25,25," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020010,Acton,Merriam,06,White,70,68,1," "," "," ",1,70,67,1," ",1," ",1," "," "," "," "," "," "," ",100,99," "
2011,00020010,Acton,Merriam,06,"Special Ed",15,14,1," "," "," "," ",15,13,1," ",1," "," "," "," "," "," "," "," "," ",100,93," "
2011,00020015,Acton,McCarthy-Towne,03,"All Students",70,70," "," "," "," "," ",70,70," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020015,Acton,McCarthy-Towne,03,White,58,58," "," "," "," "," ",58,58," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020015,Acton,McCarthy-Towne,04,"All Students",74,71," ",1," "," ",2,74,72," "," "," "," ",2," "," "," "," "," "," "," ",99,100," "
2011,00020015,Acton,McCarthy-Towne,04,White,61,60," ",1," "," "," ",61,61," "," "," "," "," "," "," "," "," "," "," "," ",98,100," "
2011,00020015,Acton,McCarthy-Towne,04,"Special Ed",17,16," ",1," "," "," ",17,17," "," "," "," "," "," "," "," "," "," "," "," ",94,100," "
2011,00020015,Acton,McCarthy-Towne,05,"All Students",74,74," "," "," "," "," ",74,74," "," "," "," "," ",74,74," "," "," "," "," ",100,100,100
2011,00020015,Acton,McCarthy-Towne,05,Asian,15,15," "," "," "," "," ",15,15," "," "," "," "," ",15,15," "," "," "," "," ",100,100,100
2011,00020015,Acton,McCarthy-Towne,05,White,52,52," "," "," "," "," ",52,52," "," "," "," "," ",52,52," "," "," "," "," ",100,100,100
2011,00020015,Acton,McCarthy-Towne,05,"Special Ed",16,16," "," "," "," "," ",16,16," "," "," "," "," ",16,16," "," "," "," "," ",100,100,100
2011,00020015,Acton,McCarthy-Towne,06,"All Students",75,72,3," "," "," "," ",75,72,3," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020015,Acton,McCarthy-Towne,06,White,65,62,3," "," "," "," ",65,62,3," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020015,Acton,McCarthy-Towne,06,"Special Ed",18,15,3," "," "," "," ",18,15,3," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020020,Acton,Douglas,03,"All Students",68,68," "," "," "," "," ",68,68," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020020,Acton,Douglas,03,Asian,12,12," "," "," "," "," ",12,12," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020020,Acton,Douglas,03,White,49,49," "," "," "," "," ",49,49," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020020,Acton,Douglas,04,"All Students",75,75," "," "," "," "," ",74,74," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020020,Acton,Douglas,04,Asian,18,18," "," "," "," "," ",17,17," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020020,Acton,Douglas,04,White,47,47," "," "," "," "," ",47,47," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020020,Acton,Douglas,05,"All Students",74,73," "," "," "," ",1,74,73," "," "," "," ",1,74,73," "," "," "," ",1,100,100,100
2011,00020020,Acton,Douglas,05,Asian,20,20," "," "," "," "," ",20,20," "," "," "," "," ",20,20," "," "," "," "," ",100,100,100
2011,00020020,Acton,Douglas,05,White,49,48," "," "," "," ",1,49,48," "," "," "," ",1,49,48," "," "," "," ",1,100,100,100
2011,00020020,Acton,Douglas,05,"Special Ed",12,11," "," "," "," ",1,12,11," "," "," "," ",1,12,11," "," "," "," ",1,100,100,100
2011,00020020,Acton,Douglas,06,"All Students",74,74," "," "," "," "," ",74,74," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020020,Acton,Douglas,06,Asian,16,16," "," "," "," "," ",16,16," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020020,Acton,Douglas,06,White,49,49," "," "," "," "," ",49,49," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020025,Acton,Gates,03,"All Students",70,70," "," "," "," "," ",70,70," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020025,Acton,Gates,03,Asian,24,24," "," "," "," "," ",24,24," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020025,Acton,Gates,03,White,41,41," "," "," "," "," ",41,41," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020025,Acton,Gates,04,"All Students",75,75," "," "," "," "," ",75,75," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020025,Acton,Gates,04,Asian,35,35," "," "," "," "," ",35,35," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020025,Acton,Gates,04,White,40,40," "," "," "," "," ",40,40," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020025,Acton,Gates,04,"Special Ed",11,11," "," "," "," "," ",11,11," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020025,Acton,Gates,05,"All Students",73,73," "," "," "," "," ",73,73," "," "," "," "," ",73,73," "," "," "," "," ",100,100,100
2011,00020025,Acton,Gates,05,Asian,10,10," "," "," "," "," ",10,10," "," "," "," "," ",10,10," "," "," "," "," ",100,100,100
2011,00020025,Acton,Gates,05,White,51,51," "," "," "," "," ",51,51," "," "," "," "," ",51,51," "," "," "," "," ",100,100,100
2011,00020025,Acton,Gates,05,Multi-race,12,12," "," "," "," "," ",12,12," "," "," "," "," ",12,12," "," "," "," "," ",100,100,100
2011,00020025,Acton,Gates,06,"All Students",72,72," "," "," "," "," ",72,72," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020025,Acton,Gates,06,Asian,20,20," "," "," "," "," ",20,20," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020025,Acton,Gates,06,White,50,50," "," "," "," "," ",50,50," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020025,Acton,Gates,06,"Special Ed",11,11," "," "," "," "," ",11,11," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020030,Acton,"Luther Conant",03,"All Students",70,68," "," "," "," ",2,70,68," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2011,00020030,Acton,"Luther Conant",03,Asian,34,33," "," "," "," ",1,34,33," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00020030,Acton,"Luther Conant",03,White,30,29," "," "," "," ",1,30,29," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00020030,Acton,"Luther Conant",03,"Special Ed",12,11," "," "," "," ",1,12,11," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00020030,Acton,"Luther Conant",04,"All Students",74,72," "," "," "," ",2,74,71," ",1," "," ",2," "," "," "," "," "," "," ",100,99," "
2011,00020030,Acton,"Luther Conant",04,Asian,31,30," "," "," "," ",1,31,30," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00020030,Acton,"Luther Conant",04,White,39,38," "," "," "," ",1,39,38," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00020030,Acton,"Luther Conant",05,"All Students",72,70," "," "," "," ",2,72,70," "," "," "," ",2,72,70," "," "," "," ",2,100,100,100
2011,00020030,Acton,"Luther Conant",05,Asian,28,26," "," "," "," ",2,28,26," "," "," "," ",2,28,26," "," "," "," ",2,100,100,100
2011,00020030,Acton,"Luther Conant",05,White,43,43," "," "," "," "," ",43,43," "," "," "," "," ",43,43," "," "," "," "," ",100,100,100
2011,00020030,Acton,"Luther Conant",05,"Special Ed",17,17," "," "," "," "," ",17,17," "," "," "," "," ",17,17," "," "," "," "," ",100,100,100
2011,00020030,Acton,"Luther Conant",06,"All Students",75,73,1," "," "," ",1,75,73,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00020030,Acton,"Luther Conant",06,Asian,33,32,1," "," "," "," ",33,32,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00020030,Acton,"Luther Conant",06,White,38,37," "," "," "," ",1,38,37," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00020030,Acton,"Luther Conant",06,"Special Ed",12,11,1," "," "," "," ",12,11,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00030025,Acushnet,"Acushnet Elementary Sch",03,"All Students",108,106," "," "," "," ",2,108,106," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2011,00030025,Acushnet,"Acushnet Elementary Sch",03,"Low Income",26,26," "," "," "," "," ",26,26," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00030025,Acushnet,"Acushnet Elementary Sch",03,White,108,106," "," "," "," ",2,108,106," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2011,00030025,Acushnet,"Acushnet Elementary Sch",03,"Special Ed",25,24," "," "," "," ",1,25,24," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00030025,Acushnet,"Acushnet Elementary Sch",04,"All Students",110,105," "," "," "," ",5,109,103," ",1," "," ",5," "," "," "," "," "," "," ",100,99," "
2011,00030025,Acushnet,"Acushnet Elementary Sch",04,"Low Income",33,29," "," "," "," ",4,32,28," "," "," "," ",4," "," "," "," "," "," "," ",100,100," "
2011,00030025,Acushnet,"Acushnet Elementary Sch",04,White,109,104," "," "," "," ",5,108,102," ",1," "," ",5," "," "," "," "," "," "," ",100,99," "
2011,00030025,Acushnet,"Acushnet Elementary Sch",04,"Special Ed",20,20," "," "," "," "," ",20,20," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00030305,Acushnet,"Albert F Ford Middle Sch",05,"All Students",106,105," "," "," "," ",1,106,104," "," "," "," ",2,106,104," "," "," "," ",2,100,100,100
2011,00030305,Acushnet,"Albert F Ford Middle Sch",05,"Low Income",27,26," "," "," "," ",1,26,25," "," "," "," ",1,26,25," "," "," "," ",1,100,100,100
2011,00030305,Acushnet,"Albert F Ford Middle Sch",05,White,106,105," "," "," "," ",1,106,104," "," "," "," ",2,106,104," "," "," "," ",2,100,100,100
2011,00030305,Acushnet,"Albert F Ford Middle Sch",05,"Special Ed",22,21," "," "," "," ",1,22,21," "," "," "," ",1,22,21," "," "," "," ",1,100,100,100
2011,00030305,Acushnet,"Albert F Ford Middle Sch",06,"All Students",124,124," "," "," "," "," ",124,124," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00030305,Acushnet,"Albert F Ford Middle Sch",06,"Low Income",31,31," "," "," "," "," ",31,31," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00030305,Acushnet,"Albert F Ford Middle Sch",06,White,122,122," "," "," "," "," ",122,122," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00030305,Acushnet,"Albert F Ford Middle Sch",06,"Special Ed",13,13," "," "," "," "," ",13,13," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00030305,Acushnet,"Albert F Ford Middle Sch",07,"All Students",134,131," ",1,1," ",1,134,131," "," ",2," ",1," "," "," "," "," "," "," ",99,99," "
2011,00030305,Acushnet,"Albert F Ford Middle Sch",07,"Low Income",24,22," ",1," "," ",1,24,22," "," ",1," ",1," "," "," "," "," "," "," ",96,96," "
2011,00030305,Acushnet,"Albert F Ford Middle Sch",07,White,133,130," ",1,1," ",1,133,130," "," ",2," ",1," "," "," "," "," "," "," ",98,98," "
2011,00030305,Acushnet,"Albert F Ford Middle Sch",07,"Special Ed",22,20," ",1," "," ",1,22,20," "," ",1," ",1," "," "," "," "," "," "," ",95,95," "
2011,00030305,Acushnet,"Albert F Ford Middle Sch",08,"All Students",116,113,1," "," "," ",2,117,113,1," "," "," ",3,117,113,1," "," "," ",3,100,100,100
2011,00030305,Acushnet,"Albert F Ford Middle Sch",08,"Low Income",29,27," "," "," "," ",2,29,27," "," "," "," ",2,29,27," "," "," "," ",2,100,100,100
2011,00030305,Acushnet,"Albert F Ford Middle Sch",08,White,113,110,1," "," "," ",2,114,110,1," "," "," ",3,114,110,1," "," "," ",3,100,100,100
2011,00030305,Acushnet,"Albert F Ford Middle Sch",08,"Special Ed",15,12,1," "," "," ",2,16,12,1," "," "," ",3,16,12,1," "," "," ",3,100,100,100
2011,00050010,Agawam,"Clifford M Granger",03,"All Students",67,66," "," "," "," ",1,67,66," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00050010,Agawam,"Clifford M Granger",03,"Low Income",19,18," "," "," "," ",1,19,18," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00050010,Agawam,"Clifford M Granger",03,White,60,60," "," "," "," "," ",60,60," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00050010,Agawam,"Clifford M Granger",03,"Special Ed",12,12," "," "," "," "," ",12,12," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00050010,Agawam,"Clifford M Granger",04,"All Students",68,67," "," "," "," ",1,68,67," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00050010,Agawam,"Clifford M Granger",04,"Low Income",19,19," "," "," "," "," ",19,19," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00050010,Agawam,"Clifford M Granger",04,White,59,58," "," "," "," ",1,59,58," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00050010,Agawam,"Clifford M Granger",04,"Special Ed",16,16," "," "," "," "," ",16,16," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00050020,Agawam,"Benjamin J Phelps",03,"All Students",80,77," "," "," "," ",3,80,77," "," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2011,00050020,Agawam,"Benjamin J Phelps",03,"Low Income",19,17," "," "," "," ",2,19,17," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2011,00050020,Agawam,"Benjamin J Phelps",03,White,76,73," "," "," "," ",3,76,73," "," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2011,00050020,Agawam,"Benjamin J Phelps",03,"Special Ed",11,10," "," "," "," ",1,11,10," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00050020,Agawam,"Benjamin J Phelps",04,"All Students",77,75," "," "," "," ",2,77,75," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2011,00050020,Agawam,"Benjamin J Phelps",04,"Low Income",26,24," "," "," "," ",2,26,24," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2011,00050020,Agawam,"Benjamin J Phelps",04,White,72,70," "," "," "," ",2,72,70," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2011,00050025,Agawam,"Robinson Park",03,"All Students",71,66,1," "," "," ",4,71,66,1," "," "," ",4," "," "," "," "," "," "," ",100,100," "
2011,00050025,Agawam,"Robinson Park",03,"Low Income",23,21," "," "," "," ",2,23,21," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2011,00050025,Agawam,"Robinson Park",03,White,67,62,1," "," "," ",4,67,62,1," "," "," ",4," "," "," "," "," "," "," ",100,100," "
2011,00050025,Agawam,"Robinson Park",03,"LEP/Formerly LEP",10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00050025,Agawam,"Robinson Park",03,"Special Ed",13,12,1," "," "," "," ",13,12,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00050025,Agawam,"Robinson Park",04,"All Students",89,84,2," "," "," ",3,89,84,2," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2011,00050025,Agawam,"Robinson Park",04,"Low Income",28,25," "," "," "," ",3,28,25," "," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2011,00050025,Agawam,"Robinson Park",04,White,81,78,2," "," "," ",1,81,78,2," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00050025,Agawam,"Robinson Park",04,"Special Ed",22,19,2," "," "," ",1,22,19,2," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00050030,Agawam,"James Clark School",03,"All Students",68,63,1," "," ",1,3,68,63,1," "," ",1,3," "," "," "," "," "," "," ",100,100," "
2011,00050030,Agawam,"James Clark School",03,"Low Income",26,24," "," "," ",1,1,26,24," "," "," ",1,1," "," "," "," "," "," "," ",100,100," "
2011,00050030,Agawam,"James Clark School",03,White,65,62,1," "," "," ",2,65,62,1," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2011,00050030,Agawam,"James Clark School",03,"Special Ed",15,13,1," "," "," ",1,15,13,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00050030,Agawam,"James Clark School",04,"All Students",78,70,5,1," "," ",2,79,70,5," "," "," ",4," "," "," "," "," "," "," ",99,100," "
2011,00050030,Agawam,"James Clark School",04,"Low Income",20,15,2,1," "," ",2,22,16,2," "," "," ",4," "," "," "," "," "," "," ",95,100," "
2011,00050030,Agawam,"James Clark School",04,White,72,65,5,1," "," ",1,73,65,5," "," "," ",3," "," "," "," "," "," "," ",99,100," "
2011,00050030,Agawam,"James Clark School",04,"LEP/Formerly LEP",11,10," "," "," "," ",1,13,10," "," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2011,00050030,Agawam,"James Clark School",04,"Special Ed",16,10,5,1," "," "," ",16,11,5," "," "," "," "," "," "," "," "," "," "," ",94,100," "
2011,00050303,Agawam,"Agawam Middle School",05,"All Students",295,286,4," "," "," ",5,296,284,5," ",1," ",6,296,285,4," ",1," ",6,100,100,100
2011,00050303,Agawam,"Agawam Middle School",05,"Low Income",93,87,3," "," "," ",3,93,87,3," "," "," ",3,93,87,3," "," "," ",3,100,100,100
2011,00050303,Agawam,"Agawam Middle School",05,Hispanic/Latino,12,11," "," "," "," ",1,12,11," "," "," "," ",1,12,11," "," "," "," ",1,100,100,100
2011,00050303,Agawam,"Agawam Middle School",05,White,268,262,4," "," "," ",2,269,260,5," ",1," ",3,269,261,4," ",1," ",3,100,100,100
2011,00050303,Agawam,"Agawam Middle School",05,"LEP/Formerly LEP",15,13," "," "," "," ",2,15,13," "," "," "," ",2,15,13," "," "," "," ",2,100,100,100
2011,00050303,Agawam,"Agawam Middle School",05,"Special Ed",38,33,4," "," "," ",1,38,31,5," ",1," ",1,38,32,4," ",1," ",1,100,97,97
2011,00050303,Agawam,"Agawam Middle School",06,"All Students",345,331,9," ",1,1,3,345,326,15," "," ",1,3," "," "," "," "," "," "," ",100,100," "
2011,00050303,Agawam,"Agawam Middle School",06,"Low Income",93,88,3," "," "," ",2,93,85,6," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2011,00050303,Agawam,"Agawam Middle School",06,Hispanic/Latino,15,14," "," "," "," ",1,15,14," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00050303,Agawam,"Agawam Middle School",06,White,316,305,9," ",1," ",1,316,300,15," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00050303,Agawam,"Agawam Middle School",06,"LEP/Formerly LEP",21,18,2," "," ",1," ",21,18,2," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,00050303,Agawam,"Agawam Middle School",06,"Special Ed",51,42,9," "," "," "," ",51,36,15," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00050405,Agawam,"Agawam Junior High",07,"All Students",353,341,3,4," "," ",5,354,344,3,1," "," ",6," "," "," "," "," "," "," ",99,100," "
2011,00050405,Agawam,"Agawam Junior High",07,"Low Income",108,102,1,2," "," ",3,108,103,1,1," "," ",3," "," "," "," "," "," "," ",98,99," "
2011,00050405,Agawam,"Agawam Junior High",07,Hispanic/Latino,20,19," ",1," "," "," ",20,20," "," "," "," "," "," "," "," "," "," "," "," ",95,100," "
2011,00050405,Agawam,"Agawam Junior High",07,White,321,310,3,3," "," ",5,322,312,3,1," "," ",6," "," "," "," "," "," "," ",99,100," "
2011,00050405,Agawam,"Agawam Junior High",07,"LEP/Formerly LEP",16,15," "," "," "," ",1,16,15," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00050405,Agawam,"Agawam Junior High",07,"Special Ed",50,46,3," "," "," ",1,50,45,3,1," "," ",1," "," "," "," "," "," "," ",100,98," "
2011,00050405,Agawam,"Agawam Junior High",08,"All Students",341,333," ",1,2," ",5,341,333," ",2," ",1,5,341,333," ",2," ",1,5,99,99,99
2011,00050405,Agawam,"Agawam Junior High",08,"Low Income",94,87," "," ",2," ",5,94,87," ",1," ",1,5,94,87," ",1," ",1,5,98,99,99
2011,00050405,Agawam,"Agawam Junior High",08,Hispanic/Latino,10,10," "," "," "," "," ",10,10," "," "," "," "," ",10,10," "," "," "," "," ",100,100,100
2011,00050405,Agawam,"Agawam Junior High",08,White,309,302," ",1,2," ",4,309,303," ",2," "," ",4,309,303," ",2," "," ",4,99,99,99
2011,00050405,Agawam,"Agawam Junior High",08,"LEP/Formerly LEP",15,13," "," "," "," ",2,16,13," "," "," ",1,2,16,13," "," "," ",1,2,100,100,100
2011,00050405,Agawam,"Agawam Junior High",08,"Special Ed",40,39," "," ",1," "," ",40,40," "," "," "," "," ",40,40," "," "," "," "," ",98,100,100
2011,00050505,Agawam,"Agawam High",10,"All Students",343,332,1," ",2,1,7,345,329,1,3,2,2,8,340,314,1,2," ",4,19,99,99,99
2011,00050505,Agawam,"Agawam High",10,"Low Income",72,64," "," ",2,1,5,73,64," ",1,1,2,5,70,56," ",2," ",3,9,97,97,97
