Year,Org_code,DistrictName,Grade,Group,sort,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_part_rate,m_part_rate,s_part_rate
2012,00000000,State,06,"ELL and Former ELL",03,7312,6650,175,60,9,418," ",7375,6691,174,20,6,484," "," "," "," "," "," "," "," ",99,100," "
2012,00000000,State,06,"Low Income",04,26944,25706,750,107,48,333," ",26991,25707,763,87,57,377," "," "," "," "," "," "," "," ",99,99," "
2012,00000000,State,06,"African American",05,6018,5714,168,28,9,99," ",6035,5719,174,24,8,110," "," "," "," "," "," "," "," ",99,99," "
2012,00000000,State,06,Asian,06,4086,3954,49,8,1,74," ",4097,3957,46,7,1,86," "," "," "," "," "," "," "," ",100,100," "
2012,00000000,State,06,Hispanic/Latino,07,11222,10612,339,61,14,196," ",11252,10630,338,41,16,227," "," "," "," "," "," "," "," ",99,99," "
2012,00000000,State,06,"Native American",08,156,152,1,1," ",2," ",156,152,2," "," ",2," "," "," "," "," "," "," "," ",99,100," "
2012,00000000,State,06,White,09,48907,47928,753,74,98,54," ",48931,47923,783,67,93,65," "," "," "," "," "," "," "," ",100,100," "
2012,00000000,State,06,"Hawaiian/Pacific Islander",10,95,90,4,1," "," "," ",95,89,5,1," "," "," "," "," "," "," "," "," "," ",99,99," "
2012,00000000,State,06,"Multi-Race (non-Hispanic/Latino)",11,1806,1769,32," ",3,2," ",1808,1771,30,2,2,3," "," "," "," "," "," "," "," ",100,100," "
2012,00000000,State,07,"All Students",01,72788,70554,1195,388,205,446," ",72929,70694,1258,249,209,519," "," "," "," "," "," "," "," ",99,99," "
2012,00000000,State,07,"Students with Disabilities",02,13575,12103,1195,178,71,28," ",13599,12114,1258,125,70,32," "," "," "," "," "," "," "," ",98,99," "
2012,00000000,State,07,"ELL and Former ELL",03,6189,5485,144,107,12,441," ",6260,5554,146,45,6,509," "," "," "," "," "," "," "," ",98,99," "
2012,00000000,State,07,"Low Income",04,26851,25560,622,239,76,354," ",26935,25680,645,146,60,404," "," "," "," "," "," "," "," ",99,99," "
2012,00000000,State,07,"African American",05,6284,5986,156,47,8,87," ",6288,5992,159,35,9,93," "," "," "," "," "," "," "," ",99,99," "
2012,00000000,State,07,Asian,06,3767,3620,48,16,4,79," ",3792,3635,46,8,3,100," "," "," "," "," "," "," "," ",99,100," "
2012,00000000,State,07,Hispanic/Latino,07,11079,10431,272,126,30,220," ",11149,10534,275,65,19,256," "," "," "," "," "," "," "," ",99,99," "
2012,00000000,State,07,"Native American",08,187,179,3,3,2," "," ",188,180,4,4," "," "," "," "," "," "," "," "," "," ",97,98," "
2012,00000000,State,07,White,09,49722,48654,671,187,155,55," ",49764,48675,722,130,173,64," "," "," "," "," "," "," "," ",99,99," "
2012,00000000,State,07,"Hawaiian/Pacific Islander",10,67,65,1," "," ",1," ",67,65,1," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2012,00000000,State,07,"Multi-Race (non-Hispanic/Latino)",11,1650,1595,36,9,6,4," ",1649,1592,41,7,5,4," "," "," "," "," "," "," "," ",99,99," "
2012,00000000,State,08,"All Students",01,73785,71656,1100,359,254,416," ",73799,71536,1169,364,249,481," ",73812,71504,1031,513,282,482," ",99,99,99
2012,00000000,State,08,"Students with Disabilities",02,13600,12210,1100,182,84,24," ",13593,12099,1169,203,96,26," ",13587,12152,1031,278,100,26," ",98,98,97
2012,00000000,State,08,"ELL and Former ELL",03,5153,4542,127,72,6,406," ",5215,4575,136,35,3,466," ",5216,4571,114,59,5,467," ",99,99,99
2012,00000000,State,08,"Low Income",04,26355,25185,588,194,78,310," ",26357,25104,622,204,69,358," ",26348,25049,548,304,88,359," ",99,99,99
2012,00000000,State,08,"African American",05,6314,6050,132,35,9,88," ",6321,6019,140,51,15,96," ",6320,6011,126,70,17,96," ",99,99,99
2012,00000000,State,08,Asian,06,3832,3694,40,12,10,76," ",3843,3700,42,7,8,86," ",3842,3693,39,13,10,87," ",99,100,99
2012,00000000,State,08,Hispanic/Latino,07,10807,10213,258,111,24,201," ",10844,10228,269,93,18,236," ",10838,10182,242,155,23,236," ",99,99,98
2012,00000000,State,08,"Native American",08,176,171,1,3," ",1," ",175,170,2,2," ",1," ",175,171," ",3," ",1," ",98,99,98
2012,00000000,State,08,White,09,50957,49886,637,183,203,48," ",50922,49785,683,198,200,56," ",50945,49814,596,258,221,56," ",99,99,99
2012,00000000,State,08,"Hawaiian/Pacific Islander",10,60,56,2,1," ",1," ",60,57,2," "," ",1," ",60,57,2," "," ",1," ",98,100,100
2012,00000000,State,08,"Multi-Race (non-Hispanic/Latino)",11,1604,1557,24,14,8,1," ",1602,1555,24,13,8,2," ",1601,1554,20,14,11,2," ",99,99,98
2012,00000000,State,10,"All Students",01,70966,68064,995,1265,225,417," ",70890,68008,1007,1164,280,431," ",72719,66829,727,908,44,571,3644,98,98,99
2012,00000000,State,10,"Students with Disabilities",02,12222,10609,995,528,78,12," ",12222,10639,1007,471,94,11," ",12806,10938,727,364,12,15,750,95,95,97
2012,00000000,State,10,"ELL and Former ELL",03,4566,3792,117,235,14,408," ",4566,3852,117,170,10,417," ",4762,3214,90,206,3,551,702,95,96,96
2012,00000000,State,10,"Low Income",04,23913,22259,484,734,92,344," ",23828,22208,490,686,92,352," ",25079,21802,370,509,22,465,1913,97,97,98
2012,00000000,State,10,"African American",05,6251,5798,146,203,17,87," ",6243,5790,151,194,17,91," ",6584,5551,117,130,4,130,656,96,97,98
2012,00000000,State,10,Asian,06,3890,3706,33,55,12,84," ",3901,3730,33,37,11,90," ",3951,3544,26,34,1,132,214,98,99,99
2012,00000000,State,10,Hispanic/Latino,07,9588,8774,218,365,28,203," ",9567,8784,218,320,39,206," ",10129,8499,165,268,8,244,945,96,96,97
2012,00000000,State,10,"Native American",08,170,160,3,5," ",2," ",168,159,3,4," ",2," ",180,158,2,6," ",2,12,97,98,97
2012,00000000,State,10,White,09,49535,48160,572,604,161,38," ",49475,48076,578,580,203,38," ",50279,47617,409,457,27,53,1716,98,98,99
2012,00000000,State,10,"Hawaiian/Pacific Islander",10,91,87,2,1," ",1," ",91,87,2,1," ",1," ",95,87,1,2," ",1,4,99,99,99
2012,00000000,State,10,"Multi-Race (non-Hispanic/Latino)",11,1431,1379,13,32,7," "," ",1434,1382,14,28,10," "," ",1489,1373,7,11,4,2,92,97,97,99
2012,00010000,Abington,03,"All Students",01,177,173,2," "," ",2," ",177,173,2," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2012,00010000,Abington,03,"Students with Disabilities",02,26,24,2," "," "," "," ",26,24,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00010000,Abington,03,"Low Income",04,34,34," "," "," "," "," ",34,34," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00010000,Abington,03,White,09,168,164,2," "," ",2," ",168,164,2," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2012,00010000,Abington,04,"All Students",01,160,153,4,1,1,1," ",160,154,3,1,1,1," "," "," "," "," "," "," "," ",99,99," "
2012,00010000,Abington,04,"Students with Disabilities",02,26,21,4,1," "," "," ",26,22,3,1," "," "," "," "," "," "," "," "," "," ",96,96," "
2012,00010000,Abington,04,"Low Income",04,40,37,2," "," ",1," ",40,38,1," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2012,00010000,Abington,04,White,09,151,145,4,1,1," "," ",151,146,3,1,1," "," "," "," "," "," "," "," "," ",99,99," "
2012,00010000,Abington,05,"All Students",01,158,155,2,1," "," "," ",157,155,2," "," "," "," ",157,155,2," "," "," "," ",99,100,100
2012,00010000,Abington,05,"Students with Disabilities",02,34,31,2,1," "," "," ",34,32,2," "," "," "," ",34,32,2," "," "," "," ",97,100,100
2012,00010000,Abington,05,"Low Income",04,44,43," ",1," "," "," ",44,44," "," "," "," "," ",44,44," "," "," "," "," ",98,100,100
2012,00010000,Abington,05,White,09,145,144," ",1," "," "," ",145,145," "," "," "," "," ",145,145," "," "," "," "," ",99,100,100
2012,00010000,Abington,06,"All Students",01,183,179,4," "," "," "," ",183,179,4," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00010000,Abington,06,"Students with Disabilities",02,33,29,4," "," "," "," ",33,29,4," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00010000,Abington,06,"Low Income",04,38,38," "," "," "," "," ",38,38," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00010000,Abington,06,Hispanic/Latino,07,12,10,2," "," "," "," ",12,10,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00010000,Abington,06,White,09,169,167,2," "," "," "," ",169,167,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00010000,Abington,07,"All Students",01,172,166,1,3,2," "," ",172,171,1," "," "," "," "," "," "," "," "," "," "," ",97,100," "
2012,00010000,Abington,07,"Students with Disabilities",02,31,27,1,1,2," "," ",31,30,1," "," "," "," "," "," "," "," "," "," "," ",90,100," "
2012,00010000,Abington,07,"Low Income",04,38,38," "," "," "," "," ",38,38," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00010000,Abington,07,Hispanic/Latino,07,11,10," ",1," "," "," ",11,11," "," "," "," "," "," "," "," "," "," "," "," ",91,100," "
2012,00010000,Abington,07,White,09,158,153,1,2,2," "," ",158,157,1," "," "," "," "," "," "," "," "," "," "," ",97,100," "
2012,00010000,Abington,08,"All Students",01,170,169," ",1," "," "," ",171,170," ",1," "," "," ",171,170," ",1," "," "," ",99,99,99
2012,00010000,Abington,08,"Students with Disabilities",02,24,23," ",1," "," "," ",24,23," ",1," "," "," ",24,23," ",1," "," "," ",96,96,96
2012,00010000,Abington,08,"Low Income",04,38,38," "," "," "," "," ",39,39," "," "," "," "," ",39,39," "," "," "," "," ",100,100,100
2012,00010000,Abington,08,White,09,153,152," ",1," "," "," ",153,152," ",1," "," "," ",153,152," ",1," "," "," ",99,99,99
2012,00010000,Abington,10,"All Students",01,104,99,3," ",2," "," ",106,101,3," ",2," "," ",107,88,2," "," "," ",17,98,98,100
2012,00010000,Abington,10,"Students with Disabilities",02,21,18,3," "," "," "," ",21,17,3," ",1," "," ",21,15,2," "," "," ",4,100,95,100
2012,00010000,Abington,10,"Low Income",04,19,18,1," "," "," "," ",19,18,1," "," "," "," ",20,19," "," "," "," ",1,100,100,100
2012,00010000,Abington,10,White,09,96,91,3," ",2," "," ",97,92,3," ",2," "," ",98,81,2," "," "," ",15,98,98,100
2012,00020000,Acton,03,"All Students",01,355,353," "," "," ",2," ",357,353,1,1," ",2," "," "," "," "," "," "," "," ",100,100," "
2012,00020000,Acton,03,"Students with Disabilities",02,54,53," "," "," ",1," ",56,53,1,1," ",1," "," "," "," "," "," "," "," ",100,98," "
2012,00020000,Acton,03,"ELL and Former ELL",03,17,15," "," "," ",2," ",18,15," ",1," ",2," "," "," "," "," "," "," "," ",100,94," "
2012,00020000,Acton,03,"Low Income",04,15,14," "," "," ",1," ",16,15," "," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2012,00020000,Acton,03,Asian,06,102,101," "," "," ",1," ",102,100," ",1," ",1," "," "," "," "," "," "," "," ",100,99," "
2012,00020000,Acton,03,Hispanic/Latino,07,10,9," "," "," ",1," ",11,10," "," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2012,00020000,Acton,03,White,09,217,217," "," "," "," "," ",218,217,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020000,Acton,03,"Multi-Race (non-Hispanic/Latino)",11,20,20," "," "," "," "," ",20,20," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020000,Acton,04,"All Students",01,357,354,2,1," "," "," ",357,354,2,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020000,Acton,04,"Students with Disabilities",02,54,51,2,1," "," "," ",54,51,2,1," "," "," "," "," "," "," "," "," "," ",98,98," "
2012,00020000,Acton,04,"ELL and Former ELL",03,17,17," "," "," "," "," ",17,17," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020000,Acton,04,"Low Income",04,15,15," "," "," "," "," ",15,15," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020000,Acton,04,Asian,06,104,103,1," "," "," "," ",104,103,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020000,Acton,04,White,09,224,222,1,1," "," "," ",224,222,1,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020000,Acton,04,"Multi-Race (non-Hispanic/Latino)",11,16,16," "," "," "," "," ",16,16," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020000,Acton,05,"All Students",01,387,383,4," "," "," "," ",387,384,3," "," "," "," ",387,385,2," "," "," "," ",100,100,100
2012,00020000,Acton,05,"Students with Disabilities",02,61,57,4," "," "," "," ",61,58,3," "," "," "," ",61,59,2," "," "," "," ",100,100,100
2012,00020000,Acton,05,"ELL and Former ELL",03,11,11," "," "," "," "," ",11,11," "," "," "," "," ",11,11," "," "," "," "," ",100,100,100
2012,00020000,Acton,05,"Low Income",04,11,10,1," "," "," "," ",11,10,1," "," "," "," ",11,11," "," "," "," "," ",100,100,100
2012,00020000,Acton,05,Asian,06,115,115," "," "," "," "," ",115,115," "," "," "," "," ",115,115," "," "," "," "," ",100,100,100
2012,00020000,Acton,05,Hispanic/Latino,07,10,10," "," "," "," "," ",10,10," "," "," "," "," ",10,10," "," "," "," "," ",100,100,100
2012,00020000,Acton,05,White,09,244,240,4," "," "," "," ",244,241,3," "," "," "," ",244,242,2," "," "," "," ",100,100,100
2012,00020000,Acton,05,"Multi-Race (non-Hispanic/Latino)",11,14,14," "," "," "," "," ",14,14," "," "," "," "," ",14,14," "," "," "," "," ",100,100,100
2012,00020000,Acton,06,"All Students",01,374,372,1,1," "," "," ",375,372,2," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2012,00020000,Acton,06,"Students with Disabilities",02,72,71,1," "," "," "," ",72,70,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020000,Acton,06,"ELL and Former ELL",03,17,16," ",1," "," "," ",17,16," "," "," ",1," "," "," "," "," "," "," "," ",94,100," "
2012,00020000,Acton,06,"Low Income",04,19,19," "," "," "," "," ",19,19," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020000,Acton,06,Asian,06,91,90," ",1," "," "," ",92,91," "," "," ",1," "," "," "," "," "," "," "," ",99,100," "
2012,00020000,Acton,06,White,09,248,247,1," "," "," "," ",248,246,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00020000,Acton,06,"Multi-Race (non-Hispanic/Latino)",11,21,21," "," "," "," "," ",21,21," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00030000,Acushnet,03,"All Students",01,112,110,2," "," "," "," ",112,110,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00030000,Acushnet,03,"Students with Disabilities",02,17,15,2," "," "," "," ",17,15,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00030000,Acushnet,03,"Low Income",04,25,24,1," "," "," "," ",25,24,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00030000,Acushnet,03,White,09,112,110,2," "," "," "," ",112,110,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00030000,Acushnet,04,"All Students",01,112,107,5," "," "," "," ",112,108,4," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00030000,Acushnet,04,"Students with Disabilities",02,28,23,5," "," "," "," ",28,24,4," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00030000,Acushnet,04,"Low Income",04,26,25,1," "," "," "," ",26,26," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00030000,Acushnet,04,White,09,112,107,5," "," "," "," ",112,108,4," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00030000,Acushnet,05,"All Students",01,116,116," "," "," "," "," ",117,117," "," "," "," "," ",117,117," "," "," "," "," ",100,100,100
2012,00030000,Acushnet,05,"Students with Disabilities",02,23,23," "," "," "," "," ",23,23," "," "," "," "," ",23,23," "," "," "," "," ",100,100,100
2012,00030000,Acushnet,05,"Low Income",04,39,39," "," "," "," "," ",40,40," "," "," "," "," ",40,40," "," "," "," "," ",100,100,100
2012,00030000,Acushnet,05,White,09,115,115," "," "," "," "," ",116,116," "," "," "," "," ",116,116," "," "," "," "," ",100,100,100
2012,00030000,Acushnet,06,"All Students",01,112,111,1," "," "," "," ",112,111,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00030000,Acushnet,06,"Students with Disabilities",02,20,19,1," "," "," "," ",20,19,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00030000,Acushnet,06,"Low Income",04,29,29," "," "," "," "," ",29,29," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00030000,Acushnet,06,White,09,112,111,1," "," "," "," ",112,111,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00030000,Acushnet,07,"All Students",01,127,127," "," "," "," "," ",126,125," "," ",1," "," "," "," "," "," "," "," "," ",100,99," "
2012,00030000,Acushnet,07,"Students with Disabilities",02,16,16," "," "," "," "," ",16,15," "," ",1," "," "," "," "," "," "," "," "," ",100,94," "
2012,00030000,Acushnet,07,"Low Income",04,40,40," "," "," "," "," ",39,39," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00030000,Acushnet,07,White,09,125,125," "," "," "," "," ",124,123," "," ",1," "," "," "," "," "," "," "," "," ",100,99," "
2012,00030000,Acushnet,08,"All Students",01,136,134,1," ",1," "," ",136,133,1," ",2," "," ",136,133,1," ",2," "," ",99,99,99
2012,00030000,Acushnet,08,"Students with Disabilities",02,22,20,1," ",1," "," ",22,20,1," ",1," "," ",22,20,1," ",1," "," ",95,95,95
2012,00030000,Acushnet,08,"Low Income",04,26,26," "," "," "," "," ",26,26," "," "," "," "," ",26,26," "," "," "," "," ",100,100,100
2012,00030000,Acushnet,08,White,09,133,131,1," ",1," "," ",133,130,1," ",2," "," ",133,130,1," ",2," "," ",99,98,98
2012,00050000,Agawam,03,"All Students",01,302,294,6,1,1," "," ",302,295,6," "," ",1," "," "," "," "," "," "," "," ",99,100," "
2012,00050000,Agawam,03,"Students with Disabilities",02,60,54,6," "," "," "," ",60,54,6," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00050000,Agawam,03,"ELL and Former ELL",03,28,27," ",1," "," "," ",28,27," "," "," ",1," "," "," "," "," "," "," "," ",96,100," "
2012,00050000,Agawam,03,"Low Income",04,79,78," ",1," "," "," ",79,78," "," "," ",1," "," "," "," "," "," "," "," ",99,100," "
2012,00050000,Agawam,03,Hispanic/Latino,07,20,20," "," "," "," "," ",20,20," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00050000,Agawam,03,White,09,269,262,5,1,1," "," ",269,263,5," "," ",1," "," "," "," "," "," "," "," ",99,100," "
2012,00050000,Agawam,04,"All Students",01,286,282,3," ",1," "," ",284,278,3,1,2," "," "," "," "," "," "," "," "," ",100,99," "
2012,00050000,Agawam,04,"Students with Disabilities",02,50,47,3," "," "," "," ",49,46,3," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00050000,Agawam,04,"ELL and Former ELL",03,24,24," "," "," "," "," ",24,23," ",1," "," "," "," "," "," "," "," "," "," ",100,96," "
2012,00050000,Agawam,04,"Low Income",04,91,90," "," ",1," "," ",90,89," "," ",1," "," "," "," "," "," "," "," "," ",99,99," "
2012,00050000,Agawam,04,White,09,272,269,2," ",1," "," ",271,266,2,1,2," "," "," "," "," "," "," "," "," ",100,99," "
2012,00050000,Agawam,05,"All Students",01,312,304,8," "," "," "," ",312,304,8," "," "," "," ",312,305,7," "," "," "," ",100,100,100
2012,00050000,Agawam,05,"Students with Disabilities",02,53,45,8," "," "," "," ",53,45,8," "," "," "," ",53,46,7," "," "," "," ",100,100,100
2012,00050000,Agawam,05,"ELL and Former ELL",03,17,16,1," "," "," "," ",17,16,1," "," "," "," ",17,16,1," "," "," "," ",100,100,100
2012,00050000,Agawam,05,"Low Income",04,90,86,4," "," "," "," ",90,86,4," "," "," "," ",90,86,4," "," "," "," ",100,100,100
2012,00050000,Agawam,05,Hispanic/Latino,07,18,17,1," "," "," "," ",18,17,1," "," "," "," ",18,17,1," "," "," "," ",100,100,100
2012,00050000,Agawam,05,White,09,285,278,7," "," "," "," ",285,278,7," "," "," "," ",285,279,6," "," "," "," ",100,100,100
2012,00050000,Agawam,06,"All Students",01,313,306,4,1," ",2," ",313,306,5," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2012,00050000,Agawam,06,"Students with Disabilities",02,43,37,4," "," ",2," ",44,37,5," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2012,00050000,Agawam,06,"ELL and Former ELL",03,12,11," ",1," "," "," ",12,12," "," "," "," "," "," "," "," "," "," "," "," ",92,100," "
2012,00050000,Agawam,06,"Low Income",04,107,101,3,1," ",2," ",107,102,3," "," ",2," "," "," "," "," "," "," "," ",99,100," "
2012,00050000,Agawam,06,Hispanic/Latino,07,17,15," "," "," ",2," ",17,15," "," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2012,00050000,Agawam,06,White,09,276,272,4," "," "," "," ",276,271,5," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00050000,Agawam,06,"Multi-Race (non-Hispanic/Latino)",11,11,11," "," "," "," "," ",11,11," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00050000,Agawam,07,"All Students",01,355,341,10,1,3," "," ",355,342,11," ",2," "," "," "," "," "," "," "," "," ",99,99," "
2012,00050000,Agawam,07,"Students with Disabilities",02,57,46,10,1," "," "," ",57,46,11," "," "," "," "," "," "," "," "," "," "," ",98,100," "
2012,00050000,Agawam,07,"ELL and Former ELL",03,13,13," "," "," "," "," ",13,13," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00050000,Agawam,07,"Low Income",04,114,108,3,1,2," "," ",114,108,4," ",2," "," "," "," "," "," "," "," "," ",97,98," "
