Year,Org_code,DistrictName,SchoolName,Subject,Group,sadv_num,sadv_per,spro_num,spro_per,sni_num,sni_per,swf_num,swf_per,stotal,sayp_part_rate,scpi
2011,00000000,State,State,PHY,"All Students",3851,22,6791,39,4784,27,2034,12,17460,99,85
2011,00000000,State,State,PHY,"Non-Low Income",3464,31,4948,44,2328,21,570,5,11310,100,88.7
2011,00000000,State,State,PHY,"Low Income",387,6,1843,30,2456,40,1464,24,6150,98,80.7
2011,00000000,State,State,PHY,Male,2188,24,3449,38,2280,25,1056,12,8973,99,85.3
2011,00000000,State,State,PHY,Female,1660,20,3339,39,2501,30,973,11,8473,99,84.6
2011,00000000,State,State,PHY,"High Needs",550,7,2305,30,3107,40,1798,23,7760,98,78.7
2011,00000000,State,State,PHY,"Native American",2,10,9,45,5,25,4,20,20,100," "
2011,00000000,State,State,PHY,Black,103,5,653,32,826,40,483,23,2065,98,79.6
2011,00000000,State,State,PHY,Asian,407,41,372,37,158,16,60,6,997,100,95.2
2011,00000000,State,State,PHY,Hispanic/Latino,157,6,671,25,1078,39,826,30,2732,97,74.6
2011,00000000,State,State,PHY,White,3069,27,4933,44,2605,23,612,5,11219,99,89
2011,00000000,State,State,PHY,Hawaiian,2,8,9,35,10,38,5,19,26,93," "
2011,00000000,State,State,PHY,Multi-race,108,28,141,36,99,26,39,10,387,100,86.5
2011,00000000,State,State,PHY,"Formerly LEP",22,10,66,30,99,45,35,16,222,99,91.7
2011,00000000,State,State,PHY,LEP,51,5,149,15,372,37,429,43,1001,98,53.6
2011,00000000,State,State,PHY,"LEP/Formerly LEP",73,6,215,18,471,39,464,38,1223,98,57
2011,00000000,State,State,PHY,"Special Ed",139,5,580,21,1120,41,870,32,2709,98,67
2011,00000000,State,State,PHY,"Non-Title 1",3603,27,5606,43,3063,23,830,6,13102,100,84.2
2011,00000000,State,State,PHY,"Title 1",248,6,1185,27,1721,39,1204,28,4358,97,85.6
2011,00000000,State,State,TEC,"All Students",153,7,956,46,647,31,319,15,2075,99,79.5
2011,00000000,State,State,TEC,"Non-Low Income",127,9,716,53,365,27,146,11,1354,100,83.1
2011,00000000,State,State,TEC,"Low Income",26,4,240,33,282,39,173,24,721,99,73.1
2011,00000000,State,State,TEC,Male,128,9,672,49,397,29,179,13,1376,99,81.7
2011,00000000,State,State,TEC,Female,25,4,283,41,250,36,140,20,698,99,71
2011,00000000,State,State,TEC,"High Needs",32,3,359,32,454,40,291,26,1136,99,72.1
2011,00000000,State,State,TEC,Black,1,1,44,29,64,42,45,29,154,99,62.5
2011,00000000,State,State,TEC,Asian,5,13,20,50,9,23,6,15,40,100,75
2011,00000000,State,State,TEC,Hispanic/Latino,5,2,70,27,104,40,82,31,261,98,61.5
2011,00000000,State,State,TEC,White,139,9,814,51,462,29,182,11,1597,100,83
2011,00000000,State,State,TEC,Multi-race,3,16,5,26,7,37,4,21,19,100,87.5
2011,00000000,State,State,TEC,"Formerly LEP",0,0,8,31,9,35,9,35,26,93,75
2011,00000000,State,State,TEC,LEP,0,0,7,9,28,36,43,55,78,100,46.7
2011,00000000,State,State,TEC,"LEP/Formerly LEP",0,0,15,14,37,36,52,50,104,98,48.4
2011,00000000,State,State,TEC,"Special Ed",8,1,161,25,253,39,231,35,653,98,69
2011,00000000,State,State,TEC,"Non-Title 1",132,8,757,47,484,30,233,15,1606,100,79.3
2011,00000000,State,State,TEC,"Title 1",21,4,199,42,163,35,86,18,469,99,80
2011,00010000,Abington,District,BIO,"All Students",27,14,127,65,34,18,6,3,194,98,94.1
2011,00010000,Abington,District,BIO,"Non-Low Income",25,15,108,65,31,19,3,2,167,98,95
2011,00010000,Abington,District,BIO,"Low Income",2,7,19,70,3,11,3,11,27,96,87.5
2011,00010000,Abington,District,BIO,Male,15,15,64,65,15,15,5,5,99,98,94
2011,00010000,Abington,District,BIO,Female,12,13,63,66,19,20,1,1,95,98,94.1
2011,00010000,Abington,District,BIO,"High Needs",2,5,25,58,11,26,5,12,43,93,85.3
2011,00010000,Abington,District,BIO,White,25,14,117,66,30,17,6,3,178,98,94.2
2011,00010000,Abington,District,BIO,"Special Ed",0,0,9,43,8,38,4,19,21,91,70.8
2011,00010000,Abington,District,BIO,"Non-Title 1",27,14,126,65,34,18,6,3,193,98,94
2011,00010505,Abington,"Abington High",BIO,"All Students",27,15,123,67,30,16,4,2,184,99,94.1
2011,00010505,Abington,"Abington High",BIO,"Non-Low Income",25,16,106,67,27,17,1,1,159,99,95.2
2011,00010505,Abington,"Abington High",BIO,"Low Income",2,8,17,68,3,12,3,12,25,96,86.4
2011,00010505,Abington,"Abington High",BIO,Male,15,16,63,66,13,14,4,4,95,99,94.3
2011,00010505,Abington,"Abington High",BIO,Female,12,13,60,67,17,19,0,0,89,99,94
2011,00010505,Abington,"Abington High",BIO,"High Needs",2,5,23,58,11,28,4,10,40,98,84.4
2011,00010505,Abington,"Abington High",BIO,White,25,15,113,66,28,16,4,2,170,99,94
2011,00010505,Abington,"Abington High",BIO,"Special Ed",0,0,9,45,8,40,3,15,20,100,70.8
2011,00010505,Abington,"Abington High",BIO,"Non-Title 1",27,15,123,67,30,16,4,2,184,99,94.1
2011,00050000,Agawam,District,BIO,"All Students",29,63,12,26,0,0,5,11,46,94,84.1
2011,00050000,Agawam,District,BIO,"Non-Low Income",27,66,10,24,0,0,4,10,41,98,88.9
2011,00050000,Agawam,District,BIO,Male,18,69,6,23,0,0,2,8,26,93,70
2011,00050000,Agawam,District,BIO,Female,11,55,6,30,0,0,3,15,20,96,95.8
2011,00050000,Agawam,District,BIO,"High Needs",3,27,3,27,0,0,5,45,11,83,65
2011,00050000,Agawam,District,BIO,White,28,65,10,23,0,0,5,12,43,98,80.6
2011,00050000,Agawam,District,BIO,"Non-Title 1",29,63,12,26,0,0,5,11,46,94,84.1
2011,00050000,Agawam,District,PHY,"All Students",23,7,150,48,119,38,22,7,314,100,50
2011,00050000,Agawam,District,PHY,"Non-Low Income",17,8,122,54,76,34,9,4,224,100," "
2011,00050000,Agawam,District,PHY,"Low Income",6,7,28,31,43,48,13,14,90,100,50
2011,00050000,Agawam,District,PHY,Male,17,10,86,53,52,32,8,5,163,100," "
2011,00050000,Agawam,District,PHY,Female,6,4,64,42,67,44,14,9,151,100,50
2011,00050000,Agawam,District,PHY,"High Needs",7,6,33,30,55,50,15,14,110,100,50
2011,00050000,Agawam,District,PHY,Hispanic/Latino,0,0,3,25,7,58,2,17,12,100," "
2011,00050000,Agawam,District,PHY,White,23,8,141,49,107,37,17,6,288,100,50
2011,00050000,Agawam,District,PHY,"LEP/Formerly LEP",1,10,3,30,5,50,1,10,10,100," "
2011,00050000,Agawam,District,PHY,"Special Ed",1,2,10,24,22,52,9,21,42,100,50
2011,00050000,Agawam,District,PHY,"Non-Title 1",23,7,150,48,119,38,22,7,314,100,50
2011,00050505,Agawam,"Agawam High",BIO,"All Students",29,76,7,18,0,0,2,5,38,98,83.3
2011,00050505,Agawam,"Agawam High",BIO,"Non-Low Income",27,77,7,20,0,0,1,3,35,100,95
2011,00050505,Agawam,"Agawam High",BIO,Male,18,86,2,10,0,0,1,5,21,96,62.5
2011,00050505,Agawam,"Agawam High",BIO,Female,11,65,5,29,0,0,1,6,17,100,93.8
2011,00050505,Agawam,"Agawam High",BIO,White,28,76,7,19,0,0,2,5,37,100,80
2011,00050505,Agawam,"Agawam High",BIO,"Non-Title 1",29,76,7,18,0,0,2,5,38,98,83.3
2011,00050505,Agawam,"Agawam High",PHY,"All Students",22,7,150,48,117,38,22,7,311,100,50
2011,00050505,Agawam,"Agawam High",PHY,"Non-Low Income",16,7,122,55,76,34,9,4,223,100," "
2011,00050505,Agawam,"Agawam High",PHY,"Low Income",6,7,28,32,41,47,13,15,88,100,50
2011,00050505,Agawam,"Agawam High",PHY,Male,16,10,86,54,50,31,8,5,160,100," "
2011,00050505,Agawam,"Agawam High",PHY,Female,6,4,64,42,67,44,14,9,151,100,50
2011,00050505,Agawam,"Agawam High",PHY,"High Needs",7,6,33,31,53,49,15,14,108,100,50
2011,00050505,Agawam,"Agawam High",PHY,Hispanic/Latino,0,0,3,27,6,55,2,18,11,100," "
2011,00050505,Agawam,"Agawam High",PHY,White,22,8,141,49,107,37,17,6,287,100,50
2011,00050505,Agawam,"Agawam High",PHY,"LEP/Formerly LEP",1,10,3,30,5,50,1,10,10,100," "
2011,00050505,Agawam,"Agawam High",PHY,"Special Ed",1,2,10,24,22,52,9,21,42,100,50
2011,00050505,Agawam,"Agawam High",PHY,"Non-Title 1",22,7,150,48,117,38,22,7,311,100,50
2011,00070000,Amesbury,District,BIO,"All Students",38,24,81,51,31,20,8,5,158,98,71.4
2011,00070000,Amesbury,District,BIO,"Non-Low Income",33,27,63,51,23,19,5,4,124,98,100
2011,00070000,Amesbury,District,BIO,"Low Income",5,15,18,53,8,24,3,9,34,94,50
2011,00070000,Amesbury,District,BIO,Male,23,28,42,52,13,16,3,4,81,96,25
2011,00070000,Amesbury,District,BIO,Female,14,18,39,51,18,24,5,7,76,99,79.2
2011,00070000,Amesbury,District,BIO,"High Needs",6,11,23,42,19,35,7,13,55,95,50
2011,00070000,Amesbury,District,BIO,White,35,24,75,51,29,20,7,5,146,97,75
2011,00070000,Amesbury,District,BIO,"Special Ed",1,3,6,21,15,52,7,24,29,91,33.3
2011,00070000,Amesbury,District,BIO,"Non-Title 1",38,24,81,51,31,20,8,5,158,98,71.4
2011,00070505,Amesbury,"Amesbury High",BIO,"All Students",36,24,79,52,29,19,7,5,151,97,71.4
2011,00070505,Amesbury,"Amesbury High",BIO,"Non-Low Income",31,26,62,52,21,18,5,4,119,98,100
2011,00070505,Amesbury,"Amesbury High",BIO,"Low Income",5,16,17,53,8,25,2,6,32,94,50
2011,00070505,Amesbury,"Amesbury High",BIO,Male,23,30,40,53,11,14,2,3,76,96,25
2011,00070505,Amesbury,"Amesbury High",BIO,Female,13,17,39,52,18,24,5,7,75,99,79.2
2011,00070505,Amesbury,"Amesbury High",BIO,"High Needs",6,12,22,43,17,33,6,12,51,94,50
2011,00070505,Amesbury,"Amesbury High",BIO,White,34,24,74,52,27,19,6,4,141,97,75
2011,00070505,Amesbury,"Amesbury High",BIO,"Special Ed",1,4,6,23,13,50,6,23,26,90,33.3
2011,00070505,Amesbury,"Amesbury High",BIO,"Non-Title 1",36,24,79,52,29,19,7,5,151,97,71.4
2011,00090000,Andover,District,BIO,"All Students",1,4,7,25,8,29,12,43,28,93,92.9
2011,00090000,Andover,District,BIO,"Non-Low Income",1,4,5,21,8,33,10,42,24,92,92.9
2011,00090000,Andover,District,BIO,Male,0,0,3,23,5,38,5,38,13,87,100
2011,00090000,Andover,District,BIO,Female,1,7,4,27,3,20,7,47,15,100,91.7
2011,00090000,Andover,District,BIO,"High Needs",0,0,5,23,5,23,12,55,22,92,91.7
2011,00090000,Andover,District,BIO,White,1,5,4,21,4,21,10,53,19,95,95
2011,00090000,Andover,District,BIO,"Special Ed",0,0,3,15,5,25,12,60,20,91,87.5
2011,00090000,Andover,District,BIO,"Non-Title 1",1,4,7,25,8,29,12,43,28,93,92.9
2011,00090000,Andover,District,PHY,"All Students",222,51,175,40,34,8,4,1,435,100,100
2011,00090000,Andover,District,PHY,"Non-Low Income",217,52,167,40,27,7,4,1,415,100,100
2011,00090000,Andover,District,PHY,"Low Income",5,25,8,40,7,35,0,0,20,100," "
2011,00090000,Andover,District,PHY,Male,130,59,77,35,14,6,1,0,222,100,100
2011,00090000,Andover,District,PHY,Female,92,43,98,46,20,9,3,1,213,100,100
2011,00090000,Andover,District,PHY,"High Needs",16,20,37,46,24,30,4,5,81,100," "
2011,00090000,Andover,District,PHY,Asian,37,71,14,27,1,2,0,0,52,100,100
2011,00090000,Andover,District,PHY,Hispanic/Latino,6,46,2,15,5,38,0,0,13,100," "
2011,00090000,Andover,District,PHY,White,174,49,151,42,27,8,4,1,356,100,100
2011,00090000,Andover,District,PHY,"Special Ed",8,14,29,49,18,31,4,7,59,100," "
2011,00090000,Andover,District,PHY,"Non-Title 1",222,51,175,40,34,8,4,1,435,100,100
2011,00090505,Andover,"Andover High",BIO,"All Students",1,6,6,35,1,6,9,53,17,94,100
2011,00090505,Andover,"Andover High",BIO,"Non-Low Income",1,8,4,31,1,8,7,54,13,93,100
2011,00090505,Andover,"Andover High",BIO,Female,1,10,3,30,1,10,5,50,10,100,100
2011,00090505,Andover,"Andover High",BIO,"High Needs",0,0,4,29,1,7,9,64,14,93,100
2011,00090505,Andover,"Andover High",BIO,White,1,8,3,25,1,8,7,58,12,100,100
2011,00090505,Andover,"Andover High",BIO,"Special Ed",0,0,2,17,1,8,9,75,12,92," "
2011,00090505,Andover,"Andover High",BIO,"Non-Title 1",1,6,6,35,1,6,9,53,17,94,100
2011,00090505,Andover,"Andover High",PHY,"All Students",220,51,175,40,34,8,4,1,433,100,100
2011,00090505,Andover,"Andover High",PHY,"Non-Low Income",215,52,167,40,27,7,4,1,413,100,100
2011,00090505,Andover,"Andover High",PHY,"Low Income",5,25,8,40,7,35,0,0,20,100," "
2011,00090505,Andover,"Andover High",PHY,Male,128,58,77,35,14,6,1,0,220,100,100
2011,00090505,Andover,"Andover High",PHY,Female,92,43,98,46,20,9,3,1,213,100,100
2011,00090505,Andover,"Andover High",PHY,"High Needs",15,19,37,46,24,30,4,5,80,100," "
2011,00090505,Andover,"Andover High",PHY,Asian,36,71,14,27,1,2,0,0,51,100,100
2011,00090505,Andover,"Andover High",PHY,Hispanic/Latino,6,46,2,15,5,38,0,0,13,100," "
2011,00090505,Andover,"Andover High",PHY,White,173,49,151,43,27,8,4,1,355,100,100
2011,00090505,Andover,"Andover High",PHY,"Special Ed",8,14,29,49,18,31,4,7,59,100," "
2011,00090505,Andover,"Andover High",PHY,"Non-Title 1",220,51,175,40,34,8,4,1,433,100,100
2011,00100000,Arlington,District,BIO,"All Students",4,21,4,21,8,42,3,16,19,90,92.5
2011,00100000,Arlington,District,BIO,"Non-Low Income",3,20,4,27,5,33,3,20,15,100,96.9
2011,00100000,Arlington,District,BIO,Male,1,9,4,36,5,45,1,9,11,92,100
2011,00100000,Arlington,District,BIO,"High Needs",1,8,3,23,7,54,2,15,13,87,90
2011,00100000,Arlington,District,BIO,White,4,22,4,22,8,44,2,11,18,95,92.5
2011,00100000,Arlington,District,BIO,"Special Ed",0,0,3,25,7,58,2,17,12,100,87.5
2011,00100000,Arlington,District,BIO,"Non-Title 1",4,21,4,21,8,42,3,16,19,90,92.5
2011,00100000,Arlington,District,PHY,"All Students",136,47,104,36,42,14,9,3,291,100,68.8
2011,00100000,Arlington,District,PHY,"Non-Low Income",133,51,86,33,36,14,7,3,262,100,66.7
2011,00100000,Arlington,District,PHY,"Low Income",3,10,18,62,6,21,2,7,29,100,75
2011,00100000,Arlington,District,PHY,Male,65,53,37,30,19,16,1,1,122,100,66.7
2011,00100000,Arlington,District,PHY,Female,70,42,67,40,23,14,8,5,168,100,75
2011,00100000,Arlington,District,PHY,"High Needs",7,13,22,41,18,33,7,13,54,100,66.7
2011,00100000,Arlington,District,PHY,Black,1,8,5,42,4,33,2,17,12,100,75
2011,00100000,Arlington,District,PHY,Asian,10,42,13,54,1,4,0,0,24,100," "
2011,00100000,Arlington,District,PHY,Hispanic/Latino,6,33,10,56,2,11,0,0,18,100," "
2011,00100000,Arlington,District,PHY,White,116,50,74,32,34,15,7,3,231,100,66.7
2011,00100000,Arlington,District,PHY,"Special Ed",4,14,6,21,13,46,5,18,28,100,62.5
2011,00100000,Arlington,District,PHY,"Non-Title 1",136,47,103,36,42,15,8,3,289,100,68.8
2011,00100505,Arlington,"Arlington High",BIO,"All Students",4,33,3,25,5,42,0,0,12,86,96.9
2011,00100505,Arlington,"Arlington High",BIO,White,4,33,3,25,5,42,0,0,12,92,96.9
2011,00100505,Arlington,"Arlington High",BIO,"Non-Title 1",4,33,3,25,5,42,0,0,12,86,96.9
2011,00100505,Arlington,"Arlington High",PHY,"All Students",135,47,102,36,42,15,8,3,287,100,68.8
2011,00100505,Arlington,"Arlington High",PHY,"Non-Low Income",132,51,85,33,36,14,7,3,260,100,66.7
2011,00100505,Arlington,"Arlington High",PHY,"Low Income",3,11,17,63,6,22,1,4,27,100,75
2011,00100505,Arlington,"Arlington High",PHY,Male,65,54,36,30,19,16,1,1,121,100,66.7
2011,00100505,Arlington,"Arlington High",PHY,Female,70,42,66,40,23,14,7,4,166,100,75
2011,00100505,Arlington,"Arlington High",PHY,"High Needs",7,13,21,40,18,35,6,12,52,100,66.7
2011,00100505,Arlington,"Arlington High",PHY,Black,1,10,4,40,4,40,1,10,10,100,75
2011,00100505,Arlington,"Arlington High",PHY,Asian,10,42,13,54,1,4,0,0,24,100," "
2011,00100505,Arlington,"Arlington High",PHY,Hispanic/Latino,6,33,10,56,2,11,0,0,18,100," "
2011,00100505,Arlington,"Arlington High",PHY,White,116,50,73,32,34,15,7,3,230,100,66.7
2011,00100505,Arlington,"Arlington High",PHY,"Special Ed",4,14,6,21,13,46,5,18,28,100,62.5
2011,00100505,Arlington,"Arlington High",PHY,"Non-Title 1",135,47,102,36,42,15,8,3,287,100,68.8
2011,00140000,Ashland,District,BIO,"All Students",41,51,30,37,9,11,1,1,81,99,83.8
2011,00140000,Ashland,District,BIO,"Non-Low Income",40,54,26,35,7,9,1,1,74,99,81.7
2011,00140000,Ashland,District,BIO,Male,23,50,15,33,8,17,0,0,46,98,85
2011,00140000,Ashland,District,BIO,Female,18,51,15,43,1,3,1,3,35,100,80
2011,00140000,Ashland,District,BIO,"High Needs",1,6,6,38,8,50,1,6,16,94,78.6
2011,00140000,Ashland,District,BIO,Asian,8,73,2,18,1,9,0,0,11,100,75
2011,00140000,Ashland,District,BIO,White,32,50,26,41,6,9,0,0,64,98,89.1
2011,00140000,Ashland,District,BIO,"Special Ed",0,0,3,30,6,60,1,10,10,91,75
2011,00140000,Ashland,District,BIO,"Non-Title 1",41,51,30,37,9,11,1,1,81,99,83.8
2011,00140505,Ashland,"Ashland High",BIO,"All Students",41,53,28,36,8,10,1,1,78,100,82.4
2011,00140505,Ashland,"Ashland High",BIO,"Non-Low Income",40,56,24,34,6,8,1,1,71,100,79.2
2011,00140505,Ashland,"Ashland High",BIO,Male,23,52,14,32,7,16,0,0,44,100,84.6
2011,00140505,Ashland,"Ashland High",BIO,Female,18,53,14,41,1,3,1,3,34,100,75
2011,00140505,Ashland,"Ashland High",BIO,"High Needs",1,7,6,40,7,47,1,7,15,100,78.8
2011,00140505,Ashland,"Ashland High",BIO,Asian,8,73,2,18,1,9,0,0,11,100,75
2011,00140505,Ashland,"Ashland High",BIO,White,32,52,24,39,5,8,0,0,61,100,88.5
2011,00140505,Ashland,"Ashland High",BIO,"Non-Title 1",41,53,28,36,8,10,1,1,78,100,82.4
2011,00160000,Attleboro,District,BIO,"All Students",0,0,4,24,5,29,8,47,17,81,69.4
2011,00160000,Attleboro,District,BIO,"Non-Low Income",0,0,3,27,2,18,6,55,11,79,67.9
2011,00160000,Attleboro,District,BIO,"High Needs",0,0,1,8,3,25,8,67,12,92,55
2011,00160000,Attleboro,District,BIO,White,0,0,4,31,3,23,6,46,13,81,68.8
2011,00160000,Attleboro,District,BIO,"Non-Title 1",0,0,4,24,5,29,8,47,17,81,69.4
2011,00160000,Attleboro,District,PHY,"All Students",77,18,196,46,121,28,32,8,426,100,70.8
2011,00160000,Attleboro,District,PHY,"Non-Low Income",68,24,142,49,65,23,13,5,288,100,75
2011,00160000,Attleboro,District,PHY,"Low Income",9,7,54,39,56,41,19,14,138,100,68.8
2011,00160000,Attleboro,District,PHY,Male,48,22,98,45,53,24,20,9,219,100,65
2011,00160000,Attleboro,District,PHY,Female,29,14,98,47,68,33,12,6,207,100,100
2011,00160000,Attleboro,District,PHY,"High Needs",10,6,63,38,64,39,29,17,166,100,70
2011,00160000,Attleboro,District,PHY,Black,0,0,12,71,4,24,1,6,17,100," "
2011,00160000,Attleboro,District,PHY,Asian,4,17,10,42,7,29,3,13,24,100," "
2011,00160000,Attleboro,District,PHY,Hispanic/Latino,1,3,13,37,15,43,6,17,35,100,75
2011,00160000,Attleboro,District,PHY,White,72,21,155,45,93,27,21,6,341,100,70
2011,00160000,Attleboro,District,PHY,"Formerly LEP",0,0,4,36,6,55,1,9,11,100," "
2011,00160000,Attleboro,District,PHY,"LEP/Formerly LEP",0,0,4,27,6,40,5,33,15,100," "
2011,00160000,Attleboro,District,PHY,"Special Ed",1,2,13,25,21,40,17,33,52,100,70
2011,00160000,Attleboro,District,PHY,"Non-Title 1",77,18,196,46,121,28,32,8,426,100,70.8
2011,00160505,Attleboro,"Attleboro High",PHY,"All Students",75,18,194,46,118,28,31,7,418,100,70.8
2011,00160505,Attleboro,"Attleboro High",PHY,"Non-Low Income",67,24,142,50,62,22,13,5,284,100,75
2011,00160505,Attleboro,"Attleboro High",PHY,"Low Income",8,6,52,39,56,42,18,13,134,100,68.8
2011,00160505,Attleboro,"Attleboro High",PHY,Male,46,22,96,45,52,24,19,9,213,100,65
2011,00160505,Attleboro,"Attleboro High",PHY,Female,29,14,98,48,66,32,12,6,205,100,100
2011,00160505,Attleboro,"Attleboro High",PHY,"High Needs",8,5,61,38,64,40,28,17,161,100,70
2011,00160505,Attleboro,"Attleboro High",PHY,Black,0,0,12,71,4,24,1,6,17,100," "
2011,00160505,Attleboro,"Attleboro High",PHY,Asian,4,17,10,42,7,29,3,13,24,100," "
2011,00160505,Attleboro,"Attleboro High",PHY,Hispanic/Latino,1,3,13,38,14,41,6,18,34,100,75
2011,00160505,Attleboro,"Attleboro High",PHY,White,70,21,154,46,91,27,20,6,335,100,70
2011,00160505,Attleboro,"Attleboro High",PHY,"Formerly LEP",0,0,4,36,6,55,1,9,11,100," "
2011,00160505,Attleboro,"Attleboro High",PHY,"LEP/Formerly LEP",0,0,4,27,6,40,5,33,15,100," "
2011,00160505,Attleboro,"Attleboro High",PHY,"Special Ed",0,0,13,25,21,41,17,33,51,100,70
2011,00160505,Attleboro,"Attleboro High",PHY,"Non-Title 1",75,18,194,46,118,28,31,7,418,100,70.8
2011,00170000,Auburn,District,BIO,"All Students",59,34,91,53,19,11,4,2,173,99,100
2011,00170000,Auburn,District,BIO,"Non-Low Income",54,38,75,53,11,8,2,1,142,99,100
2011,00170000,Auburn,District,BIO,"Low Income",5,16,16,52,8,26,2,6,31,100," "
2011,00170000,Auburn,District,BIO,Male,31,33,47,51,11,12,4,4,93,100,100
2011,00170000,Auburn,District,BIO,Female,28,35,44,55,8,10,0,0,80,99," "
2011,00170000,Auburn,District,BIO,"High Needs",6,13,23,50,13,28,4,9,46,98," "
2011,00170000,Auburn,District,BIO,White,57,35,85,52,17,10,4,2,163,99,100
2011,00170000,Auburn,District,BIO,"Special Ed",0,0,8,38,10,48,3,14,21,95," "
2011,00170000,Auburn,District,BIO,"Non-Title 1",59,34,91,53,19,11,4,2,173,99,100
2011,00170505,Auburn,"Auburn Senior High",BIO,"All Students",58,35,89,54,15,9,4,2,166,100,100
2011,00170505,Auburn,"Auburn Senior High",BIO,"Non-Low Income",53,38,73,53,10,7,2,1,138,100,100
2011,00170505,Auburn,"Auburn Senior High",BIO,"Low Income",5,18,16,57,5,18,2,7,28,100," "
2011,00170505,Auburn,"Auburn Senior High",BIO,Male,30,34,45,52,8,9,4,5,87,100,100
2011,00170505,Auburn,"Auburn Senior High",BIO,Female,28,35,44,56,7,9,0,0,79,100," "
2011,00170505,Auburn,"Auburn Senior High",BIO,"High Needs",5,13,21,53,10,25,4,10,40,100," "
2011,00170505,Auburn,"Auburn Senior High",BIO,White,57,36,84,53,14,9,4,3,159,100,100
2011,00170505,Auburn,"Auburn Senior High",BIO,"Special Ed",0,0,7,41,7,41,3,18,17,100," "
2011,00170505,Auburn,"Auburn Senior High",BIO,"Non-Title 1",58,35,89,54,15,9,4,2,166,100,100
2011,00180000,Avon,District,BIO,"All Students",5,8,30,47,18,28,11,17,64,98,25
2011,00180000,Avon,District,BIO,"Non-Low Income",4,10,22,54,11,27,4,10,41,100,25
2011,00180000,Avon,District,BIO,"Low Income",1,4,8,35,7,30,7,30,23,96," "
2011,00180000,Avon,District,BIO,Male,1,3,16,46,11,31,7,20,35,100,25
2011,00180000,Avon,District,BIO,Female,4,14,14,48,7,24,4,14,29,97," "
