adminyear,grade,org_code,DistrictName,Group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2013,05,00000000,State,Hispanic/Latino,11686,11078,327,28,10,243,,11696,11098,327,26,7,238,,11689,11107,294,40,14,234,,100,100,100
2013,05,00000000,State,"Native American",161,155,5,1,,,,160,153,5,1,1,,,160,153,4,2,1,,,99,99,98
2013,05,00000000,State,White,47332,46366,768,46,66,86,,47341,46335,799,49,74,84,,47332,46379,707,77,88,81,,100,100,100
2013,05,00000000,State,"Hawaiian/Pacific Islander",74,71,,,,3,,74,71,,,,3,,74,70,,1,,3,,100,100,99
2013,05,00000000,State,"Multi-Race (non-Hispanic/Latino)",1979,1929,36,3,7,4,,1980,1931,40,1,4,4,,1980,1936,34,3,3,4,,99,100,100
2013,06,00000000,State,"All Students",72427,70304,1298,175,117,533,,72445,70311,1331,150,141,512,,,,,,,,,100,100,
2013,06,00000000,State,"Students with Disabilities",13560,12113,1298,73,53,23,,13567,12077,1331,78,60,21,,,,,,,,,99,99,
2013,06,00000000,State,"ELL and Former ELL",7135,6403,143,60,4,525,,7137,6465,138,24,5,505,,,,,,,,,98,100,
2013,06,00000000,State,"Low Income",27722,26484,706,107,43,382,,27721,26493,716,94,51,367,,,,,,,,,99,99,
2013,06,00000000,State,"High Needs",35594,33558,1289,148,71,528,,35599,33563,1320,125,83,508,,,,,,,,,99,99,
2013,06,00000000,State,"African American",6139,5834,174,18,6,107,,6138,5834,173,19,8,104,,,,,,,,,99,100,
2013,06,00000000,State,Asian,4242,4098,50,9,3,82,,4241,4103,49,6,5,78,,,,,,,,,99,100,
2013,06,00000000,State,Hispanic/Latino,11455,10818,315,61,11,250,,11460,10849,316,39,15,241,,,,,,,,,99,100,
2013,06,00000000,State,"Native American",158,153,5,,,,,157,152,5,,,,,,,,,,,,99,100,
2013,06,00000000,State,White,48275,47294,723,82,91,85,,48273,47250,753,80,108,82,,,,,,,,,100,100,
2013,06,00000000,State,"Hawaiian/Pacific Islander",88,84,2,,,2,,88,84,2,1,,1,,,,,,,,,100,99,
2013,06,00000000,State,"Multi-Race (non-Hispanic/Latino)",2036,1995,26,5,6,4,,2036,1993,29,5,5,4,,,,,,,,,99,100,
2013,07,00000000,State,"All Students",72922,70452,1247,419,247,557,,72960,70733,1288,188,207,544,,,,,,,,,99,99,
2013,07,00000000,State,"Students with Disabilities",13290,11748,1247,188,77,30,,13306,11813,1288,109,67,29,,,,,,,,,98,99,
2013,07,00000000,State,"ELL and Former ELL",6781,5982,152,96,6,545,,6769,6048,146,33,10,532,,,,,,,,,97,99,
2013,07,00000000,State,"Low Income",27624,26174,684,259,81,426,,27631,26336,699,116,65,415,,,,,,,,,99,99,
2013,07,00000000,State,"High Needs",35128,32867,1240,344,125,552,,35138,33045,1280,167,107,539,,,,,,,,,98,99,
2013,07,00000000,State,"African American",6241,5883,156,57,18,127,,6239,5909,166,30,9,125,,,,,,,,,99,99,
2013,07,00000000,State,Asian,4170,4024,44,14,4,84,,4169,4031,42,9,5,82,,,,,,,,,99,100,
2013,07,00000000,State,Hispanic/Latino,11551,10794,316,140,27,274,,11547,10885,315,58,22,267,,,,,,,,,98,99,
2013,07,00000000,State,"Native American",156,152,1,,2,1,,155,151,1,1,1,1,,,,,,,,,98,99,
2013,07,00000000,State,White,48897,47752,687,201,192,65,,48923,47888,720,85,167,63,,,,,,,,,99,99,
2013,07,00000000,State,"Hawaiian/Pacific Islander",96,89,3,1,1,2,,96,90,4,,,2,,,,,,,,,98,100,
2013,07,00000000,State,"Multi-Race (non-Hispanic/Latino)",1782,1735,36,6,3,2,,1784,1739,35,5,3,2,,,,,,,,,99,100,
2013,08,00000000,State,"All Students",73307,71082,1112,316,229,568,,73327,71054,1142,325,258,548,,73316,70992,1046,429,306,543,,99,99,99
2013,08,00000000,State,"Students with Disabilities",13089,11719,1112,159,69,30,,13099,11655,1142,181,94,27,,13097,11690,1046,227,107,27,,98,98,97
2013,08,00000000,State,"ELL and Former ELL",5732,4970,137,72,3,550,,5737,5017,131,50,4,535,,5739,5015,120,65,8,531,,97,99,99
2013,08,00000000,State,"Low Income",27315,26028,582,190,63,452,,27310,25996,586,217,77,434,,27297,25957,532,277,98,433,,99,99,99
2013,08,00000000,State,"High Needs",34671,32626,1106,270,107,562,,34682,32571,1135,295,138,543,,34675,32556,1040,377,162,540,,99,99,98
2013,08,00000000,State,"African American",6391,6070,143,50,16,112,,6378,6045,150,60,11,112,,6378,6049,137,68,14,110,,99,99,99
2013,08,00000000,State,Asian,3874,3722,42,15,9,86,,3881,3739,43,9,5,85,,3881,3737,41,15,4,84,,99,100,100
2013,08,00000000,State,Hispanic/Latino,11394,10719,268,97,21,289,,11401,10748,258,95,26,274,,11398,10724,239,129,32,274,,99,99,99
2013,08,00000000,State,"Native American",184,179,2,3,,,,184,178,2,3,1,,,184,178,2,2,2,,,98,98,98
2013,08,00000000,State,White,49738,48714,628,147,176,73,,49753,48674,658,147,204,70,,49749,48637,600,200,242,70,,99,99,99
2013,08,00000000,State,"Hawaiian/Pacific Islander",72,66,1,,1,4,,73,67,1,1,1,3,,71,67,1,1,1,1,,99,97,97
2013,08,00000000,State,"Multi-Race (non-Hispanic/Latino)",1618,1581,23,4,6,4,,1613,1565,24,10,10,4,,1610,1560,21,14,11,4,,99,99,98
2013,10,00000000,State,"All Students",70761,67809,888,1292,267,505,,70696,67934,887,1110,287,478,,70887,65982,711,779,96,514,2805,98,98,99
2013,10,00000000,State,"Students with Disabilities",11758,10203,888,575,83,9,,11772,10301,887,482,94,8,,11826,10279,711,323,33,10,470,94,95,97
2013,10,00000000,State,"ELL and Former ELL",4743,3957,88,190,13,495,,4733,4009,88,149,17,470,,4738,3454,60,174,3,505,542,93,96,96
2013,10,00000000,State,"Low Income",24320,22634,432,785,84,385,,24284,22687,433,703,96,365,,24382,21786,347,444,28,394,1383,96,97,98
2013,10,00000000,State,"High Needs",31415,28822,884,1071,138,500,,31373,28924,883,940,152,474,,31498,27883,709,625,49,508,1724,96,97,98
2013,10,00000000,State,"African American",6117,5712,97,192,13,103,,6108,5722,97,176,13,100,,6128,5357,78,108,7,117,461,96,97,98
2013,10,00000000,State,Asian,3977,3772,39,45,6,115,,3979,3794,37,32,5,111,,3988,3575,31,34,2,135,211,98,99,99
2013,10,00000000,State,Hispanic/Latino,9935,9099,185,384,38,229,,9907,9137,181,340,36,213,,9955,8634,142,258,8,200,713,95,96,97
2013,10,00000000,State,"Native American",188,175,4,9,,,,189,176,4,9,,,,191,173,3,3,,,12,95,95,98
2013,10,00000000,State,White,48941,47507,551,625,202,56,,48920,47573,555,520,220,52,,49028,46737,450,358,76,60,1347,98,98,99
2013,10,00000000,State,"Hawaiian/Pacific Islander",79,78,1,,,,,78,75,1,,2,,,78,70,1,,,,7,100,97,100
2013,10,00000000,State,"Multi-Race (non-Hispanic/Latino)",1522,1466,9,37,8,2,,1513,1457,10,33,11,2,,1517,1436,6,18,3,2,52,97,97,99
2013,AL,00000000,State,"All Students",503852,487654,8521,2709,1172,3796,,503949,488485,8605,2094,1114,3651,,215824,206540,3033,1354,519,1573,2805,99,99,99
2013,AL,00000000,State,"Students with Disabilities",90740,80435,8521,1212,407,165,,90799,80588,8605,1032,419,155,,38384,34016,3033,623,183,59,470,98,98,98
2013,AL,00000000,State,"ELL and Former ELL",51006,45634,1042,583,49,3698,,51000,46048,998,334,55,3565,,18543,15836,343,269,16,1537,542,98,99,98
2013,AL,00000000,State,"Low Income",189840,180351,4648,1607,396,2838,,189805,180762,4630,1292,393,2728,,79040,73929,1556,795,175,1202,1383,99,99,99
2013,AL,00000000,State,"High Needs",243776,228693,8470,2242,625,3746,,243781,229194,8551,1803,625,3608,,101584,93882,3020,1119,283,1556,1724,99,99,99
2013,AL,00000000,State,"African American",42417,40160,1051,386,66,754,,42394,40216,1067,328,50,733,,18514,17124,373,191,28,337,461,99,99,99
2013,AL,00000000,State,Asian,29638,28432,382,124,33,667,,29649,28521,372,80,29,647,,12209,11480,149,57,10,302,211,99,100,99
2013,AL,00000000,State,Hispanic/Latino,80288,75498,2078,822,136,1754,,80289,75821,2041,616,130,1681,,33042,30465,675,427,54,708,713,99,99,99
2013,AL,00000000,State,"Native American",1200,1157,21,15,2,5,,1197,1153,21,15,3,5,,535,504,9,7,3,,12,98,98,98
2013,AL,00000000,State,White,336024,328531,4737,1296,894,566,,336060,328821,4843,993,861,542,,146109,141753,1757,635,406,211,1347,99,99,99
2013,AL,00000000,State,"Hawaiian/Pacific Islander",564,531,15,2,2,14,,563,530,16,3,3,11,,223,207,2,2,1,4,7,99,99,99
2013,AL,00000000,State,"Multi-Race (non-Hispanic/Latino)",13531,13196,209,64,39,23,,13529,13195,215,59,38,22,,5107,4932,61,35,17,10,52,99,99,99
2013,03,00010000,Abington,"All Students",158,157,1,,,,,158,157,1,,,,,,,,,,,,99,100,
2013,03,00010000,Abington,"Students with Disabilities",21,20,1,,,,,21,20,1,,,,,,,,,,,,100,100,
2013,03,00010000,Abington,"Low Income",47,47,,,,,,47,47,,,,,,,,,,,,,100,100,
2013,03,00010000,Abington,"High Needs",60,59,1,,,,,60,59,1,,,,,,,,,,,,98,100,
2013,03,00010000,Abington,White,150,149,1,,,,,150,149,1,,,,,,,,,,,,99,100,
2013,04,00010000,Abington,"All Students",181,178,3,,,,,181,178,3,,,,,,,,,,,,100,100,
2013,04,00010000,Abington,"Students with Disabilities",28,25,3,,,,,28,25,3,,,,,,,,,,,,100,100,
2013,04,00010000,Abington,"Low Income",41,40,1,,,,,41,40,1,,,,,,,,,,,,100,100,
2013,04,00010000,Abington,"High Needs",63,60,3,,,,,63,60,3,,,,,,,,,,,,100,100,
2013,04,00010000,Abington,White,170,167,3,,,,,170,167,3,,,,,,,,,,,,100,100,
2013,05,00010000,Abington,"All Students",159,156,3,,,,,160,157,3,,,,,160,157,3,,,,,98,100,100
2013,05,00010000,Abington,"Students with Disabilities",20,17,3,,,,,20,17,3,,,,,20,17,3,,,,,100,100,100
2013,05,00010000,Abington,"Low Income",41,39,2,,,,,41,39,2,,,,,41,39,2,,,,,100,100,100
2013,05,00010000,Abington,"High Needs",61,58,3,,,,,61,58,3,,,,,61,58,3,,,,,95,100,100
2013,05,00010000,Abington,White,149,146,3,,,,,150,147,3,,,,,150,147,3,,,,,99,100,100
2013,06,00010000,Abington,"All Students",159,156,2,,1,,,159,156,2,,1,,,,,,,,,,98,99,
2013,06,00010000,Abington,"Students with Disabilities",29,27,2,,,,,29,27,2,,,,,,,,,,,,100,100,
2013,06,00010000,Abington,"Low Income",49,48,,,1,,,49,48,,,1,,,,,,,,,,98,98,
2013,06,00010000,Abington,"High Needs",71,68,2,,1,,,71,68,2,,1,,,,,,,,,,96,99,
2013,06,00010000,Abington,White,142,141,,,1,,,142,141,,,1,,,,,,,,,,99,99,
2013,07,00010000,Abington,"All Students",183,177,5,1,,,,183,178,5,,,,,,,,,,,,99,100,
2013,07,00010000,Abington,"Students with Disabilities",30,25,5,,,,,30,25,5,,,,,,,,,,,,100,100,
2013,07,00010000,Abington,"Low Income",47,47,,,,,,47,47,,,,,,,,,,,,,98,100,
2013,07,00010000,Abington,"High Needs",68,63,5,,,,,68,63,5,,,,,,,,,,,,99,100,
2013,07,00010000,Abington,Hispanic/Latino,12,10,2,,,,,12,10,2,,,,,,,,,,,,92,100,
2013,07,00010000,Abington,White,169,165,3,1,,,,169,166,3,,,,,,,,,,,,99,100,
2013,08,00010000,Abington,"All Students",165,163,1,1,,,,165,162,1,1,1,,,165,162,1,1,1,,,99,99,99
2013,08,00010000,Abington,"Students with Disabilities",23,22,1,,,,,23,22,1,,,,,23,22,1,,,,,100,100,100
2013,08,00010000,Abington,"Low Income",44,44,,,,,,44,44,,,,,,44,44,,,,,,100,100,100
2013,08,00010000,Abington,"High Needs",56,55,1,,,,,56,55,1,,,,,56,55,1,,,,,100,100,100
2013,08,00010000,Abington,Hispanic/Latino,10,10,,,,,,10,10,,,,,,10,10,,,,,,100,100,100
2013,08,00010000,Abington,White,153,151,1,1,,,,153,150,1,1,1,,,153,150,1,1,1,,,99,99,99
2013,10,00010000,Abington,"All Students",134,125,1,5,3,,,134,129,1,3,1,,,135,123,1,,,,11,94,97,100
2013,10,00010000,Abington,"Students with Disabilities",22,21,1,,,,,22,19,1,2,,,,22,20,1,,,,1,100,91,100
2013,10,00010000,Abington,"Low Income",21,19,,1,1,,,21,19,,1,1,,,21,20,,,,,1,90,90,100
2013,10,00010000,Abington,"High Needs",40,37,1,1,1,,,40,36,1,2,1,,,40,38,1,,,,1,95,93,100
2013,10,00010000,Abington,White,124,116,1,4,3,,,124,121,1,1,1,,,125,114,1,,,,10,94,98,100
2013,AL,00010000,Abington,"All Students",1139,1112,16,7,4,,,1140,1117,16,4,3,,,460,442,5,1,1,,11,98,99,100
2013,AL,00010000,Abington,"Students with Disabilities",173,157,16,,,,,173,155,16,2,,,,65,59,5,,,,1,100,99,100
2013,AL,00010000,Abington,"ELL and Former ELL",31,31,,,,,,31,31,,,,,,10,10,,,,,,77,100,100
2013,AL,00010000,Abington,"Low Income",290,284,3,1,2,,,290,284,3,1,2,,,106,103,2,,,,1,99,99,100
2013,AL,00010000,Abington,"High Needs",419,400,16,1,2,,,419,399,16,2,2,,,157,151,5,,,,1,98,99,100
2013,AL,00010000,Abington,"African American",18,18,,,,,,18,18,,,,,,5,,,,,,,100,100,
2013,AL,00010000,Abington,Asian,13,13,,,,,,13,13,,,,,,4,,,,,,,92,100,
2013,AL,00010000,Abington,Hispanic/Latino,48,43,4,1,,,,48,42,4,2,,,,22,21,,,,,1,94,96,100
2013,AL,00010000,Abington,White,1057,1035,12,6,4,,,1058,1041,12,2,3,,,428,411,5,1,1,,10,99,100,100
2013,03,00020000,Acton,"All Students",390,385,,1,1,3,,393,389,,1,,3,,,,,,,,,99,100,
2013,03,00020000,Acton,"Students with Disabilities",61,60,,1,,,,61,60,,1,,,,,,,,,,,98,98,
2013,03,00020000,Acton,"ELL and Former ELL",36,33,,,,3,,36,33,,,,3,,,,,,,,,100,100,
2013,03,00020000,Acton,"Low Income",16,16,,,,,,16,16,,,,,,,,,,,,,100,100,
2013,03,00020000,Acton,"High Needs",97,93,,1,,3,,97,93,,1,,3,,,,,,,,,99,99,
2013,03,00020000,Acton,Asian,110,107,,1,,2,,113,110,,1,,2,,,,,,,,,99,99,
2013,03,00020000,Acton,Hispanic/Latino,11,11,,,,,,11,11,,,,,,,,,,,,,100,100,
2013,03,00020000,Acton,White,242,240,,,1,1,,242,241,,,,1,,,,,,,,,100,100,
2013,03,00020000,Acton,"Multi-Race (non-Hispanic/Latino)",23,23,,,,,,23,23,,,,,,,,,,,,,100,100,
2013,04,00020000,Acton,"All Students",362,359,,1,1,1,,363,360,1,1,,1,,,,,,,,,99,100,
2013,04,00020000,Acton,"Students with Disabilities",61,61,,,,,,62,61,1,,,,,,,,,,,,100,100,
2013,04,00020000,Acton,"ELL and Former ELL",20,19,,,,1,,20,19,,,,1,,,,,,,,,100,100,
2013,04,00020000,Acton,"Low Income",20,20,,,,,,20,20,,,,,,,,,,,,,100,100,
2013,04,00020000,Acton,"High Needs",83,82,,,,1,,84,82,1,,,1,,,,,,,,,100,100,
2013,04,00020000,Acton,Asian,108,106,,1,,1,,108,107,,,,1,,,,,,,,,99,100,
2013,04,00020000,Acton,Hispanic/Latino,11,11,,,,,,11,11,,,,,,,,,,,,,100,100,
2013,04,00020000,Acton,White,216,215,,,1,,,216,214,1,1,,,,,,,,,,,100,100,
2013,04,00020000,Acton,"Multi-Race (non-Hispanic/Latino)",19,19,,,,,,19,19,,,,,,,,,,,,,100,100,
2013,05,00020000,Acton,"All Students",358,355,2,,,1,,359,356,2,,,1,,359,357,1,,,1,,100,100,100
2013,05,00020000,Acton,"Students with Disabilities",63,61,2,,,,,63,61,2,,,,,63,62,1,,,,,100,100,100
2013,05,00020000,Acton,"ELL and Former ELL",17,16,,,,1,,18,17,,,,1,,18,17,,,,1,,100,100,100
2013,05,00020000,Acton,"Low Income",14,14,,,,,,14,14,,,,,,14,14,,,,,,100,100,100
2013,05,00020000,Acton,"High Needs",81,78,2,,,1,,82,79,2,,,1,,82,80,1,,,1,,100,100,100
2013,05,00020000,Acton,Asian,109,107,1,,,1,,110,108,1,,,1,,110,108,1,,,1,,100,100,100
2013,05,00020000,Acton,White,224,223,1,,,,,224,223,1,,,,,224,224,,,,,,100,100,100
2013,05,00020000,Acton,"Multi-Race (non-Hispanic/Latino)",14,14,,,,,,14,14,,,,,,14,14,,,,,,100,100,100
2013,06,00020000,Acton,"All Students",389,381,7,,1,,,389,384,4,,1,,,,,,,,,,100,100,
2013,06,00020000,Acton,"Students with Disabilities",71,63,7,,1,,,71,66,4,,1,,,,,,,,,,99,99,
2013,06,00020000,Acton,"ELL and Former ELL",10,10,,,,,,10,10,,,,,,,,,,,,,100,100,
2013,06,00020000,Acton,"High Needs",83,75,7,,1,,,83,78,4,,1,,,,,,,,,,99,99,
2013,06,00020000,Acton,Asian,115,113,1,,1,,,115,114,,,1,,,,,,,,,,99,99,
2013,06,00020000,Acton,Hispanic/Latino,11,11,,,,,,11,11,,,,,,,,,,,,,100,100,
2013,06,00020000,Acton,White,245,239,6,,,,,245,241,4,,,,,,,,,,,,100,100,
2013,06,00020000,Acton,"Multi-Race (non-Hispanic/Latino)",15,15,,,,,,15,15,,,,,,,,,,,,,100,100,
2013,AL,00020000,Acton,"All Students",1500,1480,10,2,3,5,,1505,1489,8,2,1,5,,359,357,1,,,1,,100,100,100
2013,AL,00020000,Acton,"Students with Disabilities",257,245,10,1,1,,,258,248,8,1,1,,,63,62,1,,,,,99,99,100
2013,AL,00020000,Acton,"ELL and Former ELL",83,78,,,,5,,84,79,,,,5,,18,17,,,,1,,100,100,100
2013,AL,00020000,Acton,"Low Income",58,57,1,,,,,58,58,,,,,,14,14,,,,,,100,100,100
2013,AL,00020000,Acton,"High Needs",345,328,10,1,1,5,,347,332,8,1,1,5,,82,80,1,,,1,,99,99,100
2013,AL,00020000,Acton,"African American",17,17,,,,,,18,18,,,,,,3,,,,,,,100,100,
2013,AL,00020000,Acton,Asian,442,433,2,2,1,4,,446,439,1,1,1,4,,110,108,1,,,1,,99,100,100
2013,AL,00020000,Acton,Hispanic/Latino,39,39,,,,,,39,39,,,,,,6,,,,,,,100,100,
2013,AL,00020000,Acton,White,928,917,8,,2,1,,928,919,7,1,,1,,224,224,,,,,,100,100,100
2013,AL,00020000,Acton,"Multi-Race (non-Hispanic/Latino)",71,71,,,,,,71,71,,,,,,14,14,,,,,,100,100,100
2013,03,00030000,Acushnet,"All Students",76,76,,,,,,76,76,,,,,,,,,,,,,100,100,
2013,03,00030000,Acushnet,"Students with Disabilities",19,19,,,,,,19,19,,,,,,,,,,,,,100,100,
2013,03,00030000,Acushnet,"Low Income",17,17,,,,,,17,17,,,,,,,,,,,,,100,100,
2013,03,00030000,Acushnet,"High Needs",30,30,,,,,,30,30,,,,,,,,,,,,,100,100,
2013,03,00030000,Acushnet,White,75,75,,,,,,75,75,,,,,,,,,,,,,100,100,
2013,04,00030000,Acushnet,"All Students",118,116,2,,,,,118,116,2,,,,,,,,,,,,100,100,
2013,04,00030000,Acushnet,"Students with Disabilities",15,13,2,,,,,15,13,2,,,,,,,,,,,,100,100,
2013,04,00030000,Acushnet,"Low Income",22,21,1,,,,,22,21,1,,,,,,,,,,,,100,100,
2013,04,00030000,Acushnet,"High Needs",30,28,2,,,,,30,28,2,,,,,,,,,,,,100,100,
2013,04,00030000,Acushnet,White,118,116,2,,,,,118,116,2,,,,,,,,,,,,100,100,
2013,05,00030000,Acushnet,"All Students",114,110,4,,,,,114,111,3,,,,,114,110,4,,,,,100,100,100
2013,05,00030000,Acushnet,"Students with Disabilities",26,22,4,,,,,26,23,3,,,,,26,22,4,,,,,100,100,100
2013,05,00030000,Acushnet,"Low Income",25,23,2,,,,,25,24,1,,,,,25,23,2,,,,,100,100,100
2013,05,00030000,Acushnet,"High Needs",42,38,4,,,,,42,39,3,,,,,42,38,4,,,,,100,100,100
2013,05,00030000,Acushnet,White,113,109,4,,,,,113,110,3,,,,,113,109,4,,,,,100,100,100
2013,06,00030000,Acushnet,"All Students",119,119,,,,,,119,118,,,1,,,,,,,,,,100,99,
2013,06,00030000,Acushnet,"Students with Disabilities",19,19,,,,,,19,18,,,1,,,,,,,,,,100,95,
2013,06,00030000,Acushnet,"Low Income",33,33,,,,,,33,32,,,1,,,,,,,,,,100,97,
2013,06,00030000,Acushnet,"High Needs",47,47,,,,,,47,46,,,1,,,,,,,,,,100,98,
2013,06,00030000,Acushnet,White,117,117,,,,,,117,117,,,,,,,,,,,,,100,100,
2013,07,00030000,Acushnet,"All Students",116,114,1,1,,,,116,114,1,,1,,,,,,,,,,99,99,
2013,07,00030000,Acushnet,"Students with Disabilities",20,18,1,1,,,,20,19,1,,,,,,,,,,,,95,100,
2013,07,00030000,Acushnet,"Low Income",33,32,,1,,,,33,32,,,1,,,,,,,,,,97,97,
2013,07,00030000,Acushnet,"High Needs",41,39,1,1,,,,41,39,1,,1,,,,,,,,,,98,98,
2013,07,00030000,Acushnet,White,115,113,1,1,,,,115,113,1,,1,,,,,,,,,,99,99,
2013,08,00030000,Acushnet,"All Students",121,118,2,,1,,,121,117,2,1,1,,,121,116,2,2,1,,,99,98,98
2013,08,00030000,Acushnet,"Students with Disabilities",13,10,2,,1,,,13,10,2,,1,,,13,10,2,,1,,,92,92,92
2013,08,00030000,Acushnet,"Low Income",30,30,,,,,,30,29,,1,,,,30,30,,,,,,100,97,100
2013,08,00030000,Acushnet,"High Needs",40,37,2,,1,,,40,36,2,1,1,,,40,37,2,,1,,,98,95,98
2013,08,00030000,Acushnet,White,118,116,1,,1,,,118,115,1,1,1,,,118,114,1,2,1,,,99,98,97
2013,AL,00030000,Acushnet,"All Students",665,654,9,1,1,,,666,654,8,1,3,,,237,227,6,2,1,,1,100,99,99
2013,AL,00030000,Acushnet,"Students with Disabilities",113,102,9,1,1,,,114,104,8,,2,,,41,33,6,,1,,1,98,98,98
2013,AL,00030000,Acushnet,"Low Income",161,157,3,1,,,,161,156,2,1,2,,,56,53,2,,,,1,99,98,100
2013,AL,00030000,Acushnet,"High Needs",231,220,9,1,1,,,232,220,8,1,3,,,84,76,6,,1,,1,99,98,99
2013,AL,00030000,Acushnet,White,657,647,8,1,1,,,658,648,7,1,2,,,233,224,5,2,1,,1,100,100,99
2013,03,00050000,Agawam,"All Students",260,256,3,,,1,,260,256,3,,,1,,,,,,,,,100,100,
2013,03,00050000,Agawam,"Students with Disabilities",42,39,3,,,,,42,39,3,,,,,,,,,,,,100,100,
2013,03,00050000,Agawam,"ELL and Former ELL",23,22,,,,1,,23,22,,,,1,,,,,,,,,100,100,
2013,03,00050000,Agawam,"Low Income",100,98,1,,,1,,100,98,1,,,1,,,,,,,,,100,100,
2013,03,00050000,Agawam,"High Needs",126,122,3,,,1,,126,122,3,,,1,,,,,,,,,100,100,
2013,03,00050000,Agawam,Hispanic/Latino,16,16,,,,,,16,16,,,,,,,,,,,,,100,100,
2013,03,00050000,Agawam,White,224,220,3,,,1,,224,220,3,,,1,,,,,,,,,100,100,
2013,03,00050000,Agawam,"Multi-Race (non-Hispanic/Latino)",10,10,,,,,,10,10,,,,,,,,,,,,,100,100,
