adminyear,grade,org_code,DistrictName,subject,tested,wptopdev,wpconvent,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45
2008,07,00000000,State,MATH,72017,,,0.84,0.88,0.53,0.6,0.71,0.68,0.56,0.8,2.78,0.76,0.41,0.8,0.83,0.56,0.77,0.61,0.63,0.66,0.73,0.71,0.74,2.36,0.88,0.83,0.62,0.55,0.71,1.93,2.9,0.62,0.78,0.61,0.55,0.76,0.83,0.62,0.55,0.73,2.11,,,,,,
2008,08,00000000,State,ELA,72296,,,0.83,0.75,0.9,0.85,0.76,0.88,0.86,0.81,2.51,0.83,0.87,0.9,0.57,0.88,0.71,0.87,0.82,0.86,2.4,0.87,0.81,0.59,0.72,0.65,0.81,0.75,0.69,2.06,0.94,0.81,0.89,0.74,0.66,0.67,0.86,2.35,0.72,0.82,0.71,0.68,,,,,
2008,08,00000000,State,MATH,72311,,,0.87,0.76,0.46,0.76,0.66,0.62,0.8,0.58,2.11,0.74,0.58,0.53,0.81,0.47,0.64,0.69,0.75,0.57,0.4,0.55,0.77,2.38,0.88,0.71,0.54,0.84,0.38,2.39,1.97,0.85,0.66,0.5,0.82,0.65,0.68,0.82,0.77,0.69,2.49,,,,,,
2008,08,00000000,State,SCI,72257,,,0.9,0.9,0.89,0.71,0.7,0.39,0.7,0.66,0.62,0.59,0.65,0.78,0.42,0.58,0.61,0.55,0.55,2.32,2.14,0.9,0.47,0.54,0.64,0.79,0.8,0.72,0.93,0.64,0.67,0.32,0.62,0.7,0.59,0.61,0.28,0.66,1.64,1.87,2.24,,,,,,
2008,10,00000000,State,ELA,70644,7.1,6.95,0.89,0.92,0.97,0.87,0.93,0.64,0.8,2.63,0.9,0.71,0.71,0.58,0.78,0.79,0.85,0.76,0.68,2.59,0.86,0.89,0.71,0.76,0.67,0.8,0.85,0.6,2.65,0.9,0.52,0.76,0.76,0.72,0.75,0.81,2.63,0.65,0.95,0.79,0.75,0.77,,,,,
2008,10,00000000,State,MATH,70297,,,0.83,0.79,0.72,0.63,0.76,0.68,0.71,0.6,0.69,0.63,0.7,0.65,0.66,0.69,0.78,0.67,2.03,0.66,0.73,2.24,2.53,0.73,0.79,0.72,0.92,0.57,0.6,0.61,0.62,0.64,3.07,0.39,0.77,0.55,0.64,0.66,0.59,0.71,0.83,0.73,2.5,2.85,,,
2008,HS,00000000,State,BIO,59140,,,0.86,0.63,0.51,0.3,0.68,0.51,0.76,0.56,0.47,0.6,0.43,0.97,0.71,0.54,0.74,0.69,0.56,0.74,0.64,0.8,0.51,0.84,2.13,0.77,0.53,0.83,0.37,0.79,0.76,0.66,0.62,2.08,0.45,0.68,0.61,0.62,0.76,0.39,0.56,0.64,0.67,0.41,0.81,1.61,2.03
2008,HS,00000000,State,CHE,2191,,,0.61,0.35,0.58,0.65,0.45,0.44,0.44,0.71,0.67,0.5,0.59,1.47,0.54,0.41,0.44,0.49,0.87,0.76,0.46,0.6,0.43,0.3,1.82,0.49,0.68,0.41,0.68,0.33,0.52,0.41,0.61,1.6,0.6,0.49,0.41,0.59,0.58,0.57,0.73,0.5,0.26,0.58,0.48,1.2,1.63
2008,HS,00000000,State,PHY,16919,,,0.77,0.77,0.69,0.49,0.63,0.52,0.68,0.83,0.33,0.56,0.21,2.34,0.58,0.72,0.69,0.76,0.61,0.39,0.4,0.58,0.7,0.48,1.96,0.82,0.27,0.69,0.63,0.5,0.65,0.74,0.81,1.73,0.75,0.49,0.53,0.56,0.42,0.69,0.48,0.35,0.46,0.32,0.83,2.61,2.2
2008,HS,00000000,State,TEC,2182,,,0.92,0.82,0.49,0.84,0.58,0.29,0.84,0.66,0.66,0.58,2.87,0.68,0.53,0.69,0.94,0.6,0.4,0.7,0.73,0.5,0.5,0.86,1.89,0.93,0.68,0.6,0.49,0.61,0.75,0.69,0.71,0.64,2.14,0.53,0.65,0.62,0.45,0.67,0.71,0.61,0.67,0.78,0.46,2.3,1.97
2008,03,00010000,Abington,ELA,183,,,0.53,0.77,0.77,0.72,0.9,0.74,0.81,0.71,0.73,0.87,0.7,0.9,0.77,0.87,0.68,0.59,0.68,0.89,0.87,0.76,1.41,0.61,0.73,0.66,0.8,0.9,0.89,0.88,0.8,0.85,0.91,0.87,0.64,1.58,0.91,0.73,0.59,0.56,0.52,0.52,0.49,0.68,,,
2008,03,00010000,Abington,MATH,184,,,0.87,0.71,0.88,0.84,0.74,0.74,1.46,0.66,0.78,0.71,0.78,0.71,0.74,0.51,0.85,0.79,0.9,0.87,0.53,0.91,0.67,0.79,1.26,0.79,0.83,0.71,0.89,0.38,0.72,0.82,0.89,0.9,0.9,0.58,1.08,,,,,,,,,,
2008,04,00010000,Abington,ELA,175,6.95,6.82,0.92,0.79,0.75,0.86,0.71,0.91,0.88,1.9,0.85,0.87,0.8,0.68,0.78,0.8,0.77,0.71,1.9,0.9,0.91,0.76,0.85,0.86,0.8,0.84,0.85,1.86,0.69,0.74,0.83,0.78,0.85,0.82,0.9,0.84,2.06,0.87,0.89,0.8,0.87,0.85,,,,,
2008,04,00010000,Abington,MATH,177,,,0.96,0.93,0.93,0.88,0.88,0.92,0.53,0.87,0.76,2.4,0.9,0.49,1.8,0.81,0.86,0.52,1.74,0.86,0.76,0.77,0.91,0.68,0.73,0.88,0.81,0.77,2.36,0.77,0.66,0.23,1.64,0.88,0.92,0.88,0.67,0.88,0.8,0.9,0.82,,,,,,
2008,05,00010000,Abington,ELA,215,,,0.79,0.8,0.72,0.8,0.72,0.75,0.93,2.1,0.68,0.72,0.76,0.8,0.8,0.73,0.58,0.64,0.87,1.7,0.86,0.8,0.62,0.57,0.69,0.82,0.67,0.8,1.91,0.77,0.83,0.88,0.79,0.93,0.89,0.86,2.03,0.79,0.75,0.86,0.9,0.7,,,,,
2008,05,00010000,Abington,MATH,216,,,0.92,0.84,0.89,0.94,0.74,0.77,0.8,0.46,0.77,2.16,0.73,0.67,2.56,0.76,0.51,0.67,1.73,0.87,0.88,0.78,0.71,0.45,0.64,0.66,0.61,0.71,1.66,0.78,0.81,0.35,1.9,0.63,0.55,0.46,0.64,0.61,0.64,0.66,0.65,,,,,,
2008,05,00010000,Abington,SCI,216,,,0.87,0.82,0.78,0.75,0.72,0.82,0.78,0.83,0.59,0.69,0.44,0.5,0.41,0.83,0.26,0.46,0.88,2.41,0.75,0.85,0.73,0.9,0.61,0.49,0.42,0.89,0.56,0.72,0.8,0.5,0.89,0.5,0.87,0.86,0.75,0.85,2.52,1.6,2.58,,,,,,
2008,06,00010000,Abington,ELA,179,,,0.82,0.89,0.96,0.89,0.82,0.83,0.84,2.54,0.84,0.86,0.93,0.86,0.73,0.65,0.83,0.82,0.83,2.14,0.49,0.88,0.73,0.8,0.84,0.84,0.75,0.82,1.91,0.88,0.86,0.72,0.94,0.71,0.86,0.84,2.36,0.82,0.94,0.81,0.84,0.87,,,,,
2008,06,00010000,Abington,MATH,179,,,0.96,0.92,0.89,0.93,0.83,0.82,0.75,0.69,0.62,3.14,0.84,0.93,2.6,0.89,0.89,0.8,2.69,0.92,0.92,0.84,0.82,0.77,0.79,0.92,0.7,0.89,3.06,0.73,0.69,0.69,1.64,0.79,0.72,0.71,0.69,0.57,0.89,0.69,0.87,,,,,,
2008,07,00010000,Abington,ELA,208,7.47,6.91,0.94,0.96,0.98,0.65,0.82,0.98,0.9,2.25,0.9,0.92,0.7,0.9,0.76,0.88,0.8,0.85,2.23,0.77,0.84,0.77,0.9,0.76,0.92,0.98,0.8,2.28,0.75,0.66,0.9,0.79,0.73,0.72,0.89,0.95,2.48,0.92,0.71,0.87,0.88,0.83,,,,,
2008,07,00010000,Abington,MATH,209,,,0.85,0.96,0.54,0.55,0.71,0.66,0.57,0.84,2.64,0.83,0.32,0.84,0.77,0.53,0.79,0.68,0.85,0.71,0.76,0.78,0.73,2.46,0.91,0.85,0.63,0.58,0.77,2.1,3.06,0.67,0.79,0.63,0.63,0.86,0.84,0.62,0.49,0.7,1.94,,,,,,
2008,08,00010000,Abington,ELA,204,,,0.96,0.83,0.95,0.82,0.74,0.92,0.91,0.82,2.77,0.82,0.85,0.93,0.57,0.83,0.72,0.87,0.94,0.89,2.48,0.91,0.8,0.51,0.78,0.67,0.84,0.68,0.66,2.38,0.98,0.84,0.91,0.76,0.65,0.61,0.92,2.61,0.78,0.77,0.66,0.67,,,,,
2008,08,00010000,Abington,MATH,202,,,0.94,0.89,0.38,0.79,0.7,0.72,0.81,0.62,2.03,0.83,0.53,0.52,0.87,0.36,0.73,0.76,0.76,0.66,0.43,0.62,0.89,2.56,0.94,0.8,0.53,0.93,0.36,2.4,1.9,0.9,0.75,0.43,0.84,0.66,0.68,0.89,0.83,0.76,2.53,,,,,,
2008,08,00010000,Abington,SCI,203,,,0.92,0.92,0.91,0.7,0.84,0.42,0.67,0.65,0.73,0.64,0.69,0.8,0.33,0.61,0.68,0.6,0.46,2.35,2.51,0.95,0.41,0.5,0.67,0.82,0.75,0.68,0.9,0.7,0.79,0.24,0.7,0.76,0.5,0.49,0.32,0.53,1.67,1.59,2.18,,,,,,
2008,10,00010000,Abington,ELA,140,7.38,7.22,0.9,0.91,0.97,0.89,0.97,0.65,0.85,2.47,0.94,0.65,0.69,0.63,0.83,0.81,0.89,0.76,0.75,2.46,0.87,0.91,0.68,0.81,0.72,0.89,0.85,0.66,2.47,0.94,0.56,0.84,0.77,0.78,0.82,0.82,2.45,0.62,0.97,0.8,0.75,0.8,,,,,
2008,10,00010000,Abington,MATH,139,,,0.8,0.79,0.76,0.65,0.73,0.73,0.72,0.61,0.76,0.54,0.68,0.62,0.71,0.74,0.77,0.65,2.09,0.71,0.62,2.32,2.42,0.7,0.8,0.73,0.93,0.62,0.53,0.52,0.64,0.68,3.08,0.35,0.76,0.51,0.6,0.58,0.53,0.71,0.85,0.75,2.46,3.01,,,
2008,HS,00010000,Abington,BIO,143,,,0.9,0.72,0.57,0.31,0.7,0.56,0.84,0.64,0.51,0.62,0.54,0.9,0.71,0.54,0.8,0.76,0.64,0.76,0.67,0.87,0.54,0.88,2.59,0.89,0.67,0.92,0.43,0.82,0.77,0.73,0.63,2.66,0.44,0.68,0.66,0.66,0.9,0.52,0.66,0.75,0.69,0.47,0.78,1.76,2.27
2008,03,00020000,Acton,ELA,377,,,0.8,0.88,0.9,0.89,0.95,0.94,0.9,0.86,0.88,0.95,0.81,0.95,0.85,0.93,0.85,0.75,0.81,0.96,0.95,0.89,1.87,0.79,0.87,0.87,0.89,0.95,0.96,0.89,0.95,0.9,0.95,0.93,0.78,2.08,0.94,0.91,0.83,0.78,0.71,0.72,0.8,0.9,,,
2008,03,00020000,Acton,MATH,378,,,0.96,0.81,0.96,0.86,0.9,0.76,1.61,0.74,0.86,0.91,0.82,0.81,0.87,0.81,0.95,1,0.97,0.92,0.78,0.97,0.89,0.94,1.38,0.79,0.92,0.88,0.95,0.74,0.75,1.19,0.91,0.96,0.95,0.73,1.47,,,,,,,,,,
2008,04,00020000,Acton,ELA,395,7.9,7.36,0.97,0.87,0.89,0.94,0.84,0.94,0.93,2.23,0.93,0.89,0.9,0.79,0.92,0.94,0.83,0.86,2.39,0.94,0.96,0.84,0.96,0.9,0.88,0.94,0.93,2.41,0.84,0.87,0.95,0.94,0.9,0.91,0.95,0.91,2.39,0.96,0.94,0.85,0.89,0.91,,,,,
2008,04,00020000,Acton,MATH,395,,,0.99,0.99,0.96,0.96,0.94,0.96,0.68,0.88,0.92,3.06,0.94,0.45,2.4,0.83,0.92,0.62,2.31,0.94,0.88,0.92,0.96,0.81,0.79,0.95,0.91,0.9,3.2,0.86,0.73,0.45,2.5,0.97,0.96,0.92,0.81,0.92,0.9,0.95,0.87,,,,,,
2008,05,00020000,Acton,ELA,380,,,0.94,0.9,0.92,0.93,0.85,0.85,0.96,2.43,0.88,0.85,0.83,0.9,0.92,0.86,0.73,0.84,0.94,2.18,0.95,0.88,0.77,0.84,0.82,0.92,0.88,0.92,2.43,0.88,0.89,0.94,0.84,0.98,0.97,0.96,2.33,0.88,0.91,0.95,0.98,0.91,,,,,
2008,05,00020000,Acton,MATH,382,,,0.96,0.95,0.98,0.92,0.88,0.88,0.95,0.7,0.92,2.95,0.87,0.81,3.28,0.87,0.77,0.86,2.5,0.98,0.97,0.93,0.86,0.75,0.79,0.88,0.86,0.9,2.05,0.87,0.91,0.68,2.91,0.8,0.51,0.64,0.84,0.81,0.87,0.89,0.76,,,,,,
2008,05,00020000,Acton,SCI,382,,,0.94,0.91,0.88,0.81,0.87,0.9,0.87,0.92,0.81,0.82,0.68,0.82,0.82,0.91,0.48,0.8,0.97,2.93,1.09,0.94,0.91,0.95,0.82,0.81,0.54,0.96,0.68,0.91,0.86,0.73,0.9,0.63,0.83,0.93,0.88,0.98,3.13,2.48,2.95,,,,,,
2008,06,00020000,Acton,ELA,403,,,0.91,0.91,0.98,0.9,0.91,0.93,0.93,2.92,0.91,0.9,0.95,0.92,0.9,0.86,0.9,0.91,0.84,2.58,0.59,0.93,0.86,0.86,0.9,0.87,0.88,0.87,2.34,0.83,0.9,0.73,0.95,0.86,0.88,0.95,2.68,0.92,0.96,0.88,0.95,0.96,,,,,
2008,06,00020000,Acton,MATH,401,,,0.97,0.96,0.94,0.97,0.92,0.91,0.87,0.85,0.71,3.5,0.88,0.97,3.34,0.93,0.93,0.88,3.21,0.97,0.96,0.92,0.9,0.87,0.88,0.96,0.88,0.88,3.54,0.87,0.84,0.83,2.7,0.89,0.91,0.88,0.91,0.88,0.94,0.84,0.93,,,,,,
2008,03,00030000,Acushnet,ELA,116,,,0.6,0.77,0.88,0.77,0.91,0.8,0.84,0.81,0.81,0.91,0.72,0.91,0.77,0.9,0.75,0.69,0.73,0.91,0.85,0.72,1.66,0.68,0.83,0.79,0.91,0.91,0.97,0.87,0.91,0.87,0.92,0.9,0.78,1.94,0.92,0.79,0.78,0.83,0.55,0.57,0.68,0.9,,,
2008,03,00030000,Acushnet,MATH,115,,,0.9,0.89,0.97,0.73,0.83,0.77,1.57,0.76,0.92,0.86,0.8,0.79,0.78,0.86,0.87,0.94,0.92,0.97,0.83,0.95,0.9,0.97,1.36,0.8,0.89,0.76,0.92,0.37,0.65,0.54,0.85,0.94,0.93,0.62,1.03,,,,,,,,,,
2008,04,00030000,Acushnet,ELA,132,6.82,6.68,0.86,0.77,0.78,0.87,0.78,0.88,0.86,1.94,0.86,0.89,0.8,0.82,0.81,0.91,0.86,0.8,1.85,0.95,0.92,0.77,0.89,0.76,0.75,0.86,0.91,1.92,0.79,0.76,0.9,0.88,0.75,0.85,0.9,0.81,2.02,0.92,0.91,0.84,0.88,0.91,,,,,
2008,04,00030000,Acushnet,MATH,132,,,0.95,0.95,0.93,0.93,0.93,0.95,0.68,0.78,0.76,2.35,0.84,0.23,1.93,0.58,0.81,0.61,1.7,0.9,0.82,0.89,0.86,0.49,0.56,0.89,0.92,0.88,2.45,0.65,0.48,0.21,1.98,0.88,0.92,0.8,0.62,0.85,0.7,0.89,0.8,,,,,,
2008,05,00030000,Acushnet,ELA,110,,,0.8,0.81,0.78,0.84,0.85,0.62,0.93,2.04,0.63,0.65,0.75,0.91,0.79,0.64,0.61,0.68,0.91,1.93,0.85,0.87,0.62,0.69,0.77,0.8,0.62,0.87,2.04,0.75,0.82,0.84,0.73,0.94,0.95,0.86,2.05,0.83,0.72,0.86,0.95,0.76,,,,,
2008,05,00030000,Acushnet,MATH,110,,,0.95,0.95,0.98,0.92,0.9,0.64,0.75,0.57,0.86,3.01,0.74,0.76,2.84,0.81,0.59,0.7,2.12,0.97,0.89,0.87,0.73,0.85,0.75,0.75,0.65,0.7,2.48,0.86,0.84,0.66,2.27,0.57,0.53,0.48,0.82,0.63,0.65,0.91,0.74,,,,,,
2008,05,00030000,Acushnet,SCI,110,,,0.93,0.89,0.76,0.73,0.71,0.6,0.89,0.83,0.8,0.79,0.73,0.48,0.61,0.91,0.28,0.59,0.91,2.5,2.05,0.92,0.94,0.95,0.61,0.63,0.81,0.94,0.79,0.85,0.84,0.67,0.85,0.9,0.91,0.87,0.7,0.93,3.21,1.9,2.66,,,,,,
2008,06,00030000,Acushnet,ELA,118,,,0.86,0.87,0.97,0.83,0.81,0.82,0.84,2.52,0.86,0.82,0.91,0.81,0.84,0.74,0.82,0.75,0.88,2.25,0.33,0.8,0.82,0.74,0.79,0.84,0.7,0.77,2.14,0.9,0.86,0.67,0.86,0.75,0.81,0.89,2.33,0.81,0.94,0.91,0.78,0.87,,,,,
2008,06,00030000,Acushnet,MATH,118,,,0.98,0.89,0.84,0.86,0.84,0.87,0.79,0.55,0.49,3.06,0.92,0.97,2.43,0.83,0.89,0.89,2.58,0.93,0.92,0.86,0.91,0.73,0.77,0.92,0.77,0.7,2.92,0.56,0.59,0.67,2.05,0.87,0.59,0.76,0.72,0.55,0.89,0.67,0.95,,,,,,
2008,07,00030000,Acushnet,ELA,123,7.19,6.93,0.9,0.94,0.97,0.68,0.84,0.98,0.92,2.15,0.9,0.91,0.72,0.9,0.87,0.77,0.76,0.83,2.2,0.85,0.8,0.83,0.9,0.71,0.92,0.98,0.67,2.22,0.71,0.61,0.89,0.75,0.78,0.85,0.93,0.94,2.38,0.88,0.8,0.83,0.89,0.85,,,,,
2008,07,00030000,Acushnet,MATH,123,,,0.86,0.93,0.66,0.85,0.67,0.61,0.46,0.84,2.59,0.8,0.34,0.84,0.93,0.39,0.85,0.54,0.69,0.61,0.67,0.67,0.81,2.08,0.88,0.8,0.65,0.45,0.76,1.66,3.04,0.61,0.74,0.63,0.63,0.71,0.84,0.49,0.64,0.72,1.89,,,,,,
2008,08,00030000,Acushnet,ELA,139,,,0.86,0.78,0.96,0.88,0.73,0.86,0.88,0.81,2.52,0.88,0.89,0.93,0.52,0.91,0.73,0.86,0.94,0.9,2.36,0.89,0.82,0.78,0.81,0.7,0.86,0.75,0.74,2.16,0.96,0.87,0.92,0.83,0.74,0.71,0.91,2.21,0.83,0.93,0.74,0.64,,,,,
2008,08,00030000,Acushnet,MATH,138,,,0.88,0.84,0.49,0.74,0.86,0.62,0.86,0.72,2.09,0.81,0.63,0.62,0.88,0.46,0.66,0.8,0.78,0.71,0.51,0.64,0.9,2.39,0.92,0.7,0.53,0.94,0.41,2.54,2.33,0.84,0.7,0.51,0.93,0.65,0.73,0.89,0.88,0.69,2.67,,,,,,
2008,08,00030000,Acushnet,SCI,137,,,0.93,0.97,0.93,0.74,0.71,0.28,0.72,0.68,0.64,0.58,0.74,0.72,0.31,0.65,0.78,0.63,0.47,2.34,2.17,0.93,0.51,0.73,0.64,0.79,0.89,0.7,0.96,0.65,0.72,0.27,0.64,0.77,0.73,0.52,0.25,0.79,1.66,2.72,2.58,,,,,,
2008,03,00050000,Agawam,ELA,331,,,0.6,0.76,0.79,0.74,0.9,0.82,0.79,0.81,0.78,0.89,0.69,0.92,0.78,0.89,0.73,0.61,0.72,0.93,0.9,0.78,1.65,0.71,0.77,0.77,0.88,0.93,0.94,0.87,0.86,0.83,0.92,0.89,0.71,1.96,0.91,0.75,0.7,0.74,0.6,0.55,0.57,0.78,,,
2008,03,00050000,Agawam,MATH,329,,,0.85,0.9,0.91,0.82,0.83,0.8,1.66,0.79,0.91,0.74,0.91,0.81,0.77,0.87,0.94,1.04,0.93,0.93,0.86,0.95,0.92,0.94,1.34,0.9,0.87,0.86,0.9,0.66,0.71,0.98,0.86,0.95,0.93,0.58,1.4,,,,,,,,,,
2008,04,00050000,Agawam,ELA,315,7.43,7.13,0.89,0.83,0.68,0.86,0.74,0.85,0.85,1.89,0.9,0.84,0.81,0.74,0.87,0.85,0.78,0.81,1.91,0.89,0.93,0.82,0.86,0.8,0.84,0.82,0.87,1.89,0.79,0.71,0.87,0.81,0.88,0.79,0.9,0.83,2.1,0.89,0.94,0.86,0.83,0.89,,,,,
2008,04,00050000,Agawam,MATH,317,,,0.95,0.92,0.92,0.96,0.96,0.97,0.51,0.86,0.8,2.7,0.89,0.28,2.03,0.67,0.86,0.6,2.05,0.94,0.79,0.93,0.94,0.65,0.61,0.86,0.85,0.82,2.59,0.83,0.56,0.38,2.7,0.92,0.95,0.86,0.66,0.81,0.79,0.92,0.88,,,,,,
2008,05,00050000,Agawam,ELA,346,,,0.75,0.84,0.77,0.79,0.64,0.75,0.91,1.96,0.73,0.78,0.69,0.71,0.79,0.7,0.58,0.64,0.88,1.75,0.82,0.77,0.67,0.71,0.73,0.82,0.69,0.86,1.99,0.78,0.77,0.84,0.75,0.91,0.94,0.87,2.09,0.77,0.74,0.86,0.92,0.73,,,,,
2008,05,00050000,Agawam,MATH,345,,,0.92,0.87,0.93,0.94,0.75,0.69,0.78,0.54,0.9,2.46,0.75,0.74,2.89,0.8,0.59,0.72,2.14,0.9,0.86,0.92,0.72,0.66,0.67,0.65,0.7,0.72,1.77,0.88,0.89,0.43,2.02,0.63,0.26,0.45,0.79,0.58,0.7,0.72,0.52,,,,,,
2008,05,00050000,Agawam,SCI,344,,,0.91,0.82,0.86,0.74,0.68,0.79,0.77,0.9,0.69,0.74,0.55,0.61,0.71,0.83,0.38,0.63,0.92,2.56,2.19,0.92,0.81,0.91,0.74,0.74,0.64,0.93,0.65,0.7,0.83,0.57,0.92,0.72,0.88,0.89,0.81,0.89,2.56,1.59,2.65,,,,,,
2008,06,00050000,Agawam,ELA,355,,,0.73,0.87,0.95,0.81,0.78,0.81,0.78,2.35,0.8,0.79,0.88,0.83,0.78,0.7,0.8,0.76,0.75,2.04,0.48,0.85,0.74,0.83,0.86,0.81,0.8,0.81,1.78,0.86,0.8,0.66,0.88,0.66,0.79,0.84,2.12,0.79,0.93,0.76,0.81,0.85,,,,,
2008,06,00050000,Agawam,MATH,355,,,0.95,0.93,0.81,0.9,0.85,0.83,0.75,0.64,0.52,3.07,0.84,0.94,2.43,0.88,0.86,0.68,2.55,0.94,0.84,0.81,0.84,0.66,0.84,0.9,0.81,0.7,3,0.59,0.61,0.59,2.19,0.78,0.63,0.81,0.86,0.66,0.88,0.53,0.9,,,,,,
2008,07,00050000,Agawam,ELA,373,7.62,7.12,0.93,0.92,0.96,0.72,0.82,0.97,0.93,2.38,0.9,0.95,0.66,0.91,0.74,0.77,0.77,0.83,2.06,0.82,0.77,0.79,0.9,0.71,0.88,0.97,0.71,2.13,0.66,0.68,0.89,0.83,0.72,0.77,0.94,0.95,2.4,0.9,0.73,0.84,0.88,0.82,,,,,
2008,07,00050000,Agawam,MATH,371,,,0.85,0.91,0.61,0.68,0.68,0.74,0.53,0.88,2.99,0.87,0.4,0.86,0.86,0.52,0.82,0.8,0.65,0.73,0.79,0.68,0.75,2.47,0.91,0.87,0.7,0.57,0.75,2.06,2.98,0.63,0.76,0.59,0.62,0.84,0.83,0.58,0.61,0.77,2.38,,,,,,
2008,08,00050000,Agawam,ELA,351,,,0.85,0.79,0.93,0.87,0.78,0.93,0.89,0.85,2.55,0.84,0.89,0.89,0.55,0.88,0.72,0.87,0.81,0.88,2.41,0.87,0.84,0.65,0.72,0.69,0.86,0.74,0.63,2.07,0.94,0.81,0.91,0.79,0.64,0.63,0.89,2.36,0.75,0.83,0.72,0.69,,,,,
2008,08,00050000,Agawam,MATH,350,,,0.87,0.73,0.42,0.77,0.7,0.55,0.82,0.54,2.01,0.78,0.56,0.44,0.83,0.44,0.58,0.73,0.78,0.64,0.36,0.49,0.82,2.44,0.94,0.79,0.56,0.86,0.31,2.57,1.98,0.91,0.61,0.33,0.85,0.68,0.67,0.87,0.82,0.71,2.32,,,,,,
