REC_YEAR	ORG_CODE	SCHOOL	MAT_ID	MAT_ABBREVIATION	MCORE_HS_GRAD	MCORE_COMPL	MCORE_PCT	SORT
2009	00070000	00070505	11	Female	81	81	100	20
2009	00070000	00070505	10	Male	64	64	100	30
2009	00070000	00070505	12	High needs	22	22	100	40
2009	00070000	00070505	9	Low income	16	16	100	60
2009	00070000	00070505	99	Students w/disabilities	10	10	100	70
2009	00070000	00070505	92	Multi-race, Non-Hisp./Lat.	7	7	100	120
2009	00070000	00070505	90	White	132	132	100	140
2009	00070000		5	All Students	145	145	100	10
2009	00070000		11	Female	81	81	100	20
2009	00070000		10	Male	64	64	100	30
2009	00070000		12	High needs	22	22	100	40
2009	00070000		9	Low income	16	16	100	60
2009	00070000		99	Students w/disabilities	10	10	100	70
2009	00070000		92	Multi-race, Non-Hisp./Lat.	7	7	100	120
2009	00070000		90	White	132	132	100	140
2009	00090000	00090505	5	All Students	402	402	100	10
2009	00090000	00090505	11	Female	205	205	100	20
2009	00090000	00090505	10	Male	197	197	100	30
2009	00090000	00090505	12	High needs	67	67	100	40
2009	00090000	00090505	9	Low income	19	19	100	60
2009	00090000	00090505	99	Students w/disabilities	55	55	100	70
2009	00090000	00090505	88	Asian	30	30	100	100
2009	00090000	00090505	89	Hispanic/Latino	13	13	100	110
2009	00090000	00090505	90	White	351	351	100	140
2009	00090000		5	All Students	406	406	100	10
2009	00090000		11	Female	206	206	100	20
2009	00090000		10	Male	200	200	100	30
2009	00090000		12	High needs	71	71	100	40
2009	00090000		9	Low income	19	19	100	60
2009	00090000		99	Students w/disabilities	59	59	100	70
2009	00090000		88	Asian	30	30	100	100
2009	00090000		89	Hispanic/Latino	14	14	100	110
2009	00090000		90	White	354	354	100	140
2009	00100000	00100505	5	All Students	288	211	73.3	10
2009	00100000	00100505	11	Female	137	101	73.7	20
2009	00100000	00100505	10	Male	151	110	72.8	30
2009	00100000	00100505	12	High needs	91	55	60.4	40
2009	00100000	00100505	95	ELL	13	7	53.8	50
2009	00100000	00100505	9	Low income	44	26	59.1	60
2009	00100000	00100505	99	Students w/disabilities	51	30	58.8	70
2009	00100000	00100505	87	Afr. Amer./Black	16	9	56.3	80
2009	00100000	00100505	88	Asian	19	15	78.9	100
2009	00100000	00100505	89	Hispanic/Latino	14	9	64.3	110
2009	00100000	00100505	92	Multi-race, Non-Hisp./Lat.	6	5	83.3	120
2009	00100000	00100505	90	White	233	173	74.2	140
2009	00100000		5	All Students	291	214	73.5	10
2009	00100000		11	Female	138	102	73.9	20
2009	00100000		10	Male	153	112	73.2	30
2009	00100000		12	High needs	94	58	61.7	40
2009	00100000		95	ELL	13	7	53.8	50
2009	00100000		9	Low income	44	26	59.1	60
2009	00100000		99	Students w/disabilities	54	33	61.1	70
2009	00100000		87	Afr. Amer./Black	16	9	56.3	80
2009	00100000		88	Asian	19	15	78.9	100
2009	00100000		89	Hispanic/Latino	14	9	64.3	110
2009	00100000		92	Multi-race, Non-Hisp./Lat.	6	5	83.3	120
2009	00100000		90	White	236	176	74.6	140
2009	00140000	00140505	5	All Students	178	119	66.9	10
2009	00140000	00140505	11	Female	104	73	70.2	20
2009	00140000	00140505	10	Male	74	46	62.2	30
2009	00140000	00140505	12	High needs	32	12	37.5	40
2009	00140000	00140505	9	Low income	13	6	46.2	60
2009	00140000	00140505	99	Students w/disabilities	22	6	27.3	70
2009	00140000	00140505	88	Asian	9	8	88.9	100
2009	00140000	00140505	89	Hispanic/Latino	10	4	40	110
2009	00140000	00140505	92	Multi-race, Non-Hisp./Lat.	6	6	100	120
2009	00140000	00140505	90	White	149	99	66.4	140
2009	00140000		5	All Students	181	119	65.7	10
2009	00140000		11	Female	105	73	69.5	20
2009	00140000		10	Male	76	46	60.5	30
2009	00140000		12	High needs	35	12	34.3	40
2009	00140000		9	Low income	13	6	46.2	60
2009	00140000		99	Students w/disabilities	25	6	24	70
2009	00140000		88	Asian	9	8	88.9	100
2009	00140000		89	Hispanic/Latino	10	4	40	110
2009	00140000		92	Multi-race, Non-Hisp./Lat.	6	6	100	120
2009	00140000		90	White	152	99	65.1	140
2009	00160000	00160505	5	All Students	371	371	100	10
2009	00160000	00160505	11	Female	195	195	100	20
2009	00160000	00160505	10	Male	176	176	100	30
2009	00160000	00160505	12	High needs	147	147	100	40
2009	00160000	00160505	95	ELL	19	19	100	50
2009	00160000	00160505	9	Low income	108	108	100	60
2009	00160000	00160505	99	Students w/disabilities	61	61	100	70
2009	00160000	00160505	87	Afr. Amer./Black	13	13	100	80
2009	00160000	00160505	88	Asian	10	10	100	100
2009	00160000	00160505	89	Hispanic/Latino	30	30	100	110
2009	00160000	00160505	92	Multi-race, Non-Hisp./Lat.	17	17	100	120
2009	00160000	00160505	90	White	296	296	100	140
2009	00160000		5	All Students	371	371	100	10
2009	00160000		11	Female	195	195	100	20
2009	00160000		10	Male	176	176	100	30
2009	00160000		12	High needs	147	147	100	40
2009	00160000		95	ELL	19	19	100	50
2009	00160000		9	Low income	108	108	100	60
2009	00160000		99	Students w/disabilities	61	61	100	70
2009	00160000		87	Afr. Amer./Black	13	13	100	80
2009	00160000		88	Asian	10	10	100	100
2009	00160000		89	Hispanic/Latino	30	30	100	110
2009	00160000		92	Multi-race, Non-Hisp./Lat.	17	17	100	120
2009	00160000		90	White	296	296	100	140
2009	00170000	00170505	5	All Students	141	50	35.5	10
2009	00170000	00170505	11	Female	66	31	47	20
2009	00170000	00170505	10	Male	75	19	25.3	30
2009	00170000	00170505	12	High needs	35	4	11.4	40
2009	00170000	00170505	9	Low income	23	3	13	60
2009	00170000	00170505	99	Students w/disabilities	14	1	7.1	70
2009	00170000	00170505	89	Hispanic/Latino	6	0	0	110
2009	00170000	00170505	90	White	125	46	36.8	140
2009	00170000		5	All Students	142	50	35.2	10
2009	00170000		11	Female	66	31	47	20
2009	00170000		10	Male	76	19	25	30
2009	00170000		12	High needs	36	4	11.1	40
2009	00170000		9	Low income	23	3	13	60
2009	00170000		99	Students w/disabilities	15	1	6.7	70
2009	00170000		89	Hispanic/Latino	6	0	0	110
2009	00170000		90	White	126	46	36.5	140
2009	00180000	00180510	5	All Students	53	53	100	10
2009	00180000	00180510	11	Female	29	29	100	20
2009	00180000	00180510	10	Male	24	24	100	30
2009	00180000	00180510	12	High needs	20	20	100	40
2009	00180000	00180510	9	Low income	18	18	100	60
2009	00180000	00180510	87	Afr. Amer./Black	13	13	100	80
2009	00180000	00180510	90	White	34	34	100	140
2009	00180000		5	All Students	54	54	100	10
2009	00180000		11	Female	29	29	100	20
2009	00180000		10	Male	25	25	100	30
2009	00180000		12	High needs	21	21	100	40
2009	00180000		9	Low income	18	18	100	60
2009	00180000		99	Students w/disabilities	6	6	100	70
2009	00180000		87	Afr. Amer./Black	13	13	100	80
2009	00180000		90	White	35	35	100	140
2009	00190000	00190510	5	All Students	86	86	100	10
2009	00190000	00190510	11	Female	42	42	100	20
2009	00190000	00190510	10	Male	44	44	100	30
2009	00190000	00190510	12	High needs	28	28	100	40
2009	00190000	00190510	9	Low income	24	24	100	60
2009	00190000	00190510	99	Students w/disabilities	7	7	100	70
2009	00190000	00190510	87	Afr. Amer./Black	6	6	100	80
2009	00190000	00190510	92	Multi-race, Non-Hisp./Lat.	10	10	100	120
2009	00190000	00190510	90	White	65	65	100	140
2009	00190000		5	All Students	86	86	100	10
2009	00190000		11	Female	42	42	100	20
2009	00190000		10	Male	44	44	100	30
2009	00190000		12	High needs	28	28	100	40
2009	00190000		9	Low income	24	24	100	60
2009	00190000		99	Students w/disabilities	7	7	100	70
2009	00190000		87	Afr. Amer./Black	6	6	100	80
2009	00190000		92	Multi-race, Non-Hisp./Lat.	10	10	100	120
2009	00190000		90	White	65	65	100	140
2009	00200000	00200505	5	All Students	397	0	0	10
2009	00200000	00200505	11	Female	217	0	0	20
2009	00200000	00200505	10	Male	180	0	0	30
2009	00200000	00200505	12	High needs	135	0	0	40
2009	00200000	00200505	95	ELL	21	0	0	50
2009	00200000	00200505	9	Low income	107	0	0	60
2009	00200000	00200505	99	Students w/disabilities	41	0	0	70
2009	00200000	00200505	87	Afr. Amer./Black	18	0	0	80
2009	00200000	00200505	88	Asian	10	0	0	100
2009	00200000	00200505	89	Hispanic/Latino	34	0	0	110
2009	00200000	00200505	92	Multi-race, Non-Hisp./Lat.	16	0	0	120
2009	00200000	00200505	90	White	315	0	0	140
2009	00200000		5	All Students	401	0	0	10
2009	00200000		11	Female	217	0	0	20
2009	00200000		10	Male	184	0	0	30
2009	00200000		12	High needs	139	0	0	40
2009	00200000		95	ELL	21	0	0	50
2009	00200000		9	Low income	110	0	0	60
2009	00200000		99	Students w/disabilities	45	0	0	70
2009	00200000		87	Afr. Amer./Black	18	0	0	80
2009	00200000		88	Asian	10	0	0	100
2009	00200000		89	Hispanic/Latino	34	0	0	110
2009	00200000		92	Multi-race, Non-Hisp./Lat.	17	0	0	120
2009	00200000		90	White	318	0	0	140
2009	00230000	00230505	5	All Students	202	190	94.1	10
2009	00230000	00230505	11	Female	102	95	93.1	20
2009	00230000	00230505	10	Male	100	95	95	30
2009	00230000	00230505	12	High needs	53	43	81.1	40
2009	00230000	00230505	9	Low income	21	15	71.4	60
2009	00230000	00230505	99	Students w/disabilities	41	31	75.6	70
2009	00230000	00230505	87	Afr. Amer./Black	17	17	100	80
2009	00230000	00230505	88	Asian	14	14	100	100
2009	00230000	00230505	90	White	165	154	93.3	140
2009	00230000		5	All Students	209	191	91.4	10
2009	00230000		11	Female	102	95	93.1	20
2009	00230000		10	Male	107	96	89.7	30
2009	00230000		12	High needs	60	44	73.3	40
2009	00230000		9	Low income	22	15	68.2	60
2009	00230000		99	Students w/disabilities	48	32	66.7	70
2009	00230000		87	Afr. Amer./Black	17	17	100	80
2009	00230000		88	Asian	14	14	100	100
2009	00230000		90	White	172	155	90.1	140
2009	00240000	00240505	5	All Students	175	175	100	10
2009	00240000	00240505	11	Female	92	92	100	20
2009	00240000	00240505	10	Male	83	83	100	30
2009	00240000	00240505	12	High needs	39	39	100	40
2009	00240000	00240505	9	Low income	26	26	100	60
2009	00240000	00240505	99	Students w/disabilities	17	17	100	70
2009	00240000	00240505	89	Hispanic/Latino	6	6	100	110
2009	00240000	00240505	90	White	162	162	100	140
2009	00240000		5	All Students	175	175	100	10
2009	00240000		11	Female	92	92	100	20
2009	00240000		10	Male	83	83	100	30
2009	00240000		12	High needs	39	39	100	40
2009	00240000		9	Low income	26	26	100	60
2009	00240000		99	Students w/disabilities	17	17	100	70
2009	00240000		89	Hispanic/Latino	6	6	100	110
2009	00240000		90	White	162	162	100	140
2009	00250000	00250505	5	All Students	164	164	100	10
2009	00250000	00250505	11	Female	93	93	100	20
2009	00250000	00250505	10	Male	71	71	100	30
2009	00250000	00250505	12	High needs	49	49	100	40
2009	00250000	00250505	9	Low income	32	32	100	60
2009	00250000	00250505	99	Students w/disabilities	17	17	100	70
2009	00250000	00250505	89	Hispanic/Latino	9	9	100	110
2009	00250000	00250505	90	White	149	149	100	140
2009	00250000	00250510	5	All Students	8	8	100	10
2009	00250000	00250510	10	Male	7	7	100	30
2009	00250000	00250510	12	High needs	8	8	100	40
2009	00250000	00250510	9	Low income	6	6	100	60
2009	00250000	00250510	99	Students w/disabilities	8	8	100	70
2009	00250000	00250510	90	White	7	7	100	140
2009	00250000		5	All Students	173	173	100	10
2009	00250000		11	Female	94	94	100	20
2009	00250000		10	Male	79	79	100	30
2009	00250000		12	High needs	58	58	100	40
2009	00250000		9	Low income	39	39	100	60
2009	00250000		99	Students w/disabilities	26	26	100	70
2009	00250000		89	Hispanic/Latino	9	9	100	110
2009	00250000		90	White	157	157	100	140
2009	00260000	00260505	5	All Students	272	272	100	10
2009	00260000	00260505	11	Female	135	135	100	20
2009	00260000	00260505	10	Male	137	137	100	30
2009	00260000	00260505	12	High needs	61	61	100	40
2009	00260000	00260505	95	ELL	11	11	100	50
2009	00260000	00260505	9	Low income	33	33	100	60
2009	00260000	00260505	99	Students w/disabilities	26	26	100	70
2009	00260000	00260505	87	Afr. Amer./Black	10	10	100	80
2009	00260000	00260505	88	Asian	40	40	100	100
2009	00260000	00260505	89	Hispanic/Latino	11	11	100	110
2009	00260000	00260505	92	Multi-race, Non-Hisp./Lat.	6	6	100	120
2009	00260000	00260505	90	White	205	205	100	140
2009	00260000		5	All Students	272	272	100	10
2009	00260000		11	Female	135	135	100	20
2009	00260000		10	Male	137	137	100	30
2009	00260000		12	High needs	61	61	100	40
2009	00260000		95	ELL	11	11	100	50
2009	00260000		9	Low income	33	33	100	60
2009	00260000		99	Students w/disabilities	26	26	100	70
2009	00260000		87	Afr. Amer./Black	10	10	100	80
2009	00260000		88	Asian	40	40	100	100
2009	00260000		89	Hispanic/Latino	11	11	100	110
2009	00260000		92	Multi-race, Non-Hisp./Lat.	6	6	100	120
2009	00260000		90	White	205	205	100	140
2009	00300000	00300505	5	All Students	269	269	100	10
2009	00300000	00300505	11	Female	137	137	100	20
2009	00300000	00300505	10	Male	132	132	100	30
2009	00300000	00300505	12	High needs	88	88	100	40
2009	00300000	00300505	9	Low income	55	55	100	60
2009	00300000	00300505	99	Students w/disabilities	50	50	100	70
2009	00300000	00300505	87	Afr. Amer./Black	7	7	100	80
2009	00300000	00300505	89	Hispanic/Latino	11	11	100	110
2009	00300000	00300505	90	White	245	245	100	140
2009	00300000		5	All Students	279	279	100	10
2009	00300000		11	Female	139	139	100	20
2009	00300000		10	Male	140	140	100	30
2009	00300000		12	High needs	98	98	100	40
2009	00300000		9	Low income	58	58	100	60
2009	00300000		99	Students w/disabilities	60	60	100	70
2009	00300000		87	Afr. Amer./Black	9	9	100	80
2009	00300000		89	Hispanic/Latino	11	11	100	110
2009	00300000		90	White	253	253	100	140
2009	00310000	00310505	5	All Students	328	328	100	10
2009	00310000	00310505	11	Female	174	174	100	20
2009	00310000	00310505	10	Male	154	154	100	30
2009	00310000	00310505	12	High needs	52	52	100	40
2009	00310000	00310505	9	Low income	22	22	100	60
2009	00310000	00310505	99	Students w/disabilities	29	29	100	70
2009	00310000	00310505	87	Afr. Amer./Black	6	6	100	80
2009	00310000	00310505	88	Asian	15	15	100	100
2009	00310000	00310505	89	Hispanic/Latino	13	13	100	110
2009	00310000	00310505	92	Multi-race, Non-Hisp./Lat.	14	14	100	120
2009	00310000	00310505	90	White	280	280	100	140
2009	00310000		5	All Students	333	333	100	10
2009	00310000		11	Female	176	176	100	20
2009	00310000		10	Male	157	157	100	30
2009	00310000		12	High needs	57	57	100	40
2009	00310000		9	Low income	24	24	100	60
2009	00310000		99	Students w/disabilities	34	34	100	70
2009	00310000		87	Afr. Amer./Black	6	6	100	80
2009	00310000		88	Asian	15	15	100	100
2009	00310000		89	Hispanic/Latino	13	13	100	110
2009	00310000		92	Multi-race, Non-Hisp./Lat.	14	14	100	120
2009	00310000		90	White	285	285	100	140
2009	00350000	00350363	5	All Students	37	37	100	10
2009	00350000	00350363	11	Female	8	8	100	20
2009	00350000	00350363	10	Male	29	29	100	30
2009	00350000	00350363	12	High needs	37	37	100	40
2009	00350000	00350363	9	Low income	34	34	100	60
2009	00350000	00350363	99	Students w/disabilities	37	37	100	70
2009	00350000	00350363	87	Afr. Amer./Black	17	17	100	80
2009	00350000	00350363	89	Hispanic/Latino	13	13	100	110
2009	00350000	00350363	90	White	7	7	100	140
2009	00350000	00350502	5	All Students	43	43	100	10
2009	00350000	00350502	11	Female	31	31	100	20
2009	00350000	00350502	10	Male	12	12	100	30
2009	00350000	00350502	12	High needs	38	38	100	40
2009	00350000	00350502	9	Low income	37	37	100	60
2009	00350000	00350502	99	Students w/disabilities	8	8	100	70
2009	00350000	00350502	87	Afr. Amer./Black	34	34	100	80
2009	00350000	00350502	89	Hispanic/Latino	7	7	100	110
2009	00350000	00350505	5	All Students	225	225	100	10
2009	00350000	00350505	11	Female	123	123	100	20
2009	00350000	00350505	10	Male	102	102	100	30
2009	00350000	00350505	12	High needs	215	215	100	40
2009	00350000	00350505	95	ELL	41	41	100	50
2009	00350000	00350505	9	Low income	214	214	100	60
2009	00350000	00350505	99	Students w/disabilities	34	34	100	70
2009	00350000	00350505	87	Afr. Amer./Black	88	88	100	80
2009	00350000	00350505	88	Asian	10	10	100	100
2009	00350000	00350505	89	Hispanic/Latino	113	113	100	110
2009	00350000	00350505	90	White	12	12	100	140
2009	00350000	00350507	5	All Students	42	42	100	10
2009	00350000	00350507	11	Female	20	20	100	20
2009	00350000	00350507	10	Male	22	22	100	30
2009	00350000	00350507	12	High needs	42	42	100	40
2009	00350000	00350507	95	ELL	41	41	100	50
2009	00350000	00350507	9	Low income	40	40	100	60
2009	00350000	00350507	87	Afr. Amer./Black	8	8	100	80
2009	00350000	00350507	89	Hispanic/Latino	24	24	100	110
2009	00350000	00350515	5	All Students	206	206	100	10
2009	00350000	00350515	11	Female	105	105	100	20
2009	00350000	00350515	10	Male	101	101	100	30
2009	00350000	00350515	12	High needs	199	199	100	40
2009	00350000	00350515	95	ELL	53	53	100	50
2009	00350000	00350515	9	Low income	197	197	100	60
2009	00350000	00350515	99	Students w/disabilities	30	30	100	70
2009	00350000	00350515	87	Afr. Amer./Black	89	89	100	80
2009	00350000	00350515	88	Asian	49	49	100	100
2009	00350000	00350515	89	Hispanic/Latino	57	57	100	110
2009	00350000	00350515	90	White	9	9	100	140
2009	00350000	00350518	5	All Students	36	36	100	10
2009	00350000	00350518	11	Female	23	23	100	20
2009	00350000	00350518	10	Male	13	13	100	30
2009	00350000	00350518	12	High needs	35	35	100	40
2009	00350000	00350518	9	Low income	35	35	100	60
2009	00350000	00350518	87	Afr. Amer./Black	28	28	100	80
2009	00350000	00350518	89	Hispanic/Latino	7	7	100	110
2009	00350000	00350522	5	All Students	74	74	100	10
2009	00350000	00350522	11	Female	34	34	100	20
2009	00350000	00350522	10	Male	40	40	100	30
2009	00350000	00350522	12	High needs	65	65	100	40
2009	00350000	00350522	95	ELL	19	19	100	50
2009	00350000	00350522	9	Low income	60	60	100	60
2009	00350000	00350522	99	Students w/disabilities	10	10	100	70
2009	00350000	00350522	87	Afr. Amer./Black	22	22	100	80
2009	00350000	00350522	88	Asian	20	20	100	100
2009	00350000	00350522	89	Hispanic/Latino	15	15	100	110
2009	00350000	00350522	90	White	17	17	100	140
2009	00350000	00350524	5	All Students	28	28	100	10
2009	00350000	00350524	11	Female	13	13	100	20
2009	00350000	00350524	10	Male	15	15	100	30
2009	00350000	00350524	12	High needs	27	27	100	40
2009	00350000	00350524	9	Low income	26	26	100	60
2009	00350000	00350524	99	Students w/disabilities	8	8	100	70
2009	00350000	00350524	87	Afr. Amer./Black	17	17	100	80
2009	00350000	00350524	89	Hispanic/Latino	11	11	100	110
2009	00350000	00350525	5	All Students	113	113	100	10
2009	00350000	00350525	11	Female	60	60	100	20
2009	00350000	00350525	10	Male	53	53	100	30
2009	00350000	00350525	12	High needs	105	105	100	40
2009	00350000	00350525	95	ELL	36	36	100	50
2009	00350000	00350525	9	Low income	105	105	100	60
2009	00350000	00350525	99	Students w/disabilities	15	15	100	70
2009	00350000	00350525	87	Afr. Amer./Black	80	80	100	80
2009	00350000	00350525	89	Hispanic/Latino	23	23	100	110
2009	00350000	00350530	5	All Students	253	253	100	10
2009	00350000	00350530	11	Female	130	130	100	20
2009	00350000	00350530	10	Male	123	123	100	30
2009	00350000	00350530	12	High needs	235	235	100	40
2009	00350000	00350530	95	ELL	43	43	100	50
2009	00350000	00350530	9	Low income	228	228	100	60
2009	00350000	00350530	99	Students w/disabilities	38	38	100	70
2009	00350000	00350530	87	Afr. Amer./Black	40	40	100	80
2009	00350000	00350530	89	Hispanic/Latino	144	144	100	110
2009	00350000	00350530	90	White	61	61	100	140
2009	00350000	00350535	5	All Students	169	169	100	10
2009	00350000	00350535	11	Female	85	85	100	20
2009	00350000	00350535	10	Male	84	84	100	30
2009	00350000	00350535	12	High needs	163	163	100	40
2009	00350000	00350535	95	ELL	29	29	100	50
2009	00350000	00350535	9	Low income	160	160	100	60
2009	00350000	00350535	99	Students w/disabilities	35	35	100	70
2009	00350000	00350535	87	Afr. Amer./Black	74	74	100	80
2009	00350000	00350535	89	Hispanic/Latino	79	79	100	110
2009	00350000	00350535	90	White	8	8	100	140
2009	00350000	00350537	5	All Students	234	234	100	10
2009	00350000	00350537	11	Female	109	109	100	20
2009	00350000	00350537	10	Male	125	125	100	30
2009	00350000	00350537	12	High needs	224	224	100	40
2009	00350000	00350537	95	ELL	45	45	100	50
2009	00350000	00350537	9	Low income	219	219	100	60
2009	00350000	00350537	99	Students w/disabilities	71	71	100	70
2009	00350000	00350537	87	Afr. Amer./Black	124	124	100	80
2009	00350000	00350537	89	Hispanic/Latino	90	90	100	110
2009	00350000	00350537	90	White	14	14	100	140
2009	00350000	00350538	5	All Students	75	75	100	10
2009	00350000	00350538	11	Female	43	43	100	20
2009	00350000	00350538	10	Male	32	32	100	30
2009	00350000	00350538	12	High needs	69	69	100	40
2009	00350000	00350538	9	Low income	67	67	100	60
2009	00350000	00350538	99	Students w/disabilities	17	17	100	70
2009	00350000	00350538	87	Afr. Amer./Black	43	43	100	80
2009	00350000	00350538	88	Asian	6	6	100	100
2009	00350000	00350538	89	Hispanic/Latino	18	18	100	110
2009	00350000	00350538	90	White	8	8	100	140
2009	00350000	00350539	5	All Students	83	83	100	10
2009	00350000	00350539	11	Female	30	30	100	20
2009	00350000	00350539	10	Male	53	53	100	30
2009	00350000	00350539	12	High needs	76	76	100	40
2009	00350000	00350539	9	Low income	71	71	100	60
2009	00350000	00350539	99	Students w/disabilities	11	11	100	70
2009	00350000	00350539	87	Afr. Amer./Black	44	44	100	80
2009	00350000	00350539	88	Asian	8	8	100	100
2009	00350000	00350539	89	Hispanic/Latino	22	22	100	110
2009	00350000	00350539	90	White	9	9	100	140
2009	00350000	00350540	5	All Students	66	66	100	10
2009	00350000	00350540	11	Female	37	37	100	20
2009	00350000	00350540	10	Male	29	29	100	30
2009	00350000	00350540	12	High needs	54	54	100	40
2009	00350000	00350540	9	Low income	49	49	100	60
2009	00350000	00350540	99	Students w/disabilities	15	15	100	70
2009	00350000	00350540	87	Afr. Amer./Black	26	26	100	80
2009	00350000	00350540	89	Hispanic/Latino	26	26	100	110
2009	00350000	00350540	90	White	10	10	100	140
2009	00350000	00350541	5	All Students	44	44	100	10
2009	00350000	00350541	11	Female	30	30	100	20
2009	00350000	00350541	10	Male	14	14	100	30
2009	00350000	00350541	12	High needs	37	37	100	40
2009	00350000	00350541	9	Low income	37	37	100	60
2009	00350000	00350541	87	Afr. Amer./Black	17	17	100	80
2009	00350000	00350541	89	Hispanic/Latino	18	18	100	110
2009	00350000	00350542	5	All Students	58	58	100	10
2009	00350000	00350542	11	Female	38	38	100	20
2009	00350000	00350542	10	Male	20	20	100	30
2009	00350000	00350542	12	High needs	53	53	100	40
2009	00350000	00350542	9	Low income	53	53	100	60
2009	00350000	00350542	99	Students w/disabilities	7	7	100	70
2009	00350000	00350542	87	Afr. Amer./Black	29	29	100	80
2009	00350000	00350542	89	Hispanic/Latino	23	23	100	110
2009	00350000	00350543	5	All Students	38	38	100	10
2009	00350000	00350543	11	Female	23	23	100	20
2009	00350000	00350543	10	Male	15	15	100	30
2009	00350000	00350543	12	High needs	33	33	100	40
2009	00350000	00350543	9	Low income	31	31	100	60
2009	00350000	00350543	99	Students w/disabilities	8	8	100	70
2009	00350000	00350543	87	Afr. Amer./Black	19	19	100	80
2009	00350000	00350543	89	Hispanic/Latino	18	18	100	110
2009	00350000	00350545	5	All Students	248	248	100	10
2009	00350000	00350545	11	Female	153	153	100	20
2009	00350000	00350545	10	Male	95	95	100	30
2009	00350000	00350545	12	High needs	168	168	100	40
2009	00350000	00350545	9	Low income	165	165	100	60
2009	00350000	00350545	99	Students w/disabilities	6	6	100	70
2009	00350000	00350545	87	Afr. Amer./Black	72	72	100	80
2009	00350000	00350545	88	Asian	61	61	100	100
2009	00350000	00350545	89	Hispanic/Latino	33	33	100	110
2009	00350000	00350545	90	White	75	75	100	140
2009	00350000	00350546	5	All Students	74	74	100	10
2009	00350000	00350546	11	Female	53	53	100	20
2009	00350000	00350546	10	Male	21	21	100	30
2009	00350000	00350546	12	High needs	56	56	100	40
2009	00350000	00350546	9	Low income	54	54	100	60
2009	00350000	00350546	99	Students w/disabilities	10	10	100	70
2009	00350000	00350546	87	Afr. Amer./Black	37	37	100	80
2009	00350000	00350546	89	Hispanic/Latino	15	15	100	110
2009	00350000	00350546	90	White	17	17	100	140
2009	00350000	00350548	5	All Students	111	111	100	10
2009	00350000	00350548	11	Female	50	50	100	20
2009	00350000	00350548	10	Male	61	61	100	30
2009	00350000	00350548	12	High needs	110	110	100	40
2009	00350000	00350548	95	ELL	39	39	100	50
2009	00350000	00350548	9	Low income	107	107	100	60
2009	00350000	00350548	99	Students w/disabilities	21	21	100	70
2009	00350000	00350548	87	Afr. Amer./Black	61	61	100	80
2009	00350000	00350548	89	Hispanic/Latino	46	46	100	110
2009	00350000	00350558	5	All Students	66	66	100	10
2009	00350000	00350558	11	Female	38	38	100	20
2009	00350000	00350558	10	Male	28	28	100	30
