FY_CODE,DISTRICT_CODE,DIST_NAME,SCHOOL_CODE,SCHOOL_NAME,ARH_SCH_PERCENTILE,ARH_SCH_TYPE,ARH_LEVEL,ARH_LEVEL_REASON_PERF,CUMPPI_ALL,CUMPPI_HN
2012,00170000,Auburn,00170005,"Julia Bancroft",52,"Elementary School","Level 1","Meeting gap narrowing goals",84,85
2012,00170000,Auburn,00170010,"Bryn Mawr",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00170000,Auburn,00170015,Pakachoag,68,"Elementary School","Level 2","Not meeting gap narrowing goals",74,69
2012,00170000,Auburn,00170025,"Mary D Stone",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00170000,Auburn,00170305,"Auburn Middle",56,"Middle School","Level 2","Not meeting gap narrowing goals",71,65
2012,00170000,Auburn,00170505,"Auburn Senior High",54,"High School","Level 1","Meeting gap narrowing goals",88,88
2012,00180000,Avon,00180010,"Ralph D Butler",74,"Elementary School","Level 1","Meeting gap narrowing goals",92,99
2012,00180000,Avon,00180510,"Avon Middle High School",48,"Middle-High School or K-12","Level 2","Not meeting gap narrowing goals",79,71
2012,00200000,Barnstable,00200005,"West Barnstable Elementary",,"Elementary School","Level 1","Meeting gap narrowing goals",100,
2012,00200000,Barnstable,00200010,"Centerville Elementary",,"Elementary School","Level 1","Meeting gap narrowing goals",83,
2012,00200000,Barnstable,00200025,"Hyannis West Elementary",,"Elementary School","Level 2","Not meeting gap narrowing goals",44,50
2012,00200000,Barnstable,00200045,"West Villages Elementary School",,"Elementary School","Insufficient data","Insufficient data",,
2012,00200000,Barnstable,00200315,"Barnstable Intermediate School",,"Middle School","Insufficient data","Insufficient data",,
2012,00200000,Barnstable,00200505,"Barnstable High",65,"Middle-High School or K-12","Level 2","Not meeting gap narrowing goals",60,60
2012,00230000,Bedford,00230010,"Lt Elezer Davis",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00230000,Bedford,00230012,"Lt Job Lane School",76,"Elementary School","Level 2","Not meeting gap narrowing goals",59,49
2012,00230000,Bedford,00230305,"John Glenn Middle",79,"Middle School","Level 2","Not meeting gap narrowing goals",73,63
2012,00230000,Bedford,00230505,"Bedford High",92,"High School","Level 1","Meeting gap narrowing goals",98,83
2012,00240000,Belchertown,00240005,"Cold Spring",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00240000,Belchertown,00240006,"Chestnut Hill Community School",36,"Elementary School","Level 2","Not meeting gap narrowing goals",65,60
2012,00240000,Belchertown,00240018,"Swift River Elementary",,"Elementary School","Level 1","Meeting gap narrowing goals",94,100
2012,00240000,Belchertown,00240025,"Jabish Middle School",47,"Middle School","Level 1","Meeting gap narrowing goals",78,81
2012,00240000,Belchertown,00240505,"Belchertown High",84,"High School","Level 1","Meeting gap narrowing goals",89,96
2012,00250000,Bellingham,00250003,"Bellingham Early Childhood Center",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00250000,Bellingham,00250009,"Clara Macy Elementary",30,"Elementary School","Level 2","Not meeting gap narrowing goals",46,
2012,00250000,Bellingham,00250020,"South Elementary",66,"Elementary School","Level 2","Not meeting gap narrowing goals",69,74
2012,00250000,Bellingham,00250025,"Stall Brook",37,"Elementary School","Level 2","Not meeting gap narrowing goals",57,
2012,00250000,Bellingham,00250315,"Bellingham Memorial Middle School",44,"Middle School","Level 2","Not meeting gap narrowing goals",56,44
2012,00250000,Bellingham,00250505,"Bellingham High School",38,"High School","Level 2","Not meeting gap narrowing goals",79,73
2012,00250000,Bellingham,00250510,"Primavera Junior/Senior High School",,"High School","Insufficient data","Insufficient data",,
2012,00260000,Belmont,00260005,"Winn Brook",95,"Elementary School","Level 1","Meeting gap narrowing goals",97,
2012,00260000,Belmont,00260010,"Mary Lee Burbank",96,"Elementary School","Level 1","Meeting gap narrowing goals",100,
2012,00260000,Belmont,00260015,"Daniel Butler",94,"Elementary School","Level 1","Meeting gap narrowing goals",94,
2012,00260000,Belmont,00260035,"Roger E Wellington",91,"Elementary School","Level 1","Meeting gap narrowing goals",99,
2012,00260000,Belmont,00260305,"Winthrop L Chenery Middle",97,"Middle School","Level 2","Not meeting gap narrowing goals",100,66
2012,00260000,Belmont,00260505,"Belmont High",98,"High School","Level 1","Meeting gap narrowing goals",98,97
2012,00270000,Berkley,00270010,"Berkley Community School",46,"Elementary School","Level 1","Meeting gap narrowing goals",89,100
2012,00270000,Berkley,00270305,"Berkley Middle School",38,"Middle School","Level 2","Not meeting gap narrowing goals",52,41
2012,00280000,Berlin,00280005,"Berlin Memorial",52,"Elementary School","Level 2","Not meeting gap narrowing goals",66,69
2012,00300000,Beverly,00300010,"Centerville Elementary",44,"Elementary School","Level 2","Not meeting gap narrowing goals",65,61
2012,00300000,Beverly,00300015,"Cove Elementary",52,"Elementary School","Level 2","Not meeting gap narrowing goals",65,78
2012,00300000,Beverly,00300033,"Hannah Elementary",58,"Elementary School","Level 2","Not meeting gap narrowing goals",72,40
2012,00300000,Beverly,00300040,"North Beverly Elementary",20,"Elementary School","Level 3","Among lowest performing 20% of schools",57,59
2012,00300000,Beverly,00300055,"Ayers/Ryal Side School",53,"Elementary School","Level 2","Not meeting gap narrowing goals",85,66
2012,00300000,Beverly,00300305,"Briscoe Middle",55,"Middle School","Level 2","Not meeting gap narrowing goals",90,69
2012,00300000,Beverly,00300505,"Beverly High",41,"High School","Level 1","Meeting gap narrowing goals",80,79
2012,00310000,Billerica,00310005,"Thomas Ditson",32,"Elementary School","Level 2","Not meeting gap narrowing goals",45,50
2012,00310000,Billerica,00310007,"Frederick J Dutile",65,"Elementary School","Level 2","Not meeting gap narrowing goals",74,56
2012,00310000,Billerica,00310012,"John F Kennedy",49,"Elementary School","Level 2","Not meeting gap narrowing goals",77,56
2012,00310000,Billerica,00310015,Parker,33,"Elementary School","Level 2","Not meeting gap narrowing goals",66,65
2012,00310000,Billerica,00310026,"Hajjar Elementary",22,"Elementary School","Level 2","Not meeting gap narrowing goals",42,43
2012,00310000,Billerica,00310030,"Eugene C Vining",32,"Elementary School","Level 2","Not meeting gap narrowing goals",53,50
2012,00310000,Billerica,00310305,"Marshall Middle School",46,"Middle School","Level 2","Not meeting gap narrowing goals",70,59
2012,00310000,Billerica,00310310,"Locke Middle",48,"Middle School","Level 2","Not meeting gap narrowing goals",60,64
2012,00310000,Billerica,00310505,"Billerica Memorial High School",47,"High School","Level 2","Not meeting gap narrowing goals",68,66
2012,00350000,Boston,00350001,"Lee Academy",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350002,"Early Childhood Center at Fifield (ECC-Fifield)",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350003,"Baldwin Early Learning Center",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350004,"Lyon K-8",77,"Elementary-Middle School","Level 2","Not meeting gap narrowing goals",76,69
2012,00350000,Boston,00350006,"ELC - West Zone",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350008,"Dr. Catherine Ellison-Rosa Parks Early Ed School",,"Elementary School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350009,"East Boston Early Childhood Center",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350010,"Haynes Early Education Center",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350012,"Boston Teachers Union School",,"Elementary-Middle School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350013,"Jackson Mann",15,"Elementary-Middle School","Level 3","Among lowest performing 20% of schools and subgroups",50,47
2012,00350000,Boston,00350020,"Curley K-8 School",23,"Elementary-Middle School","Level 3","Among lowest performing 20% of subgroups",65,54
2012,00350000,Boston,00350021,Beethoven,,"Elementary School","Level 1","Meeting gap narrowing goals",100,100
2012,00350000,Boston,00350036,"Carter Developmental Center",,"Middle-High School or K-12","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350052,"Charles Sumner",25,"Elementary School","Level 1","Meeting gap narrowing goals",82,80
2012,00350000,Boston,00350054,"Charles H Taylor",24,"Elementary School","Level 2","Not meeting gap narrowing goals",55,55
2012,00350000,Boston,00350062,"Curtis Guild",19,"Elementary School","Level 3","Among lowest performing 20% of schools",69,74
2012,00350000,Boston,00350072,"David A Ellis",10,"Elementary School","Level 3","Among lowest performing 20% of schools",45,42
2012,00350000,Boston,00350074,Dearborn,8,"Middle School","Level 4","Among lowest achieving and least improving schools",57,55
2012,00350000,Boston,00350077,"Dennis C Haley",18,"Elementary School","Level 3","Among lowest performing 20% of schools",85,74
2012,00350000,Boston,00350080,"Donald Mckay",10,"Elementary-Middle School","Level 3","Among lowest performing 20% of schools",46,50
2012,00350000,Boston,00350088,"Edward Everett",11,"Elementary School","Level 3","Among lowest performing 20% of schools",64,66
2012,00350000,Boston,00350094,"Elihu Greenwood Leadership Academy",1,"Elementary School","Level 4","Among lowest achieving and least improving schools",41,42
2012,00350000,Boston,00350096,"Eliot Elementary",68,"Elementary-Middle School","Level 1","Meeting gap narrowing goals",99,95
2012,00350000,Boston,00350100,"Ellis Mendell",4,"Elementary School","Level 3","Among lowest performing 20% of schools and subgroups",65,61
2012,00350000,Boston,00350116,"Franklin D Roosevelt",52,"Elementary-Middle School","Level 1","Meeting gap narrowing goals",90,83
2012,00350000,Boston,00350122,"George H Conley",28,"Elementary School","Level 1","Meeting gap narrowing goals",84,88
2012,00350000,Boston,00350135,"Henry Grew",2,"Elementary School","Level 3","Among lowest performing 20% of schools and subgroups",40,41
2012,00350000,Boston,00350138,"O W Holmes",11,"Elementary School","Level 3","Among lowest performing 20% of schools",59,49
2012,00350000,Boston,00350141,"Hugh Roe O'Donnell",14,"Elementary School","Level 3","Among lowest performing 20% of schools",49,48
2012,00350000,Boston,00350146,"James Condon Elementary",6,"Elementary School","Level 3","Among lowest performing 20% of schools and subgroups",48,43
2012,00350000,Boston,00350153,"James W Hennigan",7,"Elementary School","Level 3","Among lowest performing 20% of schools and subgroups",49,55
2012,00350000,Boston,00350154,"James J Chittick",3,"Elementary School","Level 3","Among lowest performing 20% of schools and subgroups",49,50
2012,00350000,Boston,00350156,"James Otis",30,"Elementary School","Level 2","Not meeting gap narrowing goals",69,67
2012,00350000,Boston,00350166,"John F Kennedy",8,"Elementary School","Level 4","Among lowest achieving and least improving schools",68,64
2012,00350000,Boston,00350167,"John P Holland",4,"Elementary School","Level 4","Among lowest achieving and least improving schools",62,63
2012,00350000,Boston,00350172,"John D Philbrick",40,"Elementary School","Level 1","Meeting gap narrowing goals",95,80
2012,00350000,Boston,00350178,"John Marshall",3,"Elementary School","Level 3","Among lowest performing 20% of schools and subgroups",40,44
2012,00350000,Boston,00350179,"John W McCormack",6,"Middle School","Level 3","Among lowest performing 20% of schools and subgroups",50,44
2012,00350000,Boston,00350180,"John Winthrop",7,"Elementary School","Level 3","Among lowest performing 20% of schools and subgroups",50,51
2012,00350000,Boston,00350181,"Joseph P Tynan",12,"Elementary School","Level 3","Among lowest performing 20% of schools",46,49
2012,00350000,Boston,00350182,"Joseph J Hurley",35,"Elementary-Middle School","Level 2","Not meeting gap narrowing goals",84,70
2012,00350000,Boston,00350183,"Joseph Lee",14,"Elementary School","Level 3","Among lowest performing 20% of schools",64,65
2012,00350000,Boston,00350184,"Joseph P Manning",25,"Elementary School","Level 2","Not meeting gap narrowing goals",72,68
2012,00350000,Boston,00350190,"Joyce Kilmer",67,"Elementary-Middle School","Level 2","Not meeting gap narrowing goals",67,69
2012,00350000,Boston,00350200,Harvard-Kent,15,"Elementary School","Level 3","Among lowest performing 20% of schools",60,62
2012,00350000,Boston,00350215,"Manassah E Bradley",46,"Elementary School","Level 2","Not meeting gap narrowing goals",58,65
2012,00350000,Boston,00350226,Mattahunt,1,"Elementary School","Level 4","Among lowest achieving and least improving schools",36,34
2012,00350000,Boston,00350227,Mather,13,"Elementary School","Level 3","Among lowest performing 20% of schools",59,60
2012,00350000,Boston,00350229,"Maurice J Tobin",9,"Elementary-Middle School","Level 3","Among lowest performing 20% of schools",81,83
2012,00350000,Boston,00350231,"Michael J Perkins",6,"Elementary School","Level 3","Among lowest performing 20% of schools",55,57
2012,00350000,Boston,00350237,Mozart,21,"Elementary School","Level 2","Not meeting gap narrowing goals",65,68
2012,00350000,Boston,00350240,"Richard J Murphy",46,"Elementary-Middle School","Level 2","Not meeting gap narrowing goals",61,63
2012,00350000,Boston,00350243,"Nathan Hale",44,"Elementary School","Level 2","Not meeting gap narrowing goals",75,67
2012,00350000,Boston,00350255,"Oliver Hazard Perry",6,"Elementary-Middle School","Level 3","Among lowest performing 20% of schools and subgroups",59,53
2012,00350000,Boston,00350257,"Orchard Gardens",19,"Elementary-Middle School","Level 4","Among lowest achieving and least improving schools",90,92
2012,00350000,Boston,00350258,"William H Ohrenberger",43,"Elementary-Middle School","Level 2","Not meeting gap narrowing goals",53,52
2012,00350000,Boston,00350262,Lyndon,49,"Elementary-Middle School","Level 2","Not meeting gap narrowing goals",50,48
2012,00350000,Boston,00350264,"Patrick J Kennedy",30,"Elementary School","Level 1","Meeting gap narrowing goals",79,87
2012,00350000,Boston,00350266,"Dr. William Henderson",62,"Elementary School","Level 1","Meeting gap narrowing goals",100,84
2012,00350000,Boston,00350268,"Paul A Dever",7,"Elementary School","Level 4","Among lowest achieving and least improving schools",65,65
2012,00350000,Boston,00350278,"Phineas Bates",21,"Elementary School","Level 2","Not meeting gap narrowing goals",56,54
2012,00350000,Boston,00350286,"Josiah Quincy",57,"Elementary School","Level 1","Meeting gap narrowing goals",80,83
2012,00350000,Boston,00350298,"Roger Clap",19,"Elementary School","Level 3","Among lowest performing 20% of schools",72,75
2012,00350000,Boston,00350302,"Samuel Adams",19,"Elementary School","Level 3","Among lowest performing 20% of schools",88,93
2012,00350000,Boston,00350304,"Samuel W Mason",33,"Elementary School","Level 2","Not meeting gap narrowing goals",62,64
2012,00350000,Boston,00350308,"Sarah Greenwood",17,"Elementary-Middle School","Level 3","Among lowest performing 20% of schools",56,56
2012,00350000,Boston,00350326,"Gardner Pilot Academy",9,"Elementary School","Level 3","Among lowest performing 20% of schools",52,51
2012,00350000,Boston,00350328,"Thomas J Kenny",9,"Elementary School","Level 3","Among lowest performing 20% of schools and subgroups",52,56
2012,00350000,Boston,00350346,Warren-Prescott,65,"Elementary-Middle School","Level 2","Not meeting gap narrowing goals",70,62
2012,00350000,Boston,00350360,"William Ellery Channing",5,"Elementary School","Level 3","Among lowest performing 20% of schools and subgroups",41,41
2012,00350000,Boston,00350363,"William McKinley",7,"Middle-High School or K-12","Level 3","Among lowest performing 20% of schools",51,53
2012,00350000,Boston,00350366,"William E Russell",17,"Elementary School","Level 3","Among lowest performing 20% of schools",69,66
2012,00350000,Boston,00350370,"William Monroe Trotter",15,"Elementary School","Level 4","Among lowest achieving and least improving schools",94,95
2012,00350000,Boston,00350374,"Winship Elementary",6,"Elementary School","Level 3","Among lowest performing 20% of schools",55,56
2012,00350000,Boston,00350375,"Edison K-8",,"Elementary-Middle School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350376,"King K-8",,"Elementary-Middle School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350377,"Higginson/Lewis K-8",,"Elementary-Middle School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350378,"Mildred Avenue K-8",,"Elementary-Middle School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350380,"Young Achievers",4,"Elementary-Middle School","Level 3","Among lowest performing 20% of schools and subgroups",27,27
2012,00350000,Boston,00350382,"Mission Hill School",26,"Elementary-Middle School","Level 2","Not meeting gap narrowing goals",55,53
2012,00350000,Boston,00350383,"Lilla G. Frederick Middle School",13,"Middle School","Level 3","Among lowest performing 20% of schools",84,85
2012,00350000,Boston,00350390,Blackstone,6,"Elementary School","Level 4","Among lowest achieving and least improving schools",79,79
2012,00350000,Boston,00350413,"Boston Middle School Academy",,"Middle School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350426,"Harbor School",10,"Middle School","Level 4","Among lowest achieving and least improving schools",75,83
2012,00350000,Boston,00350430,"Clarence R Edwards Middle",29,"Middle School","Level 2","Not meeting gap narrowing goals",74,71
2012,00350000,Boston,00350445,"Washington Irving Middle",4,"Middle School","Level 3","Among lowest performing 20% of schools and subgroups",62,58
2012,00350000,Boston,00350470,"Wm B Rogers Middle",8,"Middle School","Level 3","Among lowest performing 20% of schools",50,50
2012,00350000,Boston,00350485,"James P Timilty Middle",6,"Middle School","Level 3","Among lowest performing 20% of schools and subgroups",46,46
2012,00350000,Boston,00350505,"Brighton High",19,"High School","Level 3","Among lowest performing 20% of schools",68,71
2012,00350000,Boston,00350507,"Boston International High School",,"High School","Level 3","Persistently low graduation rate for one or more subgroups",74,74
2012,00350000,Boston,00350515,"Charlestown High",13,"High School","Level 3","Among lowest performing 20% of schools",48,50
2012,00350000,Boston,00350518,"Community Academy",,"High School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350522,"Excel High School",15,"High School","Level 3","Among lowest performing 20% of schools",64,66
2012,00350000,Boston,00350525,"Jeremiah E Burke High",4,"High School","Level 4","Among lowest achieving and least improving schools",76,73
2012,00350000,Boston,00350530,"East Boston High",9,"High School","Level 3","Among lowest performing 20% of schools",80,74
2012,00350000,Boston,00350535,"The English High",5,"High School","Level 4","Among lowest achieving and least improving schools",62,65
2012,00350000,Boston,00350537,"Madison Park High",2,"High School","Level 3","Among lowest performing 20% of schools and subgroups",70,69
2012,00350000,Boston,00350540,"Fenway High School",50,"High School","Level 1","Meeting gap narrowing goals",88,90
2012,00350000,Boston,00350541,"Another Course To College",26,"High School","Level 2","Not meeting gap narrowing goals",61,52
2012,00350000,Boston,00350542,"New Mission High School",46,"High School","Level 1","Meeting gap narrowing goals",100,100
2012,00350000,Boston,00350543,"Egleston Community High School",,"High School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350545,"Boston Latin Academy",88,"Middle-High School or K-12","Level 1","Meeting gap narrowing goals",96,99
2012,00350000,Boston,00350546,"Boston Arts Academy",20,"High School","Level 3","Among lowest performing 20% of schools",86,87
2012,00350000,Boston,00350548,"Boston Adult Academy",,"High School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350558,"Boston Community Leadership Academy",32,"High School","Level 2","Low MCAS participation (Less than 95%)",84,82
2012,00350000,Boston,00350560,"Boston Latin",94,"Middle-High School or K-12","Level 1","Meeting gap narrowing goals",93,100
2012,00350000,Boston,00350565,"Quincy Upper School",11,"Middle-High School or K-12","Level 3","Among lowest performing 20% of schools and subgroups",62,66
2012,00350000,Boston,00350575,"O'Bryant School Math/Science",82,"Middle-High School or K-12","Level 1","Meeting gap narrowing goals",88,91
2012,00350000,Boston,00350579,"Urban Science Academy",23,"High School","Level 2","Low MCAS participation (Less than 95%)",79,78
2012,00350000,Boston,00350581,"Community Academy of Science and Health",14,"High School","Level 3","Among lowest performing 20% of schools and subgroups",74,77
2012,00350000,Boston,00350651,"Dorchester Academy",,"High School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350655,"Lyon Upper 9-12",,"High School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350656,"Umana/Alighieri K-8",,"Elementary-Middle School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350657,"TechBoston Academy",,"Middle-High School or K-12","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350658,"Brook Farm/Media High",,"High School","Insufficient data","Insufficient data",,
2012,00350000,Boston,00350690,"Snowden International School at Copley",8,"High School","Level 3","Among lowest performing 20% of schools",77,73
2012,00350000,Boston,00350691,"Rafael Hernandez",41,"Elementary-Middle School","Level 2","Not meeting gap narrowing goals",59,56
2012,00350000,Boston,00350750,"Horace Mann School for the Deaf",22,"Middle-High School or K-12","Level 2","Not meeting gap narrowing goals",42,46
2012,00360000,Bourne,00360005,"Bournedale Elementary School",,"Elementary School","Insufficient data","Insufficient data",,
2012,00360000,Bourne,00360010,"Peebles Elementary School",40,"Elementary School","Level 2","Not meeting gap narrowing goals",88,67
2012,00360000,Bourne,00360325,"Bourne Middle School",42,"Middle School","Level 2","Not meeting gap narrowing goals",55,54
2012,00360000,Bourne,00360505,"Bourne High School",53,"High School","Level 1","Meeting gap narrowing goals",83,89
2012,00370000,Boxborough,00370005,"Blanchard Memorial",88,"Elementary School","Level 1","Meeting gap narrowing goals",93,81
2012,00380000,Boxford,00380005,"Harry Lee Cole",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00380000,Boxford,00380013,"Spofford Pond",85,"Elementary School","Level 2","Not meeting gap narrowing goals",87,74
