FY_CODE,DISTRICT_CODE,DIST_NAME,SCHOOL_CODE,SCHOOL_NAME,ESTATUS,MSTATUS,EAAYP,ESAYP,MAAYP,MSAYP,MPRFCPI,EPRFCPI,MIMPCPI,EIMPCPI,CHOICE,SES
2007,00050000,Agawam,00050505,"Agawam High",,,Yes,Yes,Yes,Yes,89.7,92.1,-0.9,1.5,No,No
2007,00070000,Amesbury,00070005,"Amesbury Elementary",,,No,No,Yes,Yes,78.7,83.1,1.5,-0.1,No,No
2007,00070000,Amesbury,00070010,"Charles C Cashman El",,,Yes,Yes,Yes,Yes,81.5,81.6,7.7,1.2,No,No
2007,00070000,Amesbury,00070013,"Amesbury Middle",,"Corrective Action - Subgroups",Yes,Yes,Yes,Yes,72.4,90.9,4.8,2.3,No,No
2007,00070000,Amesbury,00070505,"Amesbury High",,,Yes,Yes,Yes,Yes,90.9,93.3,-0.5,2.2,No,No
2007,00080000,Amherst,00080009,"Crocker Farm Elementary","Improvement Year 1","Improvement Year 1",Yes,Yes,Yes,Yes,74.8,86.8,8.9,8.7,Yes,No
2007,00080000,Amherst,00080020,"Fort River Elementary",,,Yes,No,Yes,Yes,84.2,88.6,3.5,-0.6,No,No
2007,00080000,Amherst,00080030,"Marks Meadow Elementary School",,,Yes,Yes,Yes,Yes,84.9,87.4,1,-1.8,No,No
2007,00080000,Amherst,00080050,"Wildwood Elementary",,,Yes,Yes,Yes,Yes,87.9,91,2.8,3.2,No,No
2007,00090000,Andover,00090003,"Bancroft Elementary",,,Yes,No,Yes,Yes,92.8,95.3,4.5,0.9,No,No
2007,00090000,Andover,00090004,"High Plain Elementary",,,Yes,Yes,Yes,Yes,92,94.9,0.1,0.8,No,No
2007,00090000,Andover,00090005,"Shawsheen School",,,Yes,Yes,Yes,Yes,88.3,92.6,-5.8,-3.9,,
2007,00090000,Andover,00090010,"Henry C Sanborn Elem",,,Yes,Yes,Yes,Yes,93.6,93.8,2.3,0.3,No,No
2007,00090000,Andover,00090020,"South Elementary",,,Yes,Yes,Yes,Yes,91.6,94.1,-0.6,-1.2,No,No
2007,00090000,Andover,00090025,"West Elementary",,,Yes,Yes,Yes,No,88.6,94.1,-1.2,0.7,No,No
2007,00090000,Andover,00090305,"Doherty Middle",,,Yes,Yes,Yes,No,89.7,97.2,-0.2,-0.9,No,No
2007,00090000,Andover,00090310,"Andover West Middle",,,Yes,Yes,Yes,Yes,92.4,97.6,5.7,0.9,No,No
2007,00090000,Andover,00090350,"Wood Hill Middle School",,,Yes,Yes,Yes,No,88,96.6,1,0.5,No,No
2007,00090000,Andover,00090505,"Andover High",,,Yes,No,Yes,Yes,96.8,97,0.8,0.5,No,No
2007,00100000,Arlington,00100005,"John A Bishop",,,Yes,Yes,Yes,Yes,88.4,92,-1.7,-0.6,No,No
2007,00100000,Arlington,00100010,Brackett,,,Yes,Yes,Yes,Yes,95.3,95.3,1.4,-2.3,No,No
2007,00100000,Arlington,00100025,"Cyrus E Dallin",,,Yes,Yes,Yes,Yes,90.4,94.8,5.4,4,No,No
2007,00100000,Arlington,00100030,Hardy,,,Yes,Yes,Yes,Yes,89.9,92.7,-0.1,-0.1,No,No
2007,00100000,Arlington,00100045,Peirce,,,Yes,Yes,Yes,Yes,89.1,91.2,7.1,-2.5,No,No
2007,00100000,Arlington,00100050,Thompson,,,Yes,No,Yes,Yes,90,91.7,1.3,-0.9,No,No
2007,00100000,Arlington,00100055,"M Norcross Stratton",,,Yes,Yes,Yes,Yes,89.8,95,-0.1,0.6,No,No
2007,00100000,Arlington,00100410,"Ottoson Middle",,"Improvement Year 2 - Subgroups",Yes,Yes,Yes,No,85.3,96,3.9,1.8,No,No
2007,00100000,Arlington,00100505,"Arlington High",,,Yes,Yes,Yes,Yes,92.6,95.5,-1,1.2,No,No
2007,00140000,Ashland,00140010,"Henry E Warren Elem",,,No,Yes,Yes,Yes,80.8,84.5,,,,
2007,00140000,Ashland,00140015,"David Mindess",,"Corrective Action - Subgroups",Yes,No,Yes,No,79.9,85.9,1.6,-0.6,No,No
2007,00140000,Ashland,00140405,"Ashland Middle",,,Yes,No,Yes,Yes,82.5,94.9,7.9,0.4,No,No
2007,00140000,Ashland,00140505,"Ashland High",,,Yes,Yes,Yes,Yes,95.4,95.6,0.8,-0.6,No,No
2007,00160000,Attleboro,00160001,"A. Irvin Studley Elementary School","Improvement Year 1",,Yes,Yes,Yes,Yes,72.5,78.7,2.4,9.9,Yes,No
2007,00160000,Attleboro,00160035,"Thomas E. Willett School","Improvement Year 1",,Yes,Yes,Yes,Yes,80,89.9,0.7,8.6,No,No
2007,00160000,Attleboro,00160040,"Hyman Fine Elementary School",,,Yes,Yes,Yes,Yes,79.1,84.1,1.9,3.7,No,No
2007,00160000,Attleboro,00160045,"Hill-Roberts Elementary School",,,No,No,No,No,74.6,80,-7.7,-4.5,No,No
2007,00160000,Attleboro,00160050,"Peter Thacher Elementary School","Improvement Year 1",,Yes,Yes,Yes,Yes,80.1,85.1,7.8,6.4,Yes,No
2007,00160000,Attleboro,00160305,"Robert J. Coelho Middle School",,"Improvement Year 2 - Subgroups",Yes,No,Yes,No,74.1,88.6,7.2,0.3,No,No
2007,00160000,Attleboro,00160315,"Cyril K. Brennan Middle School",,,Yes,Yes,Yes,Yes,79.8,92.3,9.5,4.4,No,No
2007,00160000,Attleboro,00160320,"Wamsutta Middle School",,"Improvement Year 1 - Subgroups",Yes,Yes,Yes,Yes,73.6,85.7,5.7,2.7,Yes,No
2007,00160000,Attleboro,00160505,"Attleboro High",,,Yes,No,Yes,No,88.5,88.1,4,2.2,No,No
2007,00170000,Auburn,00170005,"Julia Bancroft",,,Yes,Yes,Yes,Yes,81,83.2,6.6,0.7,No,No
2007,00170000,Auburn,00170010,"Bryn Mawr",,,Yes,Yes,Yes,Yes,80.7,83.9,6.3,3.7,,
2007,00170000,Auburn,00170015,Pakachoag,,,Yes,Yes,Yes,Yes,88.5,92.1,7.4,3,No,No
2007,00170000,Auburn,00170025,"Mary D Stone",,,Yes,Yes,Yes,Yes,90,91.8,3.8,1.1,,
2007,00170000,Auburn,00170305,"Auburn Middle",,"Improvement Year 2 - Subgroups",Yes,No,Yes,Yes,76.4,91.6,3.6,1.6,Yes,Yes
2007,00170000,Auburn,00170505,"Auburn Senior High",,,Yes,Yes,Yes,Yes,86.2,86.8,1.3,-0.9,No,No
2007,00180000,Avon,00180010,"Ralph D Butler",,,Yes,Yes,Yes,Yes,83.9,86.9,13.9,1.4,No,No
2007,00180000,Avon,00180510,"Avon Middle High School",,,Yes,No,Yes,Yes,71.1,88.7,2.7,1.5,No,No
2007,00190000,Ayer,00190305,"Ayer Middle",,"Corrective Action - Subgroups",Yes,Yes,Yes,Yes,76.8,89.1,5,2.1,No,No
2007,00200000,Barnstable,00200005,"West Barnstable Elem",,,Yes,Yes,Yes,Yes,88.5,91.1,2.8,0.3,No,No
2007,00200000,Barnstable,00200010,"Centerville Elementary",,,Yes,Yes,Yes,Yes,95.1,93,11.2,4.3,No,No
2007,00200000,Barnstable,00200015,"Cotuit Elem",,,Yes,Yes,Yes,Yes,86,93.2,1.5,8.2,No,No
2007,00200000,Barnstable,00200020,"Hyannis Elementary","Improvement Year 2",,No,No,Yes,No,72.3,76.9,-0.9,-2.8,Yes,Yes
2007,00200000,Barnstable,00200025,"Hyannis West Elementary",,,No,No,Yes,Yes,88.4,82.6,7.1,-3.3,No,No
2007,00200000,Barnstable,00200030,"Marstons Mills Elem",,,Yes,Yes,Yes,Yes,95.5,96.7,5.5,7.2,,
2007,00200000,Barnstable,00200035,"Osterville Elementary",,,,,,,92.5,93.6,1.1,1.6,,
2007,00200000,Barnstable,00200040,"Osterville Bay Elementary",,,Yes,Yes,Yes,Yes,89.5,93.8,7.1,1.9,No,No
2007,00200000,Barnstable,00200305,"Barnstable Middle School",,"Corrective Action - Subgroups",Yes,Yes,Yes,Yes,79.7,92.2,10.3,2.6,Yes,Yes
2007,00200000,Barnstable,00200505,"Barnstable High",,,Yes,No,Yes,Yes,86.2,91.6,2.4,1,No,No
2007,00230000,Bedford,00230010,"Lt Elezer Davis",,,Yes,Yes,Yes,Yes,90,94.7,-0.9,3.5,,
2007,00230000,Bedford,00230012,"Lt Job Lane School",,,Yes,Yes,Yes,Yes,88.6,93.3,1.6,1.9,No,No
2007,00230000,Bedford,00230305,"John Glenn Middle",,,Yes,Yes,Yes,No,87.3,97.6,-0.3,2.1,No,No
2007,00230000,Bedford,00230505,"Bedford High",,,Yes,Yes,Yes,Yes,96.4,95.6,0.8,0.3,No,No
2007,00240000,Belchertown,00240005,"Cold Spring",,,,,,,,,,,No,No
2007,00240000,Belchertown,00240006,"Chestnut Hill Community School",,,Yes,Yes,Yes,Yes,75.8,85.9,5.3,1.1,No,No
2007,00240000,Belchertown,00240018,"Swift River Elem","Corrective Action - Subgroups",,No,No,Yes,Yes,78.6,84.3,0.2,-0.6,Yes,Yes
2007,00240000,Belchertown,00240025,"Jabish Middle School",,,Yes,Yes,Yes,Yes,76.9,91.9,0.6,1.1,No,No
2007,00240000,Belchertown,00240505,"Belchertown High",,,Yes,Yes,Yes,Yes,94.9,97.1,2.3,2.3,No,No
2007,00250000,Bellingham,00250009,"Clara Macy Elementary",,,Yes,Yes,Yes,Yes,81.9,90.9,4.2,5.7,No,No
2007,00250000,Bellingham,00250020,"South Elem",,,Yes,Yes,Yes,Yes,88.9,87.7,13,6.3,No,No
2007,00250000,Bellingham,00250025,"Stall Brook",,,Yes,Yes,Yes,Yes,84.1,82.2,8.9,0.6,No,No
2007,00250000,Bellingham,00250315,"Bellingham Memorial Middle School",,"Corrective Action - Subgroups",Yes,No,Yes,Yes,73,89.6,3.5,0.1,Yes,Yes
2007,00250000,Bellingham,00250505,"Bellingham High School",,,Yes,Yes,Yes,Yes,85.5,87,-2.6,-3.7,No,No
2007,00250000,Bellingham,00250510,"Primavera Jr/Sr H S",,,,,,,,,,,No,No
2007,00260000,Belmont,00260005,"Winn Brook",,,Yes,Yes,Yes,Yes,92.6,96.8,3.9,1.5,No,No
2007,00260000,Belmont,00260010,"Mary Lee Burbank",,,Yes,Yes,Yes,Yes,95.4,96.5,5.1,2.4,No,No
2007,00260000,Belmont,00260015,"Daniel Butler",,,Yes,Yes,Yes,Yes,86.9,91.5,-2.8,3.5,No,No
2007,00260000,Belmont,00260035,"Roger E Wellington",,,Yes,Yes,Yes,Yes,90.3,91.5,1.2,-2.8,No,No
2007,00260000,Belmont,00260305,"Winthrop L Chenery Middle",,"Improvement Year 1 - Subgroups",Yes,Yes,Yes,Yes,88,96.1,2.8,-0.1,No,No
2007,00260000,Belmont,00260505,"Belmont High",,,Yes,Yes,Yes,Yes,98.7,97.1,4,1.3,No,No
2007,00270000,Berkley,00270010,"Berkley Community School",,,Yes,Yes,Yes,Yes,79.4,82.5,5.7,5.1,No,No
2007,00270000,Berkley,00270305,"Berkley Middle School",,,Yes,No,Yes,No,75.9,88,4,0.3,No,No
2007,00280000,Berlin,00280005,"Berlin Memorial",,,Yes,Yes,Yes,Yes,84.3,89.6,-1.7,-0.3,No,No
2007,00300000,Beverly,00300010,"Centerville Elementary",,,Yes,Yes,Yes,Yes,88.3,90.3,7.7,0,No,No
2007,00300000,Beverly,00300015,"Cove Elementary",,,Yes,No,Yes,Yes,81.7,88.9,2.1,0.9,No,No
2007,00300000,Beverly,00300033,"Hannah Elementary",,,Yes,Yes,Yes,Yes,84.5,90.8,5.8,3.9,No,No
2007,00300000,Beverly,00300037,"McKeown Elementary",,,Yes,Yes,Yes,Yes,84.7,85.9,14.8,2.3,No,No
2007,00300000,Beverly,00300040,"North Beverly Elementary",,,No,No,Yes,No,77,80.8,2.6,-4.4,No,No
2007,00300000,Beverly,00300055,"Ayers/Ryal Side Sch","Improvement Year 1","Improvement Year 1",Yes,Yes,Yes,Yes,76.7,82.7,7.4,5.5,Yes,No
2007,00300000,Beverly,00300305,"Briscoe Middle","Improvement Year 1 - Subgroups","Restructuring Year 1 - Subgroups",Yes,No,Yes,No,69.1,89.7,2,0,No,No
2007,00300000,Beverly,00300505,"Beverly High",,,Yes,Yes,Yes,Yes,89.5,92.1,-3.4,-1.5,No,No
2007,00310000,Billerica,00310005,"Thomas Ditson",,,No,No,Yes,Yes,79.9,83.6,10,-1.5,No,No
2007,00310000,Billerica,00310007,"Frederick J Dutile",,,Yes,No,Yes,No,83,88,3.5,0.4,No,No
2007,00310000,Billerica,00310012,"John F Kennedy",,,Yes,No,Yes,Yes,83.8,87.6,10.3,1.3,No,No
2007,00310000,Billerica,00310015,Parker,,,Yes,Yes,Yes,Yes,78.5,85.1,9,3.7,No,No
2007,00310000,Billerica,00310026,"Hajjar Elementary",,,Yes,Yes,Yes,Yes,77.7,86.6,12.3,3.7,No,No
2007,00310000,Billerica,00310030,"Eugene C Vining",,,Yes,No,Yes,Yes,72.8,81.1,5.3,0.8,No,No
2007,00310000,Billerica,00310305,"Marshall Middle School","Improvement Year 1 - Subgroups","Corrective Action - Subgroups",Yes,No,Yes,Yes,78.1,89.9,4.3,2.2,Yes,Yes
2007,00310000,Billerica,00310310,"Locke Middle",,"Corrective Action - Subgroups",Yes,Yes,Yes,Yes,80.8,91.6,7.2,2.5,Yes,Yes
2007,00310000,Billerica,00310505,"Billerica Memorial High School",,,Yes,Yes,Yes,Yes,93.6,93.4,1.1,2.5,No,No
2007,00350000,Boston,00350003,"Baldwin ELC",,,,,,,,,,,,
2007,00350000,Boston,00350004,"Mary Lyon",,,Yes,,Yes,,88.8,88.8,0.2,-2.1,No,No
2007,00350000,Boston,00350005,"ELC - East Zone",,,Yes,,Yes,,71.7,77.5,8,3.3,,
2007,00350000,Boston,00350006,"ELC - West Zone",,,No,,No,,64.3,66.1,-0.2,-3.6,,
2007,00350000,Boston,00350007,Agassiz,"Restructuring Year 2","Improvement Year 1",Yes,No,No,No,57.6,59.4,3,5.1,Yes,Yes
2007,00350000,Boston,00350008,"Dr. Catherine Ellison-Rosa Parks Early Ed School",,,,,,,58.1,66.3,-2.6,0.8,,
2007,00350000,Boston,00350009,"East Boston ECC","Improvement Year 2",,Yes,Yes,Yes,Yes,61.9,73.3,6.3,6.4,,
2007,00350000,Boston,00350010,"Haynes Early Education Center",,,Yes,Yes,Yes,No,65.2,73.5,2.4,4,,
2007,00350000,Boston,00350011,"Alexander Hamilton","Improvement Year 2",,Yes,Yes,No,No,56.8,65.1,-2,1.7,Yes,Yes
2007,00350000,Boston,00350013,"Jackson Mann","Improvement Year 2 - Subgroups","Improvement Year 2 - Subgroups",Yes,Yes,No,No,64,72.6,-4.1,4.9,Yes,Yes
2007,00350000,Boston,00350021,Beethoven,"Corrective Action - Subgroups",,Yes,Yes,Yes,Yes,69.2,76,-1.6,0.8,Yes,Yes
2007,00350000,Boston,00350036,"Carter Develop Day Care",,,,,,,,,,,No,No
2007,00350000,Boston,00350052,"Charles Sumner","Restructuring Year 1","Improvement Year 1 - Subgroups",No,No,Yes,No,64.4,69.8,2.2,-0.9,Yes,Yes
2007,00350000,Boston,00350054,"Charles H Taylor","Improvement Year 1",,Yes,Yes,Yes,Yes,69.5,71.1,8.9,4.2,Yes,No
2007,00350000,Boston,00350062,"Curtis Guild","Corrective Action - Subgroups",,Yes,No,No,No,67.8,69.4,-9,1.1,Yes,Yes
2007,00350000,Boston,00350066,"Dante Alighieri",,,Yes,Yes,No,No,62.3,79.1,-3.5,4.6,No,No
2007,00350000,Boston,00350072,"David A Ellis","Corrective Action",,Yes,Yes,Yes,No,67.9,71.4,7,9.1,Yes,Yes
2007,00350000,Boston,00350074,Dearborn,"Restructuring Year 1 - Subgroups","Restructuring Year 1 - Subgroups",No,No,Yes,No,45.1,61.4,5.4,1.2,Yes,Yes
2007,00350000,Boston,00350077,"Dennis C Haley","Improvement Year 1 - Subgroups",,Yes,Yes,No,No,58.6,66.8,-1.3,5,Yes,No
2007,00350000,Boston,00350080,"Donald Mckay","Improvement Year 1","Improvement Year 1",Yes,Yes,No,No,62.6,73.5,2.4,3,Yes,No
2007,00350000,Boston,00350088,"Edward Everett","Improvement Year 2",,No,No,Yes,No,63.2,68.3,3.3,-0.3,Yes,Yes
2007,00350000,Boston,00350094,"Elihu Greenwood","Improvement Year 2 - Subgroups",,Yes,No,No,No,59.4,59.2,2.3,3.1,Yes,Yes
2007,00350000,Boston,00350096,"Eliot Elementary",,"Restructuring Year 1",No,No,No,No,50.2,57.4,-2.5,0.4,Yes,Yes
2007,00350000,Boston,00350100,"Ellis Mendell",,,Yes,Yes,No,No,54.5,66.1,-7.1,7.6,No,No
2007,00350000,Boston,00350102,"Emily A Fifield","Corrective Action - Subgroups",,Yes,Yes,Yes,Yes,70.5,79.1,9.7,7,Yes,Yes
2007,00350000,Boston,00350108,Farragut,"Improvement Year 2",,No,No,Yes,Yes,60.5,61.8,4.4,-9.9,Yes,Yes
2007,00350000,Boston,00350116,"Franklin D Roosevelt","Corrective Action - Subgroups",,No,No,No,Yes,68.9,73.3,-0.4,-2.7,Yes,Yes
2007,00350000,Boston,00350122,"George H Conley",,,Yes,Yes,No,No,68.7,69.9,-8.9,2.5,No,No
2007,00350000,Boston,00350135,"Henry Grew","Improvement Year 2 - Subgroups",,Yes,No,No,No,58.1,64.7,-1.9,2.9,Yes,Yes
2007,00350000,Boston,00350137,"Henry L Higginson","Improvement Year 2",,No,No,No,No,53.3,64.1,-1.7,-3,Yes,Yes
2007,00350000,Boston,00350138,"O W Holmes",,,Yes,Yes,No,No,60.1,66.9,-1.9,0.9,No,No
2007,00350000,Boston,00350141,"Hugh Roe O'Donnell","Improvement Year 2",,No,Yes,Yes,Yes,78.7,80.2,-4.2,-1,Yes,Yes
2007,00350000,Boston,00350146,"James Condon Elem","Restructuring Year 2",,Yes,No,No,No,65.9,67.3,1.2,3.9,Yes,Yes
2007,00350000,Boston,00350152,"James A Garfield Elem","Improvement Year 2","Improvement Year 1",Yes,Yes,Yes,Yes,60.1,64.6,12.8,4.5,Yes,Yes
2007,00350000,Boston,00350153,"James W Hennigan","Corrective Action - Subgroups",,No,No,No,No,56.9,64.4,-3.1,-0.4,Yes,Yes
2007,00350000,Boston,00350154,"James J Chittick","Improvement Year 2",,Yes,Yes,Yes,Yes,68.3,68.4,4.8,8.2,Yes,Yes
2007,00350000,Boston,00350156,"James Otis","Improvement Year 1 - Subgroups",,Yes,No,No,No,61.9,71.3,0.2,2.6,Yes,No
2007,00350000,Boston,00350166,"John F Kennedy","Improvement Year 2","Improvement Year 1",No,No,No,No,49.1,58.4,-3.5,-1.8,Yes,Yes
2007,00350000,Boston,00350167,"John P Holland","Corrective Action - Subgroups","Restructuring Year 1 - Subgroups",No,No,No,No,46,49.1,-1.8,-3.1,Yes,Yes
2007,00350000,Boston,00350172,"John D Philbrick",,,Yes,Yes,Yes,Yes,76.7,81,13.5,5,No,No
2007,00350000,Boston,00350178,"John Marshall","Restructuring Year 1 - Subgroups","Restructuring Year 2",Yes,No,Yes,No,52.2,57.4,9.8,6.8,Yes,Yes
2007,00350000,Boston,00350179,"John W McCormack","Corrective Action - Subgroups","Restructuring Year 1 - Subgroups",No,No,Yes,No,56.8,73.8,6,0.1,Yes,Yes
2007,00350000,Boston,00350180,"John Winthrop","Restructuring Year 1","Restructuring Year 1",Yes,Yes,No,No,49.1,61.5,3.7,4.9,Yes,Yes
2007,00350000,Boston,00350181,"Joseph P Tynan","Improvement Year 1","Improvement Year 1",Yes,Yes,Yes,Yes,81.3,84.8,6.7,12.2,Yes,No
2007,00350000,Boston,00350182,"Joseph J Hurley","Corrective Action - Subgroups","Restructuring Year 1",Yes,Yes,No,Yes,48.2,60.4,0.3,1.5,Yes,Yes
2007,00350000,Boston,00350183,"Joseph Lee","Corrective Action","Improvement Year 2 - Subgroups",Yes,Yes,Yes,Yes,62.3,68.2,12.5,4.5,Yes,Yes
2007,00350000,Boston,00350184,"Joseph P Manning",,,No,,Yes,,67.4,62.3,2,-10.2,No,No
2007,00350000,Boston,00350190,"Joyce Kilmer",,,Yes,Yes,Yes,Yes,88.7,93.4,-1.6,2.9,No,No
2007,00350000,Boston,00350200,Harvard-Kent,"Corrective Action",,Yes,Yes,Yes,Yes,73.1,68,5.3,4.1,Yes,Yes
2007,00350000,Boston,00350211,"Lucy Stone",,"Improvement Year 1",No,No,No,No,50,56.7,-5.6,-8.4,Yes,No
2007,00350000,Boston,00350215,"Manassah E Bradley",,,Yes,Yes,Yes,Yes,81.4,89.6,-2.5,3,No,No
2007,00350000,Boston,00350226,Mattahunt,"Improvement Year 2",,No,No,No,No,58.3,63.5,1.4,-2.8,Yes,Yes
2007,00350000,Boston,00350227,Mather,"Corrective Action - Subgroups","Improvement Year 2 - Subgroups",No,No,No,No,61.1,64.5,-3,-8.1,Yes,Yes
2007,00350000,Boston,00350229,"Maurice J Tobin","Improvement Year 2","Restructuring Year 2",No,No,Yes,No,50.6,62.4,5.3,-0.4,Yes,Yes
2007,00350000,Boston,00350231,"Michael J Perkins","Improvement Year 2 - Subgroups",,No,No,No,No,61,61.6,-5.1,-5.1,Yes,Yes
2007,00350000,Boston,00350237,Mozart,,,No,,Yes,,72.4,77,0,-2.3,No,No
2007,00350000,Boston,00350240,"Richard J Murphy","Improvement Year 2 - Subgroups","Improvement Year 2 - Subgroups",Yes,No,Yes,No,80,87,2.8,0.8,Yes,Yes
2007,00350000,Boston,00350243,"Nathan Hale","Improvement Year 2 - Subgroups",,No,No,Yes,Yes,67.6,74.7,0.9,-5.8,Yes,Yes
2007,00350000,Boston,00350255,"Oliver Hazard Perry",,,No,No,No,No,71.1,78.3,-6.6,-11.4,No,No
2007,00350000,Boston,00350257,"Orchard Gardens ","Improvement Year 2","Improvement Year 2",Yes,Yes,Yes,Yes,39.6,56.1,7.4,7,Yes,Yes
2007,00350000,Boston,00350258,"William H Ohrenberger","Restructuring Year 1 - Subgroups","Improvement Year 2 - Subgroups",Yes,No,Yes,No,65.3,71.7,3.8,7.7,Yes,Yes
2007,00350000,Boston,00350262,Lyndon,"Improvement Year 2 - Subgroups","Improvement Year 1",Yes,No,No,No,73.2,84.5,-0.9,1.1,Yes,Yes
2007,00350000,Boston,00350264,"Patrick J Kennedy","Improvement Year 2",,Yes,Yes,Yes,Yes,68.3,76.6,6.3,1.9,Yes,Yes
2007,00350000,Boston,00350266,"Patrick O'Hearn",,,Yes,Yes,Yes,Yes,80.5,81.4,10.9,1.6,No,No
2007,00350000,Boston,00350268,"Paul A Dever","Restructuring Year 2",,No,No,No,No,54.3,58.7,-3.3,-5,Yes,Yes
2007,00350000,Boston,00350270,"Pauline Agassiz Shaw","Improvement Year 2","Improvement Year 2",No,No,No,No,37.6,55.3,-2.2,1.4,Yes,Yes
2007,00350000,Boston,00350278,"Phineas Bates","Corrective Action",,Yes,Yes,Yes,Yes,68.2,77.6,11.4,10.1,Yes,Yes
2007,00350000,Boston,00350284,"Quincy E Dickerman",,,Yes,Yes,Yes,Yes,69,75,17.5,5.7,No,No
2007,00350000,Boston,00350286,"Josiah Quincy","Improvement Year 2",,No,No,Yes,No,84.2,77.7,2.6,-0.5,Yes,Yes
2007,00350000,Boston,00350288,"Ralph Waldo Emerson","Improvement Year 2","Improvement Year 2",No,No,No,No,49.3,55.9,-1.5,1.5,Yes,Yes
2007,00350000,Boston,00350298,"Roger Clap",,,Yes,Yes,Yes,Yes,52.1,67.9,2.9,9.4,No,No
2007,00350000,Boston,00350302,"Samuel Adams","Improvement Year 1",,No,No,No,No,58.1,59.7,-0.5,-5.8,Yes,No
2007,00350000,Boston,00350304,"Samuel W Mason",,,Yes,Yes,Yes,Yes,85.8,83.5,7.4,1.2,No,No
2007,00350000,Boston,00350308,"Sarah Greenwood","Improvement Year 1 - Subgroups",,Yes,Yes,No,No,69,78.1,-0.4,2,Yes,No
2007,00350000,Boston,00350326,"Thomas Gardner","Improvement Year 2","Improvement Year 1",No,No,Yes,No,66.6,66.2,3.6,-0.1,Yes,Yes
2007,00350000,Boston,00350328,"Thomas J Kenny","Improvement Year 1",,Yes,Yes,Yes,Yes,61.4,64,9.5,7.4,Yes,No
2007,00350000,Boston,00350346,Warren-Prescott,,"Improvement Year 2",Yes,Yes,No,No,67.9,83.4,-1.1,2,Yes,Yes
2007,00350000,Boston,00350360,"William Ellery Channing","Improvement Year 1","Improvement Year 1 - Subgroups",Yes,Yes,Yes,Yes,71.5,72.2,13.2,6.2,Yes,No
2007,00350000,Boston,00350363,"William McKinley","Restructuring Year 1","Restructuring Year 1",No,No,No,No,41.1,49.3,3.5,1.7,Yes,Yes
2007,00350000,Boston,00350366,"William E Russell",,,Yes,Yes,Yes,Yes,70.2,68.9,8.4,5.2,No,No
2007,00350000,Boston,00350370,"William Monroe Trotter","Restructuring Year 2","Restructuring Year 2",No,No,No,No,39.4,52,-4.6,1.5,Yes,Yes
2007,00350000,Boston,00350374,"Winship Elementary",,,Yes,Yes,Yes,Yes,80,79.2,12,5,No,No
2007,00350000,Boston,00350380,"Young Achievers","Corrective Action - Subgroups","Corrective Action - Subgroups",Yes,Yes,Yes,No,69.8,82.2,2,4.7,Yes,Yes
